,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Koszty finansowe,,77.21,,,,136.19,134.05,-7.32,-61.47,-17.61,-7.63,-43.16,136.24,-22.25,4.01,67.71,-60.97,11.15,-8.6,-29.37,-8.34,-65.11,-80.1,38.62,-226.56,-13.77,45.66,-48.46,120.35,69.72,-5.41,-38.35,194.55,5.07,39.59,-15.47,31.48,30.53,31.3,86.43,15.09,-34.67,-2.8,-7.75,-27.62,0.64,17.04,-18.9,106.6,-4.72,-150.0,150.89,-86.13,-2.38,237.27,-84.52,340.45,150.24,172.23,437.93,5.23,-6.0,-45.84,-13.8,-3.58
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,89.49,,,,-102.08,18.03,100.0,-118.85,100.0,195.03
Zysk z działalności gospodarczej,,211.36,,,,97.39,-76.5,-63.47,-65.24,-83.38,57.63,4.8,33.53,-127.38,85.26,85.65,-12.62,670.18,-774.41,-15.26,-296.67,-38.78,107.43,99.63,-21.43,84.06,70.57,-83.78,79.59,-59.14,-37.51,19.75,115.78,105.12,-5.49,-33.12,-490.29,-19.18,48.06,90.38,69.74,69.59,-29.72,88.18,67.1,8.56,117.4,-13.85,2842.65,57.42,62.04,-34.58,-50.85,-1.68,-27.43,61.32,240.22,43.94,32.49,80.77,38.54,6.12,18.4,0.61,-37.59
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,211.36,,,,97.39,-76.5,-63.47,-65.24,-83.38,57.63,4.8,33.53,-127.38,85.26,85.65,-12.62,670.18,-774.41,-15.26,-296.67,-38.78,107.43,99.63,-21.43,84.06,70.57,-83.78,79.59,-59.14,-37.51,19.75,115.78,105.12,-5.49,-33.12,-490.29,-19.18,48.06,90.38,69.74,69.59,-29.72,88.18,67.1,8.56,117.4,-13.85,2842.65,57.42,62.04,-34.58,-50.85,-1.68,-27.43,61.32,240.22,43.94,32.49,80.77,38.54,6.12,18.4,0.61,-37.59
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,-185.4,-285.56,119.08,-83.27,95.54,-42.33,-247.7,-26.36,-161.02,94.01,52.11,-74.37,-39.61,-131.3,24.1,-94.83,-9.77,105.26,16.74,-411.11,62.29,-285.71,98.45,1264.29,100.0,100.0,4166.67,-137.42,,,-100.0,100.0,,,,,,,,
Zysk netto,,279.56,,,,91.38,-78.81,-63.58,-60.52,-80.2,58.7,12.06,11.69,-140.19,131.41,87.32,-31.23,418.81,-956.99,-21.54,-53.42,7.03,107.8,80.56,-651.27,-13.35,22.64,-81.87,69.97,-65.44,-64.68,3.91,109.77,204.6,73.37,-31.72,-1765.18,-21.24,37.43,72.33,99.04,78.13,-34.31,122.83,-2008.0,5.74,141.4,-9.16,582.92,66.43,27.34,22.88,-51.2,-1.68,-3.16,-16.92,197.06,32.81,28.23,86.61,40.82,14.0,59.62,2.76,-34.67
Zysk netto akcjonariuszy jednostki dominującej,,270.27,,,,91.2,-22.17,-95.97,-69.14,-79.98,-37.55,751.11,50.86,-129.0,197.98,-12.27,-0.25,512.36,-565.87,102.64,-115.3,7.37,99.16,117.13,-977.07,-19.04,1039.52,-87.32,72.8,-53.79,-69.05,28.65,125.52,132.99,128.07,-45.98,-786.62,-13.07,30.85,80.57,101.89,71.67,-30.59,145.67,-309.38,6.01,118.52,-11.61,2614.43,59.87,33.16,18.51,-53.88,-2.08,-0.97,-15.59,189.1,38.9,16.75,74.99,36.74,9.25,80.17,12.96,-32.77
Aktywa trwałe,,,,,,92.0,82.86,4.8,-4.01,-5.77,-4.15,-3.17,-2.44,0.77,2.82,2.88,3.35,3.57,-17.94,-18.46,-20.32,-20.43,-16.59,-57.55,-48.77,-49.24,-39.56,9.71,-18.83,-18.53,-18.45,-2.74,16.17,16.18,24.04,18.33,15.85,22.33,13.37,8.56,12.6,7.39,6.92,8.01,2.49,8.92,11.85,10.15,9.82,2.42,-11.72,-9.09,-4.58,-4.17,8.53,10.62,5.55,7.91,7.87,0.75,-1.61,-5.93,-1.11,-1.45,2.11
Wartości niematerialne i prawne,,,,,,117.08,115.37,5.24,0.92,0.93,0.87,0.99,1.5,1.75,1.99,1.94,1.69,1.4,-26.52,-26.67,-31.56,-31.43,-8.29,-70.52,-68.56,-68.77,-67.69,1.33,4.48,4.93,5.17,19.51,26.3,30.07,30.83,17.55,11.38,11.37,12.34,10.94,18.9,17.51,15.7,15.34,6.2,3.64,3.28,2.32,3.42,2.94,-23.56,-22.96,-24.38,-25.3,2.54,0.99,3.0,7.58,4.24,3.35,-0.47,-5.65,-2.0,-5.18,-3.88
Rzeczowe składniki majątku trwałego,,,,,,52.33,40.89,-4.09,-18.14,-25.72,-21.83,-15.53,-16.56,-0.76,2.05,2.72,8.95,10.37,3.5,1.61,-6.38,-5.98,-41.26,-42.23,-16.83,-18.54,31.94,37.26,-30.4,-27.92,-26.57,-22.77,15.35,13.95,34.06,30.11,35.39,40.77,14.46,7.36,-0.34,-6.08,-4.98,-3.04,-3.92,17.17,24.79,23.95,19.13,-0.54,11.35,17.1,31.37,33.02,12.6,11.05,2.49,2.2,4.05,-0.27,-2.39,-5.84,1.67,1.61,3.88
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.13,21.94,48.09,7.02,5.59,0.45,-1.24,2.85,35.43
Inwestycje długoterminowe,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,-100.0,-100.0,-100.0,35.29,,,,6.52,17.39,0.0,40.35,187.76,159.26,12.28,6182.5,3188.65,2495.0,7821.88,-9.13,-8.13,19.35,-31.76,-22.82,-7.16
Pozostałe aktywa trwałe,,,,,,75.09,32.47,45.75,10.73,6.76,16.33,-0.23,9.23,-3.55,13.17,12.72,3.46,5.5,0.06,-0.13,43.53,37.26,-2.65,-15.83,-51.47,-50.79,-28.92,-22.78,1.17,-6.2,-11.26,-2.07,-12.13,-22.44,-22.67,-9.61,-23.1,13.96,14.09,1.72,40.9,14.87,11.76,14.62,6.74,6.71,11.18,3.76,12.1,11.56,-46.41,-43.96,-73.68,-73.71,-48.88,-52.23,-4.66,32.39,-14.52,-18.91,-10.39,-31.27,-13.88,8.93,5.02
Aktywa obrotowe,,,,,,31.42,18.01,-0.75,-16.67,-30.37,-17.55,-9.74,-4.62,11.57,13.21,13.3,10.04,3.5,3.12,-13.13,-15.97,-9.01,17.99,32.97,33.27,28.54,-49.25,-56.41,-43.47,-42.18,16.64,12.58,-4.73,2.4,-3.3,12.74,11.55,6.45,12.05,9.66,3.79,8.99,6.89,8.2,17.79,2.67,-0.19,-4.04,-5.36,3.4,0.23,-4.55,0.88,9.71,27.11,38.4,46.27,44.06,37.6,20.55,8.67,-1.43,-15.17,-7.28,-7.69
Zapasy,,,,,,21.44,8.55,-12.32,-18.51,-15.45,-12.95,-10.79,6.46,15.94,38.14,46.75,48.56,36.97,31.95,15.15,-5.87,2.46,-11.26,-42.37,-50.18,-51.2,-44.88,-14.49,11.95,5.83,19.45,38.53,39.81,54.79,37.81,28.88,18.92,4.12,5.91,-0.72,13.82,24.78,27.17,33.28,13.53,0.98,-10.69,-19.52,-6.86,2.12,-5.3,2.43,-5.71,5.11,35.31,50.7,69.07,79.03,49.79,15.28,9.67,-12.12,-8.23,6.65,-6.84
Należności krótkoterminowe,,,,,,30.75,22.48,1.32,-19.97,-28.29,-15.64,-5.44,0.0,12.26,11.75,4.92,2.14,-4.25,-7.46,-18.14,-20.41,-14.13,-0.5,-33.34,-32.39,-39.36,-45.49,-24.85,-10.7,12.98,25.73,22.54,12.16,3.37,-9.29,3.97,4.5,11.65,11.78,14.98,-1.01,0.56,4.2,-1.57,22.15,1.42,-1.32,4.77,-4.97,-5.45,-11.82,-22.59,-8.68,5.2,37.14,44.69,54.61,43.39,31.16,23.09,2.74,8.75,-15.4,-5.87,-2.35
Inwestycje krótkoterminowe,,,,,,47.81,-0.58,9.65,51.93,-67.78,-44.62,-55.92,-71.29,-17.61,-34.89,101.9,43.54,34.17,147.83,-35.36,13.27,11.52,23.6,1687.93,1551.17,1445.46,39.06,-86.16,-86.93,-81.83,-22.1,-59.22,-57.88,-56.83,-42.53,38.56,65.39,-19.77,38.78,17.96,12.95,40.39,-26.19,10.24,6.2,21.9,61.54,-7.24,-5.37,68.01,104.0,112.7,89.25,30.24,-12.52,-5.31,-17.69,-5.61,42.94,15.67,46.67,-14.32,-32.79,-33.95,-46.46
Środki pieniężne i inne aktywa pieniężne,,,,,,47.78,-1.56,8.75,51.6,-68.36,-43.97,-55.59,-71.43,-18.12,-34.71,102.42,34.25,35.51,144.18,-35.98,22.01,13.17,24.81,1705.22,1397.68,1310.96,-39.63,-94.41,-95.71,-89.57,-50.09,0.77,40.59,-18.03,105.21,37.25,64.05,-20.33,40.13,17.64,14.01,38.26,-26.35,11.71,6.78,25.12,62.29,-7.16,-5.69,68.21,104.0,112.7,89.96,30.24,-12.78,-5.34,-17.7,-5.61,43.37,15.71,46.69,-14.32,-32.81,-34.3,-46.59
Pozostałe aktywa obrotowe,,,,,,106.27,70.85,67.24,-44.19,-49.29,-46.24,-43.73,78.62,5.76,-25.38,-33.97,-27.54,-29.52,-9.68,-17.15,25.29,61.31,-29.71,-50.64,-42.94,-45.61,-2.42,100.52,11.55,0.27,14.79,126.49,106.51,131.04,112.58,38.88,3.68,-33.49,16.73,-49.79,-22.26,0.71,-37.14,-14.88,-6.17,-10.58,45.67,-21.35,12.56,20.34,-23.77,93.61,53.34,92.55,-5.65,135.98,-5.64,8.52,20.44,67.01,7.03,-32.93,46.1,-80.49,95.62
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,-100.0,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,61.79,51.45,2.6,-8.96,-15.73,-9.21,-5.69,-3.22,4.39,6.38,6.7,5.71,3.55,-10.26,-16.38,-18.72,-16.35,-2.09,-20.97,-17.64,-18.98,-44.46,-35.25,-33.96,-33.13,-2.25,4.27,5.19,8.82,8.98,15.57,13.8,14.36,12.73,9.09,8.49,8.14,6.91,8.1,9.32,5.98,6.0,3.27,2.52,2.87,-6.25,-7.04,-2.16,2.2,17.61,23.47,24.19,25.71,23.58,11.02,3.93,-3.39,-9.38,-4.73,-3.41
Kapitał własny akcjonariuszy jednostki dominującej,,187.25,,,,78.99,72.32,19.89,9.71,1.88,1.29,1.93,3.77,2.95,8.28,10.35,7.74,9.64,-15.89,-16.24,-15.31,-14.75,6.86,6.98,2.49,1.54,-54.15,-52.91,-52.57,-49.95,-7.21,-9.91,-7.05,-9.57,3.0,2.84,-4.61,-6.29,2.25,0.91,8.71,13.42,9.19,12.74,14.73,11.35,14.03,13.82,15.28,15.83,-1.74,0.11,-1.33,-1.46,15.44,11.84,12.1,16.21,13.93,13.35,15.71,9.03,9.73,9.67,6.16
Kapitał (fundusz) podstawowy,,,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-0.59,-0.59,-0.59
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.8,-62.42,-58.39,-62.66,-63.45,36.39,-15.98,-65.39,-70.8
Kapitał (fundusz) zapasowy,,,,,,78.43,78.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.52,-19.52,-19.52,-19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,43.27,,,,168.78,-4.45,-31.59,-27.74,-39.19,80.74,32.43,51.25,-5.43,54.53,198.33,132.89,277.67,116.38,118.78,126.11,107.78,70.44,-6.86,4.13,14.31,-3.68,6.5,-18.64,-26.98,-37.28,-29.01,-19.37,-0.55,4.41,38.02,65.11,23.39,17.98,0.61,-9.94,11.24,-4.02,-4.34,-13.37,-19.94,20.53,24.02,24.92,39.37,-4.71,2.59,25.92,15.06,53.09,24.29,6.33,64.26,63.52,46.73,72.35,-5.35,-12.17,7.39,2.55
Zobowiązania długoterminowe,,,,,,420.78,155.52,-15.17,-18.97,-22.25,-27.61,-18.7,-26.39,-25.52,-27.76,-35.54,-66.34,-64.76,-26.79,-26.85,-13.54,-8.21,-53.58,-58.63,28.22,25.72,55.2,106.84,-12.67,-13.26,19.06,8.49,66.31,51.89,3.08,29.01,-2.13,29.29,17.32,12.02,34.07,121.86,76.56,106.3,118.19,11.17,33.61,-24.52,-17.89,-33.29,-24.88,3.14,-4.98,23.54,28.09,29.99,27.42,23.62,9.89,-9.1,-11.61,-18.33,-9.5,-6.39,-12.93
Z tytułu dostaw i usług,,,,,,-8.35,8.75,-6.09,-29.69,-33.34,-11.42,1.06,-12.13,5.9,26.23,-3.83,8.46,-2.36,-9.55,-7.34,-27.14,-7.37,-8.73,-22.89,-10.32,-24.68,-26.62,-36.34,-19.66,-28.91,-17.85,25.56,29.76,53.99,16.54,5.25,9.81,7.56,22.56,24.79,3.98,9.17,4.45,14.92,18.26,-4.45,2.17,-10.73,0.38,21.17,-3.62,-12.36,-13.82,-6.02,3.83,34.11,51.25,42.89,87.07,43.98,13.82,13.45,-31.21,-26.19,-17.84
Kredyty i pożyczki,,,,,,38.3,7.09,-8.66,-15.39,-36.24,-13.51,-18.43,7.43,49.74,45.22,47.49,48.24,26.19,-10.39,-24.08,-26.67,-29.64,-15.25,-97.79,-98.44,-98.32,-55.5,1195.18,2805.78,2625.53,48.26,76.65,-12.13,16.64,18.22,53.21,93.11,70.77,21.34,10.56,-2.02,-63.55,-36.54,-78.78,-76.3,-11.76,-60.66,150.57,-1.23,16.11,35.0,-55.79,-31.35,-63.02,-48.97,-15.78,22.1,49.5,4.49,-7.12,-23.79,-41.54,-15.81,-24.32,-14.42
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,4.7,74.31,-1.31,-19.13,-31.23,-63.33,-45.42,-84.93,-87.87,-27.27,-44.71,468.27,944.76,197.92,199.72,1.47,-18.32,-72.45,-75.11,197.61,184.43,1235.36,1429.66,-59.69,-61.39,-72.29,-72.92,33.13,56.05,25.65,84.35,1.36,26.15,38.1,0.4,41.24,19.95,12.65,8.68,7.8,42.63,49.85,-1.44,47.68,-35.2,6.62,43.66,19.44,72.6,-1.9,23.33,29.34,4.02,22.21,-7.25,-61.05,-39.14,-32.57,-29.61,108.76
Inne zobowiązania długoterminowe,,,,,,26.51,22.94,16.55,-15.23,-23.58,-2.71,-11.72,-13.13,32.16,-2.83,-3.1,40.74,9.58,47.89,39.48,13.22,19.5,5.93,-21.6,-83.73,-78.89,-0.93,42.46,558.49,354.42,-1.51,-9.86,-37.05,-39.9,-37.12,-34.05,43.78,82.76,80.54,106.61,37.58,7.93,7.46,-5.31,-1.87,-5.37,-0.44,120.18,-9.52,107.35,-30.12,-73.29,-36.45,-67.33,-21.32,-8.54,-11.5,-17.07,1.32,-13.28,-9.69,-5.69,-16.9,-2.15,-2.87
Zobowiązania krótkoterminowe,,,,,,11.88,6.13,-7.75,-25.67,-35.38,-15.29,-10.85,-3.41,24.06,19.53,18.75,29.43,15.16,3.13,-15.62,-25.9,-21.18,-4.96,-58.04,-58.7,-61.11,-41.23,3.87,37.19,35.19,-0.02,31.04,10.23,29.59,17.87,26.21,40.84,33.96,21.6,16.88,2.74,-28.18,-14.01,-29.22,-29.67,-4.13,-18.77,14.95,3.11,18.0,4.45,-24.31,-2.72,-5.16,11.85,39.31,43.03,39.46,45.42,22.04,-4.12,-9.38,-30.68,-24.66,-12.98
Inne zobowiązania krótkoterminowe,,,,,,281.16,-34.17,-19.01,-78.43,-56.82,-71.16,-65.73,35.39,-25.93,-1198.92,97.44,-18.54,52.51,118.93,-21.04,44.63,-23.47,360.81,3.54,25.85,26.61,-90.74,-57.86,-59.05,69.38,11.78,58.34,31.56,-52.99,35.26,-21.87,16.41,-26.32,-13.08,28.15,62.81,122.4,82.03,47.48,-31.83,0.58,-2.81,51.16,32.46,65.79,17.4,-24.26,322.34,198.33,492.67,344.09,29.81,34.95,-48.74,-40.63,-51.76,-67.38,-38.16,-5.69,-4.41
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,575.15,,,,61.79,51.45,2.6,-8.96,-15.73,-9.21,-5.69,-3.22,4.39,6.38,6.7,5.71,3.55,-10.26,-16.38,-18.72,-16.35,-2.09,-20.97,-17.64,-18.98,-44.46,-35.25,-33.96,-33.13,-2.25,4.27,5.19,8.82,8.98,15.57,13.8,14.36,12.73,9.09,8.49,8.14,6.91,8.1,9.32,5.98,6.0,3.27,2.52,2.87,-6.25,-7.04,-2.16,2.2,17.61,23.47,24.19,25.71,23.58,11.02,3.93,-3.39,-9.38,-4.73,-3.41
Przepływy pieniężne z działalności operacyjnej,,784.52,,,,-127.86,-21.7,136.43,-27.76,240.06,-103.37,-41.15,-76.13,-127.05,1549.8,36.74,157.81,585.33,177.06,-17.19,13.84,-56.58,10.54,-4.46,-345.03,-48.33,-65.2,23.69,103.97,-180.41,-44.41,56.8,-169.11,110.62,-56.55,-104.49,1351.91,-8345.56,726.85,188.21,-38.39,81.59,-94.72,1765.89,-67.08,189.57,2330.2,-64.39,696.54,460.4,-60.11,132.46,-32.75,-45.4,-162.09,-65.63,-100.05,110.77,420.4,403.98,221133.33,-78.88,71.92,-56.63,-19.07
Amortyzacja,,18.71,,,,19.37,18.04,-3.61,-19.9,-23.5,-18.97,-22.83,48.13,-16.31,-16.31,-10.78,-52.19,10.22,8.55,36.65,36.41,-30.21,76.18,-3.64,-182.1,13.05,-62.88,-42.18,167.65,7.35,-18.33,25.51,33.1,5.63,47.14,3.72,39.44,31.33,47.54,30.35,3.84,6.0,11.29,19.11,11.67,18.37,54.84,-0.92,85.1,26.59,-18.78,18.1,-15.03,1.92,6.89,25.45,-16.7,26.97,27.87,23.85,48.02,11.5,0.93,3.79,-7.25
Przepływy pieniężne z działalności inwestycyjnej,,-8175.21,,,,116.08,87.94,91.38,111.48,-127.24,386.52,69.11,-273.09,58.25,-152.32,111.04,-157.42,-26.44,82.34,-868.22,79.24,9.64,34.47,-390.9,11347.93,31.85,-69.7,67.9,-101.05,1061.23,-1281.14,31.19,386.55,-120.92,74.02,-167.8,-235.4,425.24,12.4,136.54,54.59,-125.26,61.6,-234.72,20.02,-70.32,-180.12,32.72,-68.18,50.68,63.75,-184.86,-93.83,-125.76,-83.04,-128.95,112.36,-78.94,98.95,75.87,-212.66,87.71,-33475.76,49.22,-314.38
CAPEX (niematerialne i rzeczowe),,,,,,-62.47,41.81,-126.71,-102.51,269.69,-96.95,231.05,683.07,-61.41,2613.7,-105.23,237.36,25.06,-81.21,1000.49,-79.03,12.4,-38.71,379.78,-351.4,-44.95,64.81,-67.9,147.29,102.14,71.6,-31.19,376.39,48.84,125.18,160.89,-4.02,-67.0,6.08,-80.85,-52.23,81.9,-59.19,245.52,-28.34,74.96,147.27,-38.96,75.57,-43.25,-62.63,160.6,63.93,87.87,46.47,17.05,-110.48,45.31,-97.33,-57.42,224.64,-82.47,13800.0,-34.68,327.1
Przepływy pieniężne z działalności finansowej,,2549.24,,,,-99.76,-193.15,-110.84,-70.54,-1848.53,-23.1,-2.8,86.87,296.47,96.55,35.32,-261.69,-223.99,-1758.34,-132.3,-34.54,35.2,14.35,1095.48,-1599.99,72.72,-821.53,-108.54,103.87,-219.34,107.23,-24.29,-163.06,292.87,-81.78,164.92,22.13,-52.75,-519.49,-133.39,43.56,20.44,82.24,-122.77,107.29,-54.25,-1142.63,16.14,-8971.05,-165.96,105.12,-81.23,62.13,423.55,414.57,172.17,-40.04,-65.38,-276.33,-466.69,-76.06,-649.71,-129.98,47.93,27.64
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
