,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Koszty finansowe,,,,,,38.01,-45.06,34.11,-24.49,-24.53,-14.52,47.26,-6.13,-6.62,11.51,-8.77,0.32,2.19,55.59,-72.99,-4.53,-28.81,-53.55,206.09,1.87,9.46,-1.47,-9.83,-16.39,11.58,2.64,18.52,5.73,269.5,63.59,-213.42,41.77,-58.21,-13.15,224.76,-12.45,-39.69,-20.01,-31.29,-22.06,-2.77,-24.78,-32.02,31.06,167.42,19.91,17.06,-13.58,-76.41,-74.58,401.24,-70.07
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-106.72,-0.8,17.77,113.77,1.44,-69.73,-73.61,-95.28,7.23,120.85,28.69,20.03,50.94,-8.66,-19.86,-1028.06,-17.31,-18.71,15.58,30.79,-132.24,-61.58,-63.59,85.66,27.71,118.36,-35.97,-2803.89,45.57,-4.11,-295.69,-25.42,365.33,-9.18,180.78,87.78,-89.1,-12.25,-65.42,-131.59,-25.91,-164.77,-415.06,-46.73,135.89,-59.31,1016.99,-192.69,-494.5,388.7,-84.78,66.47,107.9
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-106.72,-0.8,17.77,113.77,1.44,-69.73,-73.61,-95.28,7.23,120.85,28.69,20.03,50.94,-8.66,-19.86,-1028.06,-17.31,-18.71,15.58,30.79,-132.24,-61.58,-63.59,85.66,27.71,118.36,-35.97,-2803.89,45.57,-4.11,-295.69,-25.42,365.33,-9.18,180.78,87.78,-89.1,-12.25,-65.42,-131.59,-25.91,-164.77,-415.06,-46.73,135.89,-59.31,1016.99,-192.69,-494.5,388.7,-84.78,66.47,107.9
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-105.46,-8.01,29.53,112.49,1.26,-74.1,-68.86,-75.02,5.64,151.02,11.7,-119.84,50.15,-18.3,-16.34,-1499.36,-11.59,-9.81,-4.78,-42.56,-133.67,-60.39,-58.83,90.77,32.97,88.59,8.02,-2052.06,45.33,-9.13,-208.08,-33.59,498.63,14.78,177.37,93.04,-86.88,-45.37,-51.31,-235.06,-33.54,-256.11,-374.97,-27.01,124.64,-11.96,1102.28,-303.96,-441.56,381.41,-85.22,66.77,101.76
Zysk netto akcjonariuszy jednostki dominującej,,,,,-105.46,-8.01,29.53,112.49,1.26,-74.1,-68.86,-75.02,5.64,151.02,11.7,-119.84,50.15,-18.3,-16.34,-1499.36,-11.59,-9.81,-4.78,-42.56,-133.67,-60.39,-58.83,90.77,32.97,88.59,8.02,-2052.06,45.33,-9.13,-208.08,-33.59,498.63,14.78,177.37,93.04,-86.88,-45.37,-51.31,-235.06,-33.54,-256.11,-374.97,-27.01,124.64,-11.96,1102.28,-303.96,-441.56,381.41,-85.22,66.77,101.76
Aktywa trwałe,,,,,7.5,,,4.69,5.98,4.38,1.87,0.0,-2.09,-3.42,-4.36,-5.49,-6.14,-4.26,-3.79,8.28,9.96,10.16,10.1,-1.24,-0.55,-1.46,-2.44,-4.12,-4.74,-3.53,-2.08,-1.49,-0.78,-1.13,-1.35,-11.27,-2.0,3.66,4.1,11.31,-0.49,-7.43,-7.67,-3.33,-1.52,0.42,2.21,-0.01,-4.48,-20.04,-20.58,-25.09,-27.48,-29.73,-31.92,-29.7,-36.11
Wartości niematerialne i prawne,,,,,-4.3,,,-3.5,-3.7,-3.96,-3.59,-4.07,-5.21,7.44,7.06,6.58,9.28,-5.33,-16.17,-17.04,-18.43,-17.4,-6.84,-6.13,-5.41,-5.2,-5.06,-5.38,-5.1,-6.43,-6.68,-1.68,-2.44,3.32,5.83,-10.27,-10.51,-6.72,-8.33,3.99,4.18,-3.66,-4.4,-5.45,-5.88,-4.41,-3.09,-3.34,-3.6,-43.15,-8.15,-39.81,-35.99,-22.15,-56.58,-28.41,-32.96
Rzeczowe składniki majątku trwałego,,,,,13.49,,,9.14,10.32,7.84,4.05,-0.55,-3.84,-8.28,-9.67,-9.92,-10.71,-4.57,1.03,17.19,20.56,18.97,14.07,-1.38,-0.84,-1.39,-3.13,-3.66,-5.13,-2.0,-0.22,-0.05,2.01,-0.71,-1.7,-10.46,2.28,7.62,7.57,15.18,-1.05,-6.19,-5.25,-2.59,0.32,0.99,2.78,-0.59,-5.72,-17.15,-25.34,-24.9,-28.99,-33.41,-28.04,-30.35,-36.63
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-3.84,,,-20.49,-6.97,-3.58,-3.83,49.63,56.99,26.22,31.91,3.51,-11.37,7.53,-4.71,20.07,17.91,34.52,33.65,20.17,20.89,10.39,16.79,-5.71,0.61,-12.71,-10.02,-18.51,-25.46,-20.45,-18.85,-27.26,-33.37,-18.06,-0.08,-26.41,-10.18,-51.4,-60.24,-11.14,-22.42,21.75,26.26,41.69,28.3,48.64,49.94,40.3,49.0,18.96,7.67,-24.62,-37.07
Aktywa obrotowe,,,,,-18.13,,,2.72,-0.54,18.78,10.27,-20.95,-16.42,-4.82,4.17,31.6,53.13,20.92,16.62,8.01,16.16,6.82,2.44,-5.16,-17.56,-9.18,-8.84,3.96,8.83,10.74,9.52,-27.04,-31.12,-42.94,-48.63,-29.11,-36.92,-17.1,-1.91,6.05,36.88,24.94,18.01,18.02,15.02,1.65,1.36,-10.18,-5.32,29.22,-0.63,-22.41,-25.84,-38.88,-36.56,-33.86,-26.59
Zapasy,,,,,-26.76,,,37.5,46.24,54.59,49.14,-2.02,-5.6,1.21,19.86,56.31,53.86,26.57,17.39,15.25,7.7,23.16,11.07,-4.49,-7.24,-21.65,-13.29,4.46,13.64,15.68,18.15,-43.42,-41.67,-49.63,-54.91,-43.33,-33.23,-2.1,17.18,61.03,34.9,26.5,20.96,16.96,26.74,-2.53,-6.05,-19.25,-10.63,-5.98,-11.04,-14.52,-30.61,-23.5,-30.34,-21.57,-27.8
Należności krótkoterminowe,,,,,62.74,,,71.57,11.13,-1.49,-14.03,-31.38,-27.7,-7.93,-3.03,14.05,46.63,17.96,19.66,-31.31,21.82,-15.52,-17.11,-4.31,-40.06,-3.6,-5.26,1.79,-0.16,9.92,3.06,10.58,-23.66,-47.22,-51.59,-63.92,-52.09,-31.81,-7.26,65.13,80.69,35.09,15.17,15.33,15.71,17.61,13.76,15.45,7.67,-5.92,-16.66,-30.56,-48.81,-34.6,-20.33,-44.25,2.54
Inwestycje krótkoterminowe,,,,,-48.87,,,-90.02,-74.75,-88.57,-75.4,-30.27,-98.51,2018.75,-50.81,-92.52,-87.06,-98.56,834.97,300.9,1118.18,418.18,-36.29,-21.44,90.3,600.44,-53.49,547.56,65.49,4.2,149.7,-76.19,-17.3,-60.7,-50.39,-84.9,-83.38,-49.69,-34.87,45.06,2312.07,291.79,-44.74,2002.98,-60.33,36.46,190.27,-49.55,104.68,-67.99,1925.76,-51.87,-31.78,439.61,-91.14,-22.25,625.81
Środki pieniężne i inne aktywa pieniężne,,,,,-51.24,,,-90.02,-93.34,-88.57,-75.4,-30.27,-94.08,2018.75,-50.81,-92.52,-87.06,-98.56,834.97,300.9,1118.18,418.18,-36.29,-21.44,90.3,600.44,-53.49,547.56,65.49,4.2,149.7,-76.19,-17.3,-60.7,-50.39,-84.9,-83.38,-49.69,-34.87,45.06,2312.07,291.79,-44.74,2002.98,-60.33,36.46,190.27,-49.55,104.68,-67.99,1925.76,-51.87,-31.78,439.61,-91.14,-22.25,625.81
Pozostałe aktywa obrotowe,,,,,-13.47,,,36.44,-76.65,46.74,136.58,-59.47,232.74,-68.7,-36.31,113.88,88.98,118.73,-49.02,646.63,64.28,80.72,278.76,-9.09,1.71,69.63,9.54,-17.0,0.85,-9.83,-17.46,-13.28,17.58,22.99,21.07,-26.99,-26.25,-24.24,-47.63,-3.13,-7.73,-6.67,12.87,-25.56,-24.36,-26.64,-0.15,-20.35,-11.38,-17.72,-28.87,-17.94,-32.21,-11.89,-37.93,-82.52,-63.09
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,-75.69,,,-100.0
Aktywa razem,,,,,-1.13,,,4.08,4.16,8.66,4.35,-6.44,-5.91,-3.87,-1.69,4.14,7.88,3.84,2.97,8.19,12.05,8.91,7.23,-2.53,-6.47,-4.3,-4.73,-1.54,-0.58,1.45,1.89,-10.09,-10.97,-17.05,-18.77,-16.14,-11.07,-1.78,2.7,10.1,6.4,-0.28,-1.96,1.42,2.4,0.76,1.98,-2.64,-4.71,-6.28,-15.27,-24.45,-27.05,-33.26,-33.37,-30.72,-33.54
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-6.19,-6.74,-4.42,-2.12,16.7,1.71,-4.39,-7.43,-7.49,4.2,4.39,2.97,3.62,4.06,3.45,4.18,5.33,2.69,2.08,-7.1,-9.69,-9.99,-10.55,-2.43,-0.83,1.03,1.01,-22.66,-21.99,-22.66,-24.77,-19.89,-9.16,-8.27,-5.49,14.59,4.56,2.93,2.1,-1.15,-1.55,-5.56,-7.89,-9.54,-8.42,-8.95,11.58,-7.85,-16.76,-5.08,-18.6,-7.43,0.52
Kapitał (fundusz) podstawowy,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,0.0,,,-1.68,-1.68,38.87,38.94,38.94,38.87,13.46,13.4,13.4,13.46,14.42,17.86,18.41,18.41,17.13,13.71,8.83,8.83,2.42,2.42,6.52,6.52,3.42,3.42,3.42,3.42,-3.52,-3.52,-3.52,-3.52,-17.11,-17.11,-17.11,-17.11,0.0,26.23,32.31,32.31,23.23,-2.38,7.19,7.19,13.39,13.39,-1.48,-1.48,-16.86,-16.86,-33.07,-33.07
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-10.41,,,-4.54,-4.65,-9.6,-8.69,-10.44,-10.92,-2.88,-0.35,-6.13,-3.11,-10.2,-2.25,19.37,20.52,22.58,9.48,-6.51,-6.78,-10.31,-12.38,-26.22,-13.63,-23.52,-20.56,-75.94,-9.35,-74.68,-74.54,4.08,-38.98,198.88,190.94,146.5,-7.16,-23.46,-24.78,-14.17,1.01,5.46,20.51,4.19,-24.61,-26.05,-32.18,-22.35,-15.25,-50.33,-50.99,-52.38,-38.26
Z tytułu dostaw i usług,,,,,58.01,,,105.91,50.97,15.1,18.93,-24.36,-10.95,-15.9,-7.99,13.5,82.27,38.83,25.29,-0.11,5.76,2.58,-3.03,24.92,-3.48,7.16,23.58,7.69,5.5,-9.03,-13.51,-7.73,-12.34,-28.38,-36.63,-36.8,-36.91,-11.18,14.19,8.73,35.96,20.52,9.18,23.28,18.12,9.05,10.89,5.7,9.44,17.44,4.09,-2.13,-19.33,-33.33,-46.11,-48.8,-63.67
Kredyty i pożyczki,,,,,-69.83,,,-49.93,149.87,62.15,46.0,347.96,34.68,11.84,22.61,14.53,-17.11,-3.83,-28.38,23.52,22.79,8.01,67.43,-6.69,-2.72,9.78,6.93,60.89,29.01,56.44,59.01,102.13,13.95,91.65,86.29,-5.78,35.67,-33.01,-28.76,-27.2,-0.05,-0.76,-0.74,-5.73,-2.2,-4.98,-7.28,-5.05,-8.28,-8.41,-100.0,-100.0,-69.33,-99.2,,,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,-19.12,,-22.13,,-4.6,-4.6,31.39,54.48,450.17,411.15,280.93,221.95,-17.01,-7.64,-9.13,-90.43,-89.28,-87.64,10.39,985.87,850.52,686.46,-12.09,-22.38,-51.7,-55.39,-62.23,-98.62
Inne zobowiązania długoterminowe,,,,,10.61,,,3.77,3.85,3.0,3.0,-0.59,-2.25,2.51,0.79,-1.71,-0.04,-0.23,18.96,26.28,24.85,45.26,7.45,-1.53,-0.18,-15.98,-6.69,-5.12,1.85,-9.2,-12.15,-5.63,-9.84,-12.31,5.44,8.17,-12.25,9.31,-5.94,-18.82,0.03,-9.0,-5.64,0.22,255.08,266.67,301.21,-0.11,-74.73,-74.1,-77.68,-18.69,155.92,-50.45,-18.23,-18.21,-77.99
Zobowiązania krótkoterminowe,,,,,34.53,,,53.04,-14.85,52.51,52.25,2.04,6.62,-19.07,-15.35,19.65,33.52,17.14,7.24,7.57,19.62,11.28,17.63,12.4,0.15,11.4,14.39,21.42,10.64,18.78,18.67,44.03,5.54,15.01,15.13,-14.75,2.12,-15.14,-8.74,-8.0,12.81,4.44,1.51,8.4,6.62,5.47,7.03,2.02,3.75,0.77,-32.89,-38.18,-37.4,-51.3,-48.85,-52.13,-68.2
Inne zobowiązania krótkoterminowe,,,,,490.59,,,-94.5,-99.39,4291.76,990.84,31.3,-33.47,-68.93,-74.49,1327.24,4.29,-73.93,-13.09,12.97,4711.18,468.78,135.78,-7.3,42.29,27.19,-22.16,-67.38,-13.16,116.0,160.34,883.56,73.97,-10.58,20.75,24.07,37.27,16.81,-5.02,8.94,-12.15,-3.68,-4.92,26.22,46.84,54.19,72.35,7.81,-9.06,-29.94,-6.14,2.49,-17.72,-0.14,-52.09,-56.42,-44.39
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,-1.13,76.42,68.34,4.08,4.16,8.66,4.35,-6.44,-5.91,-3.87,-1.69,4.14,7.88,3.84,2.97,8.19,12.05,8.91,7.23,-2.53,-6.47,-4.3,-4.73,-1.54,-0.58,1.45,1.89,-10.09,-10.97,-17.05,-18.77,-16.14,-11.07,-1.78,2.7,10.1,6.4,-0.28,-1.96,1.42,2.4,0.76,1.98,-2.64,-4.71,-6.28,-15.27,-24.45,-27.05,-33.26,-33.37,-30.72,-33.54
Przepływy pieniężne z działalności operacyjnej,,,,,-239.82,81.78,-29.9,-54.16,-21.05,-77.5,15.34,105.9,36.93,28.17,-90.26,-46.49,128.78,-42.08,854.32,-97.71,-261.71,330.3,-40.95,6238.76,102.02,-25.53,14.44,-63.93,-8290.11,-19.49,-12.19,46.03,42.52,-24.41,-25.09,-17.03,-76.33,-7.23,-87.45,-42.34,201.97,-59.47,642.04,152.39,-109.85,53.58,-2.34,-35.59,935.31,-69.24,86.38,-132.44,-248.71,-1778.48,-287.47,187.89,-93.26
Amortyzacja,,,,,,-7.8,11.58,7.16,1.81,1.0,-7.97,77.23,27.54,38.55,46.27,-29.44,1.25,9.22,2.83,16.19,-3.92,20.8,2.54,23.41,9.61,-3.38,5.3,-17.72,-9.03,8.92,3.2,21.75,-53.48,-58.32,-65.52,-47.55,0.0,95.24,98.37,-11.35,69.47,-27.21,3.05,43.28,10.59,17.83,31.38,5.6,18.45,-33.04,-46.95,70.19,-17.0,27.26,-19.84,-57.43,-27.65
Przepływy pieniężne z działalności inwestycyjnej,,,,,96.0,-575.57,-667.09,81.22,12.89,-52.54,46.0,42.32,55.97,83.31,42.54,11.25,-34.89,-52.72,-71.53,-861.58,35.32,-398.26,100.94,32.78,-87.34,-1.25,-7611.36,82.19,53.88,62.89,-49.08,-153.29,84.18,8.62,108.48,89.96,13805.38,-9.86,-298.8,9.02,-102.99,-17.4,-363.3,-187.25,-88.65,2.34,69.64,-56.9,63.0,48.23,5598.8,44.25,-190.19,1290.81,-70.86,185.17,1332.84
CAPEX (niematerialne i rzeczowe),,,,,,,365.9,-77.49,-12.43,61.55,-45.86,-30.66,-56.2,-81.02,-42.62,-32.2,34.89,80.46,72.66,872.13,-35.32,287.74,-100.81,-43.97,89.75,-1.52,8574.36,-78.27,-54.47,-49.02,94.04,149.44,-77.13,-23.92,-98.89,-89.85,122.61,-100.0,5898.59,1.53,27.36,,-9.6,215.16,88.65,-2.34,-69.64,26.52,-61.16,-49.48,23.7,-22.03,176.44,-175.63,-37.0,-85.81,-73.51
Przepływy pieniężne z działalności finansowej,,,,,-101.31,,,84.16,801.36,96.38,-229.2,-299.51,-48.59,-120.7,83.02,68.41,-100.65,17.17,-326.78,448.65,9703.39,-298.08,-7.16,-119.28,-46.51,53.8,5.08,85.54,65.32,-36.61,53.7,-453.69,-23.77,21.15,-108.15,-141.18,-837.8,14.34,103.57,46.23,80.58,97.16,-1214.49,-41.43,70.45,-297.74,-109.01,45.39,-329.99,8.7,-1123.07,-98.56,260.52,1805.8,95.17,42.95,-133.19
Emisja akcji,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,-57.77,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-147.26,-253.54,-98.61,108.21,86.6,93.63,-9.52,-5.21,-2.43,329.49,-1357.89,100.15,92.71,-98.92,158.12,-115.99,-259.81,190.62,-48.23,52.42,41.09,1344.09,-226.07,1117.81,-822.35,-7.52,63.6,-104.88,82.28,-75.36,92.93,-138.46,85.64,-11.44,385.71,62.58,1219.23,-140.59,-1428.75,2810.34,-476.89,1194.55,-3.76,-61.05,69.07,-147.59,1253.67,-758.03,68.61,495.11,-114.62,97.97,1201.41
