,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Koszty finansowe,486.0,864.0,445.0,555.0,923.0,407.0,581.0,133.0,310.0,553.0,630.0,-164.0,522.0,968.0,782.0,-168.0,403.0,661.0,244.0,118.0,490.0,759.0,259.0,490.0,704.0,806.0,145.0,636.0,915.0,594.0,267.0,194.0,605.0,1138.0,549.0,873.0,2233.0,6017.0,1025.0,1431.0,2542.0,13216.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,6903.0,10019.0,5185.0,5285.0,10053.0,7263.0,4975.0,3961.0,11057.0,9559.0,4268.0,5310.0,10397.0,5929.0,4249.0,3904.0,10038.0,3135.0,1685.0,3102.0,11427.0,5539.0,-3029.0,9215.0,8999.0,-74849.0,-1322.0,-6381.0,4976.0,7492.0,-2754.0,-1343.0,3964.0,6083.0,-2084.0,2791.0,13248.0,-3151.0,-5474.0,-6450.0,1979.0,-25449.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,6903.0,10019.0,5185.0,5285.0,10053.0,7263.0,4975.0,3961.0,11057.0,9559.0,4268.0,5310.0,10397.0,5929.0,4249.0,3904.0,10038.0,3135.0,1685.0,3102.0,11427.0,5539.0,-3029.0,9215.0,8999.0,-74849.0,-1322.0,-6381.0,4976.0,7492.0,-2754.0,-1343.0,3964.0,6083.0,-2084.0,2791.0,13248.0,-3151.0,-5474.0,-6450.0,1979.0,-25449.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5602.0,8464.0,4181.0,4254.0,7768.0,6206.0,3986.0,3180.0,8941.0,7742.0,3426.0,4256.0,8404.0,4789.0,3415.0,3142.0,8091.0,2563.0,1368.0,2477.0,9252.0,4463.0,-2476.0,7439.0,7169.0,-67710.0,-1082.0,-5625.0,4019.0,5722.0,-2249.0,-1107.0,3198.0,4944.0,-1711.0,2255.0,10481.0,-2695.0,-4455.0,-6638.0,2270.0,-30204.0
Zysk netto akcjonariuszy jednostki dominującej,5602.0,8464.0,4181.0,4254.0,7768.0,6206.0,3986.0,3180.0,8941.0,7742.0,3426.0,4256.0,8404.0,4789.0,3415.0,3142.0,8091.0,2563.0,1368.0,2477.0,9252.0,4463.0,-2476.0,7439.0,7169.0,-67710.0,-1082.0,-5625.0,4019.0,5722.0,-2249.0,-1107.0,3198.0,4944.0,-1711.0,2255.0,10481.0,-2695.0,-4455.0,-6638.0,2270.0,-30204.0
Aktywa trwałe,33349.0,34944.0,35125.0,34747.0,34334.0,34525.0,38767.0,42033.0,43566.0,45056.0,44460.0,45079.0,45624.0,47015.0,47243.0,56496.0,66311.0,70912.0,71721.0,78532.0,92772.0,119176.0,123460.0,122665.0,123066.0,44910.0,47243.0,42475.0,42100.0,40329.0,40638.0,39158.0,38589.0,37296.0,37511.0,36625.0,36834.0,36017.0,37107.0,36251.0,36505.0,31748.0
Wartości niematerialne i prawne,717.0,684.0,652.0,623.0,607.0,575.0,543.0,512.0,481.0,450.0,419.0,388.0,357.0,329.0,301.0,273.0,251.0,235.0,219.0,208.0,198.0,559.0,530.0,502.0,474.0,1499.0,1418.0,1337.0,1257.0,1176.0,1095.0,1058.0,975.0,892.0,889.0,827.0,779.0,693.0,608.0,523.0,438.0,353.0
Rzeczowe składniki majątku trwałego,31452.0,32818.0,33037.0,33121.0,32710.0,32748.0,36954.0,40077.0,41618.0,43018.0,42284.0,43265.0,43716.0,45162.0,45345.0,54910.0,64777.0,68908.0,69742.0,76883.0,91199.0,117431.0,121222.0,120970.0,121258.0,34690.0,36426.0,31278.0,31788.0,30052.0,29955.0,28488.0,28586.0,27274.0,27010.0,26493.0,26797.0,25858.0,25820.0,25403.0,25432.0,25460.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,1180.0,1442.0,1436.0,1003.0,1017.0,1202.0,1270.0,1444.0,1467.0,1588.0,1757.0,1426.0,1551.0,1524.0,1597.0,1313.0,1283.0,1769.0,1760.0,1441.0,1375.0,1186.0,1708.0,1193.0,1334.0,8721.0,9399.0,116331.0,9055.0,9101.0,9588.0,9612.0,9028.0,9130.0,9612.0,9305.0,9258.0,9466.0,10679.0,10325.0,10635.0,5935.0
Aktywa obrotowe,96406.0,107199.0,59780.0,79695.0,102110.0,89484.0,62973.0,80617.0,97788.0,90505.0,74859.0,83950.0,124019.0,92969.0,69524.0,107612.0,129713.0,99615.0,79150.0,103455.0,138795.0,79438.0,80699.0,112908.0,136207.0,80059.0,87025.0,116331.0,150259.0,96556.0,98060.0,126707.0,162435.0,104668.0,133761.0,184959.0,220138.0,107754.0,127367.0,188607.0,166113.0,80065.0
Zapasy,53728.0,24048.0,39831.0,55654.0,51668.0,38639.0,33928.0,54640.0,54306.0,31542.0,46238.0,55885.0,56186.0,34086.0,39423.0,68948.0,54726.0,41119.0,48491.0,67819.0,57664.0,49036.0,49803.0,72489.0,51766.0,28139.0,30552.0,57892.0,51029.0,26465.0,37328.0,68776.0,80973.0,39551.0,79416.0,110725.0,82083.0,53249.0,74650.0,128909.0,89343.0,35914.0
Należności krótkoterminowe,38256.0,80519.0,17653.0,21331.0,47506.0,50394.0,20111.0,21701.0,41850.0,57051.0,20103.0,26417.0,64303.0,56202.0,25532.0,33838.0,70932.0,56343.0,27695.0,33242.0,76683.0,26076.0,17317.0,28527.0,75946.0,35071.0,36329.0,42340.0,86100.0,44802.0,43907.0,44502.0,63897.0,40167.0,41462.0,57464.0,125946.0,40528.0,38639.0,47245.0,63822.0,28895.0
Inwestycje krótkoterminowe,3773.0,2420.0,959.0,1686.0,2183.0,240.0,7672.0,3069.0,836.0,1672.0,6908.0,476.0,2697.0,2349.0,3133.0,3338.0,2961.0,1823.0,1354.0,1143.0,3554.0,4007.0,12087.0,10690.0,7699.0,6194.0,8201.0,4261.0,1741.0,14515.0,4519.0,1511.0,6175.0,13843.0,263.0,4379.0,281.0,3151.0,1846.0,340.0,1293.0,3783.0
Środki pieniężne i inne aktywa pieniężne,3773.0,2420.0,959.0,1686.0,2173.0,240.0,7672.0,3069.0,836.0,1672.0,6908.0,474.0,2663.0,2439.0,3022.0,3338.0,2961.0,1823.0,1354.0,1143.0,3554.0,4007.0,12087.0,10690.0,7699.0,6194.0,8201.0,4261.0,1741.0,14515.0,4519.0,1511.0,6175.0,13843.0,263.0,4379.0,281.0,3151.0,1846.0,340.0,1293.0,3783.0
Pozostałe aktywa obrotowe,649.0,212.0,1337.0,1024.0,753.0,211.0,1262.0,1207.0,796.0,240.0,1610.0,1172.0,833.0,332.0,1436.0,1488.0,1094.0,330.0,1610.0,1251.0,894.0,319.0,1492.0,1202.0,796.0,10655.0,11943.0,11838.0,11389.0,10774.0,12306.0,11918.0,11390.0,11107.0,12620.0,12391.0,11828.0,10826.0,12232.0,12113.0,11655.0,11473.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,129755.0,142143.0,94905.0,114442.0,136444.0,124009.0,101740.0,122650.0,141354.0,135561.0,119319.0,129029.0,169643.0,139984.0,116767.0,164108.0,196024.0,170527.0,150871.0,181987.0,231567.0,198614.0,204159.0,235573.0,259273.0,124969.0,134268.0,158806.0,192359.0,136885.0,138698.0,165865.0,201024.0,141964.0,171272.0,221584.0,256972.0,143771.0,164474.0,224858.0,202618.0,111813.0
Kapitał własny akcjonariuszy jednostki dominującej,44549.0,53013.0,47194.0,51448.0,59216.0,65438.0,69424.0,60320.0,69261.0,77003.0,80428.0,73937.0,82341.0,87130.0,90545.0,93686.0,101778.0,104340.0,105708.0,108186.0,117437.0,121901.0,119424.0,126864.0,134033.0,66323.0,65240.0,59615.0,63634.0,88788.0,86539.0,85432.0,88630.0,93574.0,91863.0,91646.0,102127.0,99432.0,94977.0,82159.0,84429.0,54225.0
Kapitał (fundusz) podstawowy,500.0,500.0,500.0,500.0,500.0,500.0,504.0,508.0,508.0,508.0,508.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0,1545.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,27445.0,27445.0,37413.0,37413.0,37413.0,37425.0,37425.0,47546.0,47546.0,47546.0,47545.0,60640.0,60640.0,60640.0,60640.0,81514.0,81514.0,81514.0,81514.0,98726.0,98725.0,98726.0,98725.0,116286.0,116286.0,116286.0,116285.0,60707.0,60707.0,79109.0,79109.0,82143.0,82143.0,82143.0,82143.0,84457.0,84457.0,89557.0,89557.0,91707.0,91707.0,51007.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,14382.0,10450.0,9044.0,7636.0,6229.0,4821.0,3411.0,2000.0,589.0,509.0,469.0,438.0,397.0,354.0,412.0,7155.0,7384.0,13879.0,13864.0,479.0,409.0,339.0,273.0,216.0,168.0,151.0,135.0,118.0,230.0,237.0,188.0,139.0,115.0,90.0,66.0,16.0,10.0,5.0,2.0,0.0,0.0,761.0
Z tytułu dostaw i usług,0.0,12758.0,0.0,16140.0,0.0,12313.0,0.0,0.0,0.0,14333.0,0.0,0.0,0.0,12497.0,0.0,0.0,0.0,21070.0,0.0,0.0,0.0,14491.0,0.0,0.0,0.0,3551.0,0.0,0.0,0.0,5796.0,0.0,0.0,0.0,6057.0,0.0,0.0,0.0,13268.0,0.0,0.0,0.0,4813.0
Kredyty i pożyczki,0.0,56952.0,0.0,32557.0,0.0,34307.0,0.0,0.0,0.0,31735.0,0.0,0.0,0.0,27269.0,0.0,0.0,0.0,18485.0,0.0,0.0,0.0,36831.0,0.0,0.0,0.0,36267.0,0.0,0.0,0.0,20192.0,0.0,0.0,0.0,15154.0,0.0,0.0,0.0,11113.0,0.0,0.0,0.0,6674.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,75.0,0.0,37.0,0.0,41.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,324.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,66403.0,73898.0,33561.0,51562.0,67041.0,48405.0,23331.0,51375.0,62335.0,48478.0,28514.0,46209.0,78312.0,43772.0,16480.0,55742.0,79485.0,44621.0,23248.0,65877.0,106902.0,70412.0,78500.0,102430.0,119153.0,52627.0,62227.0,92803.0,122215.0,41723.0,45924.0,74396.0,106600.0,43184.0,73936.0,124607.0,149759.0,38121.0,63070.0,137876.0,113658.0,28042.0
Inne zobowiązania krótkoterminowe,0.0,4113.0,0.0,2828.0,0.0,1744.0,0.0,0.0,0.0,2205.0,0.0,0.0,0.0,3743.0,0.0,0.0,0.0,4637.0,0.0,0.0,0.0,18785.0,0.0,0.0,0.0,12604.0,0.0,0.0,0.0,15549.0,0.0,0.0,0.0,21836.0,0.0,0.0,0.0,13704.0,0.0,0.0,0.0,16231.0
Rozliczenia międzyokresowe,4421.0,4782.0,5106.0,3796.0,3958.0,5345.0,5574.0,8955.0,9169.0,9571.0,9908.0,8445.0,8593.0,8728.0,9330.0,7525.0,7377.0,7687.0,8051.0,7445.0,6819.0,5962.0,5962.0,6063.0,5919.0,5868.0,6666.0,6270.0,6280.0,6137.0,6047.0,5898.0,5679.0,5116.0,5407.0,5315.0,5076.0,6213.0,6425.0,4823.0,4531.0,28785.0
Pasywa razem,129755.0,142143.0,94905.0,114442.0,136444.0,124009.0,101740.0,122650.0,141354.0,135561.0,119319.0,129029.0,169643.0,139984.0,116767.0,164108.0,196024.0,170527.0,150871.0,181987.0,231567.0,198614.0,204159.0,235573.0,259273.0,124969.0,134268.0,158806.0,192359.0,136885.0,138698.0,165865.0,201024.0,141964.0,171272.0,221584.0,256972.0,143771.0,164474.0,224858.0,202618.0,111813.0
Przepływy pieniężne z działalności operacyjnej,-9815.0,-10301.0,51070.0,-10505.0,-13092.0,14288.0,41387.0,-5983.0,-15621.0,11937.0,33271.0,-13839.0,-28196.0,30095.0,30278.0,-16519.0,-25086.0,36731.0,20887.0,-17636.0,-19915.0,57193.0,2054.0,-19934.0,-25673.0,62351.0,4621.0,-35971.0,-21956.0,65349.0,-8244.0,-28231.0,-19762.0,64217.0,-34908.0,-35681.0,-22466.0,98027.0,-22089.0,-69238.0,27478.0,83145.0
Amortyzacja,696.0,588.0,622.0,777.0,841.0,839.0,864.0,1136.0,1114.0,1138.0,1164.0,1159.0,1126.0,1163.0,1179.0,1200.0,1203.0,1229.0,1223.0,1233.0,1232.0,1210.0,1216.0,1075.0,1001.0,934.0,952.0,924.0,920.0,880.0,899.0,862.0,871.0,828.0,832.0,840.0,799.0,780.0,775.0,768.0,772.0,815.0
Przepływy pieniężne z działalności inwestycyjnej,-5705.0,-1571.0,-2540.0,-1071.0,163.0,-834.0,-3499.0,6230.0,-10387.0,-1961.0,5213.0,-7316.0,-1508.0,-1150.0,-2361.0,-9050.0,-5011.0,-13429.0,-2736.0,-6331.0,-8198.0,-23836.0,-5945.0,-1039.0,-479.0,-7161.0,-1185.0,-581.0,-893.0,-493.0,-344.0,-408.0,-471.0,-417.0,-326.0,-691.0,-519.0,-409.0,-480.0,-348.0,-648.0,-203.0
CAPEX (niematerialne i rzeczowe),7989.0,1642.0,2252.0,1450.0,389.0,916.0,1109.0,6608.0,-48.0,1904.0,371.0,1925.0,1207.0,1503.0,1736.0,2046.0,-1682.0,10740.0,2716.0,2119.0,8338.0,26066.0,5946.0,1042.0,479.0,7393.0,1185.0,588.0,833.0,580.0,590.0,743.0,447.0,441.0,308.0,813.0,506.0,409.0,696.0,557.0,658.0,203.0
Przepływy pieniężne z działalności finansowej,15791.0,10463.0,-50017.0,12293.0,13426.0,-15391.0,-30506.0,5614.0,13369.0,-9104.0,-27725.0,9148.0,31893.0,-29262.0,-27203.0,25857.0,29701.0,-24409.0,-18640.0,23756.0,30525.0,-32904.0,11967.0,19591.0,23152.0,-56690.0,-1441.0,32615.0,20335.0,-52103.0,-1394.0,25634.0,24880.0,-56112.0,21649.0,40497.0,18841.0,-94706.0,21149.0,68192.0,-25881.0,-80450.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,2000.0,0.0,0.0,10000.0,0.0,0.0,0.0,12300.0,0.0,0.0,0.0,10775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,271.0,-1409.0,-1487.0,717.0,497.0,-1937.0,7382.0,5861.0,-12639.0,872.0,10759.0,-12007.0,2189.0,-317.0,714.0,288.0,-396.0,-1107.0,-489.0,-211.0,2412.0,453.0,8076.0,-1382.0,-3000.0,-1500.0,1995.0,-3937.0,-2514.0,12753.0,-9982.0,-3005.0,4647.0,7688.0,-13585.0,4125.0,-4144.0,2912.0,-1420.0,-1394.0,949.0,2492.0
