,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Koszty finansowe,,,,,-229.67,792.65,248.19,14646.67,824.3,-77.99,-9.94,-90.16,-93.23,36.57,-8.4,231.46,3088.28,-109.14,165.86,-24.33,-91.19,2151.03,-53.36,351.84,206.36,56.34,57.52,-3.84,126.14,-56.86,47.72,-63.74,-44.76,24.59,-2.99,53.2,-107.23,33.61,72.77,-59.19,-166.57,120.02,-65.4,1578.53,87.91,-22.38,49.14,-64.05,12653.24,2.41,186.99,-19.26,-51.59,-38.7,109.51,-82.87,482.73,116.51,-32.25,3561.86,179.84,-357.53,16.35,-5.45,-45.08,155.16
Pozostałe przychody (koszty),,,,,33.33,1300.0,-65.91,7.69,-120.83,-25.0,6.67,142.86,420.0,988.89,506.25,364.71,5512.5,1631.63,1963.92,1353.16,174.83,5.07,19.33,33.23,14.22,129.61,15.99,-24.19,66.9,1.25,11.87,88.79,-48.52,-7.43,-12.65,20.03,20.48,11.78,31.98,-4.26,50.86,-29.87,8.98,-34.49,-35.82,2.26,-25.7,-1.91,11.82,4.26,19.8,11.75,33.52,13.53,0.23,26.52,-1.16,-7.0,-0.69,-3.52,27.56,46.81,71.81,63.29,44.83,35.35
Zysk z działalności gospodarczej,,,,,83.05,-82.99,-16.7,-117.4,-184.65,-260.49,-37.65,687.97,162.24,7111.66,540.61,542.81,714.25,-47.19,99.65,-3.46,-80.47,-92.26,103.43,219.47,-144.19,-672.58,-61.02,-71.72,86.09,124.69,97.72,69.58,6547.03,846.87,6.52,-64.39,-95.49,-78.24,-16.36,100.12,2053.7,-33.71,-25.67,-155.01,-221.52,-101.69,68.72,262.83,165.37,-7224.28,-35.91,-45.38,-33.87,477.38,-48.36,242.15,-35.0,165.5,725.89,350.44,-237.1,-463.67,-153.48,-174.11,-1583.44,-13.96
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,83.05,-82.99,-16.7,-117.4,-184.65,-260.49,-37.65,687.97,162.24,7111.66,540.61,542.81,714.25,-47.19,99.65,-3.46,-80.47,-92.26,103.43,219.47,-144.19,-672.58,-61.02,-71.72,86.09,124.69,97.72,69.58,6547.03,846.87,6.52,-64.39,-95.49,-78.24,-16.36,100.12,2053.7,-33.71,-25.67,-155.01,-221.52,-101.69,68.72,262.83,165.37,-7224.28,-35.91,-45.38,-33.87,477.38,-48.36,242.15,-35.0,165.5,725.89,350.44,-237.1,-463.67,-153.48,-174.11,-1583.44,-13.96
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31,-34.29,-25.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,108.79,-58.03,-18.14,-107.53,-200.75,-75.54,-37.26,1540.39,149.43,24006.6,553.5,510.14,773.24,-45.35,93.57,-2.25,-82.47,-88.49,128.54,287.38,-98.95,-354.31,-63.61,-76.3,4100.0,137.45,104.77,77.89,817.28,610.23,0.38,-68.04,-111.91,-80.66,-18.54,163.04,872.29,21.22,-24.83,-149.76,-254.75,-100.01,71.76,213.51,152.19,-1608300.0,-39.35,-63.55,-32.79,291.34,-56.15,538.83,-65.9,296.42,927.48,376.4,-667.86,-378.36,-162.93,-167.92,-836.8,-42.19
Zysk netto akcjonariuszy jednostki dominującej,,,,,108.98,-69.58,-18.08,-100.01,-164.04,-326.65,-37.22,1548300.0,177.72,3616.89,382.21,302.2,661.02,-33.66,136.86,43.63,-88.35,-86.34,134.42,289.87,-131.57,-241.22,-64.11,-79.14,222.14,140.45,102.9,74.08,1538.98,638.62,-1.36,-72.55,-89.57,-78.57,-17.13,215.79,773.87,89.66,-23.83,-143.99,-257.46,-115.36,71.45,240.82,156.55,-497.2,-38.72,-78.57,-47.58,271.48,-51.53,881.71,-62.77,298.96,874.76,400.3,-552.88,-364.06,-161.12,-175.99,-1148.07,-22.47
Aktywa trwałe,,,,,11.31,4.56,5.43,4.58,-2.05,-5.53,3.25,5.46,3.87,129.66,126.54,126.62,227.1,45.59,42.33,38.02,4.73,7.39,72.98,82.8,76.1,86.78,17.13,10.92,6.97,2.19,2.34,2.91,5.41,6.55,8.64,10.75,9.64,5.9,4.92,3.77,1.92,5.47,4.43,4.4,6.16,22.51,27.16,26.98,26.74,8.28,9.6,14.23,18.65,26.21,26.91,22.43,18.45,10.32,8.84,11.53,12.13,13.71,10.41,12.31,11.91,1.87
Wartości niematerialne i prawne,,,,,1.05,-0.81,31.71,26.85,41.02,32.83,0.51,-6.25,-10.42,723.41,900.63,757.13,1472.04,59.67,31.51,57.52,-20.23,-0.57,9.29,93.57,97.96,81.68,64.66,-10.74,-9.04,-0.89,1.08,2.58,8.75,4.27,100.44,103.96,91.73,88.14,-1.99,-5.82,-5.92,-11.81,-12.97,-10.45,-11.23,100.55,42.79,49.54,55.51,-28.71,6.98,0.78,0.09,5.05,1.06,-0.03,0.73,-2.98,-2.8,0.09,0.85,-3.19,-54.14,-56.34,-57.4,-55.68
Rzeczowe składniki majątku trwałego,,,,,6.47,-1.78,4.87,2.7,0.51,-2.4,2.14,4.72,3.39,125.83,118.82,116.87,195.75,34.79,34.44,31.89,-0.43,3.57,84.26,86.6,92.91,103.5,15.28,13.99,9.19,3.03,3.29,3.71,6.13,7.77,1.3,3.53,3.19,-0.65,6.86,5.9,3.58,6.14,5.29,4.94,6.32,13.07,25.5,24.45,23.26,17.34,6.1,11.47,17.7,26.83,34.08,28.75,23.73,11.88,8.99,11.6,11.24,10.88,7.67,10.11,9.33,2.02
Należności długoterminowe,,,,,350.0,29600.0,29600.0,28750.0,6500.0,128.11,128.11,134.84,128.11,158.38,134.46,105.68,133.73,-65.7,63.42,67.38,47.3,307.16,-33.2,-25.34,-26.9,-30.31,-27.45,-45.59,-44.37,-13.97,-56.24,-3.43,-3.53,-38.71,574.11,317.38,313.61,248.3,-20.91,-54.66,-54.67,2102.43,2419.03,3928.76,5182.57,34.49,37.39,29.0,38.42,-15.39,163.56,256.18,163.14,212.26,-12.02,-18.14,-22.36,10.76,19.64,9.39,11.82,16.12,21.8,15.27,33.46,-3.29
Inwestycje długoterminowe,,,,,449.06,213.72,186.04,80.59,-67.03,-63.19,32.42,35.41,31.83,86.56,87.92,43.77,254.97,201.0,180.42,210.13,285.98,175.55,56.32,66.54,-43.63,-47.46,-0.23,0.2,-2.08,-4.42,-6.57,-6.98,-8.83,-8.73,1.43,-3.6,-2.98,3.11,-8.49,-4.32,0.29,-4.31,-21.41,-17.53,-22.69,-18.49,-6.73,-2.13,-61.45,12.25,27.1,8.05,191.82,-1.26,-1.74,2.71,8.52,9.83,5.47,113.83,172.63,218.02,209.8,73.04,31.42,-14.27
Pozostałe aktywa trwałe,,,,,-8.06,70.37,-22.89,18.63,29.84,4.53,16.65,14.13,8.52,-99.67,-99.81,73.8,278.5,99800.8,161186.3,77.03,-21.09,-84.94,-10.8,-14.66,-7.56,469.53,0.35,-1.76,-5.58,-14.44,-24.75,-23.48,-26.73,-25.78,-26.96,-18.25,-21.73,-32.72,-25.83,-19.36,-34.35,52.84,63.11,27.49,94.79,8.61,38.14,50.83,171.11,28.46,6.0,0.23,-47.68,-3.0,-17.3,0.36,-2.17,11.96,121.44,10.12,10.09,212.29,442.0,991.36,1056.94,254.51
Aktywa obrotowe,,,,,85.5,69.29,92.23,-0.1,0.53,6.28,-5.41,-1.33,10.52,64.63,68.1,141.5,167.13,68.11,81.23,22.54,3.84,10.16,65.97,69.98,71.96,84.33,6.49,-1.52,-0.2,-4.77,4.29,11.1,10.84,12.16,10.98,0.65,-1.34,-4.27,-4.41,-2.24,-0.64,7.87,7.04,13.46,1.4,16.52,22.28,12.53,26.49,11.68,14.44,8.16,-8.41,-1.63,-11.41,23.68,53.29,86.11,94.17,51.79,52.63,2.04,10.33,-9.17,-29.95,-21.15
Zapasy,,,,,6.99,15.76,7.68,26.36,29.47,32.23,45.31,21.44,9.27,49.16,32.75,45.49,223.95,142.11,179.74,145.37,8.14,28.54,46.62,52.36,65.84,39.43,12.49,24.71,15.03,15.14,-7.01,-2.17,-12.8,-12.41,-13.65,-26.69,-21.08,-27.32,-6.75,4.45,9.78,16.92,27.49,10.06,27.7,49.91,31.65,42.99,22.14,11.03,0.62,3.48,-5.07,-8.13,0.17,-0.23,23.12,50.79,67.52,94.53,85.15,48.9,42.86,-13.48,-33.92,-28.31
Należności krótkoterminowe,,,,,12.94,13.27,22.05,-59.58,-15.09,-7.49,-6.24,-1.3,27.9,171.91,150.6,139.39,277.26,72.45,68.54,61.62,3.72,-5.66,72.2,81.33,58.57,92.6,4.61,-13.57,-14.08,-11.08,-8.05,8.03,2.1,-7.5,-8.38,-1.7,-4.26,-0.31,14.15,5.64,17.09,3.3,3.95,11.28,3.33,45.7,39.05,16.54,14.24,1.32,-0.38,-4.74,-3.36,0.33,17.23,99.26,145.54,145.27,102.98,-8.16,-36.18,-49.04,-6.44,35.38,-24.03,-28.14
Inwestycje krótkoterminowe,,,,,1089.24,364.15,488.47,754.01,-0.02,1.09,-24.88,-13.59,0.49,9.08,34.58,212.07,29.38,-12.31,13.4,-45.43,-2.32,7.13,91.63,80.46,117.37,212.3,3.05,-15.35,0.58,-23.51,44.37,42.29,64.74,100.3,63.0,44.32,23.05,15.96,-15.86,-14.39,-20.51,5.1,-2.98,17.96,-22.65,-26.48,-1.55,-16.38,49.79,26.61,49.19,33.92,-17.84,4.99,-44.67,-28.86,-27.6,58.15,111.67,165.77,382.66,43.32,9.0,-49.83,-30.35,-9.71
Środki pieniężne i inne aktywa pieniężne,,,,,72.6,-16.69,118.22,140.9,78.55,443.72,22.24,177.11,216.45,13.37,114.86,257.69,58.44,-12.4,17.36,-45.41,-2.64,-0.55,91.7,72.22,100.2,192.9,0.19,-15.94,-10.95,-21.66,33.31,28.6,32.15,34.83,-9.81,-17.36,-12.49,-14.8,-12.9,2.45,-2.46,69.22,39.16,64.79,33.88,-22.04,-41.7,-49.43,-37.11,-9.03,54.74,64.68,4.37,19.9,-53.64,7.2,22.66,155.83,54.93,-10.81,166.8,-41.73,-2.38,62.14,-67.54,-26.46
Pozostałe aktywa obrotowe,,,,,108.89,-100.0,-100.0,-100.0,-100.0,,,,,,,,,190.42,,150.54,-13.01,19.11,40.32,41.35,68.47,5.64,-15.12,-17.01,35.98,14.76,7.36,23.0,12.53,32.88,-100.0,-76.55,-84.96,-74.75,,19.27,40.56,34.48,32.91,30.41,33.92,33.96,17.53,6.91,7.88,6.02,0.37,2.26,6.9,12.94,8.22,5.16,0.92,2.94,16.1,25.95,28.45,21.06,16.47,-0.35,-10.03,-7.35
Aktywa trwałe przeznaczone do sprzedaży,,,,,0.0,0.0,1328.57,7414.29,7842.86,8657.14,151.0,-52.28,-58.81,-79.61,-12.75,-47.41,-39.3,0.0,-42.92,-5.3,-10.07,177.6,145.6,139.2,533.6,128.24,-2.61,0.0,-64.39,-86.49,-64.21,-64.21,-57.09,2818.69,2828.04,217.76,180.99,-77.87,-77.94,825.88,1310.88,1427.5,1506.66,248.48,132.06,-14.26,92.69,95.71,93.82,128.38,-3.86,-9.11,-9.85,-99.54,-99.54,-99.51,-99.51,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa razem,,,,,30.41,20.56,28.42,2.7,-1.11,-1.43,-0.18,2.82,6.35,105.32,104.59,132.17,203.91,52.35,54.34,32.01,4.43,8.31,70.44,78.18,74.7,85.95,13.37,6.64,4.58,-0.13,2.99,5.51,7.13,8.33,9.42,7.37,6.03,2.55,1.74,1.89,1.13,6.21,5.26,7.12,4.73,20.64,25.57,22.37,26.67,9.31,11.13,12.45,10.79,17.63,14.41,22.78,26.81,29.86,30.39,22.96,23.88,9.39,10.38,4.78,-3.05,-6.07
Kapitał własny akcjonariuszy jednostki dominującej,,,,,40.36,33.45,38.21,-0.06,-4.36,-3.7,-4.12,0.54,3.84,35.19,40.49,42.93,102.38,83.1,84.14,83.72,29.86,11.86,83.33,87.51,85.31,80.77,6.88,2.11,2.25,3.55,5.79,7.25,8.52,10.56,10.2,7.0,5.74,2.62,2.06,2.4,3.3,4.93,3.48,0.92,-1.39,-2.23,-0.37,3.52,5.88,4.97,3.26,2.27,1.92,4.3,2.83,4.65,4.51,8.21,20.76,29.55,29.6,12.5,-6.36,-19.99,-26.5,-33.39
Kapitał (fundusz) podstawowy,,,,,62.98,62.98,62.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.91,63.91,63.91,63.91,0.0,0.0,54.71,54.71,54.71,54.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.04,224.15,224.15,224.15,0.04,0.0,255.33,255.27,255.27,255.27,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,21.22,149.35,23.62,26.35,23.5,-37.59,18.67,-8.01,-6.3,20608.55,21743.75,27216.67,39668.72,-10.21,-12.77,-18.05,-45.55,2.95,120.34,37.43,53.34,71.27,-21.59,26.49,12.4,2.81,4.12,4.58,4.84,5.46,2.67,1.56,-1.19,-22.57,-19.68,-22.03,-20.31,-1.3,-2.88,5.41,2.97,6.39,9.22,4.42,6.41,5.18,34.67,35.98,36.59,44.44,6.56,7.98,6.79,4.26,11.52,18.75,17.49,3.17,-6.96,-14.91,-20.66,-49.42
Zobowiązania długoterminowe,,,,,5.23,-6.26,-0.41,-6.19,-8.25,-10.96,-5.79,6.99,6.13,83.7,162.14,166.22,222.92,74.12,22.06,6.44,1.48,12.47,36.92,83.23,62.36,96.54,49.33,14.47,11.08,-15.35,-11.95,16.23,32.25,49.28,51.12,16.76,13.93,16.09,18.81,19.55,12.67,12.75,3.6,6.82,6.01,52.22,74.59,72.35,84.1,20.57,23.57,18.02,10.01,33.02,25.47,22.82,36.41,4.33,0.88,10.68,6.63,22.57,29.45,-9.71,-10.55,-58.91
Z tytułu dostaw i usług,,,,,7.27,96.23,5.14,14.75,-7.04,-11.11,-8.44,-4.12,31.33,312.38,222.18,159.34,274.01,27.56,55.65,68.06,7.04,-7.54,43.36,53.81,43.18,88.37,8.11,1.42,8.25,8.53,10.76,5.54,-2.49,-5.49,7.92,7.61,3.61,18.98,-0.64,2.38,5.04,10.37,11.98,35.56,31.49,46.86,56.17,10.09,13.68,-3.15,-2.09,14.53,23.99,22.89,30.75,26.57,52.09,88.42,59.59,66.67,32.44,5.39,-7.59,-31.75,-18.91,-12.26
Kredyty i pożyczki,,,,,62.18,262.75,114.95,405.47,459.99,420.45,370.66,55.34,-16.0,155.62,16.82,488.79,305.35,-40.09,17.61,-92.25,-70.18,18.53,5.83,400.09,330.87,202.04,208.93,75.5,-5.66,-15.71,10.12,-71.84,-73.69,-76.66,-65.64,48.37,177.93,-56.23,-44.17,-44.8,-70.48,34.93,46.98,29.75,52.01,416.49,176.0,129.33,274.75,-43.22,25.41,30.35,-1.49,-6.05,34.94,20.11,26.53,323.11,60.34,65.48,7.62,-15.73,-6.64,516.15,550.26,895.7
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,5861.82,9025.64,,,-95.88,-94.95,-11.36,-10.69,375.14,385.9,424.81,8764.43,1199.32,89.73,68.62,14.21,-3.01,589.05,54.93,-32.98,21.88,-1.37,-13.11,43.66,0.52,7.59,17.93,-11.28,-27.36,5.4,-10.93,-12.14,17.04,-33.98,-51.36,-39.65,-53.35,50.59,85.86,-5.68,529.33,-35.24,-25.95,41.76,-69.96,21.89,13.49,6.13,1156.45,654.39,2862.43,1458.73,144.17,52.1,-74.44,51.62,-25.39,243.18,450.49,24.52,66.38
Inne zobowiązania długoterminowe,,,,,-7.06,-16.78,-6.46,-8.6,-3.67,-3.15,-4.66,8.46,7.29,93.56,115.35,117.16,194.1,19.15,8.9,-2.5,-25.94,5.69,46.27,58.05,64.82,83.75,31.72,25.81,11.14,-7.51,-5.37,-9.48,-1.04,3.27,5.1,6.94,5.4,-5.04,-6.29,-7.4,-9.32,6.85,5.24,13.19,16.69,40.64,46.17,61.08,59.61,31.74,30.14,14.38,12.47,6.66,2.45,3.42,5.69,-14.17,-11.35,-15.66,-16.21,2.98,-0.39,-3.18,-4.63,55.98
Zobowiązania krótkoterminowe,,,,,15.02,-1.23,18.81,27.74,24.46,20.53,25.64,9.36,17.29,246.55,148.09,286.08,321.53,24.2,58.59,-7.37,-9.94,-0.6,38.39,64.09,62.49,98.52,35.19,9.56,4.79,-0.61,4.81,-7.48,-12.6,-18.04,-13.52,2.58,2.39,-0.3,-7.13,-8.26,-10.63,5.82,17.07,34.3,29.95,67.28,65.0,32.44,35.06,6.74,8.35,24.26,28.61,20.52,24.38,63.32,64.32,107.92,89.32,27.56,36.6,-1.67,16.24,53.44,34.61,72.15
Inne zobowiązania krótkoterminowe,,,,,64.19,-89.88,-33.23,-59.24,-50.0,-1.88,70.55,-11.01,85.57,279.23,261.04,377.4,464.9,219.79,147.99,181.5,17.75,12.55,12.87,28.06,62.21,51.81,63.87,-4.57,-4.57,-11.17,-25.29,27.67,28.88,32.73,-23.72,-32.11,-55.18,-61.5,-10.33,-33.25,-23.68,-31.85,32.4,10.0,7.2,33.63,88.63,266.31,109.16,513.6,52.32,59.45,132.56,-74.84,-67.5,-7.77,0.83,61.06,725.34,81.99,70.42,45.62,11.28,0.54,-1.51,-26.99
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,30.41,20.56,28.42,2.7,-1.11,-1.43,-0.18,2.82,6.35,105.32,104.59,132.17,203.91,52.35,54.34,32.01,4.43,8.31,70.44,78.18,74.7,85.95,13.37,6.64,4.58,-0.13,2.99,5.51,7.13,8.33,9.42,7.37,6.03,2.55,1.74,1.89,1.13,6.21,5.26,7.12,4.73,20.64,25.57,22.37,26.67,9.31,11.13,12.45,10.79,17.63,14.41,22.78,26.81,29.86,30.39,22.96,23.88,9.39,10.38,4.78,-3.05,-6.07
Przepływy pieniężne z działalności operacyjnej,,,,,53.19,-59.67,35.96,-1423.15,-164.26,-78.49,-58.31,168.9,520.16,8.12,634.51,32.6,-1033.48,2156.39,94.34,325.89,126.65,-122.5,257.57,-62.32,-24.57,543.89,-63.07,70.51,212.8,-13.8,147.31,-44.14,79.65,255.75,-39.47,-31.79,-37.88,-11.77,-84.85,38.33,14.9,65.65,-201.05,246.45,-12.16,-16.13,421.99,56.71,56.56,70.32,179.56,39.39,17.39,7.69,-39.61,174.98,14.83,217.19,-41.84,-33.4,220.65,-32.06,-90.14,87.81,-33.76,38.22
Amortyzacja,,,,,7.81,-11.05,7.42,8.21,17.31,10.78,20.86,1.27,-1.8,35.31,62.84,94.88,135.34,122.88,58.05,57.95,19.52,-4.17,84.4,210.58,108.11,115.35,29.15,-26.98,4.46,-13.09,-14.99,-11.01,-4.49,5.72,4.72,6.99,9.08,8.04,5.14,6.91,18.73,22.65,23.01,21.4,10.11,10.91,21.54,22.35,23.63,8.09,-5.34,-6.98,-10.53,0.88,1.08,0.69,2.55,-6.25,-6.98,-5.87,-2.33,12.74,9.3,12.06,8.3,-0.91
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1005.48,46.56,229.03,81.83,97.49,-1451.08,-317.77,1153.17,-175.33,107.42,50.6,-332.66,-215.85,-828.7,-32.14,29.55,-396.94,1.74,-111.19,-223.9,26.6,15.59,57.7,40.69,-12.4,-73.52,-284.85,-72.72,-125.52,-131.13,-46.86,-17.36,34.71,25.87,76.12,39.27,36.17,32.34,75.06,-57.57,-29.87,-411.76,-1424.85,1.28,-56.07,87.59,-84.81,-64.23,-51.56,-670.95,-86.56,-50.92,60.28,50.7,25.74,-14.99,-49.33,-72.85,37.02,-70.84,9.68,44.7
