,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Koszty finansowe,,,,,213.01,61.95,226.09,194.65,14.18,239.97,38.13,47.97,59.67,-5.9,10.38,20.1,27.98,-42.1,-43.2,-35.56,-38.32,-9.67,43.26,38.41,65.97,104.79,35.25,184.41,180.59,220.9,125.03,-33.46,-67.11,-54.34,-49.54,-27.65
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,-14675.0,-456.25,-573.47,-604.17,91.23,-25.84,1126.97,2418.93
Zysk z działalności gospodarczej,,,,,141.7,2.82,17.91,-59.52,-133.25,-175.13,131.43,542.47,-47.68,13.12,366.35,-56.15,749.05,824.72,-99.93,-31.87,15.87,-107.34,1833.33,-105.1,-117.48,1926.63,456.7,3133.45,-28.97,-121.37,330.95,167.77,289.42,282.25,-6.7,74.07
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,141.7,2.82,17.91,-59.52,-133.25,-175.13,131.43,542.47,-47.68,13.12,366.35,-56.15,749.05,824.72,-99.93,-31.87,15.87,-107.34,1833.33,-105.1,-117.48,1926.63,456.7,3133.45,-28.97,-121.37,330.95,167.77,289.42,282.25,-6.7,74.07
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,144.94,3.59,20.96,15.95,-128.68,-167.22,106.55,181.86,-37.42,10.61,303.51,-68.33,761.24,734.62,-102.15,-33.72,14.98,-108.2,170.82,-109.57,-117.75,1739.13,403.47,1617.5,-54.64,-121.85,353.34,161.53,250.1,271.68,-4.08,78.51
Zysk netto akcjonariuszy jednostki dominującej,,,,,140.01,-7.7,43.87,14.61,-129.96,-169.13,107.77,190.0,-41.63,10.99,302.37,-72.45,695.55,704.83,-103.72,-26.69,14.86,-108.82,135.79,-114.18,-119.16,1660.81,435.85,1192.96,-70.94,-122.78,405.51,159.33,234.93,287.77,-2.41,79.92
Aktywa trwałe,,,,,-13.4,-1.81,-1.34,83.29,79.91,87.98,86.33,42.65,21.16,17.41,19.19,-22.18,-22.53,-21.43,-23.89,-13.86,-3.82,-11.92,-9.75,-7.77,-1.17,10.58,9.35,0.26,-8.1,-5.64,-4.25,-5.2,-1.49,-20.97,25.55,69.99
Wartości niematerialne i prawne,,,,,173.68,61.54,106.25,-50.0,-67.31,-76.19,-90.91,-76.0,-47.06,720.0,2633.33,1050.0,544.44,24.39,8.54,14.49,0.0,-63.73,-69.66,321.52,429.31,691.89,925.93,-32.73,-43.65,-58.36,-74.37,-90.62,-94.8,-40.16,-100.0,157.14
Rzeczowe składniki majątku trwałego,,,,,3.06,2.42,-0.38,1.14,0.72,1.32,11.31,7.6,8.08,6.3,0.54,-3.07,9.97,19.91,16.8,19.45,4.14,-5.38,-3.47,8.3,8.36,17.83,14.47,1.76,2.34,-0.03,-0.73,-0.58,-3.48,-7.13,-2.36,-6.59
Należności długoterminowe,,,,,-78.61,-63.34,-63.53,-26.3,-26.37,18.0,11.61,-71.0,-71.39,-82.13,-81.38,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-38.0,-16.16,-18.6,-24.32,-11.29,-34.94,-22.86,-25.0,-14.55
Inwestycje długoterminowe,,,,,-1.88,-1.88,0.42,2.34,2.8,2.8,0.48,0.45,-79.6,-79.6,-79.6,-74.31,21.09,21.69,22.07,-2.94,1.04,1.07,-6.34,-6.42,-5.17,-5.63,1.57,-0.33,-1.69,-1.64,-1.64,0.24,0.24,0.19,767.32,760.42
Pozostałe aktywa trwałe,,,,,231.82,653.06,412.04,2012.05,1411.82,1553.66,1170.92,88.45,84.01,75.66,84.38,-13.66,-34.94,-36.58,-38.81,-26.37,-8.62,-16.97,-13.6,-18.66,-8.36,5.83,5.05,0.06,-15.79,-9.41,-5.96,-8.24,1.29,-35.08,-43.0,42.03
Aktywa obrotowe,,,,,46.21,45.49,72.79,18.64,21.74,54.74,34.87,48.63,52.54,39.64,32.54,32.39,14.92,-14.34,-10.03,-4.74,-4.8,6.11,10.17,8.57,23.88,23.55,15.24,14.63,8.44,14.19,23.56,-4.8,-7.76,-5.44,-15.56,1.71
Zapasy,,,,,47.71,23.8,64.16,47.19,34.66,55.39,21.87,29.25,46.16,42.78,12.79,33.95,10.34,-6.85,14.68,1.77,2.03,14.51,14.86,21.38,24.18,12.91,18.96,17.17,16.44,28.58,18.62,2.54,-0.81,-11.27,-18.37,-29.99
Należności krótkoterminowe,,,,,-28.14,9.34,49.51,71.79,222.43,117.61,176.69,44.08,38.98,21.56,-34.54,93.64,-4.92,-25.49,-31.2,-20.29,-33.14,-38.62,-6.13,-27.82,57.0,83.56,82.44,86.75,37.8,30.62,-11.28,-70.09,-50.56,-22.02,-12.01,146.54
Inwestycje krótkoterminowe,,,,,74.47,388.69,175.39,-43.19,-54.49,31.76,39.96,141.22,129.33,37.87,191.09,4.04,53.89,-40.84,-52.34,-13.67,-15.79,-18.35,-4.73,-14.32,11.14,95.05,-24.57,-38.24,-51.15,-69.25,91.96,29.93,-27.61,154.87,-1.76,196.66
Środki pieniężne i inne aktywa pieniężne,,,,,74.56,390.28,175.85,-43.19,-54.5,31.77,39.85,141.14,129.19,-62.99,106.92,4.05,53.95,120.41,-32.88,-13.63,-15.74,-25.49,-17.24,-30.43,-29.51,67.88,-59.14,-66.19,-56.72,-77.72,154.26,129.11,-1.12,252.63,-26.78,261.0
Pozostałe aktywa obrotowe,,,,,127.96,100.83,44.09,116.72,20.85,7.73,24.48,-40.47,-10.57,9.88,174.58,514.29,149.0,74.72,-7.82,-45.99,-55.42,-48.07,-60.07,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,40.05,41.26,66.34,22.81,25.46,56.81,37.53,48.06,49.66,37.98,31.6,27.33,12.14,-14.79,-10.91,-5.26,-4.75,5.05,9.09,7.72,22.58,22.92,14.98,14.0,7.75,13.31,22.38,-4.81,-7.54,-6.01,-14.19,4.35
Kapitał własny akcjonariuszy jednostki dominującej,,,,,50.92,41.4,40.73,15.09,10.34,3.71,6.76,23.76,23.6,25.36,41.16,16.46,23.71,28.64,7.12,5.38,5.85,8.28,8.38,3.93,-2.61,4.74,6.23,6.57,5.9,-11.25,-7.49,5.85,10.06,18.72,17.99,25.56
Kapitał (fundusz) podstawowy,,,,,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,46.23,26.07,26.07,-20.45,-17.84,117.63,117.63,117.63,117.63,-13.64,-13.64,-13.64,-13.64,1.75,1.75,1.75,1.75,-0.01,28.18,-12.72,-12.72,-12.71,-31.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,-102.56,27.76,19.96,726.67,-61.4,-1403.16,-558.36,-203.63,-1620.65,-20.51,50.07,202.72,178.33,157.51,164.34,-65.78,154.03,-123.62,-306.99,-655.17,-201.02,-181.7,34.32,55.5,69.74,-57.41,10.7,147.05,214.23,34.44,-16.3,153.33
Zobowiązania długoterminowe,,,,,71.13,63.03,166.22,3.2,-25.09,110.33,18.4,141.09,235.92,43.69,57.7,8.09,-22.53,-27.72,-32.02,2.44,45.4,-25.15,15.43,-17.62,25.87,129.15,58.38,85.1,18.19,-3.57,0.57,-29.37,-31.28,-21.1,-57.49,-26.18
Z tytułu dostaw i usług,,,,,-4.75,-20.91,107.49,189.02,121.47,292.39,131.03,69.07,49.99,-56.9,-72.24,-75.03,160.49,217.8,547.97,667.3,-78.32,-61.14,-61.87,-38.88,319.05,176.21,161.61,67.01,-10.15,74.85,80.82,-70.98,-73.9,-49.19,-81.85,156.82
Kredyty i pożyczki,,,,,,,,,,,,-97.28,-95.15,-97.95,-60.98,-100.0,-100.0,-100.0,-100.0,,,,,,,,5.77,-79.13,-81.71,37.28,348.93,39.65,615.36,19.94,-100.0,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,-59.65,41.71,63223.08,7148.27,28819.71,-25.31,-91.29,-91.36,-85.33,1265.98,903.04,927.66,429.86,99.25,-53.88,20.45,-87.73
Zobowiązania z tytułu leasingu finansowego,,,,,-23.08,-18.97,-24.43,10.85,-14.67,-19.86,136.84,111.89,132.03,140.71,-8.25,-9.9,473.74,643.01,591.0,613.92,11.62,1.78,3.76,25.91,35.7,31.7,37.55,23.51,19.37,13.92,8.35,2.61,-9.9,-18.79,-29.6,-36.43
Inne zobowiązania długoterminowe,,,,,101.18,12732.5,54.55,19.89,16.07,115.96,113.27,53.81,39.44,-16.15,123.82,157.95,119.05,113.46,-49.28,-34.24,-0.06,-22.07,5.39,-2.55,-20.19,50.5,94.1,146.33,140.69,30.35,42.02,29.12,37.76,35.31,-15.91,11.25
Zobowiązania krótkoterminowe,,,,,-20.54,17.84,67.17,119.28,232.34,246.61,176.89,35.97,16.43,50.19,-0.07,98.01,32.06,-59.97,-22.34,-33.84,-69.8,44.92,8.42,65.63,211.88,-8.15,-7.76,-32.9,-6.15,127.57,142.63,18.28,-7.5,-25.21,-17.9,-12.07
Inne zobowiązania krótkoterminowe,,,,,-32.64,61.79,44.55,-78.92,-28.78,88.32,92.91,793.64,503.1,278.49,110.05,350.69,-73.86,-97.09,-90.01,-90.8,-14.86,-80.78,-92.85,-92.32,-88.09,24.04,2.06,275.99,31.38,305.76,298.53,727.44,1613.9,846.78,3087.47,34.34
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,40.05,41.26,66.34,22.81,25.46,56.81,37.53,48.06,49.66,37.98,31.6,27.33,12.14,-14.79,-10.91,-5.26,-4.75,5.05,9.09,7.72,22.58,22.92,14.98,14.0,7.75,13.31,22.38,-4.81,-7.54,-6.01,-14.19,4.35
Przepływy pieniężne z działalności operacyjnej,,,,,-769.33,138.72,-555.03,-50.57,-23.99,-123.05,126.0,561.71,-97.28,-1503.67,834.8,-84.04,201.85,76.43,-69.13,-577.96,-138.39,-343.72,-158.41,30.14,149.48,192.09,-37.89,-69.51,-13.08,-159.96,318.13,275.17,-107.54,338.4,6.0,174.67
Amortyzacja,,,,,30.69,31.86,31.4,-1.11,7.95,9.67,13.24,19.4,17.19,16.27,14.94,16.56,6.29,105.83,68.93,51.21,33.52,8.5,-7.02,15.25,58.86,-1.17,42.63,19.69,0.0,2.77,-1.26,2.06,-12.08,-16.97,-20.31,-17.88
Przepływy pieniężne z działalności inwestycyjnej,,,,,107.73,-84.04,5088.89,-168.09,-204.85,-190.39,-126.55,148.07,8.33,114.99,91.94,-348.39,-441.41,-2180.0,-6260.0,71.1,33.21,93.62,91.98,-57.51,51.12,-383.56,-1621.57,124.34,149.14,-118.7,102.62,-159.17,-97.67,98.19,-3660.87,-116.9
CAPEX (niematerialne i rzeczowe),,,,,286.49,-55.77,130.0,28.73,90.91,60.14,1143.48,-18.98,36.26,-20.81,9.44,-10.41,45.16,606.29,95.21,17.92,-32.96,-94.74,-93.78,8.01,-9.67,443.08,2815.79,-82.51,-93.88,121.81,-98.1,1.09,110.0,-98.34,3023.81,77.42
Przepływy pieniężne z działalności finansowej,,,,,-132.06,-240.39,865.18,-105.82,302.76,-231.09,140.97,350.62,-151.33,86.95,-102.45,-309.85,-2638.42,-360.27,-67.85,411.85,99.58,76.19,1535.97,-52.48,-7481.79,-103.29,-135.25,45.71,68.98,158.06,108.93,-355.86,-342.66,-217.87,-4270.5,47.4
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,-100.0,426.3,-39.15,,,28.76,85.17,,1328.1,-85.34,-100.0,,82.11,47.93,,,-89.45,-100.0,-100.0,,-31.49,,,,161.13,-100.0,230.0,,-100.0,,-100.0
Przepływy pieniężne razem,,,,,-336.66,67.99,-284.78,-95.75,10.82,-630.5,1059.42,1729.86,-158.6,33.12,12.79,-119.04,60.56,-7.98,-72.27,262.71,2.94,2.0,-0.4,-100.8,34.44,133.87,-253.14,-3805.84,110.82,-168.25,234.18,-273.58,-2327.03,441.03,-104.47,864.18
