,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Koszty finansowe,,,,,-100.0,,-100.0,-42.86,,,,300.0,0.0,-100.0,66.67,-93.75,-11.11,,0.0,1100.0,-150.0,,-60.0,-83.33,375.0,,200.0,150.0,400.0,456.25,1450.0,1760.0,-47.27,-100.0,-54.84,-82.8,-55.17,,-54.76,-18.75,-176.92,0.0,0.0,-30.77,330.0,272.73,110.53,66.67,60.87,90.24,-10.0,-20.0,45.95
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,239.38,-11.02,682.88,-86.47,-8.42,351.43,30.96,1364.29,76.65,55.91,95.78,243.41,-119.97,-7.04,-91.2,-230.82,-328.87,-357.64,-928.06,25.57,-316.42,100.79,23.54,48.5,73.54,-692.86,69.46,-175.07,-294.56,137.35,92.88,104.17,101.62,632.26,-2240.74,724.69,709.3,86.78,224.21,100.0,224.28,18.16,12.1,78.29,14.89,-21.16,-90.23,-146.94,-98.8
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,239.38,-11.02,682.88,-86.47,-8.42,351.43,30.96,1364.29,76.65,55.91,95.78,243.41,-119.97,-7.04,-91.2,-230.82,-328.87,-357.64,-928.06,25.57,-316.42,100.79,23.54,48.5,73.54,-692.86,69.46,-175.07,-294.56,137.35,92.88,104.17,101.62,632.26,-2240.74,724.69,709.3,86.78,224.21,100.0,224.28,18.16,12.1,78.29,14.89,-21.16,-90.23,-146.94,-98.8
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,213.51,-11.02,617.12,-86.47,-20.69,321.9,14.2,1339.29,49.22,9.71,192.41,231.51,-127.58,-1.23,-89.28,-225.67,-438.49,-400.42,-896.14,61.05,-215.14,101.6,37.81,-2.45,70.67,-473.91,73.0,-190.3,-288.63,123.26,113.12,104.06,101.68,1030.0,-12.0,391.14,531.4,21.68,1475.0,176.03,224.68,27.27,5.92,98.41,7.71,-12.29,-91.55,-147.15,-97.05
Zysk netto akcjonariuszy jednostki dominującej,,,,,213.51,-11.02,617.12,-86.47,-20.69,321.9,14.2,1339.29,49.22,9.71,192.41,231.51,-127.58,-1.23,-89.28,-225.67,-438.49,-400.42,-896.14,61.05,-215.14,101.6,37.81,-2.45,70.67,-473.91,73.0,-190.3,-288.63,123.26,113.12,104.06,101.68,1030.0,-12.0,391.14,531.4,21.68,1475.0,176.03,224.68,27.27,5.92,98.41,7.71,-12.29,-91.55,-147.15,-97.05
Aktywa trwałe,,,,,578.21,417.95,146.92,405.47,351.42,1037.38,77.74,86.06,235.09,76.19,525.17,255.06,133.72,144.61,29.21,11.37,9.65,1.62,-5.34,-6.27,-30.77,-33.98,-37.66,-42.1,-24.08,-26.31,-24.35,-19.46,-59.33,-49.65,-31.29,-26.0,52.33,43.06,23.73,14.93,12.31,2.52,-8.43,-3.06,29.77,39.55,50.1,69.69,36.36,37.68,34.68,22.75,17.18
Wartości niematerialne i prawne,,,,,475.64,450.0,113.46,435.91,411.8,1101.6,107.65,76.16,239.69,76.15,512.56,274.27,132.48,140.21,33.12,11.39,8.9,2.07,-5.84,-7.52,-32.21,-35.42,-39.53,-43.35,-24.39,-27.63,-25.3,-20.64,-60.9,-51.1,-44.51,-37.92,34.65,24.44,21.86,15.9,15.44,12.07,9.53,11.9,13.65,22.0,31.66,52.8,61.33,59.19,53.07,34.44,23.87
Rzeczowe składniki majątku trwałego,,,,,,200.0,837.04,56.82,71.43,126.67,-75.89,53.62,147.22,136.76,457.38,82.08,7.87,15.53,-31.76,9.33,5.21,3.76,-24.14,-24.64,-29.7,-34.72,-38.07,-42.14,-47.18,17.46,0.92,2.17,13.33,5.41,1079.09,1147.87,1132.94,692.95,-15.73,-19.1,-23.19,-46.97,-53.71,-62.28,196.02,247.41,327.87,472.91,-18.72,-20.01,-21.11,-22.28,-23.59
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,-52.63,,,,0.0,-42.42,1593.94,2890.0,1916.67,3073.68,-39.53,11.04,49.59,-13.27,37.57,80.12,21.36,19.69,38.71,-3.68,-12.75,-8.63,-11.78,-1.74,-41.04,-40.91,-47.1,-47.17,-12.09,-12.43,223.26,131.77,81.21,31.42,-64.44,-50.07,-34.26,-31.88,-17.92,-23.41,-85.92,-78.87,-80.99,-76.23,76.0
Aktywa obrotowe,,,,,342.83,213.59,335.76,4.91,33.25,28.8,144.16,161.43,100.97,305.24,67.7,107.28,61.1,-21.53,-18.0,-21.63,-40.25,-58.42,-63.43,-45.37,-48.52,-16.08,44.51,25.05,50.69,91.98,59.11,16.84,70.83,2.82,-2.51,22.79,-15.16,-8.58,-10.97,-1.62,1.8,30.16,53.34,53.55,61.42,36.94,15.04,18.26,-2.58,-6.05,-15.84,-40.29,-29.35
Zapasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,369.06,574.62,199.07,89.94,-9.17,37.86,46.58,44.86,279.36,292.89,201.49,179.31,17.81,33.52,-32.13,8.62,-17.32,-49.62,-18.38,-7.37,-29.39,15.62,15.34,-10.06,44.57,38.22,56.6,36.51,22.26,-14.77,-26.82,-5.08,-13.52,5.4,-28.21,-22.19,-14.19,28.25,108.6,92.77,79.58,24.51,26.02,31.52,34.54,15.89,8.63,-18.41,-9.73
Inwestycje krótkoterminowe,,,,,83.7,-59.84,78.68,-76.05,-35.97,959.59,541.76,556.78,805.62,312.83,178.26,368.02,173.99,-47.12,-5.41,-40.72,-59.92,-70.6,-95.9,-96.47,-93.41,-90.28,334.84,808.59,545.14,1607.41,138.27,3.1,248.27,38.39,48.14,143.29,-17.68,-23.69,7.05,33.87,28.45,40.6,19.81,24.02,44.54,54.74,0.81,-1.24,-45.44,-31.33,-55.53,-83.13,-85.21
Środki pieniężne i inne aktywa pieniężne,,,,,83.7,-59.84,78.68,-76.05,-35.97,959.59,541.76,556.78,805.62,312.83,178.26,368.02,173.99,-47.12,-5.41,-40.72,-59.92,-70.6,-95.9,-96.47,-93.41,-90.28,334.84,808.59,545.14,1607.41,138.27,3.1,248.27,38.39,48.14,143.29,-17.68,-23.69,7.05,33.87,28.45,40.6,19.81,24.02,44.54,54.74,0.81,-1.24,-45.44,-31.33,-55.53,-83.13,-85.21
Pozostałe aktywa obrotowe,,,,,768.03,787.08,2663.83,54.17,110.29,-98.49,133.03,215.5,-73.96,135.71,-98.12,-93.46,-89.83,171.21,1.75,-60.69,208.47,15.64,268.97,271.93,167.58,91.79,142.52,226.89,-89.94,-26.2,-85.16,-64.07,204.08,-26.62,129.87,2.41,-6.04,-22.33,12.99,-24.31,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,369.36,229.11,248.09,97.84,85.07,149.35,122.29,116.76,154.25,180.36,188.15,182.48,99.12,35.39,8.97,-0.52,-9.58,-21.25,-24.08,-17.37,-35.29,-30.38,-24.89,-29.49,-8.93,2.38,0.6,-7.38,-15.69,-25.79,-17.68,-5.51,6.48,10.53,4.3,5.9,6.62,16.93,21.1,25.64,46.13,38.03,28.88,37.82,14.13,12.52,7.38,-10.77,-5.49
Kapitał własny akcjonariuszy jednostki dominującej,,,,,387.11,349.05,344.65,72.0,61.83,164.72,152.29,162.16,142.47,167.1,168.86,171.76,141.48,20.54,8.71,-4.93,-10.12,-17.88,-28.53,-25.8,-42.0,-36.69,-36.12,-37.55,-25.25,-27.23,-23.77,-38.14,0.8,1.97,10.67,46.84,4.32,6.91,6.12,9.27,12.21,12.02,18.04,23.5,35.0,34.82,33.13,38.55,21.61,20.81,15.59,-3.75,-3.23
Kapitał (fundusz) podstawowy,,,,,10.74,10.74,12.4,1.49,1.49,17.91,16.18,16.18,16.18,36.71,36.71,36.71,36.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,61.57,61.57,62.5,0.57,0.57,0.57,0.0,0.57,0.57,0.57,0.57,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,38.76,53.17,37.04,-11.86,-1.24,95.89,169.91,173.99,169.91,196.61,182.19,182.19,182.19,17.28,29.71,29.71,29.71,29.71,2.17,2.17,2.17,2.17,-21.05,-21.05,-35.04,-35.04,-24.96,-25.34,24.85,24.85,-14.07,-13.63,-37.22,-37.22,-14.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99,24.99,24.98
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,,4408.82,,,128.25,163.47,72.54,5.02,0.63,-26.07,-6.74,-11.27,-45.61,-43.0,-23.86,-32.77,-7.83,-16.27,-48.97,-54.13,-93.99,-92.56,-35.73,-24.77,329.25,418.87,-41.26,-53.55,-63.3,-72.91,-67.8,-57.46,956.29,1021.48,1093.94,1199.12,-21.54,-23.28,-23.73,-24.31,-24.93
Z tytułu dostaw i usług,,,,,580.0,455.84,590.35,55.25,118.01,54.44,-32.4,37.38,312.82,84.72,94.17,119.68,-64.75,-29.16,-16.07,8.3,36.85,31.33,33.1,-1.16,44.2,28.17,89.34,60.92,97.18,100.76,25.72,19.81,-16.44,-8.38,2.84,-2.65,12.76,9.75,-14.69,-26.72,-14.98,44.78,95.44,117.58,70.0,26.89,-5.07,14.23,8.46,3.85,-7.83,-32.71,-9.33
Kredyty i pożyczki,,,,,,,-100.0,,,,,-38.16,-100.0,,,-100.0,,,,,-100.0,-100.0,-100.0,-36.2,,,,54.57,13.44,345.75,388.76,506.84,-8.26,-85.28,-92.4,-97.33,-99.55,-99.37,-98.97,-97.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.63,242.8,232.3,169.33,-16.92,-24.73,-9.97,-2.29,6.91,17.96,1.31,1.45,-74.35,-75.45,-76.5
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,4408.82,,,128.25,163.47,72.54,5.02,0.63,-26.07,-6.74,-11.27,-45.61,-43.0,-41.61,-46.08,-42.72,-45.65,-52.63,-52.13,-90.34,-88.54,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,304.4,44.3,138.5,228.25,191.29,66.36,19.87,-5.71,111.64,131.27,198.96,65.35,-16.7,83.56,-18.92,43.72,-16.57,-37.32,-5.33,41.88,29.66,37.13,42.47,5.01,46.78,124.38,92.83,84.35,-18.29,-47.13,-45.79,-45.87,3.17,8.07,7.69,6.38,1.58,40.14,35.64,35.25,39.2,19.37,-1.58,15.29,6.64,3.36,-5.64,-25.29,-7.5
Inne zobowiązania krótkoterminowe,,,,,211.76,-61.33,288.06,165.79,67.65,110.34,178.08,-15.35,143.73,257.38,276.07,209.36,-36.74,48.97,-69.84,22.12,64.13,-2.08,110.49,230.19,-21.92,-12.26,-34.24,-47.26,-5.7,10.39,17.89,-7.11,-29.94,-38.31,-47.83,-29.09,-5.17,-2.63,-18.48,4.32,-75.06,-74.32,-66.26,-75.29,19.27,20.53,23.96,25.13,3.93,3.93,455.04,452.72,455.04
Rozliczenia międzyokresowe,,,,,428.57,-65.0,-91.55,-50.0,-8.11,-100.0,1366.67,1533.33,-100.0,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,369.36,229.11,248.09,97.84,85.07,149.35,122.29,116.76,154.25,180.36,188.15,182.48,99.12,35.39,8.97,-0.52,-9.58,-21.25,-24.08,-17.37,-35.29,-30.38,-24.89,-29.49,-8.93,2.38,0.6,-7.38,-15.69,-25.79,-17.68,-5.51,6.48,10.53,4.3,5.9,6.62,16.93,21.1,25.64,46.13,38.03,28.88,37.82,14.13,12.52,7.38,-10.77,-5.49
Przepływy pieniężne z działalności operacyjnej,,,,,-215.14,,,,114.55,,,-75.94,11690.32,-241.41,-80.28,539.18,-57.76,199.87,836.02,-150.08,-142.36,-144.05,-127.16,99.05,58.1,73.26,211.33,4278.57,-19.34,-338.04,-110.33,-168.38,-228.75,288.34,1278.26,100.0,185.67,-78.39,-30.87,,-24.97,157.93,130.25,156.33,208.25,224.59,-127.9,39.01,-387.7,77.93,-167.59,-94.2,106.67
Amortyzacja,,,,,136.84,492.86,395.45,257.14,357.78,490.36,411.01,121.09,119.9,1.84,-5.92,-3.62,-16.67,75.55,70.8,75.6,38.68,32.65,26.93,11.37,23.59,-6.45,-4.23,-5.15,-17.85,-1.56,0.64,-10.12,-13.92,-88.88,-65.75,-71.95,-71.48,116.81,-27.73,-6.93,-10.34,71.32,59.04,69.02,79.91,-11.31,-7.89,-7.89,-5.7,26.79,43.58,41.31,41.56
Przepływy pieniężne z działalności inwestycyjnej,,,,,-449.54,,,,97.66,,,17.16,-11957.14,-4.5,-198.17,-37.34,38.63,-167.38,57.7,73.07,75.1,62.89,57.43,38.41,140.7,100.0,61.68,66.6,-233.33,,-33.97,-273.99,-403.57,-215.64,-6.16,20.09,50.64,51.8,10.94,50.87,10.92,-0.62,-10.28,-128.35,-163.23,-160.37,-146.82,-81.03,-74.39,-32.22,-12.52,-24.38,59.45
CAPEX (niematerialne i rzeczowe),,,,,449.54,,,,-97.66,,,-27.36,13957.14,4.5,198.17,56.62,-47.36,167.38,-57.7,-73.07,-75.1,-62.89,-57.43,-38.41,-624.42,-100.0,-61.68,-66.6,110.35,,33.97,273.99,403.57,215.64,6.16,-20.09,-50.64,-51.8,-10.94,-50.87,-10.92,0.62,10.28,128.35,163.23,160.37,146.82,81.03,74.39,32.22,12.52,24.38,-59.45
Przepływy pieniężne z działalności finansowej,,,,,727.27,,,,-94.71,,,41.52,-1715.09,306.18,-3300.0,-100.0,100.0,-100.0,100.0,,,,,,100.0,,,,,2785.9,-53.75,9.32,942.49,-108.8,-276.68,-10.64,-105.6,20.2,306.71,51.92,49.41,5.06,-117.21,0.67,-14.84,14.0,22.01,47.65,-1292.52,-17.83,5.65,-30.77,92.48
Emisja akcji,,,,,664.89,,,,-100.0,,,,,218.66,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-4.06,,,,-62.96,,,-337.16,1487.14,256.68,-1214.84,82.16,-54.28,-111.53,106.27,-1264.71,-291.14,-3.34,-611.51,77.07,82.6,98.58,163.29,118.98,79.88,11792.86,-126.44,-1415.84,8141.18,-106.41,65.55,37.62,-88.3,-200.0,1425.61,87.45,-20.94,84.13,-36.06,138.46,361.26,906.0,-326.04,-247.5,-922.45,192.56,-46.72,-2181.36,96.65
