,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Pozostałe aktywa trwałe,,,,,24.77,-30.61,19.56,22.07,36.85,-6.9,10.04,2.58,1.71,-3.43,0.09,41.61,23.11,45.14,15.09,13.58,36.3,-16.99,191.84,129.09,159.66,187.42,6.19,24.4,27.17,107.14,50.54,40.81,-0.05,-36.06,-23.25,-40.3,5.22,-8.15,-4.99,80.34,20.49,-28.56
Aktywa obrotowe,,,,,38.69,65.89,38.67,61.03,18.83,9.0,11.15,10.28,-6.73,1.8,-6.49,2.17,14.55,21.04,11.09,9.16,4.71,-4.82,86.43,79.22,76.09,71.25,-9.27,-20.51,-25.2,-24.4,-19.41,-9.52,9.17,14.22,19.62,34.34,31.06,29.6,11.4,-7.56,-14.49,-30.56
Zapasy,,,,,24.27,89.35,74.36,74.87,53.27,23.2,8.97,8.8,-13.65,-4.39,-6.88,-2.55,21.44,9.91,10.98,18.59,-0.28,13.0,113.1,108.85,108.22,82.92,-5.81,-18.41,-22.09,-22.72,-21.13,-8.84,2.85,10.53,28.21,38.34,51.2,46.66,12.75,-6.39,-16.96,-32.56
Należności krótkoterminowe,,,,,29.91,5.86,-1.85,9.69,-9.74,-2.55,-3.38,19.95,-1.23,-1.38,6.71,-4.25,13.46,17.5,-26.26,-0.76,-20.67,-25.74,92.55,30.73,47.74,85.97,-26.62,-38.0,-37.01,-53.89,-27.13,-3.76,18.71,18.91,25.4,-7.85,13.33,24.75,20.17,30.28,1.45,-14.06
Inwestycje krótkoterminowe,,,,,164.09,222.17,-12.62,221.0,-36.73,-44.18,94.28,-2.18,31.23,77.91,-35.13,47.72,-19.76,95.49,117.74,-17.09,110.71,-42.34,-19.25,-4.56,-8.21,-19.02,-6.27,-2.52,-31.73,49.56,21.75,-28.22,55.56,37.54,-59.23,-51.78,-73.61,-72.69,-63.81,23.99,-12.01,-33.87
Środki pieniężne i inne aktywa pieniężne,,,,,159.59,221.68,-13.99,210.34,-39.08,-44.36,97.46,-1.22,38.03,60.28,-44.8,52.16,-35.39,109.08,140.27,-25.57,118.16,-57.91,-23.02,2.05,7.59,14.39,-29.51,-5.13,-31.72,51.66,80.86,-24.31,57.15,35.16,-64.35,-52.42,-73.15,-72.2,-59.61,24.32,-12.01,-33.87
Pozostałe aktywa obrotowe,,,,,87.94,20.26,10.11,6.68,-30.62,72.16,70.47,39.59,12.99,27.34,40.61,11.47,42.68,14.7,190.06,26.57,16.23,4.37,-64.85,12.05,12.35,0.77,23.35,-29.49,-20.03,-32.34,-40.41,6.74,-10.68,20.47,35.64,-8.15,33.85,34.07,38.19,13.74,14.5,-18.12
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,
Aktywa razem,,,,,25.07,40.81,25.99,40.76,16.14,10.4,13.44,17.65,3.68,9.08,2.03,4.77,11.97,16.51,9.92,9.54,8.52,20.45,130.24,126.75,122.81,90.52,-0.15,-14.23,-21.65,-27.32,-24.38,-16.89,-4.34,3.46,5.66,14.13,14.39,17.13,8.46,-14.25,-18.8,-32.5
Kapitał własny akcjonariuszy jednostki dominującej,,,,,34.3,87.94,76.26,60.51,56.42,16.19,16.34,14.2,9.85,15.37,15.4,7.6,10.03,8.32,5.73,16.18,16.53,19.99,16.54,15.96,15.6,8.06,-5.35,-12.36,-19.3,-40.61,-34.33,-17.19,-0.77,29.86,29.48,10.05,-12.45,9.92,9.7,-24.04,-28.21,-4.43
Kapitał (fundusz) podstawowy,,,,,0.0,19.79,19.79,19.79,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,-180.75,-5.74,-22.48,-41.9,-56.95,-57.12,-30.48,-12.62,-1.82,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,,,,13.44,63.26,69.23,60.87,60.87,12.59,7.75,9.05,9.05,9.01,9.01,8.9,8.9,8.94,8.93,8.03,8.03,3.08,12.05,6.01,6.01,11.11,9.61,28.9,28.9,19.78,12.23,-6.44,-6.44,-13.8,-14.19,5.35,5.35,23.05,23.01,1.33,1.33,1.33
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,,,-110.48,-298.19,-314.65,-2.17,116.23,-36.65,69.17,234.86,-223.0,-0.33,-2300.27,-1260.92,100.0
Zobowiązania długoterminowe,,,,,-41.96,-1.24,7.21,11.01,9.96,9.5,-1.17,6.52,5.77,6.68,31.82,13.92,9.82,0.77,-19.61,-16.49,-14.98,59.28,318.69,361.78,401.35,250.17,41.94,19.13,-2.91,-37.49,-41.93,-42.64,-36.78,-28.95,-32.89,-39.88,-44.06,-44.32,-35.1,-28.17,-17.69,-67.41
Z tytułu dostaw i usług,,,,,29.91,13.88,-10.69,4.3,-16.35,3.65,-0.27,75.23,-10.44,7.63,-0.14,-27.66,34.6,19.05,3.51,21.36,-27.06,17.99,323.91,228.81,293.28,143.32,-28.39,-27.24,-10.37,-18.72,18.0,20.89,31.77,28.65,46.65,43.31,26.43,7.2,-25.15,-38.7,-28.93,-52.09
Kredyty i pożyczki,,,,,49.5,121416.67,104.13,667.18,47.3,4.64,18.49,-14.82,-1.8,-8.47,-43.33,25.85,-8.02,49.07,77.0,16.5,54.22,12.47,166.37,163.69,133.49,100.76,-1.99,-37.58,-59.42,-4.33,-36.01,-31.25,-15.48,-19.85,-31.13,64.81,183.66,162.69,201.58,70.69,13.38,-29.41
Z tytułu emisji dłużnych papierów wartościowych,,,,,6013.13,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,3.72,-31.6,8.61,17.47,41.94,48.94,39.27,67.94,44.35,-20.61,-17.07,-35.58,-41.35,-5.08,-19.91,-6.78,-10.49,49.56,1335.25,1256.75,1437.5,821.68,14.44,-4.97,-4.38,4.32,-1.63,-2.17,-10.15,-17.16,-20.73,-24.56,-27.43,-26.72,-19.98,-15.57,-15.0,-53.97
Inne zobowiązania długoterminowe,,,,,-60.0,2.55,-0.83,2.16,2.63,66.8,22.18,34.75,54.27,33.83,81.85,72.96,51.52,13.38,12.05,6.18,4.2,-7.05,-6.55,46.92,57.37,777.43,789.75,470.63,374.58,-13.23,-12.69,-11.85,-2.07,-2.32,-3.38,-3.8,-0.62,-3.91,-3.02,-3.49,-5.04,-81.91
Zobowiązania krótkoterminowe,,,,,62.67,19.45,-1.27,33.08,-8.84,3.22,14.87,25.59,-3.88,0.81,-22.27,-0.97,15.14,36.16,31.52,10.25,5.79,10.05,234.75,207.15,200.37,135.13,-13.07,-27.99,-30.18,-9.14,-7.56,0.51,11.86,5.11,11.34,34.61,46.39,38.62,17.75,-3.79,-11.2,-40.48
Inne zobowiązania krótkoterminowe,,,,,42.19,0.9,-6.73,-6.81,-0.28,-12.76,68.46,31.4,-3.8,8.51,-0.07,74.41,102.82,88.56,20.17,-34.18,-22.82,-22.56,27.18,46.9,24.07,9.07,-13.96,-2.86,20.06,20.97,34.97,35.72,15.44,13.82,16.33,-16.39,-26.52,-24.65,-28.18,-7.15,-5.15,-23.31
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,25.07,40.81,25.99,40.76,16.14,10.4,13.44,17.65,3.68,9.08,2.03,4.77,11.97,16.51,9.92,9.54,8.52,20.45,130.24,126.75,122.81,90.52,-0.15,-14.23,-21.65,-27.32,-24.38,-16.89,-4.34,3.46,5.66,14.13,14.39,17.13,8.46,-14.25,-18.8,-32.5
Przepływy pieniężne z działalności operacyjnej,,,,,-143.48,-139.64,-55.64,32.93,5.02,410.27,44.15,59.99,316.08,3.35,-15.69,-32.57,-120.1,23.77,-25.9,-44.9,1044.19,49.12,-80.93,89.0,55.75,13.47,26.02,231.5,133.66,-21.34,162.7,-59.06,-22.39,-26.38,-146.21,-248.44,-150.94,-141.55,113.51,135.71,196.2,125.63
Amortyzacja,,,,,79.09,-50.33,-1.62,-8.38,11.17,23.12,21.25,31.11,31.51,34.01,38.32,33.25,12.5,9.24,12.67,12.29,19.75,16.45,457.8,545.89,578.95,540.38,25.4,1.18,-17.27,-17.42,-22.14,-31.84,-35.58,-35.0,-12.97,-14.7,2.07,-51.47,-19.55,6.36,-38.26,-162.58
Przepływy pieniężne z działalności inwestycyjnej,,,,,-5.19,301.96,-3.3,173.27,-171.3,-3841.75,-403.19,-3806.92,-281.98,65.1,-105.5,80.56,-50.11,93.75,-167.49,-106.54,-140.99,-32528.57,-9.38,308.11,84.67,88.16,7.95,-127.71,-91.97,147.87,97.17,62.86,34.34,-135.61,-2240.54,-193.1,64.54,-5.61,113.34,156.93,-59.51,-117.12
CAPEX (niematerialne i rzeczowe),,,,,18.06,-238.33,-9.6,47.06,135.45,5445.78,212.5,1743.69,292.23,-69.93,100.0,-82.09,-63.68,-26.54,-37.4,195.62,619.69,261.63,692.01,-104.26,-77.71,4.15,-81.93,2625.93,89.39,-134.25,-91.74,-82.23,-50.42,171.99,1941.89,193.56,-46.68,13.85,-76.31,-82.97,34.07,22.68
Przepływy pieniężne z działalności finansowej,,,,,517.33,103.58,-37.04,57.91,-89.47,-2707.51,79.42,-111.64,-119.14,-24.64,-56.57,123.31,-1070.15,74.47,12.51,-404.75,268.72,-55.01,153.15,5.9,-213.49,-472.68,-20.14,-383.77,-362.43,34.85,-170.36,31.93,57.18,27.79,-7.97,208.06,221.24,148.07,54.07,-124.08,-179.12,-93.18
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,4.89,,,,53.17,,,,-100.0,,,-21.73,,,,-100.0,-100.0,27341.67,,,,82.58,,,,-100.0,,,-100.0,
Przepływy pieniężne razem,,,,,523.71,-67.9,-273.06,249.75,-112.23,26.23,196.13,-120.07,251.13,1.27,-167.9,1139.71,-475.55,583.02,-88.08,-133.93,174.77,-166.24,15.72,374.33,11.2,-0.5,32.62,-63.77,-77.35,122.65,89.09,-275.89,680.17,-98.55,-3587.86,82.2,-87.94,603.57,76.49,387.64,-121.46,397.97
