,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aktywa trwałe,,,,,401.98,226.98,94.36,25.7,32.06,46.43,193.82,174.93,148.89,125.32,150.03,164.63,163.74,153.6,18.38,14.87,8.55
Wartości niematerialne i prawne,,,,,172.55,47.42,128.93,336.99,534.53,230.25,200.0,137.77,99.43,79.94,1449.89,1302.04,983.97,914.84,-10.28,-11.79,33.54
Rzeczowe składniki majątku trwałego,,,,,389.58,222.95,135.13,-3.22,0.38,16.47,307.53,308.51,291.95,286.22,63.17,74.92,70.68,51.31,14.77,0.84,-7.22
Należności długoterminowe,,,,,,627.34,23.47,4.84,6.64,91.08,103.97,30.47,-38.13,-73.24,-78.94,-80.67,-100.0,-100.0,-100.0,-100.0,
Inwestycje długoterminowe,,,,,145.73,197.6,709.15,135.43,123.47,49.55,-4.6,-4.38,5.47,-22.35,30.31,29.69,-36.42,8.18,6.76,7.34,8.34
Pozostałe aktywa trwałe,,,,,557.89,268.97,-62.72,124.73,42.93,62.62,-98.06,-43.06,-8.58,74.14,13840.0,502.52,995.31,1012.38,1095.84,1350.49,-6.93
Aktywa obrotowe,,,,,81.17,57.41,55.5,23.76,80.86,94.16,91.16,73.8,61.71,63.03,89.28,97.36,81.02,73.18,32.15,26.87,24.68
Zapasy,,,,,322.22,198.08,57.3,43.12,-25.44,-74.19,8.57,58.97,-100.0,-67.5,-5.26,-8.87,,192.31,-79.17,-86.73,-64.44
Należności krótkoterminowe,,,,,80.9,37.53,75.48,-2.39,53.76,85.26,55.82,91.79,67.82,63.06,103.47,116.33,75.48,75.6,24.05,19.18,13.92
Inwestycje krótkoterminowe,,,,,78.47,85.91,-11.03,111.84,193.28,103.51,224.3,57.77,33.7,58.2,67.36,62.67,105.04,92.01,53.22,46.43,29.43
Środki pieniężne i inne aktywa pieniężne,,,,,71.32,85.91,-15.33,115.12,200.02,98.0,232.29,57.55,33.03,59.5,68.8,63.94,106.56,95.73,51.83,47.66,30.85
Pozostałe aktywa obrotowe,,,,,124.59,1265.17,1521.59,69.06,21.17,174.24,144.71,9.39,1313.86,84.78,65.21,66.36,10.06,-13.29,28.76,49.1,286.99
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,109.39,76.27,61.93,24.1,70.57,84.31,111.55,91.89,75.94,73.24,106.04,114.6,100.12,90.32,27.54,23.08,19.78
Kapitał własny akcjonariuszy jednostki dominującej,,,,,154.53,128.6,139.25,132.46,166.28,125.65,92.12,84.45,72.13,62.59,73.64,79.34,68.05,64.52,48.46,33.2,31.15
Kapitał (fundusz) podstawowy,,,,,0.0,2.94,2.94,2.94,4.9,1.9,1.9,3.81,1.87,1.87,1.87,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,2928.44,6703.67,124.66,342.22,583.67,204.31,-91.24,-91.5,-97.21,-97.21,7.85,62.38,90.48,156.19,176.75
Udziały niekontrolujące,,,,,101.54,29.62,46.18,113.83,136.09,304.68,107.26,90.65,66.1,91.14,126.27,138.95,141.48,108.22,69.3,47.13,18.03
Zobowiązania długoterminowe,,,,,,1076.74,538.89,-64.96,-50.08,-75.74,654.88,814.85,859.19,1549.08,259.82,252.5,232.22,137.8,-36.5,-68.85,-58.22
Z tytułu dostaw i usług,,,,,77.99,,56.94,50.01,51.07,45.77,69.21,59.15,52.02,53.68,94.3,92.61,92.64,90.0,30.15,30.43,3.0
Kredyty i pożyczki,,,,,-18.28,,-59.96,-40.11,-61.04,-30.75,154.27,-42.02,-24.6,12.56,17.6,200.91,267.37,540.24,161.66,596.54,703.3
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,-100.0
Zobowiązania z tytułu leasingu finansowego,,,,,,,270.29,-87.24,-59.75,4113.64,440.23,402.69,385.87,272.82,119.37,187.93,185.82,88.19,-24.9,-34.68,-50.36
Inne zobowiązania długoterminowe,,,,,,1076.74,,-99.1,-66.67,-98.96,464.06,1965.0,871.43,4290.48,21.88,-32.45,100.49,-45.12,-100.0,-100.0,95.11
Zobowiązania krótkoterminowe,,,,,72.42,35.79,14.61,-19.38,20.15,63.11,111.97,81.04,67.44,59.79,89.67,113.12,100.78,105.82,31.45,47.0,35.9
Inne zobowiązania krótkoterminowe,,,,,188.29,,45.25,47.96,103.5,99.05,86.59,101.02,62.58,49.04,105.7,91.7,7.42,49.13,22.71,9.8,59.83
Rozliczenia międzyokresowe,,,,,271.85,70.09,69.23,18.46,32.27,-19.19,-100.0,-100.0,-100.0,-100.0,,,,,,,
Pasywa razem,,,,,109.39,76.27,61.93,24.1,70.57,84.31,111.55,91.89,75.94,73.24,106.04,114.6,100.12,90.32,27.54,23.08,19.78
Przepływy pieniężne z działalności operacyjnej,,,,,-189.83,123.65,-177.38,612.4,546.28,-50.46,142.84,12.18,4.55,234.77,584.67,2.61,181.59,11.53,-80.04,-104.28,-90.89
Amortyzacja,,,,,407.02,0.0,592.75,50.67,29.07,218.0,407.32,361.36,401.88,316.35,-11.67,26.47,35.1,26.89,26.05,53.34,11.94
Przepływy pieniężne z działalności inwestycyjnej,,,,,-23.23,-27.35,60.13,-687.95,-123.32,-13.26,-106.03,-207.79,-85.98,-152.59,-386.44,-21.84,214.92,40.29,-180.93,76.17,-87.68
CAPEX (niematerialne i rzeczowe),,,,,-365.35,,-74.9,-72.71,165.56,148.64,331.83,201.61,92.91,93.33,78.18,26.76,-46.29,-10.91,-76.6,-88.81,44.77
Przepływy pieniężne z działalności finansowej,,,,,19.32,54.09,-5835.29,85.67,-183.07,-150.83,152.48,-1875.42,-165.18,-163.55,-3.97,-5.06,-149.1,77.63,216.03,97.69,237.98
Emisja akcji,,,,,100.0,,-100.0,,-100.0,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-128.38,248.65,-365.76,812.21,754.32,-72.31,128.78,-90.09,-57.66,322.17,174.46,-74.33,692.6,61.96,-237.98,-728.15,-16.92
