,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Inwestycje krótkoterminowe,2425.0,3720.0,5296.0,4729.0,4328.0,6916.0,4712.0,10018.0,12693.0,14075.0,15281.0,15805.0,16971.0,22266.0,25575.0,25710.0,34798.0,42752.0,39186.0,37646.0,45038.0
Środki pieniężne i inne aktywa pieniężne,2420.0,3720.0,5296.0,4551.0,4146.0,6916.0,4484.0,9790.0,12439.0,13694.0,14900.0,15424.0,16547.0,21842.0,25151.0,25286.0,34179.0,42752.0,38186.0,37337.0,44724.0
Pozostałe aktywa obrotowe,61.0,89.0,88.0,1506.0,137.0,1215.0,1427.0,2546.0,166.0,3332.0,3492.0,2785.0,2347.0,6157.0,5769.0,4633.0,2583.0,5339.0,7428.0,6908.0,9996.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,13180.0,16837.0,19936.0,30318.0,27597.0,29678.0,32282.0,37625.0,47073.0,54701.0,68292.0,72198.0,82821.0,94762.0,140708.0,154940.0,165740.0,180350.0,179458.0,190699.0,198517.0
Kapitał własny akcjonariuszy jednostki dominującej,3266.0,5066.0,6021.0,7455.0,8313.0,11581.0,14405.0,17330.0,22136.0,26132.0,27675.0,31966.0,38103.0,42487.0,48056.0,57329.0,64033.0,69901.0,71343.0,76365.0,83980.0
Kapitał (fundusz) podstawowy,102.0,102.0,102.0,102.0,102.0,105.0,105.0,105.0,107.0,107.0,107.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,109.0,109.0,3301.0,1677.0,3301.0,7416.0,7416.0,7416.0,22568.0,22568.0,650.0,630.0,630.0,630.0,701.0,1023.0,1200.0,1614.0,1940.0
Udziały niekontrolujące,1104.0,1104.0,2092.0,1815.0,2225.0,1431.0,3058.0,3881.0,5253.0,5791.0,6338.0,7399.0,8725.0,11069.0,14341.0,17680.0,21069.0,23048.0,24279.0,26013.0,24867.0
Zobowiązania długoterminowe,0.0,172.0,162.0,2229.0,1330.0,2024.0,1035.0,781.0,664.0,491.0,7813.0,7145.0,6369.0,8097.0,28113.0,25186.0,21159.0,19255.0,17852.0,7846.0,8840.0
Z tytułu dostaw i usług,3217.0,0.0,3955.0,4917.0,5726.0,7088.0,6207.0,7376.0,8650.0,10332.0,10503.0,11739.0,13150.0,15878.0,20407.0,22611.0,25332.0,30168.0,26560.0,29492.0,26091.0
Kredyty i pożyczki,4162.0,0.0,4123.0,2845.0,3401.0,1288.0,1651.0,1704.0,1325.0,892.0,4198.0,988.0,999.0,1004.0,4937.0,2973.0,3670.0,6428.0,12918.0,20708.0,29481.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,1000.0,4000.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,239.0,6988.0,2251.0,22.0,885.0,892.0,906.0,927.0,4781.0,4484.0,4402.0,3456.0,10488.0,12911.0,12582.0,6504.0,7877.0,8433.0,6246.0
Inne zobowiązania długoterminowe,0.0,172.0,0.0,2229.0,63.0,2024.0,64.0,20.0,21.0,21.0,361.0,413.0,204.0,922.0,440.0,279.0,409.0,506.0,0.0,0.0,798.0
Zobowiązania krótkoterminowe,8540.0,9355.0,10894.0,17600.0,14725.0,12703.0,12486.0,14189.0,17692.0,20720.0,26466.0,25688.0,29624.0,33109.0,50198.0,54745.0,59479.0,68146.0,65984.0,80475.0,80830.0
Inne zobowiązania krótkoterminowe,1161.0,0.0,2577.0,2850.0,3347.0,4305.0,3743.0,4217.0,6811.0,8569.0,6984.0,8477.0,11073.0,12771.0,14366.0,16250.0,11895.0,19046.0,17629.0,17842.0,19012.0
Rozliczenia międzyokresowe,270.0,1140.0,767.0,1219.0,1004.0,1939.0,1298.0,1444.0,1328.0,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,13180.0,16837.0,19936.0,30318.0,27597.0,29678.0,32282.0,37625.0,47073.0,54701.0,68292.0,72198.0,82821.0,94762.0,140708.0,154940.0,165740.0,180350.0,179458.0,190699.0,198517.0
Przepływy pieniężne z działalności operacyjnej,1003.0,2427.0,2401.0,847.0,-901.0,5428.0,-1858.0,6034.0,4021.0,2689.0,796.0,6769.0,4204.0,9002.0,5450.0,6946.0,11838.0,10040.0,1088.0,-297.0,1079.0
Amortyzacja,57.0,150.0,69.0,225.0,289.0,150.0,478.0,339.0,373.0,477.0,2425.0,1564.0,1872.0,1986.0,2142.0,1978.0,2529.0,2520.0,2700.0,3033.0,2831.0
Przepływy pieniężne z działalności inwestycyjnej,-254.0,-468.0,-790.0,83.0,-313.0,-596.0,-315.0,-488.0,-699.0,-675.0,-649.0,-1502.0,-1300.0,-1705.0,-3157.0,-1830.0,1494.0,-1018.0,-8869.0,-436.0,184.0
CAPEX (niematerialne i rzeczowe),430.0,0.0,1239.0,1825.0,-1141.0,368.0,311.0,498.0,748.0,915.0,1343.0,1502.0,1443.0,1769.0,2393.0,1904.0,775.0,1576.0,560.0,213.0,1122.0
Przepływy pieniężne z działalności finansowej,678.0,-660.0,-34.0,-1675.0,809.0,-303.0,-2018.0,-240.0,-672.0,-760.0,1059.0,-4741.0,-1782.0,-2003.0,1017.0,-4981.0,-4439.0,-448.0,3214.0,-115.0,6125.0
Emisja akcji,1.0,0.0,109.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,1427.0,1299.0,1577.0,-745.0,-405.0,4529.0,-4191.0,5306.0,2650.0,1254.0,1206.0,526.0,1122.0,5294.0,3310.0,135.0,8893.0,8574.0,-4567.0,-848.0,7388.0
