,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Koszty finansowe,,,,,-1.93,83.26,92.02,-115.87,8.25,7.65,41.27,1281.82,-42.83,-140.6,0.98,184.62,-216.51,585.31,-14.95,-59.46,420.16,-64.96,140.18,26.44,-143.83,465.78,-69.96,-41.12,158.45,-74.93,147.15,202.99,290.37,136.07,106.66,-24.93,94.55,-111.01
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-16.34,32.45,31.12,-15.31,-100.53,-216.2,-30.42,-55.22,4156.67,147.17,17.27,-46.65,98.27,-74.22,-96.66,292.21,5.51,105.87,-128.12,1350.64,-42.89,292.25,10888.89,-94.06,479.09,51.12,61.79,3.41,-26.56,-88.21,-117.09,-34.6,-6.52,-1964.67
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-16.34,32.45,31.12,-15.31,-100.53,-216.2,-30.42,-55.22,4156.67,147.17,17.27,-46.65,98.27,-74.22,-96.66,292.21,5.51,105.87,-128.12,1350.64,-42.89,292.25,10888.89,-94.06,479.09,51.12,61.79,3.41,-26.56,-88.21,-117.09,-34.6,-6.52,-1964.67
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-22.5,99.46,31.62,-5.76,-111.53,-194.78,-26.01,-64.63,265.19,174.49,3.63,-28.29,131.72,-74.83,-102.29,248.59,-5.61,160.46,-86.67,1321.07,-23.16,107.59,2866.07,-94.25,346.26,43.17,62.56,7.74,-28.66,-42.25,-115.65,-33.37,-6.19,-663.55
Zysk netto akcjonariuszy jednostki dominującej,,,,,-22.5,99.46,31.62,-5.76,-111.53,-194.78,-26.01,-64.63,265.19,174.45,3.63,-28.29,131.72,-74.82,-102.29,248.59,-5.61,160.46,-86.67,1321.07,-23.16,107.59,2866.07,-94.25,346.26,43.17,62.56,7.74,-28.66,-42.25,-115.65,-33.37,-6.19,-663.55
Aktywa trwałe,,,,,14.47,11.74,15.78,22.13,31.83,24.98,14.22,6.55,-3.0,-2.33,4.15,7.62,14.53,30.53,28.41,26.18,20.23,20.67,16.89,18.69,19.14,5.97,3.79,9.67,4.46,3.98,2.02,-3.41,1.02,2.21,3.33,-0.77,-1.69,-3.79
Wartości niematerialne i prawne,,,,,-5.92,-0.34,-4.36,-8.48,-10.66,-12.24,-14.42,-16.57,-24.85,-31.63,-21.11,4.49,5.21,25.29,11.35,-11.99,-9.41,550.92,553.4,577.38,589.07,-14.9,-4.49,-5.62,3.41,15.4,4.2,3.26,-4.91,-14.96,-4.11,-8.68,-14.52,-15.82
Rzeczowe składniki majątku trwałego,,,,,15.93,11.93,16.27,23.03,33.3,26.41,14.91,7.5,-2.7,0.13,7.04,8.85,15.7,29.21,26.86,25.37,18.88,19.87,16.37,16.97,19.81,5.33,3.31,10.2,2.84,3.17,2.16,-3.42,1.86,2.91,3.85,0.24,-1.13,-2.62
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-14.3,32.12,30.02,31.11,32.86,163.91,163.84,126.27,135.05,-52.67,-56.48,-24.17,-13.6,93.57,116.91,63.9,69.73,-27.19,-34.25,8.25,-43.32,64.39,41.08,3.54,85.37,23.51,-5.66,-6.99,-18.74,-6.95,-12.94,-29.91,-12.36,-33.1
Aktywa obrotowe,,,,,13.77,25.89,-1.21,14.67,-1.81,0.06,6.97,23.96,26.06,27.13,18.46,-0.77,12.55,-10.75,-16.84,0.17,-1.77,-0.97,25.97,69.71,72.82,63.71,87.94,-5.47,-20.33,14.73,-17.57,-5.22,15.07,3.01,-11.36,-11.72,-8.38,-0.17
Zapasy,,,,,12.68,73.11,-12.8,1.45,6.8,-1.39,-10.23,3.52,17.1,11.68,30.27,26.53,14.56,18.58,1.56,-0.4,-1.36,-4.92,24.64,15.18,-4.09,6.64,30.91,28.86,46.17,31.26,0.67,-10.4,10.65,27.41,8.53,8.54,-20.01,-1.78
Należności krótkoterminowe,,,,,16.05,9.25,5.3,25.71,-7.44,6.66,24.8,29.36,27.98,38.75,14.08,-9.45,11.73,-28.35,-25.21,-5.16,-5.18,-1.82,20.79,33.62,67.71,105.45,141.12,33.45,-13.19,14.93,-25.62,-1.43,17.58,-9.25,-25.17,-23.99,-0.65,-3.47
Inwestycje krótkoterminowe,,,,,-63.99,-34.93,89.02,26.69,52.23,-85.32,-82.58,266.52,124.83,237.5,76.03,-82.52,63.19,-14.52,-33.59,-26.64,-73.17,31.72,63.48,17436.79,5181.44,731.71,181.6,-96.7,-96.08,-66.03,-77.0,-52.61,58.71,-59.34,-6.64,134.6,-81.72,195.3
Środki pieniężne i inne aktywa pieniężne,,,,,-63.99,-34.93,89.02,26.69,52.23,-85.32,-82.58,266.52,124.83,237.5,76.03,-82.52,63.19,-14.52,-33.59,-26.64,-73.17,31.72,63.48,17436.79,5181.44,731.71,181.6,-96.7,-96.31,-67.14,-80.44,-60.6,59.16,-62.93,-13.45,159.42,-86.75,221.04
Pozostałe aktywa obrotowe,,,,,105.88,-37.5,-16.27,-32.75,-12.69,-2.18,151.11,302.24,119.63,-19.7,-31.46,-39.15,-37.43,-100.0,-100.0,-100.0,-100.0,,,,,-55.06,-10.53,137.9,98.92,208.11,38.37,-2.51,-9.12,-3.07,10.82,-0.97,96.82,44.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,
Aktywa razem,,,,,14.15,16.99,8.17,18.68,16.46,15.03,11.25,14.34,8.19,7.89,9.78,3.55,13.64,13.65,9.2,14.09,10.45,13.72,19.83,39.51,40.36,22.11,32.39,2.16,-7.61,8.01,-7.43,-4.24,6.92,2.53,-2.98,-5.75,-4.71,-2.34
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-7.76,57.13,35.82,29.81,43.69,-13.57,-14.1,-7.3,-4.75,3.84,3.81,1.07,3.33,2.98,0.54,-4.06,-4.15,-1.77,-1.82,102.64,97.92,53.64,56.62,-14.82,-30.51,-7.94,-6.68,-6.2,20.03,16.8,12.65,7.93,7.14,-10.04
Kapitał (fundusz) podstawowy,,,,,-6.21,7.85,7.85,7.85,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,1.82,127.11,119.08,178.93,148.11,15.31,11.75,-0.43,-0.43,6.05,6.05,10.61,10.61,10.61,10.61,3.48,-15.26,-15.26,-15.26,-3.89,17.37,17.37,17.37,104.25,122.64,130.56,130.56,-5.44,-13.25,-16.23,-16.23,17.87,17.87,17.87
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,32.81,-18.4,-50.98,-37.58,-36.16,77.15,82.03,47.57,8.99,-21.09,-24.96,-9.84,-14.33,16.2,86.76,53.94,100.32,68.67,40.93,7.17,-11.18,-9.02,-9.2,23.93,4.54,-7.48,-32.85,-35.47,-19.32,-9.02,-6.86,-13.94,-25.45,-19.95
Z tytułu dostaw i usług,,,,,73.27,-4.97,27.21,4.98,-14.6,41.46,25.41,61.82,82.04,38.39,24.27,11.61,29.7,19.53,11.84,27.97,1.37,7.29,22.63,11.04,19.78,26.92,43.19,9.1,-5.68,23.2,-11.48,-5.64,10.13,-18.82,-27.35,-7.81,1.17,20.98
Kredyty i pożyczki,,,,,-48.94,15.01,28.19,345.99,1982.73,109.53,181.55,63.66,-81.97,56.77,49.86,24.71,360.74,61.16,-7.86,-31.92,14.21,5.27,39.9,-63.73,-75.1,-74.46,-27.95,289.11,461.39,313.12,90.77,36.3,8.03,32.35,-8.26,-15.85,-9.56,9.03
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-36.65,-30.04,-10.34,-78.92,-2.59,67.77,-63.83,53.06,-46.88,-67.43,-5.51,-6.32,-7.24,-2.02,10.34,25.53,31.46,90.59,14.54,174.58,43.47,-1.98,29.8,85.92,88.35,31.52,114.12,-11.95,13.1,75.8,53.53,-39.19,-20.03,-24.3
Inne zobowiązania długoterminowe,,,,,-4.37,10.02,1.43,3.36,5.63,19.5,34.86,18.87,16.77,-28.19,-29.53,-23.46,-24.88,-5.38,-3.71,-4.6,-3.74,-2.48,-3.08,-4.04,9.82,25.65,13.17,49.88,-100.0,-99.98,-100.0,-100.0,,-100.0,,,,
Zobowiązania krótkoterminowe,,,,,28.87,-9.14,16.61,39.34,33.48,41.51,26.16,25.93,21.36,27.76,30.69,9.19,31.98,22.57,-3.47,15.78,-0.86,8.62,27.06,17.09,28.65,15.17,39.6,11.0,3.03,18.38,-5.37,0.04,5.32,-2.8,-11.34,-10.68,-5.32,11.14
Inne zobowiązania krótkoterminowe,,,,,4.72,-14.56,7.23,228.88,-16.13,-21.64,30.78,-42.88,193.85,59.99,42.52,-16.23,-36.73,-22.94,-55.82,33.6,-50.75,-1.02,35.98,90.4,577.74,282.18,221.6,-53.21,-59.27,-72.78,-69.56,1.19,-31.82,-24.07,69.16,9.13,-33.12,-23.41
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469200.0,,,31.07,-15.01,-24.72,-35.21,-37.63,-27.68
Pasywa razem,,,,,14.15,16.99,8.17,18.68,16.46,15.03,11.25,14.34,8.19,7.89,9.78,3.55,13.64,13.65,9.2,14.09,10.45,13.72,19.83,39.51,40.36,22.11,32.39,2.16,-7.61,8.01,-7.43,-4.24,6.92,2.53,-2.98,-5.75,-4.71,-2.34
Przepływy pieniężne z działalności operacyjnej,,,,,327.59,-78.67,222.58,-6251.16,-4.54,-15.85,-50.93,24.52,2.51,-90.82,93.64,68.52,-0.09,2312.35,-37.12,772.0,-123.18,15.41,-99.61,714.9,134.21,-50.52,-127893.33,-83.98,1317.29,117.8,97.79,-5.14,-86.2,-72.65,2398.35,32.55,-254.14,-82.93
Amortyzacja,,,,,14.17,29.4,32.37,36.68,50.25,56.99,53.96,49.19,26.44,12.0,10.02,4.15,-0.42,15.28,12.39,18.91,33.65,-3.69,24.4,30.93,22.11,29.1,12.21,-0.29,-3.6,17.53,4.98,12.18,11.88,3.81,9.94,6.26,10.92,5.6
Przepływy pieniężne z działalności inwestycyjnej,,,,,-282.33,64.02,-34.06,-98.89,-27.68,211.19,79.02,-3900.0,73.66,-200.05,-378.78,-109.17,-216.69,-534.25,23.62,-41.55,64.32,93.51,15.23,2.06,-97.05,-191.56,64.71,-228.88,55.6,100.27,-6.87,70.7,-154.5,-56685.71,3.7,44.61,59.67,23.33
CAPEX (niematerialne i rzeczowe),,,,,,-12.0,47.9,307.33,,-63.83,-78.88,-76.97,18.99,-21.92,382.49,148.9,232.44,410.36,0.37,25.25,-47.87,-83.44,-36.41,-2.58,29.44,35.7,-52.56,228.83,-42.33,14.6,-21.04,-64.42,98.26,31.89,6.88,-54.04,-60.12,-2.34
Przepływy pieniężne z działalności finansowej,,,,,-497.93,91.19,-103.76,230.32,53.53,-414.23,-277.17,18.92,-308.48,119.83,188.69,-45.59,77.08,251.63,31.68,-235.23,362.65,-290.93,187.42,-490.94,-160.14,-215.1,261.64,101.85,-207.22,64.98,-96.66,-1374.76,150.81,102.59,-1592.36,-62.99,-26.72,1946.81
Emisja akcji,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,-0.49,,-100.0,149.13,-100.0,,,-77.02,,,,-100.0,,,,,-100.0,,,-63.64,,,,-100.0,-100.0,,,,,,,,
Przepływy pieniężne razem,,,,,6.82,8.99,-50.92,124.9,204.88,-133.69,120.73,401.65,-370.54,-65.53,-59.83,-139.7,626.93,-146.58,-166.67,37.55,-74.82,107.22,123.44,12244.19,-1616.41,-21516.96,-26526.67,-103.1,99.74,103.69,59.21,102.12,7261.11,-213.35,76.99,3458.33,-178.9,323.35
