,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Koszty finansowe,,,,,231.25,-26.78,-35.22,50.0,-23.58,129.1,105.13,-152.19,29.63,-51.14,-73.75,206.72,120.0,46.67,75.24,59.84,85.71,326.36,118.48,125.62,0.93,-42.11,-11.94,-43.01,-39.49,-50.09,-28.81,-96.55,-48.09,-29.52,11.51,1922.22,-20.59,128.27,-1.07,-16.48,46.3,105.28,-31.65,176.97,62.03,-59.33,82.63,-34.92,-21.09,13.46,-8.36,-13.87,158.42,-39.23,196.54,92.37,-67.43,13.94,-67.55,-64.76,253.53,182.17,381.7,1576.25,407.99,76.46,-14.25,-44.93,-51.88,23.38
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-495.83,70.03,-29.37,-403.94,2.63,32.09,27.89,76.91,-0.54,40.38,42.94,-13.56,-127.96,-47.67,-90.12,-76.87,-39.86,-22.67,67.83,-69.62,-5.56,22.21,339.28,71.09,43.29,26.87,-80.26,70.91,-49.01,-37.75,174.84,-1003.55,-37.43,17.11,59.24,111.8,340.3,102.59,80.05,289.55,-23.18,10.12,20.22,-99.53,-41.58,-41.23,-72.63,-16850.0,-94.9,-31.97,41.1,-12.09,3980.0,155.25,164.0,352.73,113.17,19.21,-13.84,-152.37,-100.83,-16.81,37.44,487.73,18800.0,104.1
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-495.83,70.03,-29.37,-403.94,2.63,32.09,27.89,76.91,-0.54,40.38,42.94,-13.56,-127.96,-47.67,-90.12,-76.87,-39.86,-22.67,67.83,-69.62,-5.56,22.21,339.28,71.09,43.29,26.87,-80.26,70.91,-49.01,-37.75,174.84,-1003.55,-37.43,17.11,59.24,111.8,340.3,102.59,80.05,289.55,-23.18,10.12,20.22,-99.53,-41.58,-41.23,-72.63,-16850.0,-94.9,-31.97,41.1,-12.09,3980.0,155.25,164.0,352.73,113.17,19.21,-13.84,-152.37,-100.83,-16.81,37.44,487.73,18800.0,104.1
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-573.68,72.22,-28.22,-71.63,-39.44,28.69,27.55,51.4,35.06,42.77,42.87,-59.37,-158.9,-46.66,-90.05,-74.5,-31.99,-22.12,74.22,-71.61,-7.0,22.26,324.22,69.32,43.29,24.68,-80.66,71.26,-49.41,-36.69,194.26,-984.93,-39.6,17.94,49.77,107.51,299.29,95.55,88.65,343.7,-22.78,9.93,14.66,-105.49,-42.95,-41.19,-70.34,-2189.66,-95.64,-32.71,28.7,3.16,4729.63,157.86,163.59,328.15,114.88,19.0,-12.87,-159.44,-101.82,-16.82,35.73,453.9,8464.71,106.72
Zysk netto akcjonariuszy jednostki dominującej,,,,,-573.68,72.22,-28.22,-71.63,-39.44,28.69,27.55,51.4,35.06,42.77,42.87,-59.37,-158.9,-46.66,-90.05,-74.5,-31.99,-22.12,74.22,-71.61,-7.0,22.26,324.22,69.32,43.29,24.68,-80.66,71.26,-49.41,-36.69,194.26,-984.93,-39.6,17.94,49.77,107.51,299.29,95.55,88.65,343.7,-22.78,9.93,14.66,-105.49,-42.95,-41.19,-70.34,-2189.66,-95.64,-32.71,28.7,3.16,4729.63,157.86,163.59,328.15,114.88,19.0,-12.87,-159.44,-101.82,-16.82,35.73,453.9,8464.71,106.72
Aktywa trwałe,,,,,-5.47,7.97,50.37,61.49,78.08,74.7,26.36,28.15,57.12,67.56,70.35,89.18,75.68,79.22,85.47,61.36,28.19,15.11,7.86,1.16,-1.49,-4.89,-5.32,-5.75,-6.1,-4.68,-5.0,-4.25,-1.33,-2.85,0.83,1.64,1.93,4.3,2.31,13.6,15.61,20.08,18.39,7.95,5.81,1.08,1.47,1.14,1.07,6.23,9.66,24.55,37.9,34.24,32.48,17.3,4.47,4.21,2.79,0.1,0.45,-2.68,-2.51,-1.69,0.88,7.77,7.27,7.69,4.95,5.68
Wartości niematerialne i prawne,,,,,-41.18,-63.16,-76.47,-84.62,-100.0,957.14,2150.0,3150.0,,-40.54,-63.33,-16.92,-27.78,-6.82,18.18,75.93,194.87,70.73,38.46,-56.84,-73.91,-71.43,-64.81,17.07,40.0,75.0,47.37,-54.17,-61.9,-60.0,-71.43,-86.36,-87.5,42.86,325.0,866.67,1100.0,-5.0,-8.82,-13.79,-25.0,-5.26,6.45,56.0,88.89,55.56,145.45,64.1,70.59,200.0,-18.52,-17.19,103.45,25.0,22.73,18.87,-41.53,113.33,329.63,415.87,344.93,40.62,-12.64,11.38,28.01,22.86
Rzeczowe składniki majątku trwałego,,,,,-3.9,8.76,52.48,60.4,78.57,0.0,23.66,29.22,57.5,193.82,74.59,90.05,76.53,80.45,86.35,62.46,28.35,14.75,7.62,1.0,-1.33,-4.9,-5.49,-5.57,-6.1,-4.86,-4.76,-4.38,-1.44,-2.69,0.45,0.93,1.22,4.12,2.0,13.85,15.71,19.28,17.64,7.39,5.66,1.37,1.97,0.96,0.63,5.62,8.79,24.82,38.43,34.75,33.07,17.39,3.99,3.33,2.6,0.45,1.07,-1.84,-2.42,-2.24,0.18,7.44,6.96,7.1,4.63,4.95
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-46.84,-13.98,-14.02,143.75,73.81,4381.25,126.09,-41.54,0.0,-95.56,-36.54,81.58,42.47,-3.77,8.33,-32.37,-20.67,58.17,43.36,71.43,21.82,16.53,34.63,-30.83,-13.43,6.74,-32.25,31.33,29.89,-10.63,62.57,91.74,88.05,18.96,19.74,-7.18,4.94,86.56,74.45,51.29,17.49,-14.24,-22.99,7.84,24.24,42.38,56.03,9.0,10.45,4.53,11.53,15.51,26.15,54.46,11.63,-21.46,-25.69,-46.39,-35.05,-3.83,13.8,19.97,41.49,49.5,14.99,45.57
Aktywa obrotowe,,,,,102.31,58.29,53.37,11.52,33.94,15.4,11.28,15.03,15.37,4.31,12.9,33.03,30.57,12.26,18.69,3.02,31.52,33.28,15.72,10.43,-21.93,-15.98,-7.41,-5.7,14.71,30.06,15.67,20.1,2.95,-13.5,32.24,9.26,13.38,28.4,-2.22,21.24,33.59,-21.3,6.02,4.46,-13.15,19.66,5.33,10.39,15.67,0.46,-4.69,-0.23,1.31,12.0,35.11,16.7,28.14,17.52,3.72,52.05,51.45,58.49,69.38,32.3,4.4,8.69,-10.4,-15.98,1.8,-14.87
Zapasy,,,,,78.4,26.23,64.38,82.99,64.55,22.77,-0.57,7.55,23.89,14.29,52.48,54.2,35.85,35.25,54.95,12.35,28.59,67.92,-13.14,-3.05,-25.93,-29.67,-16.48,-7.76,11.76,53.97,71.24,25.49,4.09,-1.3,8.19,4.22,11.42,27.37,-13.21,-7.24,21.12,-11.31,25.3,46.29,5.74,36.55,34.88,24.7,28.31,22.51,10.99,3.13,-11.15,-0.92,20.02,15.45,43.88,27.19,4.11,58.15,47.84,80.68,91.91,33.97,7.17,0.92,-18.96,-23.28,-3.6,-25.82
Należności krótkoterminowe,,,,,96.01,73.55,54.08,67.08,29.51,12.82,16.27,-6.53,-1.09,2.38,-8.68,17.06,16.04,3.89,-6.9,-3.23,41.25,16.91,56.83,47.19,-13.59,-8.91,-1.88,-1.12,16.14,14.7,-27.49,7.08,3.11,-20.72,65.37,32.17,25.14,33.3,17.63,74.34,58.94,-33.34,-23.18,-40.03,-42.49,7.41,-9.79,-20.56,-22.8,-27.46,-30.4,-15.46,36.96,36.14,67.13,22.58,-1.9,1.94,1.61,32.87,59.07,19.54,28.44,19.67,-10.22,24.96,13.55,25.88,36.56,1.38
Inwestycje krótkoterminowe,,,,,614.98,27.78,229.17,-97.84,-82.1,821.74,482.28,1927.89,22.39,-71.23,36.52,-30.56,46.36,34.43,-55.02,-82.61,6.25,-22.56,-54.69,186.11,43.72,897.64,291.41,1.84,92.28,123.13,187.43,49.95,-17.03,-27.84,73.26,-71.01,-38.78,-37.94,-59.84,33.11,60.19,117.77,288.42,139.54,-46.02,-48.93,-78.24,-29.16,28.74,-57.6,-59.03,20.1,276.3,248.24,384.58,22.55,-51.83,4.91,14.75,5.61,137.09,-61.71,12.93,67.83,15.37,417.6,21.98,-21.99,-26.81,120.15
Środki pieniężne i inne aktywa pieniężne,,,,,614.98,27.78,229.17,-97.84,-82.1,821.74,482.28,1927.89,22.39,-71.23,36.52,-30.56,46.36,34.43,-55.02,-82.61,6.25,-22.56,-54.69,186.11,43.72,897.64,291.41,1.84,92.28,123.13,187.43,49.95,-17.03,-27.84,73.26,-71.01,-38.78,-37.94,-59.84,33.11,60.19,117.77,288.42,139.54,-46.02,-48.93,-78.24,-29.16,28.74,-57.6,-59.03,20.1,276.3,248.24,384.58,22.55,-51.83,0.0,-1.61,-30.41,81.17,-74.65,20.16,119.43,44.31,720.11,33.7,-9.46,-30.63,120.15
Pozostałe aktywa obrotowe,,,,,135.94,-20.04,-39.77,-35.93,-43.29,-42.65,-51.8,-28.14,-36.97,-35.29,46.62,-2.37,2.95,48.05,-2.43,51.37,88.52,140.35,99.5,-1.41,-32.83,-76.64,-47.13,-25.46,-33.33,50.0,15.57,2.19,14.08,-61.98,-14.29,-11.76,-19.57,-31.51,1.67,-4.24,19.58,60.0,24.36,24.37,36.28,46.25,5.84,4.33,-2.27,-6.84,-2.49,30.24,19.6,28.44,26.64,1.31,23.61,15.71,8.79,-5.18,-1.35,34.57,16.16,62.96,20.5,7.34,10.03,14.71,37.43,52.56
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,67.59,50.63,52.82,20.76,41.96,21.87,14.01,18.27,24.89,14.21,24.42,48.07,43.5,27.63,37.03,22.97,30.35,27.42,12.8,6.27,-14.87,-12.75,-6.66,-5.72,6.4,19.03,8.21,9.7,1.44,-10.79,22.3,6.42,9.46,21.73,-1.04,18.52,27.85,-11.49,9.35,5.65,-7.67,13.68,4.2,7.16,10.84,2.11,-0.61,7.92,12.35,18.62,34.28,16.93,19.38,13.04,3.43,32.26,34.92,39.49,47.26,22.49,3.55,8.49,-6.8,-10.5,2.54,-10.45
Kapitał własny akcjonariuszy jednostki dominującej,,,,,193.37,164.74,154.76,20.66,20.48,21.75,22.09,24.32,24.97,27.86,28.77,28.41,27.68,14.19,7.13,6.13,5.84,3.47,3.91,1.51,2.54,3.8,7.18,11.12,10.73,11.78,7.92,8.81,8.51,4.72,6.14,3.21,2.83,3.59,4.55,8.07,12.45,18.06,20.16,20.86,19.76,17.99,17.84,16.85,15.88,10.8,7.11,6.29,3.1,1.39,1.74,1.78,5.18,9.98,12.43,15.06,17.2,17.34,16.21,15.9,12.55,10.36,11.07,10.38,14.28,19.48
Kapitał (fundusz) podstawowy,,,,,29.13,29.13,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.31,-23.23,-23.23,-23.23,-4.38,0.0,0.0,100.0,100.0,100.0,100.0,,,
Kapitał (fundusz) zapasowy,,,,,310.99,382.14,382.14,27.19,17.31,23.71,23.71,23.71,23.71,27.23,27.23,27.23,27.23,31.08,31.08,31.08,31.08,6.57,6.57,6.57,6.57,2.78,2.78,2.78,2.78,10.59,10.59,10.59,10.59,9.34,9.34,9.34,9.34,3.38,3.38,3.38,3.38,8.5,8.5,8.5,8.5,21.87,21.87,21.87,21.87,17.52,17.52,17.52,17.52,-5.19,-5.19,-5.19,-4.61,5.3,5.3,5.3,4.66,17.45,17.45,17.45,17.45,14.83,14.83,14.83,14.83,13.78
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-55.78,-49.67,-50.05,-42.79,-5.01,-4.8,-4.8,143.51,858.26,1039.45,1084.86,935.74,182.79,175.5,178.73,97.62,13.07,-3.08,-11.59,-9.73,-17.72,-23.91,-26.42,-16.12,-13.75,-10.11,-5.12,-16.51,-17.22,-17.78,-20.34,-19.02,10.69,12.18,11.17,19.49,10.67,23.71,14.74,13.74,-24.01,-26.12,-20.93,-30.95,-23.98,-32.11,-34.52,-24.25,15.9,38.8,53.03,35.79,9.65,-3.57,-4.7,-5.66,-24.21,-25.88,-22.92,-10.9,-10.06,15.26,7.44,2.01,6.34,-14.85
Z tytułu dostaw i usług,,,,,,,,-12.95,,,,23.87,,,,37.29,,,,-30.17,,,,21.99,,,,13.54,,,,-8.81,,,,40.11,,,,136.7,,,,-26.58,,,,-26.61,,,,3.87,,,,154.64,,,,122.14,,,,-21.84,,,,-8.18,,
Kredyty i pożyczki,,,,,,,,269.49,,,,-100.0,,,,,,,,,,,,65.59,,,,-17.88,,,,-15.24,,,,44.03,,,,-18.98,,,,-48.1,,,,30.68,,,,15.19,,,,96.11,,,,42.28,,,,203.13,,,,-76.82,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,-21.2,,,,4.06,,,,-5.37,,,,-89.18,,,,300.0,,,,1.19,,,,0.0,,,,-75.29,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,-36.58,-0.26,-20.94,21.29,151.56,21.96,6.33,-15.91,-7.14,-17.38,-26.86,44.44,29.15,20.97,108.51,62.88,125.95,86.28,57.17,46.17,-37.25,-25.66,-20.51,-45.96,8.75,36.78,15.45,51.27,-5.97,-25.83,71.42,39.23,25.25,51.65,-11.05,55.06,67.44,-50.0,-8.75,-35.02,-44.15,20.04,-16.6,-9.69,9.35,-8.49,-11.16,33.91,43.26,66.89,141.59,78.88,53.06,18.96,-9.08,83.34,63.37,79.73,106.14,35.99,-1.92,9.71,-23.52,-44.13,-16.76,-46.25
Inne zobowiązania krótkoterminowe,,,,,,,,756.25,,,,127.01,,,,152.41,,,,-10.32,,,,7.1,,,,-663.13,,,,118.42,,,,11.64,,,,250.4,,,,-42.2,,,,2.09,,,,199.11,,,,-40.95,,,,-10.23,,,,11.84,,,,10.78,,
Rozliczenia międzyokresowe,,,,,67.57,476.11,99.27,153.67,-2.35,32.03,-36.76,-19.71,-10.21,-32.93,-12.72,93.47,75.08,-84.65,-84.85,-71.13,-77.36,32.77,18.13,179.03,0.42,79.15,64.65,-54.19,27.31,91.69,-10.45,31.55,31.35,-34.57,124.92,48.44,52.01,28.41,28.19,-15.67,15.7,108.11,20.24,84.87,59.14,2.83,11.37,-33.47,-33.93,-36.94,-56.54,-26.95,-39.67,-19.34,92.11,82.3,127.93,147.29,28.47,62.11,451.19,182.85,288.35,48.27,-58.44,-59.86,-50.58,146.08,128.73,170.66
Pasywa razem,,,,,67.59,50.63,52.82,20.76,41.96,21.87,14.01,18.27,24.89,14.21,24.42,48.07,43.5,27.63,37.03,22.97,30.35,27.42,12.8,6.27,-14.87,-12.75,-6.66,-5.72,6.4,19.03,8.21,9.7,1.44,-10.79,22.3,6.42,9.46,21.73,-1.04,18.52,27.85,-11.49,9.35,5.65,-7.67,13.68,4.2,7.16,10.84,2.11,-0.61,7.92,12.35,18.62,34.28,16.93,19.38,13.04,3.43,32.26,34.92,39.49,47.26,22.49,3.55,8.49,-6.8,-10.5,2.54,-10.45
Przepływy pieniężne z działalności operacyjnej,,,,,-138.71,-71.59,-25.44,13.24,21.28,36.56,142.14,-14.77,-113.12,-24.86,21.08,-44.69,-28.25,45.37,-57.9,128.29,-44.33,-112.1,203.47,-3.93,80.24,19.5,-44.14,57.54,-185.27,-93.61,19.32,-1.47,86.2,34.32,-135.46,75.14,-296.3,-114.91,415.6,4.47,-181.16,167.87,-92.05,-79.9,96.73,-123.4,-169.69,184.92,-386.1,27.8,534.64,8.54,178.44,-485.4,-235.89,150.51,-550.0,120.43,118.94,-87.31,-73.62,-778.43,-264.41,43.33,169.0,90.23,492.1,598.87,-195.3,1516.02
Amortyzacja,,,,,58.75,20.51,-48.3,18.18,14.17,24.11,31.39,10.49,27.59,6.29,-8.33,14.56,-0.54,-13.98,-0.61,6.63,126.09,165.62,160.37,141.97,27.64,11.53,-0.47,3.0,-9.6,-0.21,12.47,-0.42,0.0,0.21,-1.67,-3.34,-4.58,-3.59,8.3,8.86,10.7,14.0,11.0,11.51,15.38,16.89,1.95,1.07,-1.71,-4.6,1.22,3.7,2.96,12.91,31.73,40.41,36.66,32.93,15.1,7.38,6.06,-1.72,-0.45,-1.8,0.23,7.35,1.82,37.73,23.37,16.09
Przepływy pieniężne z działalności inwestycyjnej,,,,,46.64,-628.87,-1061.08,-355.0,-520.0,-2.53,91.13,-69.6,-326.52,-213.69,-164.53,-222.14,-38.85,-100.97,-250.11,50.89,83.92,77.62,88.89,127.65,91.47,78.3,88.14,-103.95,11.76,-175.78,-500.0,2993.75,-1295.0,77.48,-575.4,-127.43,-7.41,-699.0,47.24,-1655.91,-65.07,-123.15,100.89,55.61,26.48,60.46,96425.0,-372.02,7.7,-86.81,-157.14,36.72,-471.1,-13.59,54.81,-19.92,88.18,15.31,-30.59,85.65,-41.47,60.14,44.09,18.86,-107.38,-646.34,55.36,-123.0,37.84,-11.22
CAPEX (niematerialne i rzeczowe),,,,,28.46,307.5,1571.55,223.98,157.85,65.64,-91.13,67.15,326.01,205.56,181.98,222.14,38.85,100.97,228.45,-50.69,-83.92,-77.62,-88.89,-91.64,-87.58,-82.48,-76.27,-86.99,-39.39,241.54,200.0,543.75,1295.0,-70.95,638.89,118.45,7.41,565.12,-50.16,870.67,65.07,120.98,-83.62,-62.04,-24.66,-85.13,836.84,-34.38,-9.93,367.02,209.83,443.93,471.1,14.35,-52.54,22.3,-87.52,-15.87,24.36,-85.63,35.65,-57.62,-42.7,-8.65,111.81,601.86,-37.94,97.68,-39.02,11.22
Przepływy pieniężne z działalności finansowej,,,,,-109.63,54.43,67.39,-216.92,2076.79,-18.92,-282.55,63.08,85.16,32.98,-14.42,155.58,55.31,-24.13,67.79,-560.84,12.93,34.14,-336.58,-13.06,-81.09,-16.92,41.94,-66.79,-91.07,200.28,-15.03,-18.14,725.1,-57.74,166.17,-86.98,177.26,115.88,-257.28,21.88,151.68,-152.16,129.69,45.74,-93.43,139.31,-65.38,-12.38,222.52,-30.5,-184.32,28.4,152.6,324.27,712.6,-250.93,2.84,-112.68,-68.4,77.15,93.34,1097.17,156.35,-7.16,-116.57,-73.87,-177.88,-492.68,518.0,-496.56
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-1667.35,-692.99,104.15,-100.12,105.34,101.44,342.86,18836.36,-1116.26,-1258.06,128.63,-60.5,45.36,-50.42,-64.64,-125.18,128.4,-15.0,-67.83,477.56,-88.4,130.92,-305.43,-93.93,-16220.0,4604.17,120.0,-2880.85,101.96,-96.4,5466.04,-246.9,318.31,-33.54,-74.98,69.19,80.98,397.69,581.17,-353.11,-150.79,-53.49,-12.15,24.27,125.46,-214.4,-97.8,111.33,2174.82,-305.59,1223.71,-440.15,-80.93,98.28,38.63,-51.81,361.69,-8180.0,93.76,40.76,15.84,63.22,-71.18,-93.86,-45.86,565.76
