,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Koszty finansowe,,,,,,-85.51,38.89,-78.26,-100.95,186.67,-62.0,-70.0,300.0,-90.7,-47.37,5466.67,1300.0,1912.5,50.0,44.31,1553.57,169.57,720.0,-109.96,-64.15,-92.86,60.16,970.83,-20.48,1129.03,-47.72,-75.12,-40.91,-54.07,110.68,34.62,-223.08,1150.86,-77.88,220.0,2152.08,-100.27,2902.08,-132.14,-61.68,2666.67,153.02,-1850.0,47.68,-766.23,-35.19,279.49,568.34,-248.64
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,288.89,57.01,-35.72,17.16,149.71,106.7,-19.88,-60.4,-34.21,136.72,14.47,528.69,-69.91,81.05,111.82,57.83,-34.68,-50.73,-70.62,-41.04,1235.4,36.45,32.98,20.16,-61.56,36.16,-25.6,18.15,-66.55,-59.94,189.07,-57.75,1227.84,-246.13,40.5,106.57,-31.25,335.92,78.2,72.08,225.58,64.8,127.63,132.75,194.87,31.16,84.62,-13.43,-98.78,-33.73
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,288.89,57.01,-35.72,17.16,149.71,106.7,-19.88,-60.4,-34.21,136.72,14.47,528.69,-69.91,81.05,111.82,57.83,-34.68,-50.73,-70.62,-41.04,1235.4,36.45,32.98,20.16,-61.56,36.16,-25.6,18.15,-66.55,-59.94,189.07,-57.75,1227.84,-246.13,40.5,106.57,-31.25,335.92,78.2,72.08,225.58,64.8,127.63,132.75,194.87,31.16,84.62,-13.43,-98.78,-33.73
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,300.0,44.51,-28.52,6.3,141.1,101.71,-18.11,-42.63,-18.32,126.39,2.74,375.57,-79.65,88.09,104.95,102.38,20.51,-66.02,-64.78,-41.19,348.23,184.23,39.58,11.44,-6.65,26.61,-44.99,14.98,-103.73,-66.27,65.64,-67.42,9377.27,-258.99,35.89,137.53,-63.45,295.88,171.76,3.05,434.72,55.1,122.98,271.17,208.25,52.88,104.16,-15.48,-113.48,-47.4
Zysk netto akcjonariuszy jednostki dominującej,,,,,300.0,44.51,-28.52,6.3,141.1,101.71,-18.11,-42.63,-18.32,126.39,2.74,375.57,-79.65,88.09,104.95,102.38,20.51,-66.02,-64.78,-41.19,348.23,184.23,39.58,11.44,-6.65,26.61,-44.99,15.22,-103.73,-66.27,65.64,-67.49,9377.27,-258.99,35.89,137.53,-63.45,295.88,171.76,-95.51,36.73,-21.51,-137.42,2870.0,451.27,16.43,523.42,-38.48,-169.93,-46.87
Aktywa trwałe,,,,,,54.94,112.49,115.04,122.07,141.21,87.27,105.92,128.59,4.15,25.04,621.32,572.55,614.54,503.86,-0.73,31.98,31.63,28.94,29.27,-2.45,-3.11,-3.02,-2.6,-1.43,0.08,-3.91,-4.35,-5.79,-8.68,-4.23,-4.15,-6.19,-3.87,-5.04,-8.56,-9.37,34.99,34.27,62.91,68.2,32.3,155.07,140.57,145.75,113.79,12.84,17.62,18.78,7.9
Wartości niematerialne i prawne,,,,,,-46.12,-53.53,-63.12,-76.46,887.9,1137.64,1750.85,3210.75,23.75,54.41,668.93,1204.16,949.62,779.47,74.14,12.85,3.56,3.23,2.92,-1.56,-1.55,-1.81,-2.08,-2.21,-5.17,-1.27,-1.1,-0.88,2.24,-1.56,-1.5,-1.49,-4.3,-1.27,0.2,-3.38,6.45,3.32,31.26,36.58,54.59,242.01,193.93,198.55,157.31,18.06,8.13,10.17,0.83
Rzeczowe składniki majątku trwałego,,,,,,119.03,155.18,158.26,142.38,12.22,4.84,14.38,20.44,-5.62,-8.6,23.44,137.3,42.57,66.17,11.85,154.33,407.07,318.28,314.64,-8.18,-11.26,-12.28,-11.35,-8.19,-9.54,-12.2,-15.29,-14.86,-16.26,-8.32,-11.95,-23.1,-27.01,-39.75,-46.03,-40.31,206.94,244.5,317.87,306.14,-12.83,17.65,22.11,26.32,24.5,-9.04,77.28,71.41,54.94
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,-33.33,3131.58,3311.11,4285.71,3157.14,-25.73,-25.73,-25.9,-93.86,-93.86,2941.67,-80.44,-21.43,-21.43,-99.84,-75.28,-100.0,-100.0,-100.0,-100.0,,,,,,,3.77,43.64,-96.29,136.36,1030.91,688.61,382.17,-18.46,-82.96,-82.99,-82.96,0.0,0.0,0.0,1247.17,2250.94,2383.96,2595.28,-9.03,-50.88,-57.8,-59.5,-40.11
Pozostałe aktywa trwałe,,,,,,64.52,16.39,-100.0,,53.92,121.13,,,19.11,331.85,3642.68,1.32,452.41,53.1,-95.17,-58.2,0.19,-0.29,190.85,213.54,64.15,95.17,133.29,151.05,23.01,-4.26,2.28,-42.52,-37.46,-41.57,-43.78,-41.67,178.96,218.14,54.24,107.5,-16.68,-15.3,5.21,29.99,49.28,-67.62,-84.2,-67.46,-64.19,16.63,91.2,192.05,1.35
Aktywa obrotowe,,,,,,115.37,59.65,67.03,18.9,-20.46,-17.59,-29.61,-36.24,57.71,231.54,338.58,281.75,173.83,32.03,13.07,40.39,35.9,37.66,42.45,25.08,27.96,17.85,13.65,11.4,-1.78,5.47,7.45,11.71,22.63,9.24,6.12,16.77,-0.42,-0.16,10.63,0.97,11.59,24.03,137.35,143.17,103.57,110.67,-6.27,10.6,15.98,23.85,27.54,13.53,-0.02
Zapasy,,,,,,-28.09,-27.34,-21.47,-9.28,-74.14,-68.41,-67.8,-45.72,-15.9,97.27,332.91,173.79,357.59,123.32,37.83,61.71,360.8,255.76,142.15,46.49,-9.09,-17.9,-17.73,-5.98,2.51,8.52,17.5,21.63,25.11,20.9,12.0,12.84,12.14,15.74,6.15,-1.06,-44.15,-45.48,26.56,-14.38,-80.63,-78.75,-90.27,-87.64,-33.62,-1.61,-28.12,-32.46,-19.97
Należności krótkoterminowe,,,,,48.35,143.36,47.68,74.69,73.68,-14.76,-29.52,-36.01,-46.43,44.11,73.94,425.42,306.38,237.19,270.39,30.72,101.69,2.72,9.06,21.9,0.49,50.08,11.53,19.03,16.54,12.22,12.95,8.37,31.21,26.81,38.54,18.11,19.08,-4.4,-10.23,-14.35,-24.11,-2.64,15.66,11.71,61.44,17.97,101.3,89.16,92.13,74.07,22.79,40.38,-11.21,-19.22
Inwestycje krótkoterminowe,,,,,,2458.82,1881.94,729.1,-16.49,-6.67,18.75,-7.88,-6.69,45.03,427.06,255.82,283.27,96.26,-52.21,-28.8,-48.18,115.1,68.88,88.82,141.16,0.5,43.95,17.52,6.2,-49.98,-9.17,-11.48,-49.47,-13.51,-45.88,-37.13,-2.97,6.83,19.45,165.44,214.28,268.69,146.47,473.99,447.3,336.05,161.81,-32.74,-29.56,-19.13,25.48,14.84,55.15,25.45
Środki pieniężne i inne aktywa pieniężne,,,,,152150.0,6947.22,3465.38,2335.51,-18.88,-3.98,12.51,-14.54,-13.64,17.41,463.34,284.91,317.53,133.5,-53.32,-29.96,-49.84,123.35,75.19,96.55,154.44,0.5,43.95,17.52,5.7,-52.78,-12.48,-16.43,-55.81,-21.98,-51.58,-44.84,-21.77,11.71,37.28,192.26,303.73,284.33,133.78,483.1,506.43,369.53,176.7,-27.44,-29.66,-19.7,25.94,14.54,55.3,26.3
Pozostałe aktywa obrotowe,,,,,,370.0,-37.59,-75.86,-60.12,217.02,526.51,1882.14,149.23,1002.01,96.15,144.14,644.44,-22.35,16.47,-14.69,-49.5,-65.02,-77.95,-91.0,27.59,115.7,362.21,769.23,99.36,84.51,65.81,177.1,30.73,50.54,21.02,9.3,47.26,34.09,38.11,13.7,8.35,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,99.97,70.85,76.46,32.1,11.46,10.05,2.83,-0.78,34.82,138.91,474.1,425.88,319.28,142.79,4.76,35.06,33.5,32.57,34.93,8.03,10.73,6.0,4.76,4.22,-0.88,0.6,1.45,2.45,7.29,2.56,1.19,5.6,-1.86,-2.42,1.92,-3.5,21.15,28.65,107.04,112.74,71.13,131.57,40.78,53.97,50.4,18.14,22.11,16.22,3.94
Kapitał własny akcjonariuszy jednostki dominującej,,,,,152.48,129.57,100.59,100.75,30.52,34.71,31.24,26.24,23.24,32.36,26.99,308.41,277.68,248.07,254.77,14.17,28.78,21.38,19.74,15.87,7.31,11.35,11.51,7.97,7.83,8.93,8.56,12.71,11.8,6.51,6.71,3.51,5.94,0.25,0.51,0.71,-0.72,9.38,10.61,43.77,43.93,39.84,38.05,4.96,11.0,6.68,7.35,-1.28,-8.06,-40.69
Kapitał (fundusz) podstawowy,,,,,,10.74,10.74,10.74,0.55,0.55,0.55,0.55,0.0,0.0,0.0,53.52,59.14,59.14,59.14,3.66,6.46,6.46,6.46,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,260.46,453.04,319.69,168300.0,53.3,0.0,45.74,45.74,45.74,-63.21,354.31,354.38,240.05,1247.13,-25.15,-13.89,15.06,15.07,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.51,43.26,40.43,34.63,22.73,16.62,8.3
Zobowiązania długoterminowe,,,,,-100.0,,,,,-52.44,-58.95,-43.48,-65.79,7.69,38392.31,49789.74,48117.95,44776.19,28.19,-6.47,52.71,58.1,53.4,43.83,-7.72,-13.2,-18.83,-14.48,-17.48,-22.57,-23.63,-24.53,-30.96,-35.33,-34.93,-40.62,-47.27,-35.63,-45.71,-23.07,9.03,183.19,243.6,169.55,133.16,-21.58,270.79,295.77,294.4,356.81,1.1,28.51,39.82,58.57
Z tytułu dostaw i usług,,,,,,155.14,164.76,333.44,69.93,-52.53,-61.32,-70.74,-78.93,72.08,84.46,449.13,320.03,29.84,32.43,-37.51,0.99,109.44,54.48,110.66,93.27,24.88,30.79,56.47,32.74,5.37,13.9,-25.5,-5.52,71.88,32.09,18.92,32.02,-28.19,0.81,-12.86,7.81,15.04,26.15,155.19,59.95,29.91,125.29,-4.89,123.24,65.7,23.54,55.27,-10.71,-4.32
Kredyty i pożyczki,,,,,,-40.28,-84.6,-99.93,-99.8,-99.67,-99.01,400.0,200.0,-100.0,129100.0,-100.0,-100.0,,19.66,,,,25.49,124.4,98.67,1.16,77.11,-0.58,-0.76,96.97,-0.47,-0.76,-9.06,-7.53,-8.1,75.99,228.84,159.77,0.83,14.78,-74.26,38.33,77.53,-86.25,-77.85,-99.51,-97.21,-67.87,418.28,13014.29,4600.64,3980.53,439.42,271.45
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,-0.32,4.0,-21.0,-9.0,6.14,-16.28,-30.59,-34.52,292.29,289.49,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,-28.0,-29.63,236.36,783.33,2494.44,-100.0,-100.0,-100.0,6.71,,,,-36.32,-32.11,9.73,6.28,-10.71,-15.07,-50.74,-50.74,-76.47,-100.0,-100.0,-100.0,-100.0,,,,,,,,75.77,102.68,114.26,62.42,55.53,27.65,-9.52,-0.23,-17.12
Inne zobowiązania długoterminowe,,,,,,,,,,-52.44,-100.0,-100.0,-100.0,-100.0,,,,,86.25,-66.02,878.44,598.65,496.8,758.23,14.55,1.09,-5.63,-4.77,-10.92,-16.36,-15.88,-16.96,-29.24,-33.92,-30.89,-35.91,-42.39,-17.41,-27.21,-35.32,-23.86,-58.85,-64.39,-59.48,-59.53,-62.59,-28.69,2.83,51.64,36.79,101.56,71.15,12.1,33.64
Zobowiązania krótkoterminowe,,,,,33.92,63.99,34.86,28.3,36.13,-39.89,-59.14,-69.55,-77.1,65.19,168.61,719.56,643.18,199.95,127.5,-29.02,32.84,49.4,69.15,204.0,74.48,45.39,30.18,20.59,28.67,-6.99,-0.38,-11.02,3.7,42.33,20.47,28.01,49.5,4.96,8.71,16.59,-16.85,12.77,36.24,22.87,28.37,1.32,43.64,32.86,107.29,71.91,45.65,76.78,42.71,19.66
Inne zobowiązania krótkoterminowe,,,,,,-36.42,-57.68,0.0,78.89,78.22,-43.15,-70.48,-69.36,59.79,76.96,2203.75,1304.05,476.99,1186.39,-58.3,56.74,5.57,60.17,402.8,23.55,89.45,30.07,-8.0,31.29,-34.06,-21.25,5.71,31.61,46.18,42.72,24.06,2.4,15.49,22.67,14.05,4.24,-12.08,17.52,19.81,25.2,36.3,23.05,72.52,83.38,46.4,43.09,67.14,87.45,-7.28
Rozliczenia międzyokresowe,,,,,,26.98,-82.16,-46.55,-39.64,56.46,750.0,67.74,-23.88,-30.23,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,102.22,99.97,70.85,76.46,32.1,11.46,10.05,2.83,-0.78,34.82,138.91,474.1,425.88,319.28,142.79,4.76,35.06,33.5,32.57,34.93,8.03,10.73,6.0,4.76,4.22,-0.88,0.6,1.45,2.45,7.29,2.56,1.19,5.6,-1.86,-2.42,1.92,-3.5,21.15,28.65,107.04,112.74,71.13,131.57,40.78,53.97,50.4,18.14,22.11,16.22,3.94
Przepływy pieniężne z działalności operacyjnej,,,,,,182.85,,,,197.63,,,-91.07,-21.92,-54.56,-453.77,1106.72,-61.43,315.01,30.71,50.56,1841.42,-88.52,17.45,1.67,-58.16,2940.16,-199.74,46.95,-78.22,74.0,-4.98,-222.07,254.66,-54.67,31.26,8.29,76.96,116.04,212.27,191.32,-17.02,-15.0,-274.14,-225.95,356.05,-65.89,147.43,167.16,41.38,308.78,-217.12,760.51,-46.97
Amortyzacja,,,,,106.02,62.2,43.2,640.0,-32.85,9.02,59.78,55.14,54.89,99.31,16.78,94.08,89.12,5.19,76.05,12.03,31.17,222.37,167.01,157.21,138.05,75.92,10.13,8.6,9.74,16.47,12.9,8.78,7.74,2.09,8.91,11.23,5.13,0.93,-3.29,-4.17,-10.99,14.11,0.63,37.51,-27.18,-9.91,33.35,13.35,141.67,76.96,33.64,22.41,-14.46,9.06
Przepływy pieniężne z działalności inwestycyjnej,,,,,,89.09,,,,-3001.52,,,78.64,61.8,34.89,-1423.61,38.57,2292.97,-11.95,98.28,-2495.35,-123.04,39.63,-100.0,71.21,109.74,-16.67,-187.61,47.82,-1197.92,-165.8,90.91,-57.65,59.47,-35.5,-1180.7,-12.48,44.78,68.75,76.99,-11.88,-27.17,18.08,-8652.38,-339.48,-621.86,-2125.35,68.91,-35.68,-1183.48,13.35,-22.84,41.79,94.09
CAPEX (niematerialne i rzeczowe),,,,,,-88.36,,,,3144.12,,,-45.31,-59.75,34.86,-24.82,-23.33,-127.82,-1.7,-50.33,425.47,2742.11,-22.84,46.05,-15.25,-93.3,4.04,160.81,-38.63,5.72,52.59,-69.95,47.73,303.46,11.02,138.51,-22.15,-65.72,-22.9,-85.3,158.5,-53.83,1.32,403.28,-68.04,3718.31,1472.31,1382.74,1297.85,647.98,-19.29,6.68,-36.66,-100.42
Przepływy pieniężne z działalności finansowej,,,,,,3110.34,,,,-100.7,,,94.24,-176.92,63260.87,-387.5,-4327.27,2350.0,-102.3,-261.54,63.96,224.44,19.16,-74.47,-568.09,-164.08,-540.37,-249.19,-95.39,-5.7,-0.52,-1.92,121.13,-146.57,-14.38,121.3,261.67,14.19,42.25,-350.94,-220.79,168.27,-462.89,10981.3,87.28,-306.85,-400.19,-97.54,-714.31,1855.28,92.13,-44.87,98.77,-111.42
Emisja akcji,,,,,,,,,,-99.55,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,0.0,,,,212.49,
Przepływy pieniężne razem,,,,,,902.6,,,,-101.94,,,-253.12,1668.75,2009.57,-895.38,394.69,2365.47,-89.5,75.41,-561.56,-43.75,-113.81,0.04,27.72,-65.29,2792.52,-209.49,-66.97,-236.18,92.36,4.52,-103.13,53.39,-70.5,44.74,73.27,187.65,259.3,170.84,-91.16,244.79,-61.63,3038.05,-371.84,64.85,-837.53,-98.8,17.0,56.08,126.89,-904.13,372.13,-89.68
