,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Koszty finansowe,,,,,4.35,-42.0,-13.77,58.54,39.88,358.62,145.38,135.38,135.32,387.72,101.03,42.48,-10.13,-64.08,4.94,-3.06,31.19,0.29,2.92,-0.47,8.28,93.87,23.34,31.38,17.99,-24.21,-20.2,5.31,-63.03,-56.21,-21.47,-53.84,69.81,79.38,-36.73,31.51,-27.72,4.2,150.65,-42.64,-46.3,-7.59,-62.03,-5.26,-5.91,-67.01,-15.25,-12.15,-10.99,467.32,-31.2,-40.32,54.12,-73.39,-11.05,164.24,-53.05,-15.98,165.36,-67.67,263.41,-48.77,56.9,383.72,16.11,70.66,18.68,-54.01,-1.35
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,19.72,10.8,-53.85,38.23,32.38,86.2,38.38,13.06,4.72,-87.63,18.01,-3.7,-141.58,-82.81,52.5,-98.41,0.82,970.45,-86.1,21.65,-239.67,-837.72,687.5,211.68,18.13,86.2,-49.65,-182.91,28.94,66.83,-69.7,70.99,-2.67,-174.42,107.32,161.52,67.06,-243.7,0.84,-694.98,-6.34,-73.75,-35.21,-170.08,-486.92,55.56,4.55,55.77,49.23,16.75,-323.13,-53.07,18.44,81.47,-136.77,4.15,-314.89,-2435.63,67.83,164.49,93.4,93.73,-135.63,70.32,-577.29,-1179.46,-246.79,-601.55,-228.82
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,19.72,10.8,-53.85,38.23,32.38,86.2,38.38,13.06,4.72,-87.63,18.01,-3.7,-141.58,-82.81,52.5,-98.41,0.82,970.45,-86.1,21.65,-239.67,-837.72,687.5,211.68,18.13,86.2,-49.65,-182.91,28.94,66.83,-69.7,70.99,-2.67,-174.42,107.32,161.52,67.06,-243.7,0.84,-694.98,-6.34,-73.75,-35.21,-170.08,-486.92,55.56,4.55,55.77,49.23,16.75,-323.13,-53.07,18.44,81.47,-136.77,4.15,-314.89,-2435.63,67.83,164.49,93.4,93.73,-135.63,70.32,-577.29,-1179.46,-246.79,-601.55,-228.82
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,15.35,14.29,-53.73,36.85,27.48,78.95,52.72,-5.78,9.02,-91.45,6.93,25.88,-151.56,-75.77,51.42,-130.32,7.55,909.8,-86.0,10.33,-300.49,-872.82,687.43,184.78,35.89,83.78,-51.56,-190.63,25.14,62.12,-63.6,65.47,-4.82,-123.11,76.54,119.54,47.34,-310.91,-0.93,-1698.7,-14.24,-60.54,-37.53,-170.92,-228.44,59.33,9.42,54.24,49.69,7.89,-343.72,-74.18,20.8,70.36,-180.51,2.78,-431.57,-1518.27,68.55,182.78,93.4,85.51,-135.63,50.54,-578.77,-432.62,-246.79,-557.92,-228.82
Zysk netto akcjonariuszy jednostki dominującej,,,,,15.35,14.29,-53.73,36.85,27.48,78.95,52.72,-5.78,9.02,-91.45,6.93,25.88,-151.56,-75.77,51.42,-130.32,7.55,909.8,-86.0,10.33,-300.49,-872.82,687.43,184.78,35.89,83.78,-51.56,-190.63,25.14,62.12,-63.6,65.47,-4.82,-123.11,76.54,119.54,47.34,-310.91,-0.93,-1698.7,-14.24,-60.54,-37.53,-170.92,-228.44,59.33,9.42,54.24,49.69,7.89,-343.72,-74.18,20.8,70.36,-180.51,2.78,-431.57,-1518.27,68.55,182.78,93.4,85.51,-135.63,50.54,-578.77,-432.62,-246.79,-557.92,-228.82
Aktywa trwałe,,,,,125.04,111.6,124.37,118.58,95.11,98.5,85.57,89.74,111.46,115.88,100.76,72.21,43.88,11.3,2.07,0.17,-4.21,-5.54,-4.58,-3.03,-1.5,2.65,1.61,1.0,-0.19,-5.12,-4.48,-5.23,-5.18,-3.92,-2.25,-2.5,-2.82,-2.69,-5.14,-5.27,-6.02,-7.16,-7.35,-7.25,-5.84,-6.68,-5.7,-5.08,-5.82,-5.31,-5.72,-6.24,-7.91,-7.61,-7.07,-8.94,-5.05,-4.23,5.19,6.49,4.12,3.75,-5.86,-4.56,-3.64,2.03,4.57,10.05,6.6,-0.02,-2.62,-9.23,-9.95
Wartości niematerialne i prawne,,,,,261.73,416.25,36.62,32.19,32.42,20.34,37.76,42.79,39.43,30.38,1.52,-7.95,667.84,536.88,601.5,657.01,1.66,1.77,-2.52,-4.13,-7.01,-8.98,-9.26,-7.91,-7.64,-4.92,-4.81,-7.02,-7.09,-9.35,-8.04,-7.9,-7.27,-7.22,-8.5,-3.21,-3.97,-4.45,-4.43,-10.03,-10.33,-10.58,-11.12,49.62,49.54,49.39,49.23,-11.77,-12.13,-15.66,-16.14,-16.7,-17.28,-14.83,-15.43,-16.02,-16.68,-17.41,-18.24,-19.07,-20.02,-21.08,-22.31,63.5,66.91,68.91,71.4,-18.69,-20.53
Rzeczowe składniki majątku trwałego,,,,,116.98,105.82,124.92,118.9,98.48,103.1,88.53,92.2,114.1,117.49,102.91,72.78,37.61,6.3,-2.5,-4.17,-4.63,-5.38,-4.75,-2.77,-0.81,0.23,-0.2,-0.56,-2.68,-5.03,-4.84,-6.58,-6.05,-4.26,-2.58,-2.68,-3.2,-3.31,-5.69,-5.72,-5.71,-6.84,-6.92,-7.01,-5.92,-7.45,-6.78,-9.42,-11.16,-10.86,-11.44,-8.91,-10.59,-9.76,-9.7,-9.98,-5.2,-3.92,8.18,8.48,6.4,3.91,-7.44,-6.22,-5.15,-4.71,2.15,-2.29,-2.65,-6.36,-13.0,-10.67,-14.0
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47,78.71,-20.88,-1.08
Inwestycje długoterminowe,,,,,,,,,20.63,-5.9,0.88,0.88,0.0,91.54,77.1,77.1,77.1,5.4,-0.98,0.0,0.0,-3.57,0.99,0.0,0.0,11.43,24.06,34.21,24.06,13.73,0.0,1.59,0.0,1.4,0.0,-3.84,0.0,2.76,0.0,0.75,0.0,0.0,0.0,5.45,0.0,3.78,0.0,-4.47,0.0,-5.76,0.0,3.2,0.0,3.24,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,65.04,43.79,50.33,28.12,7.39,-0.91,22.61,52.68,65.6,-21.56,135.11,204.47,222.99,276.02,30.02,5.77,-44.6,0.47,-25.06,-35.91,380.5,280.5,224.77,340.87,-12.11,6.83,47.76,20.58,11.8,14.85,8.58,9.38,16.13,11.07,1.4,-14.99,-17.93,-20.69,-12.69,-1.19,12.35,25.59,39.23,55.82,58.6,57.93,35.6,25.85,20.15,25.88,19.69,14.82,11.52,4.63,2.32,-3.01,11.15,11.15,13.56,13.56,16.98,-11.03,-12.76,-12.74,-8.43,20.41,17.23,17.23
Aktywa obrotowe,,,,,44.24,19.31,81.61,-5.96,50.59,18.01,28.05,21.46,24.09,24.02,17.08,4.99,-8.58,1.24,-8.69,-6.99,-15.17,-24.7,-2.7,-3.22,8.55,13.58,7.63,12.63,1.78,-13.82,-9.37,-12.63,3.78,2.05,6.14,2.42,8.14,3.96,12.97,7.77,-10.22,-14.23,-15.18,-14.06,-12.79,-13.76,-22.49,-15.44,-7.36,9.15,14.55,9.51,8.56,20.53,11.35,22.95,41.41,14.67,3.64,-4.74,-15.38,-9.24,10.65,1.22,5.72,-16.31,-10.14,0.92,10.92,0.72,-13.99,-19.54,-21.16
Zapasy,,,,,32.12,35.0,75.01,48.91,65.02,26.65,29.48,26.07,25.64,18.23,16.52,5.98,-9.27,7.13,-6.49,-6.21,-14.13,-23.44,-4.41,-11.62,0.93,9.67,8.59,18.0,6.97,-11.38,-10.3,-16.38,1.58,1.36,8.01,7.77,11.75,6.49,14.61,7.9,-10.4,-14.66,-18.78,-15.45,-21.82,-24.91,-30.98,-26.59,-5.83,9.62,22.52,17.52,-0.09,24.2,4.38,22.09,60.02,20.12,8.44,-2.95,-17.1,-19.43,5.66,0.77,5.23,-17.06,-6.12,0.29,12.94,15.29,1.6,-14.99,-21.4
Należności krótkoterminowe,,,,,48.98,40.71,307.89,40.14,40.3,-27.29,14.91,-28.53,14.37,86.27,14.76,-19.53,-13.96,-46.16,-45.56,-31.17,-30.7,-49.24,6.26,114.61,12.27,33.57,-44.97,-41.24,-51.99,-39.12,-13.25,9.88,72.14,26.1,1.96,-45.87,-33.87,-52.42,17.07,57.14,-1.29,1.15,73.03,10.96,216.22,422.45,127.97,198.88,-11.26,-5.87,-30.18,-39.0,15.73,6.61,48.21,30.53,17.89,-26.57,-32.18,-9.35,-33.34,-27.61,22.52,-15.21,26.64,37.78,2.0,32.3,2.98,-40.79,-28.86,-42.18,0.62
Inwestycje krótkoterminowe,,,,,980.27,-81.25,0.98,-96.94,-77.49,-57.47,-7.04,20.51,-36.5,115.74,124.8,36.3,128.41,1.2,22.65,18.05,-7.23,-4.44,-11.55,32.81,-9.56,128.11,105.78,56.69,93.68,-51.04,-36.0,-25.38,-36.2,9.95,-18.62,-37.31,-40.56,-23.16,-31.87,-11.04,49.14,1.67,47.95,-5.53,-28.02,-0.78,-40.73,-19.09,18.37,69.34,37.29,23.35,286.58,-43.47,116.81,90.49,-71.77,-94.18,-48.15,-76.09,18.51,9507.81,-21.24,163.33,-14.76,-52.84,49.11,-64.89,56.54,-78.76,15.77,39.66,-7.0
Środki pieniężne i inne aktywa pieniężne,,,,,980.27,-81.25,0.98,-96.94,-77.49,-57.47,-7.04,20.51,-36.5,115.74,124.8,36.3,128.41,1.2,22.65,18.05,-7.23,-4.44,-11.55,32.81,-9.56,128.11,105.78,56.69,93.68,-51.04,-36.0,-25.38,-36.2,9.95,-18.62,-37.31,-40.56,-23.16,-31.87,-11.04,49.14,1.67,47.95,-5.53,-28.02,-0.78,-40.73,-19.09,18.37,69.34,37.29,13.11,286.58,-43.47,116.81,107.73,-71.77,-94.18,-48.15,-76.09,18.51,9507.81,-21.24,163.33,-14.76,-52.84,49.11,-64.89,56.54,-78.76,15.77,39.66,-7.0
Pozostałe aktywa obrotowe,,,,,-24.14,533.33,151.61,78.95,13.64,-17.76,23.08,185.29,70.67,-1.2,-3.12,-9.79,32.03,60.32,-15.05,-75.43,-62.72,-21.21,1101.27,5472.09,6053.97,185.9,-3.48,-46.2,-43.72,14.35,113.97,149.5,43.03,-18.53,-27.5,-21.61,-4.13,50.54,-26.95,-12.34,-24.26,-22.22,52.02,-4.66,45.54,20.97,41.57,13.72,-26.23,21.75,-10.3,23.16,43.24,52.27,54.39,2.03,-32.71,57.29,27.7,17.17,65.63,45.28,71.83,10.35,-4.15,-2.93,-57.99,-4.83,-18.91,-46.86,-281.91,-55.14,-61.31
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,61.78,33.71,94.52,17.43,64.03,37.88,48.09,45.33,55.46,56.67,53.61,35.67,17.04,6.17,-2.55,-2.84,-8.59,-14.86,-3.82,-3.1,2.23,7.35,4.06,5.68,0.58,-9.08,-6.54,-8.4,-1.61,-1.34,1.18,-0.49,1.79,0.28,2.62,0.22,-7.89,-10.43,-11.04,-10.33,-8.86,-9.82,-13.25,-9.57,-6.46,0.82,2.42,0.15,-1.12,5.3,1.21,5.2,15.98,5.69,4.42,0.67,-6.64,-3.65,2.24,-1.72,1.04,-7.82,-3.24,5.44,8.86,0.34,-8.23,-14.21,-15.93
Kapitał własny akcjonariuszy jednostki dominującej,,,,,919.48,164.4,134.34,5.3,7.7,12.81,13.89,14.1,14.35,1.57,1.77,2.42,1.13,0.35,2.31,0.14,0.3,2.53,-2.49,-2.18,-8.16,-29.06,-23.22,-17.44,-15.85,2.04,-2.44,-9.36,-8.32,-6.07,-8.46,-6.36,-6.96,-9.16,-7.74,-6.23,-3.75,-16.79,-16.29,-21.04,-22.21,-39.15,32.06,24.12,14.22,53.94,-29.79,-26.73,36.19,44.43,33.74,30.59,-24.03,-20.84,-30.95,-33.87,-27.93,-80.61,-83.06,-67.81,-71.5,-31.66,-94.97,-37.75,-94.32,-440.01,-12616.27,-1149.08,-5365.37
Kapitał (fundusz) podstawowy,,,,,63.88,22.95,22.95,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.25,64.25,64.25,64.25,0.0,32.78,32.78,32.78,32.78,0.0,0.0,0.0,0.0,12.34,12.34,12.34,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.36
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,1269.11,217.06,217.06,177.18,9.64,9.27,9.27,13.32,13.32,13.32,13.32,1.63,1.63,1.63,1.63,0.36,0.36,0.36,0.36,2.62,2.62,2.62,2.62,-30.04,-30.04,-30.04,-30.04,2.14,2.17,2.14,2.14,-6.36,-6.39,-6.36,-6.36,-9.62,-9.62,-9.62,-9.62,-17.73,-17.73,-17.73,-17.73,32.76,32.76,32.76,32.76,-33.05,-33.05,-33.05,17.08,45.89,45.89,45.89,-16.58,0.0,3.58,3.58,3.58,-95.73,-95.88,-95.88,-95.88,0.0,0.0,0.0,0.0,0.0,2396.57
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,23.27,208.47,154.73,212.3,116.12,133.79,117.23,165.02,325.9,327.83,396.82,92.71,27.19,-45.58,-54.52,-49.34,-49.4,-58.71,-55.92,32.03,74.66,214.02,204.42,-22.37,-41.74,-45.79,-44.33,28.63,86.16,72.49,90.96,-29.82,-48.52,-44.15,-50.39,35.66,40.63,39.82,44.0,-62.52,-66.28,-75.18,-76.58,-60.84,-58.74,-43.6,-43.02,-25.23,-26.96,-37.37,54.37,57.41,65.26,88.54,-17.8,-19.53,-23.46,769.48,627.32,577.57,537.18,-46.89,78.41,-28.2,-30.94,-37.84,-92.82,-83.44,-84.47
Z tytułu dostaw i usług,,,,,,-2.41,,,,41.78,,,,59.64,,,,0.03,,,,-21.18,,,,26.36,,29.01,,-13.93,,-100.0,,2.24,,,,7.27,,,,-11.5,,,,8.71,,,,-2.83,,,,0.96,,,,-1.2,,,,-25.1,,,,3.05,,,,43.63,,,
Kredyty i pożyczki,,,,,,-98.88,,,,6547.83,,,,70.99,,,,330.22,,,,0.41,,,,-47.26,,3.91,,48.21,,-100.0,,-69.41,,,,183.0,,,,-53.38,,,,65.67,,,,-5.51,,,,-11.61,,,,66.67,,,,54.76,,,,13.16,,,,-2.43,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,-100.0,,,,,,,,197.83,,,,-100.0,,,,,,,,2.13,,,,325.0,,,,17.16,,,,-46.03,,,,-51.94,,,,-16.13,,,,-46.15,,,,300.0,,,,-100.0,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,
Zobowiązania krótkoterminowe,,,,,-39.68,-10.83,55.06,17.56,171.67,51.13,83.28,54.36,54.01,53.41,40.21,33.58,15.27,19.94,11.34,10.21,-3.17,-13.98,7.73,-10.75,-6.08,5.59,-1.17,25.94,25.02,-3.34,2.11,-14.66,-14.73,-10.67,-8.72,10.87,26.07,17.48,25.5,-3.16,-16.9,-16.25,-17.37,6.14,10.32,12.59,-12.03,-13.64,-6.91,-4.14,18.44,9.62,-11.03,-1.48,-7.48,-0.28,34.39,13.44,18.6,12.33,-0.85,-11.45,-1.52,-7.95,-0.48,6.4,-20.36,16.9,22.39,21.12,67.87,32.97,4.02
Inne zobowiązania krótkoterminowe,,,,,,-25.89,,,,161.26,,,,-55.82,,,,60.04,,,,104.95,,,,-33.93,,68.84,,79.37,,-100.0,,2.2,,,,-3.68,,,,16.02,,,,-0.94,,,,-16.26,,,,-13.12,,,,126.82,,,,-16.62,,,,8.05,,,,-38.83,,,
Rozliczenia międzyokresowe,,,,,-57.14,-98.91,-90.48,-75.0,-100.0,5350.0,5350.0,10800.0,,0.0,180.73,4528.44,4859.63,8940.37,3083.01,90.49,75.86,-4.51,-4.44,-4.21,-4.25,-0.61,-0.61,16.73,4.92,0.56,2.22,-11.91,-1.95,-5.85,-8.35,-6.11,-9.17,-8.98,-8.72,-8.68,-6.48,-5.14,-5.63,-8.39,-2.25,-5.11,-1.34,-2.15,-7.87,-1.01,2.73,8.54,-0.1,-3.22,-8.21,-13.97,-6.4,-2.81,-2.76,-4.4,-4.67,5.46,-1.01,-4.97,-6.37,-17.09,-8.24,-9.5,-6.49,-9.92,-7.43,-15.13,-16.85
Pasywa razem,,,,,61.78,33.71,94.52,17.43,64.03,37.88,48.09,45.33,55.46,56.67,53.61,35.67,17.04,6.17,-2.55,-2.84,-8.59,-14.86,-3.82,-3.1,2.23,7.35,4.06,5.68,0.58,-9.08,-6.54,-8.4,-1.61,-1.34,1.18,-0.49,1.79,0.28,2.62,0.22,-7.89,-10.43,-11.04,-10.33,-8.86,-9.82,-13.25,-9.57,-6.46,0.82,2.42,0.15,-1.12,5.3,1.21,5.2,15.98,5.69,4.42,0.67,-6.64,-3.65,2.24,-1.72,1.04,-7.82,-3.24,5.44,8.86,0.34,-8.23,-14.21,-15.93
Przepływy pieniężne z działalności operacyjnej,,,,,-1536.33,-106.11,1569.94,-128.7,138.24,11555.68,-75.41,27.18,79.13,61.39,-533.57,291.73,-143.08,-21.19,189.62,-68.85,154.7,-23.83,-129.47,-138.98,-124.35,-30.9,230.66,710.0,-1147.75,-9.35,-232.92,-69.36,60.93,17.93,9.3,55.47,135.34,-17.99,54.35,75.24,43.78,-62.55,301.98,21.38,460.06,43.64,-696.96,-109.34,-95.46,23.47,88.25,287.65,-6052.2,-86.72,-0.2,-657.22,96.76,-786.78,-92.82,101.12,1286.04,-599.5,91.8,6669.49,-49.96,121.7,-5017.65,8.14,193.9,19.02,60.67,-17.6,-391.29
Amortyzacja,,,,,116.1,86.68,59.54,82.43,72.42,84.28,88.44,66.29,61.21,73.93,4.39,-5.42,-11.23,-19.98,19.64,15.77,13.42,-2.16,-4.24,-5.12,-3.79,-0.99,-3.15,-4.51,-4.47,-5.21,-2.41,2.17,0.74,0.37,0.99,2.07,2.69,3.51,4.28,1.55,1.79,1.61,-1.11,-2.93,-4.33,-3.81,-5.09,-4.71,-2.69,-4.26,-2.18,-0.57,-2.45,90.85,-4.59,-5.36,-4.77,-50.5,5.69,11.99,10.42,8.88,1.08,-5.29,-3.37,-2.53,2.0,5.84,3.68,6.28,0.61,-6.0,-6.91
Przepływy pieniężne z działalności inwestycyjnej,,,,,-429.17,50.55,-168.75,-86.92,-58.11,-433.62,-63.18,-50.68,-168.8,-118.16,16.67,105.65,67.77,47.49,76.39,-132.13,84.67,85.51,14.27,-1088.0,57.3,-315.09,99.5,47.21,53.95,99.81,-19971.43,170.92,2.86,2866.67,11.39,-384.71,19.85,-466.27,-10.12,50.35,-553.21,148.79,-19.99,78.63,-10.67,-264.49,30.82,-147.62,33.25,20.08,93.32,36.78,69.39,-36.92,-1006.58,-163.12,-58.39,-17.23,79.79,-66.33,-207.06,-98.08,-735.88,-57.34,-15.45,1.45,-31.95,37.38,-46.68,-130.55,83.79,78.22,69.16
