,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Zysk netto,,,,,420.14,-30.0,189.96,-60.18,-28.95,-123.88,-92.96,16.14,-204.85,-1081.71,-255.29,-315.99,-23.93,77.18,600.33,207.4,195.32,445.19,13.67,-51.65,82.19,9.65,2.84,218.45,-8.62,101.91,27.21,84.47,211.31,226.85,157.96,89.89,-28.85,-47.29,-43.29,-47.61
Zysk netto akcjonariuszy jednostki dominującej,,,,,420.14,-30.0,189.96,-60.18,-28.95,-120.41,-92.75,18.03,-204.25,-1280.35,-246.69,-312.84,-23.19,77.66,614.97,206.43,196.42,452.67,13.39,-51.28,82.32,9.76,2.81,218.65,-8.6,101.76,27.29,84.33,211.38,227.39,158.0,89.82,-28.9,-47.34,-43.37,-47.52
Aktywa trwałe,,,,,,28.81,22.41,34.13,40.22,20.73,10.39,7.81,-7.5,-5.97,0.12,-7.69,2.92,0.36,-8.43,-7.73,4.53,7.05,15.29,44.88,24.14,21.11,20.35,10.27,16.05,8.65,4.75,12.18,7.18,14.34,8.25,-13.85,-8.98,-12.76,-11.8,3.82
Wartości niematerialne i prawne,,,,,,-3.66,-3.84,4.2,3.91,5.53,6.01,-10.68,-10.87,-11.07,-10.82,-2.08,-1.45,-1.21,-1.68,-1.82,-2.03,13.02,17.2,27.3,29.51,14.19,14.71,10.2,9.2,7.25,2.12,-1.62,-3.7,-4.48,-4.13,-3.08,-2.89,-2.59,-2.92,-2.78
Rzeczowe składniki majątku trwałego,,,,,,38.83,41.7,29.39,39.94,9.88,5.52,13.4,4.96,7.75,14.29,10.6,12.01,11.97,5.02,-0.09,15.64,14.91,16.52,20.25,-3.45,-5.35,-6.2,-3.15,-3.15,-3.74,-1.66,17.39,18.34,25.59,24.39,4.06,8.7,3.05,0.88,2.84
Należności długoterminowe,,,,,,-25.07,-27.54,379.81,229.84,205.97,61.95,22.99,-68.39,-70.75,-71.53,-72.34,5.9,11.66,38.12,31.62,28.03,19.8,8.4,26.38,79.17,126.99,105.81,80.8,24.52,-59.93,-60.88,-33.45,-38.57,48.68,56.46,-19.13,-13.65,-9.0,-15.86,-2.69
Inwestycje długoterminowe,,,,,,-93.79,17.42,-1.36,10.79,10.07,3.33,-4.29,-8.35,-11.75,-13.4,0.38,-4.97,53.95,-18.89,-33.18,-27.86,-44.13,5.95,-11.9,-4.43,-82.85,-81.87,-64.99,-80.05,8.39,14.84,-100.0,-100.0,-100.0,-100.0,,,,,
Pozostałe aktywa trwałe,,,,,,6582.38,26.35,1.66,4.42,5.18,-1.41,-15.69,-1.46,6.72,21.96,-19.77,-34.22,-50.6,-71.35,-74.1,-80.04,-70.24,5.27,739.35,1000.64,725.17,336.86,37.5,86.16,105.87,62.82,21.66,2.94,-7.44,-27.12,-58.03,-47.69,-55.84,-55.31,15.54
Aktywa obrotowe,,,,,,31.38,16.4,-26.37,-30.09,-14.76,-35.33,-1.39,-9.16,-5.67,21.31,23.87,32.49,36.78,26.11,10.2,4.15,11.22,14.31,53.71,61.85,38.56,25.53,-24.26,-6.08,-6.69,-18.5,-13.8,-2.8,-6.45,-6.9,14.93,8.95,-2.83,8.72,12.14
Zapasy,,,,,,82.77,-40.0,-43.42,-59.82,-48.8,12.41,-9.96,98.76,102.83,303.5,232.43,175.8,110.99,3.18,-5.13,-29.87,-37.31,-37.53,-23.44,-7.81,9.95,-18.56,27.93,-25.52,-27.09,-16.25,-17.06,23.61,65.48,103.13,46.17,30.48,-6.0,0.94,75.36
Należności krótkoterminowe,,,,,,76.41,55.57,-62.73,-35.79,-29.87,-43.25,85.14,-27.6,-16.87,-33.16,34.32,97.66,62.33,145.85,55.37,44.17,42.62,16.3,38.85,0.45,-21.15,-13.71,-57.97,-44.1,-41.71,-56.26,-40.34,-11.27,-19.09,-14.99,15.57,32.38,0.53,20.74,9.26
Inwestycje krótkoterminowe,,,,,,-48.79,-42.34,33.17,-14.9,85.35,-7.05,-39.59,-0.68,-0.89,104.01,-9.98,-55.48,-40.74,-79.16,-80.36,-97.32,-68.82,100.28,448.74,14963.64,1453.3,348.53,101.56,49.66,37.64,29.88,8.42,-1.02,-8.32,-15.55,13.01,-4.1,-3.84,8.19,3.99
Środki pieniężne i inne aktywa pieniężne,,,,,,-48.5,-42.35,33.17,-14.9,85.35,-7.06,-39.59,-17.76,-0.89,104.05,-10.01,-46.27,-40.79,-79.16,-81.79,-97.39,-72.08,100.13,491.76,15418.4,1635.28,348.68,101.59,48.21,34.87,28.0,6.66,-0.26,-6.63,-14.61,14.11,-5.39,-3.63,8.63,4.7
Pozostałe aktywa obrotowe,,,,,,-50.35,-47.1,24.23,7.67,214.3,-13.72,15.6,54.53,-52.55,350.74,62.34,71.55,73.39,-15.75,95.94,-23.97,9.39,185.02,-21.55,65.63,31.06,-50.74,-25.76,-10.99,-25.12,15.8,20.86,-21.85,-16.85,57.71,-54.32,-21.02,14.27,-59.69,78.83
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,-100.0,,,,,,,,,,,,
Aktywa razem,,,,,,30.82,17.52,-17.84,-18.28,-7.11,-26.44,0.73,-8.68,-5.75,15.12,16.1,23.85,26.6,17.34,6.69,4.25,10.3,14.5,52.22,52.68,34.81,24.49,-18.69,-1.7,-3.73,-14.01,-8.12,-0.47,-1.91,-3.34,7.25,4.44,-5.35,3.32,10.36
Kapitał własny akcjonariuszy jednostki dominującej,,,,,67.7,55.8,14.39,9.96,9.17,5.66,-2.79,-2.07,-4.96,-6.37,-7.97,-16.66,-17.84,-11.29,-5.3,10.61,15.56,17.64,17.62,10.9,13.27,5.48,5.49,12.41,11.34,8.78,9.76,16.48,21.42,22.31,30.79,39.36,34.93,54.48,42.61,24.86
Kapitał (fundusz) podstawowy,,,,,,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,1269.87,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31,-1.31,-1.31,-1.31,0.0,0.0,-0.55,-0.55,-6.62,-6.07,-5.55,-5.55,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,-35.71,-38.54,-22.73,-23.55,-7.68,116.0,-13.33,-8.48,0.41,-755.7,9.71,12.14,2.25,1.84,1.24,1.68,3.97,3.86,5.34,4.79,2.51,1.08,-2.54,-1.57,1.68,3.51,6.36,9.47,11.48
Zobowiązania długoterminowe,,,,,,69.1,201.12,164.99,161.82,74.03,-3.87,3.17,11.4,-36.38,-38.27,-33.05,-35.96,21.14,23.81,8.75,62.1,40.51,75.35,71.26,12.81,14.74,-8.7,-11.95,-22.92,-32.46,-27.56,8.76,43.12,59.77,49.07,6.53,-6.03,-6.37,-9.67,-14.57
Z tytułu dostaw i usług,,,,,,38.53,24.11,-43.45,-50.9,-32.79,-53.17,35.16,-4.77,-0.52,19.59,-5.44,32.84,50.71,73.91,24.83,44.3,26.64,-8.89,24.11,4.02,-20.07,0.82,-53.14,-50.43,-32.86,-49.92,-36.81,-39.04,-50.07,-26.75,-13.0,60.78,19.64,35.01,139.07
Kredyty i pożyczki,,,,,,-49.99,-84.82,-75.17,55.7,-14.69,533.29,308.34,78.32,-0.06,-32.86,-37.86,-23.93,-51.4,41.19,131.14,64.64,550.44,92.28,5.18,21.35,-45.94,-53.15,-23.39,-10.16,-46.53,-31.48,-65.87,-85.25,-77.21,-66.31,-58.54,-1.26,-34.6,-55.08,-39.87
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,24.39,25.62,39.64,-54.1,36.83,33.97,238.4,99.18,266.17,200.36,-43.55,-9.4,-48.29,-44.08,-14.03,-19.0,10.41,33.65,32.76,38.05,87.53,54.67,-7.95,-44.34,-73.45,-54.08,-2.54,9.18,15.49,-28.63,11.14,47.45,70.58,51.16,-45.95
Inne zobowiązania długoterminowe,,,,,,61.46,52.9,56.73,14.55,-28.36,-2.54,-93.65,-4.26,-88.47,7.24,15.32,-88.56,15.32,-90.85,17.17,17.17,71.68,353.63,68.98,68.98,15.33,-56.35,1490.89,1741.96,1269.43,1407.28,42.19,72.83,133.34,113.97,58.95,11.58,4.49,5.31,-7.23
Zobowiązania krótkoterminowe,,,,,,17.67,5.98,-38.12,-42.83,-24.09,-41.94,1.91,-18.11,3.98,51.07,48.01,90.14,51.84,27.35,5.13,-8.73,3.06,5.34,64.38,84.05,51.29,39.31,-26.89,-2.65,-3.09,-19.26,-19.61,-14.23,-16.54,-24.12,-9.59,-9.72,-34.47,-21.31,4.44
Inne zobowiązania krótkoterminowe,,,,,,29.45,8.81,-27.7,-38.31,-18.49,-51.18,-64.16,-46.58,-12.58,102.07,362.8,231.31,113.41,8.58,-19.71,-41.07,-46.96,1.35,130.51,204.0,248.22,103.03,-10.96,20.73,21.33,-1.9,-9.97,-5.74,-6.2,-21.05,-8.0,-19.4,-44.18,-34.83,-22.53
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,472.12,30.82,17.52,-17.84,-18.28,-7.11,-26.44,0.73,-8.68,-5.75,15.12,16.1,23.85,26.6,17.34,6.69,4.25,10.3,14.5,52.22,52.68,34.81,24.49,-18.69,-1.7,-3.73,-14.01,-8.12,-0.47,-1.91,-3.34,7.25,4.44,-5.35,3.32,10.36
Przepływy pieniężne z działalności operacyjnej,,,,,-1383.81,-717.11,615.81,156.4,-1253.86,42.27,-230.69,-70.57,78.46,123.82,327.67,-90.63,-158.58,-83.06,-177.59,-321.08,98.73,-1351.12,178.7,1152.58,12931.99,257.24,-74.19,-48.75,-32.11,-48.89,-22.77,-99.21,-38.3,-147.44,-42.12,17917.0,-146.68,-24.25,-362.93,-9.68
Amortyzacja,,,,,11.36,13.94,26.95,24.72,15.27,26.95,12.2,10.67,15.11,-1.69,-1.3,-0.48,11.4,7.6,21.47,26.3,18.12,35.0,21.07,37.57,13.14,9.37,-0.19,-9.81,0.09,-15.27,8.49,-2.88,6.39,20.11,2.88,9.15,6.93,6.82,0.47,-5.67
Przepływy pieniężne z działalności inwestycyjnej,,,,,71.1,-591.88,-6425.93,64.25,-6171.43,82.96,9.54,1478.46,54.11,117.39,-311.72,-226.23,-355.6,185.48,161.28,19.01,102.88,-2081.62,-147.56,79.09,134.87,84.42,-30.85,-233.77,-480.14,58.88,33.26,11.79,46.45,-324.23,212.23,142.27,-517.49,210.99,178.1,-403.22
CAPEX (niematerialne i rzeczowe),,,,,134.38,544.93,110.95,-100.27,398.48,-74.62,67.81,-82880.0,-96.06,-25.95,254.72,274.96,3799.03,-164.25,-158.04,-18.83,-97.97,1514.98,127.8,-83.83,421.47,-89.02,13.46,115.22,120.82,-46.78,1.61,70.06,-4.74,856.0,-93.33,18.86,589.6,-62.36,1810.71,132.13
Przepływy pieniężne z działalności finansowej,,,,,-61.26,88.47,-84.49,46.79,106.38,-75.07,-27.13,-166.19,-1139.29,-516.83,-383.02,82.09,61.06,76.97,314.1,597.58,-250.43,870.38,-61.09,-344.72,15.87,-111.66,-257.01,25.77,1.8,-99.73,-154.83,31.99,34.25,58.24,-84.75,34.53,53.89,-17.54,92.93,55.49
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,40.0,35.99,,,25.72,-100.0,,,-100.0,,,,,,,,,259.97,,,,-100.0,,,96.08,,,,-100.0,
Przepływy pieniężne razem,,,,,-107.72,-328.87,-22.39,188.31,-253.04,32.62,-205.81,-74.56,63.66,57.62,291.32,-104.78,-80.48,76.58,-154.06,-86.33,70.2,451.04,268.0,2313.18,478.18,102.75,-108.42,-58.44,-40.74,-78.66,-531.44,-142.5,-39.5,-382.87,-110.25,590.84,-200.29,25.71,76.45,-9.67
