,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Rzeczowe składniki majątku trwałego,,,,,,,,,,-13.04,-15.15,-16.0,-24.22,497.5,494.64,433.33,427.84,-35.15,-37.09,-21.96,-25.39,-29.68
Należności długoterminowe,,,,,,,,,,,,0.0,2.22,-1.09,0.0,8.89,9.78,8.79,19.57,20.41,19.8,17.17
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,-1.47,-1.47,4.92
Pozostałe aktywa trwałe,,,,,,,,,,,,26.09,16.67,53.06,-17.28,89.66,732.14,276.0,383.58,1005.45,145.06,158.87
Aktywa obrotowe,,,,,,117.93,76.66,,113.92,73.17,72.14,12.23,15.68,10.26,12.69,14.16,20.11,9.09,3.37,-2.18,-20.57,-16.48
Zapasy,,,,,,226.77,115.62,,9.88,-14.78,-27.49,15.86,-12.18,-36.1,-15.39,-1.51,58.7,146.18,129.58,71.25,51.17,46.38
Należności krótkoterminowe,,,,,,343.53,76.99,,110.54,43.55,74.8,-15.07,23.65,76.05,26.77,11.01,-4.13,-24.42,6.45,110.55,59.44,-12.27
Inwestycje krótkoterminowe,,,,,,56.01,57.13,,212.84,161.11,165.74,16.15,22.43,14.4,18.08,19.05,16.37,-5.95,-20.09,-32.86,-51.79,-44.35
Środki pieniężne i inne aktywa pieniężne,,,,,,-8.86,-3.57,,552.88,346.95,230.81,16.15,22.43,14.4,54.55,19.05,16.37,-34.81,-74.75,-32.86,-51.79,-19.72
Pozostałe aktywa obrotowe,,,,,,-76.09,-74.0,,-89.15,-63.64,-79.49,-60.61,-57.14,37.5,-100.0,15.38,16.67,-100.0,,-100.0,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,125.37,86.44,,110.47,68.43,65.42,9.6,13.05,12.01,14.31,19.14,26.08,11.44,6.11,6.85,-9.68,2.82
Kapitał własny akcjonariuszy jednostki dominującej,,,,,104.36,125.05,93.81,170.59,111.05,65.38,66.02,-1.82,2.89,7.71,9.73,13.56,14.85,5.06,-0.18,-12.57,-14.04,-12.73
Kapitał (fundusz) podstawowy,,,,,,2.0,2.0,7.0,7.0,4.9,4.9,0.0,1.31,1.31,1.31,1.31,1.48,1.48,1.48,1.48,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,695.99,695.99,,267.62,156.0,156.0,-2.11,-2.11,0.33,-66.78,0.39,0.39,-66.89,0.0,-67.07,-67.07,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,1857.14,254.91,68.37,289.78,312.41,-2.77,19.14,47.94,1.24,-16.25
Z tytułu dostaw i usług,,,,,,366.67,-49.42,,84.54,135.71,-45.66,71.31,-20.67,232.32,652.1,12.44,121.83,532.22,143.91,2818.72,1363.17,156.54
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,-8.14,24.16,29.61,21.43
Inne zobowiązania długoterminowe,,,,,,,,,,,,,1857.14,-12.72,-58.13,32.12,83.21,113.91,211.51,214.36,56.57,17.96
Zobowiązania krótkoterminowe,,,,,,147.83,-4.04,,85.65,158.48,-23.06,479.59,418.84,88.91,207.49,44.63,103.58,167.54,119.4,114.36,9.9,147.22
Inne zobowiązania krótkoterminowe,,,,,,115.0,527.03,,86.51,165.89,-1.72,664.07,753.62,47.52,-100.0,40.67,94.72,-100.0,,-100.0,-100.0,
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,109.76,125.37,86.44,176.71,110.47,68.43,65.42,9.6,13.05,12.01,14.31,19.14,26.08,11.44,6.11,6.85,-9.68,2.82
Przepływy pieniężne z działalności operacyjnej,,,,,-83.71,635.43,161.01,237.26,-120.39,-51.44,112.13,-102.22,1550.6,88.32,59.98,2205.71,2.33,-233.14,-137.13,-68.11,22.4,122.14
Amortyzacja,,,,,55.26,76.32,105.26,161.11,72.88,32.84,21.79,2.13,-27.45,107.87,-40.0,-48.96,-25.68,-69.73,0.0,53.06,29.09,16.07
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,,,99.51,100.0,-1482.5,64.36,945.45,,100.0,-119.41,-137.63,-8586.96,,1164.17,-1668.57,69.49
CAPEX (niematerialne i rzeczowe),,,,,,,,,-97.8,-100.0,-100.0,,-100.0,,,61300.0,,8586.96,,163.52,1668.57,-60.86
Przepływy pieniężne z działalności finansowej,,,,,,,,,,-61.6,,-100.0,,-356.19,,,-628.57,-31.9,0.0,-39.13,-8962.16,97.86
Emisja akcji,,,,,,,,,,,,-100.0,,,,,-100.0,100.0,,,,
Dywidenda,,,,,,,,,,,,,,,,,,-100.0,,,38.36,
Przepływy pieniężne razem,,,,,-173.95,413.14,69.27,1827.19,94.91,-75.39,-630.62,-65.23,1487.23,-422.17,196.27,-97.54,-11.04,-1022.75,-371.35,8607.79,-312.41,88.44
