,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Zysk netto,-12437.0,31052.0,12489.0,44693.0,-2167.0,1593.0,872.0,29169.0,11537.0,13191.0,154.0,29473.0,34523.0,10478.0,3945.0,22271.0,-3550.0,43749.0,-15886.0,35766.0,16704.0,10703.0,4265.0,27217.0,-2577.0,63486.0,12928.0,56236.0,28389.0,31816.0,112620.0,8429.0,28229.0,21091.0,16121.0,150394.0,35705.0,278250.0,29653.0,404260.0,92209.0,-103732.0,26148.0,-108888.0,109017.0,-78335.0,16225.0
Zysk netto akcjonariuszy jednostki dominującej,-12437.0,31052.0,12489.0,44693.0,-2167.0,1593.0,872.0,29169.0,11537.0,13191.0,154.0,29473.0,34523.0,10478.0,3945.0,22271.0,-3550.0,43749.0,-15886.0,35766.0,16704.0,10703.0,4265.0,27560.0,-2920.0,63486.0,12928.0,56236.0,28389.0,31816.0,112620.0,8429.0,28229.0,21091.0,16121.0,150394.0,35705.0,278250.0,29653.0,404260.0,92209.0,-103732.0,26148.0,-108888.0,109017.0,-78335.0,16225.0
Aktywa trwałe,0.0,959802.0,0.0,937976.0,929861.0,943817.0,961333.0,1007724.0,1023091.0,1053501.0,1027295.0,1064764.0,769640.0,927298.0,943144.0,963906.0,945825.0,1042700.0,1035239.0,1148876.0,1212755.0,1240954.0,1265349.0,1403219.0,1407174.0,1520604.0,1581626.0,1716438.0,1795969.0,1838209.0,2173987.0,2193048.0,2269956.0,2392123.0,2535963.0,2754135.0,2969699.0,3457071.0,3677575.0,4348147.0,4666302.0,4575262.0,4629681.0,4426379.0,4752434.0,4667657.0,4720348.0
Wartości niematerialne i prawne,0.0,19.0,0.0,22.0,20.0,23.0,19.0,19.0,13.0,10.0,8.0,10.0,6.0,5.0,4.0,3.0,2.0,20.0,26.0,18.0,683.0,738.0,764.0,802.0,782.0,678.0,508.0,469.0,302.0,126.0,302.0,230.0,193.0,147.0,190.0,183.0,187.0,138.0,121.0,168.0,56.0,59.0,81.0,63.0,78.0,94.0,83.0
Rzeczowe składniki majątku trwałego,0.0,4363.0,0.0,1097.0,483.0,497.0,537.0,575.0,527.0,491.0,582.0,545.0,455.0,919.0,871.0,831.0,876.0,960.0,819.0,760.0,701.0,698.0,657.0,610.0,567.0,529.0,479.0,1410.0,1445.0,1520.0,1597.0,1583.0,1561.0,1547.0,1584.0,1567.0,1511.0,3276.0,5052.0,9336.0,5179.0,9906.0,14548.0,18150.0,22444.0,24683.0,24768.0
Należności długoterminowe,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,952658.0,0.0,936831.0,922700.0,936674.0,958220.0,1004623.0,1020136.0,1050280.0,1021032.0,1057704.0,758134.0,914368.0,934900.0,956030.0,937376.0,1034488.0,1026053.0,1141882.0,1204800.0,1231474.0,1257747.0,1399554.0,1402193.0,1515259.0,1577591.0,1711752.0,1792147.0,1834068.0,2167794.0,2189100.0,2264845.0,2384112.0,2528107.0,2747864.0,2964857.0,3448391.0,3668006.0,4335492.0,4659224.0,4560848.0,4610851.0,4400578.0,4722193.0,4636839.0,4683982.0
Pozostałe aktywa trwałe,0.0,2756.0,0.0,26.0,6658.0,6623.0,2557.0,2507.0,2415.0,2720.0,5673.0,6505.0,11045.0,12006.0,7369.0,7042.0,7571.0,7232.0,8341.0,6216.0,6571.0,8044.0,6181.0,2253.0,3632.0,4138.0,3048.0,2807.0,2075.0,2495.0,4294.0,2135.0,3357.0,6317.0,6082.0,4521.0,3144.0,5266.0,4396.0,3151.0,1836.0,4449.0,4201.0,7588.0,7719.0,6041.0,11515.0
Aktywa obrotowe,0.0,29375.0,0.0,73411.0,73708.0,151578.0,151803.0,146853.0,178973.0,180935.0,180521.0,172292.0,569355.0,198871.0,166968.0,109046.0,137944.0,135281.0,120299.0,157401.0,131391.0,117396.0,144140.0,181306.0,142679.0,137362.0,122926.0,195625.0,167448.0,235918.0,229101.0,176282.0,180173.0,290769.0,207999.0,370324.0,268558.0,328483.0,343340.0,223777.0,226463.0,414876.0,460946.0,572153.0,560026.0,421971.0,481945.0
Zapasy,0.0,0.0,0.0,0.0,283.0,285.0,96.0,36.0,37.0,125.0,74.0,35.0,79.0,40.0,0.0,0.0,81.0,267.0,25.0,32.0,80.0,245.0,273.0,38.0,120.0,144.0,25.0,25.0,25.0,48.0,80.0,81.0,81.0,54.0,19.0,22.0,94.0,19.0,19.0,150.0,161.0,0.0,0.0,0.0,504.0,504.0,846.0
Należności krótkoterminowe,0.0,10914.0,0.0,6852.0,7310.0,14636.0,15544.0,10695.0,9551.0,31180.0,34435.0,31667.0,364952.0,20117.0,20632.0,12066.0,13473.0,43452.0,50718.0,25986.0,25454.0,27051.0,27569.0,47376.0,51614.0,58270.0,33629.0,46856.0,39220.0,67362.0,69970.0,47668.0,55310.0,89640.0,70618.0,60543.0,75455.0,76349.0,83174.0,81204.0,89354.0,92618.0,84713.0,88072.0,85333.0,66888.0,54054.0
Inwestycje krótkoterminowe,0.0,18461.0,0.0,66559.0,66115.0,136657.0,136163.0,136122.0,169385.0,149630.0,146012.0,140590.0,131736.0,178714.0,146336.0,96980.0,124390.0,91562.0,69556.0,131383.0,105857.0,90100.0,116298.0,133892.0,90945.0,78948.0,89272.0,148744.0,128203.0,168508.0,159051.0,128533.0,124782.0,201075.0,137362.0,309759.0,193009.0,252115.0,260147.0,142423.0,136948.0,322258.0,376233.0,484081.0,474189.0,354579.0,427045.0
Środki pieniężne i inne aktywa pieniężne,0.0,18455.0,0.0,37423.0,34623.0,83787.0,71068.0,50598.0,78242.0,51801.0,58579.0,52291.0,54935.0,136456.0,98664.0,55104.0,88524.0,61694.0,39073.0,105951.0,80517.0,64827.0,91561.0,103099.0,59372.0,46106.0,60784.0,122537.0,103033.0,102046.0,113739.0,102719.0,99878.0,163009.0,128751.0,170514.0,138990.0,177234.0,197927.0,119446.0,131517.0,315200.0,366516.0,482929.0,463818.0,344247.0,417423.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,989177.0,0.0,1011387.0,1003569.0,1095395.0,1113136.0,1154577.0,1202064.0,1234436.0,1207816.0,1237056.0,1338995.0,1126169.0,1110112.0,1072952.0,1083769.0,1177981.0,1155538.0,1306277.0,1344146.0,1358350.0,1409489.0,1584525.0,1549853.0,1657966.0,1704552.0,1912063.0,1963417.0,2074127.0,2403088.0,2369330.0,2450129.0,2682892.0,2743962.0,3124459.0,3238257.0,3785554.0,4020915.0,4571924.0,4892765.0,4990138.0,5090627.0,4998532.0,5312460.0,5089628.0,5202293.0
Kapitał własny akcjonariuszy jednostki dominującej,345893.0,374236.0,386725.0,435836.0,436161.0,508867.0,507394.0,535344.0,546714.0,557882.0,557816.0,591547.0,626429.0,647368.0,651798.0,632881.0,630644.0,675726.0,661246.0,698045.0,715601.0,726651.0,731038.0,758476.0,752474.0,815352.0,827451.0,877214.0,902027.0,938555.0,1051245.0,1052054.0,1080343.0,1211732.0,1229824.0,1502073.0,1542437.0,1824521.0,1878918.0,2298224.0,2427625.0,2497951.0,2516419.0,2394295.0,2509382.0,2395628.0,2412624.0
Kapitał (fundusz) podstawowy,3774.0,3774.0,3774.0,3774.0,3774.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4529.0,4931.0,4931.0,5344.0,5344.0,5344.0,5344.0,5344.0,5344.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,132611.0,0.0,153963.0,153963.0,225084.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,306468.0,308764.0,308764.0,309376.0,309376.0,309376.0,309376.0,309376.0,309376.0,419108.0,419108.0,458600.0,304025.0,304025.0,304025.0,304025.0,304025.0,485348.0,485312.0,485312.0,485312.0,485312.0,485312.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,454455.0,0.0,502177.0,490943.0,475678.0,487309.0,495760.0,527373.0,552559.0,526255.0,533431.0,336673.0,403689.0,409707.0,402421.0,422553.0,435140.0,419359.0,508899.0,533530.0,569226.0,610702.0,721897.0,708546.0,756966.0,749120.0,936048.0,979177.0,971135.0,1208233.0,1219122.0,1261893.0,1374714.0,1417586.0,1426007.0,1496523.0,1722350.0,1863762.0,2037714.0,2216614.0,2219946.0,2256657.0,2303201.0,2438417.0,2351692.0,2307754.0
Z tytułu dostaw i usług,0.0,16307.0,0.0,10754.0,15000.0,28828.0,24946.0,16597.0,22162.0,26045.0,11681.0,12505.0,104279.0,51741.0,26148.0,16651.0,11497.0,43965.0,54249.0,75617.0,74385.0,37960.0,40522.0,75468.0,58109.0,50775.0,68849.0,75052.0,57237.0,108546.0,81561.0,55936.0,67414.0,57366.0,58100.0,75101.0,75955.0,108323.0,140251.0,148023.0,149690.0,167991.0,122525.0,88098.0,131877.0,127464.0,125656.0
Kredyty i pożyczki,0.0,143416.0,0.0,62078.0,60913.0,81740.0,93162.0,106532.0,105201.0,95790.0,108949.0,96951.0,253116.0,19696.0,19879.0,20191.0,18231.0,13810.0,13792.0,18000.0,18072.0,21278.0,24676.0,25742.0,28052.0,30996.0,56787.0,21768.0,23695.0,54429.0,58767.0,39790.0,37287.0,28418.0,29459.0,23202.0,25280.0,26702.0,30802.0,32333.0,37836.0,41269.0,101709.0,91808.0,103792.0,94643.0,97400.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0,1987.0,92680.0,94666.0,94520.0,95624.0,49086.0,51091.0,50896.0,79046.0,113100.0,118848.0,111248.0,249642.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,85.0,189.0,174.0
Inne zobowiązania długoterminowe,0.0,126037.0,0.0,127559.0,132164.0,129973.0,132069.0,141151.0,141596.0,143216.0,137323.0,140485.0,100397.0,100039.0,102479.0,107042.0,104728.0,108072.0,105858.0,110979.0,114503.0,120587.0,122590.0,127267.0,125858.0,144299.0,152093.0,175326.0,186657.0,190642.0,219230.0,242152.0,234524.0,229796.0,268805.0,256336.0,266000.0,330195.0,338408.0,417385.0,460674.0,430000.0,454349.0,404570.0,415018.0,402657.0,451687.0
Zobowiązania krótkoterminowe,0.0,160486.0,0.0,73374.0,76465.0,110850.0,118433.0,123473.0,127977.0,123995.0,123745.0,112078.0,375893.0,75112.0,48607.0,37650.0,30572.0,67115.0,74933.0,99333.0,95015.0,62473.0,67749.0,104152.0,88833.0,85648.0,127981.0,98801.0,82213.0,164437.0,143610.0,98154.0,107893.0,96446.0,96552.0,196379.0,199297.0,238683.0,278235.0,235986.0,248526.0,272241.0,317551.0,301036.0,364661.0,342308.0,481915.0
Inne zobowiązania krótkoterminowe,0.0,763.0,0.0,542.0,552.0,282.0,325.0,344.0,614.0,2160.0,3115.0,2622.0,18498.0,3675.0,2580.0,808.0,844.0,9340.0,6892.0,5716.0,2558.0,3235.0,2551.0,2942.0,2672.0,3877.0,2345.0,1981.0,1281.0,1462.0,3282.0,2428.0,3192.0,8242.0,7006.0,5396.0,3396.0,9138.0,11558.0,6544.0,9909.0,12085.0,14271.0,7991.0,10059.0,8764.0,9043.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,345893.0,989177.0,386725.0,1011387.0,1003569.0,1095395.0,1113136.0,1154577.0,1202064.0,1234436.0,1207816.0,1237056.0,1338995.0,1126169.0,1110112.0,1072952.0,1083769.0,1177981.0,1155538.0,1306277.0,1344146.0,1358350.0,1409489.0,1584525.0,1549853.0,1657966.0,1704552.0,1912063.0,1963417.0,2074127.0,2403088.0,2369330.0,2450129.0,2682892.0,2743962.0,3124459.0,3238257.0,3785554.0,4020915.0,4571924.0,4892765.0,4990138.0,5090627.0,4998532.0,5312460.0,5089628.0,5202293.0
Przepływy pieniężne z działalności operacyjnej,-5767.0,31374.0,20078.0,6582.0,12681.0,11681.0,14602.0,17696.0,17485.0,-5932.0,14486.0,19684.0,7709.0,21425.0,-5673.0,14899.0,8490.0,3455.0,-5884.0,41873.0,6733.0,12312.0,11197.0,9001.0,9455.0,6360.0,40374.0,2391.0,20308.0,23036.0,-8244.0,46836.0,31206.0,22939.0,89223.0,31717.0,17647.0,26155.0,54576.0,16833.0,22066.0,71178.0,43416.0,148.0,67805.0,65537.0,47267.0
Amortyzacja,173.0,253.0,125.0,321.0,45.0,-360.0,41.0,37.0,55.0,45.0,41.0,51.0,53.0,47.0,52.0,55.0,53.0,70.0,73.0,78.0,62.0,49.0,51.0,50.0,85.0,154.0,218.0,218.0,240.0,254.0,197.0,193.0,152.0,153.0,81.0,86.0,90.0,-105.0,110.0,87.0,96.0,132.0,142.0,180.0,157.0,199.0,206.0
Przepływy pieniężne z działalności inwestycyjnej,-18608.0,-16888.0,-27649.0,-15402.0,-5047.0,11741.0,-22656.0,-23547.0,-7212.0,9842.0,-21541.0,-4400.0,-5216.0,252005.0,-18631.0,-9990.0,-3267.0,-23695.0,-13570.0,-58112.0,-43068.0,-68763.0,-19818.0,-83196.0,-49586.0,-42906.0,-31370.0,-70388.0,-47254.0,-59070.0,-130407.0,-72991.0,-47888.0,-142122.0,-147123.0,-202272.0,-68313.0,987535.0,-147294.0,-107329.0,-98278.0,-155711.0,-113201.0,-63812.0,-106400.0,-203453.0,-72820.0
CAPEX (niematerialne i rzeczowe),39861.0,16424.0,5689.0,15461.0,5074.0,17664.0,22987.0,25202.0,7229.0,19035.0,21576.0,4401.0,5266.0,74916.0,19946.0,11626.0,5910.0,27564.0,12845.0,64384.0,40620.0,60625.0,21488.0,74947.0,50857.0,38486.0,36737.0,67184.0,54690.0,59718.0,130407.0,71958.0,44348.0,105901.0,181046.0,71109.0,154145.0,126989.0,143900.0,159562.0,118040.0,159802.0,110491.0,63220.0,102762.0,205671.0,68444.0
Przepływy pieniężne z działalności finansowej,30054.0,-20675.0,38011.0,-2652.0,-10434.0,31996.0,-4709.0,-14593.0,16978.0,-30590.0,13929.0,-21673.0,569.0,-192381.0,-10.0,-48469.0,28197.0,-6590.0,-3167.0,84117.0,9159.0,43829.0,35770.0,84083.0,-1853.0,21909.0,5657.0,129038.0,7275.0,36222.0,142909.0,15827.0,12432.0,183782.0,22913.0,214013.0,18176.0,166375.0,111704.0,12273.0,84315.0,268990.0,117816.0,180077.0,19484.0,18345.0,95444.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,70120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,5679.0,-6189.0,30440.0,-11472.0,-2800.0,55418.0,-12763.0,-20444.0,27251.0,-26680.0,6874.0,-6389.0,3062.0,81049.0,-24314.0,-43560.0,33420.0,-26830.0,-22621.0,67878.0,-27176.0,-12622.0,27149.0,9888.0,-41984.0,-14637.0,14661.0,61041.0,-19671.0,188.0,4258.0,-10328.0,-4250.0,64599.0,-34987.0,43458.0,-32490.0,1180065.0,18986.0,-78223.0,8103.0,184457.0,48031.0,116413.0,-19111.0,-119571.0,69891.0
