,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Rzeczowe składniki majątku trwałego,,,,,,400.0,1875.0,1875.0,1350.0,315.0,562.03,788.61,1150.0,873.49,48.95,6.7,-1.1,-9.9,-10.78,-7.21,-11.44,-15.11,-16.4,96.55,90.87
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,17400.0,,,,1298.86,276.98,680.0,259.01,54.41,75.7,93.55,93.24,90.42,81.61,77.71,48.66,119.16
Aktywa obrotowe,,61.67,,,,92.45,106.17,34.24,7.13,-0.64,222.23,265.34,371.91,444.99,97.14,111.92,98.85,88.77,53.42,45.86,36.67,35.2,42.02,-4.21,-10.54
Zapasy,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,-100.0,,,,,,66500.0,
Należności krótkoterminowe,,967.44,,,,291.07,115.25,-12.75,-37.77,-61.23,401.21,42.58,469.57,507.04,64.4,157.95,33.74,49.18,28.56,-9.2,-8.67,22.62,-56.24,-14.22,-39.41
Inwestycje krótkoterminowe,,-20.3,,,,87.37,267.42,441.66,104.3,90.26,371.91,499.63,353.14,438.84,107.49,105.02,114.25,93.02,60.51,56.34,43.55,36.09,62.13,-4.18,-8.05
Środki pieniężne i inne aktywa pieniężne,,-20.3,,,,87.37,257.98,441.66,104.17,90.26,378.45,494.7,353.44,438.84,110.05,106.72,113.41,92.99,39.74,24.54,-90.81,24.61,34.53,-10.85,986.55
Pozostałe aktywa obrotowe,,,,,,-99.94,-90.16,-97.19,,2700.0,-73.53,32.76,516.67,325.0,353.7,131.17,94.59,227.73,-11.02,-12.36,-17.59,-26.67,30.28,96.79,93.26
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,52.79,,,,79.31,91.72,28.71,4.3,8.25,225.43,284.27,399.43,436.99,111.35,120.0,96.32,86.36,56.05,50.45,39.48,38.19,42.78,0.96,-1.51
Kapitał własny akcjonariuszy jednostki dominującej,,49.13,,,,69.36,82.94,30.19,5.53,11.42,217.2,271.83,403.85,430.2,119.46,123.87,100.24,89.19,54.31,48.16,40.78,38.27,11.89,3.06,-2.33
Kapitał (fundusz) podstawowy,,4.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,2.95,2.95
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,83.68,,,,-12.31,-14.33,-14.33,0.0,0.0,0.0,0.0,-7.6,-7.6,-7.6,-7.6,0.0,0.0,-2.11,-2.17,-2.11,-2.11,80.37,80.47,80.37
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,,,4.07,-36.49,-45.97,-45.51,-52.12,-60.45,-71.49,-86.17,-96.6,390.57,610.77
Z tytułu dostaw i usług,,883.33,,,,150.85,103.15,18.15,96.35,-41.89,48.45,37.65,-53.53,230.23,78.85,44.86,324.8,186.27,48.61,32.02,69.11,-34.93,26.72,50.34,40.76
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,4.76,40.54,31.79,235.53,226.62,3.85,-19.1,-72.16,-47.12,59.88
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,853.85,,,,145.16,97.71,-24.66,235.71,28.62,693.05,503.3,289.79,484.65,13.39,68.49,36.46,62.64,108.2,105.82,36.72,42.93,567.62,-23.35,10.5
Inne zobowiązania krótkoterminowe,,500.0,,,,33.33,-75.0,-99.38,6600.0,2637.5,167000.0,140400.0,694.03,615.53,-10.71,82.85,13.6,20.8,122.59,117.59,30.06,116.32,831.68,-32.74,-4.41
Rozliczenia międzyokresowe,,-100.0,,,,,,,-84.1,-77.54,-39.47,131.58,101.37,442.67,329.95,299.43,303.4,41.03,55.84,38.55,-62.39,36.93,-33.53,-31.67,2.69
Pasywa razem,,52.79,,,,79.31,91.72,28.71,4.3,8.25,225.43,284.27,399.43,436.99,111.35,120.0,96.32,86.36,56.05,50.45,39.48,38.19,42.78,0.96,-1.51
Przepływy pieniężne z działalności operacyjnej,,-246.89,,,,170.48,152.06,156.72,92.38,147.55,2805.58,3561.85,12.73,599.53,-73.83,95.97,120.14,23.23,120.98,51.92,-23.13,-13.02,-61.6,-67.63,-38.95
Amortyzacja,,-86.67,,,,1800.0,4600.0,760.0,2460.0,42.11,1955.32,53.49,-98.66,1405.56,-53.93,156.06,185.0,-72.2,-56.18,91.72,73.68,60.62,61.03,-7.72,13.47
Przepływy pieniężne z działalności inwestycyjnej,,96.3,,,,-100.0,,-33.33,-9233.33,-35900.0,-847.14,-10562.5,58.12,-39.72,-38.76,25.09,-10.34,39.17,-951.96,-1409.55,-6175.94,-1479.9,728.39,160.23,98.53
CAPEX (niematerialne i rzeczowe),,-96.3,,,,100.0,,60.0,8860.0,35900.0,705.71,10575.0,-48.21,39.72,63.12,-25.18,-4.66,-18.89,90.43,160.25,-23.33,104.53,76.6,67.77,60.02
Przepływy pieniężne z działalności finansowej,,-23.04,,,,-100.0,,,,,,,,,55.95,-32.14,-44.44,-16.22,-39502.7,-21.62,11.54,-4.65,118.63,-62480.0,111047.83
Emisja akcji,,-23.04,,,,-100.0,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,-100.0,,
Przepływy pieniężne razem,,-46.07,,,,-60.08,143.58,153.05,-4.09,7.07,3163.06,3205.45,83.86,1332.29,-80.31,115.24,146.51,31.31,-839.52,-21.88,-672.26,-102.23,487.73,-277.15,197.63
