,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Koszty finansowe,3.0,4.0,3.0,-3.0,22.0,6.0,9.0,28.0,11.0,4.0,105.0,264.0,126.0,1.0,37.0,-28.0,5.0,272.0,3050.0,227.0,1184.0,230.0,50.0,182.0,4195.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,579.0,-12.0,-25.0,6.0,37.0,6238.0,6023.0,-940.0,-360.0,-256.0,1578.0,-197.0,-302.0
Zysk z działalności gospodarczej,-161.0,-121.0,518.0,259.0,-18.0,470.0,257.0,298.0,-136.0,145.0,4833.0,-331.0,6424.0,8032.0,435.0,7771.0,-1975.0,5289.0,2562.0,-2093.0,-1585.0,-2041.0,2387.0,-4352.0,-8893.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-161.0,-121.0,518.0,259.0,-18.0,470.0,257.0,298.0,-136.0,145.0,4833.0,-331.0,6424.0,8032.0,435.0,7771.0,-1975.0,5289.0,2562.0,-2093.0,-1585.0,-2041.0,2387.0,-4352.0,-8893.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-161.0,-121.0,518.0,203.0,-71.0,452.0,226.0,257.0,-98.0,131.0,3897.0,-860.0,5691.0,6444.0,159.0,6198.0,-1629.0,4215.0,1805.0,-2749.0,-1123.0,-1914.0,1764.0,-4253.0,-7638.0
Zysk netto akcjonariuszy jednostki dominującej,-161.0,-121.0,518.0,203.0,-71.0,452.0,226.0,257.0,-98.0,131.0,3897.0,-821.0,5781.0,6590.0,356.0,6487.0,-1100.0,4509.0,2079.0,-2518.0,-982.0,-1622.0,1951.0,-1947.0,-7384.0
Aktywa trwałe,70.0,66.0,57.0,252.0,570.0,572.0,568.0,548.0,554.0,550.0,742.0,510.0,1068.0,8382.0,9131.0,13760.0,2894.0,22826.0,30309.0,30457.0,31295.0,31696.0,34110.0,35538.0,30266.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,25.0,349.0,411.0,376.0,1167.0,15434.0,16507.0,16548.0,17425.0,18152.0,17070.0,18178.0,18046.0
Rzeczowe składniki majątku trwałego,58.0,53.0,57.0,40.0,37.0,32.0,41.0,25.0,20.0,16.0,21.0,35.0,34.0,62.0,78.0,123.0,140.0,542.0,449.0,775.0,711.0,635.0,570.0,494.0,428.0
Należności długoterminowe,12.0,13.0,0.0,212.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,503.0,503.0,503.0,523.0,534.0,534.0,721.0,0.0,1009.0,7971.0,8642.0,13261.0,1548.0,6776.0,13267.0,13055.0,12794.0,12542.0,16065.0,16318.0,10319.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,18.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,74.0,86.0,79.0,365.0,367.0,405.0,548.0,1473.0
Aktywa obrotowe,3595.0,4272.0,4778.0,6647.0,6132.0,6502.0,6957.0,7006.0,6589.0,6654.0,11601.0,14987.0,17230.0,18895.0,21846.0,25630.0,34073.0,20398.0,14537.0,13611.0,12540.0,11424.0,11043.0,10502.0,8654.0
Zapasy,2640.0,3236.0,3877.0,4504.0,4725.0,5127.0,5401.0,5763.0,5041.0,4975.0,4115.0,4411.0,5813.0,5538.0,5852.0,8022.0,10692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,89.0,352.0,535.0,943.0,959.0,622.0,1051.0,678.0,550.0,621.0,2624.0,2689.0,2259.0,4225.0,4548.0,4806.0,5156.0,5336.0,6711.0,5664.0,6880.0,6367.0,4978.0,5385.0,4168.0
Inwestycje krótkoterminowe,856.0,631.0,305.0,1190.0,214.0,484.0,155.0,207.0,656.0,709.0,4374.0,7401.0,8859.0,8728.0,11038.0,12141.0,17747.0,15062.0,7826.0,7947.0,5660.0,5057.0,6065.0,5117.0,4486.0
Środki pieniężne i inne aktywa pieniężne,856.0,631.0,305.0,1190.0,214.0,484.0,155.0,207.0,653.0,709.0,4374.0,7401.0,8859.0,8718.0,11013.0,12091.0,10417.0,453.0,1788.0,2866.0,4295.0,3844.0,3761.0,3562.0,2722.0
Pozostałe aktywa obrotowe,10.0,53.0,61.0,10.0,234.0,269.0,350.0,358.0,342.0,349.0,488.0,486.0,299.0,404.0,408.0,661.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,3665.0,4338.0,4835.0,6899.0,6702.0,7074.0,7525.0,7554.0,7143.0,7204.0,12343.0,15497.0,18298.0,27277.0,30977.0,39390.0,36967.0,43224.0,44846.0,44068.0,43835.0,43120.0,45153.0,46040.0,38920.0
Kapitał własny akcjonariuszy jednostki dominującej,3218.0,3697.0,4215.0,6195.0,6122.0,6574.0,6800.0,7057.0,6959.0,7090.0,10987.0,10113.0,15123.0,21713.0,23903.0,30300.0,24060.0,33589.0,33886.0,32894.0,31699.0,30114.0,32091.0,32149.0,24766.0
Kapitał (fundusz) podstawowy,2465.0,2465.0,2465.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,1753.0,1753.0,1753.0,3423.0,3421.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,8235.0,8235.0,6622.0,3421.0,3421.0,3421.0,3421.0,3421.0,3421.0,3421.0,3421.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.0,1686.0,2720.0,3729.0,4314.0,3943.0,4047.0,3661.0,3891.0,4051.0,3720.0,3742.0,3958.0,3704.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3528.0,4317.0,4953.0,5151.0,4960.0,5560.0,5538.0,6491.0
Z tytułu dostaw i usług,192.0,230.0,244.0,47.0,111.0,61.0,53.0,32.0,115.0,44.0,131.0,71.0,334.0,216.0,243.0,448.0,1092.0,1422.0,1681.0,1366.0,2138.0,3493.0,3233.0,3896.0,3452.0
Kredyty i pożyczki,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,447.0,399.0,581.0,101.0,592.0,567.0,575.0,582.0,271.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,153.0,101.0,217.0,251.0,256.0,262.0,267.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.0,4092.0,4794.0,4766.0,4640.0,5306.0,5352.0,5022.0
Zobowiązania krótkoterminowe,262.0,240.0,266.0,123.0,183.0,104.0,127.0,48.0,184.0,114.0,1356.0,1304.0,498.0,399.0,819.0,1006.0,2785.0,1838.0,2982.0,2330.0,2934.0,4326.0,3760.0,4395.0,3959.0
Inne zobowiązania krótkoterminowe,49.0,10.0,22.0,76.0,72.0,43.0,74.0,16.0,69.0,70.0,1225.0,1233.0,164.0,82.0,129.0,159.0,1112.0,104.0,556.0,296.0,4.0,0.0,0.0,237.0,240.0
Rozliczenia międzyokresowe,185.0,401.0,354.0,581.0,397.0,396.0,598.0,449.0,0.0,0.0,0.0,0.0,991.0,2445.0,2526.0,3770.0,5979.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,3665.0,4338.0,4835.0,6899.0,6702.0,7074.0,7525.0,7554.0,7143.0,7204.0,12343.0,15497.0,18298.0,27277.0,30977.0,39390.0,36967.0,43224.0,44846.0,44068.0,43835.0,43120.0,45153.0,46040.0,38920.0
Przepływy pieniężne z działalności operacyjnej,-517.0,-825.0,-330.0,-694.0,-669.0,-270.0,211.0,72.0,446.0,57.0,3776.0,-1059.0,-2396.0,-1859.0,248.0,-2067.0,-2450.0,-1671.0,-91.0,1554.0,-889.0,934.0,902.0,952.0,-76.0
Amortyzacja,3.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,6.0,4.0,4.0,5.0,6.0,6.0,10.0,13.0,16.0,396.0,341.0,288.0,974.0,678.0,296.0,591.0,1270.0
Przepływy pieniężne z działalności inwestycyjnej,-40.0,0.0,4.0,2.0,-506.0,0.0,0.0,-20.0,0.0,0.0,-111.0,-143.0,1956.0,-570.0,-194.0,2346.0,-308.0,-2058.0,-2749.0,-445.0,1690.0,-1310.0,-949.0,-1060.0,-689.0
CAPEX (niematerialne i rzeczowe),40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,5.0,123.0,103.0,51.0,837.0,2050.0,2814.0,2540.0,1999.0,1310.0,1100.0,1753.0,734.0
Przepływy pieniężne z działalności finansowej,1200.0,600.0,0.0,1576.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4229.0,1898.0,2288.0,2241.0,799.0,1085.0,573.0,-2631.0,-62.0,627.0,-75.0,-37.0,-90.0,-75.0
Emisja akcji,3518.0,600.0,0.0,0.0,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,4229.0,2721.0,2118.0,1897.0,851.0,197.0,570.0,90.0,183.0,608.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078.0,495.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,643.0,-225.0,-326.0,884.0,-975.0,-270.0,211.0,52.0,446.0,57.0,3665.0,3027.0,1458.0,-141.0,2295.0,1078.0,-1673.0,-3156.0,-5471.0,1047.0,1428.0,-451.0,-84.0,-198.0,-840.0
