,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Koszty finansowe,,,-8.61,61.19,,,213.77,-137.96,-133.54,-110.37,-96.77,221.95,33.96,128.85,292.86,180.0,745.71,2580.0,209.09,94.29,-8.85,-63.31,57.65,-36.03,-40.29,18.64,-23.51,1.15,79.67,-63.43,-25.85,-19.89,-35.29,14.06,-7.89,62.41,-56.64,190.41,10.0,-38.43,125.81,-66.04,-11.04,107.09,-73.57,24.31,35.04,-35.96,391.89,0.56,120.54,-86.1,-69.78,162.78,-24.51,-415.38,80.0,-51.16,-26.62,567.07,359.6,101.3,79.2,-5.74,-20.22,-35.05,28.64
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,0.46,2.94,,,-24.4,-20.79,-6.04,712.22,62.39,-181.3,-92.85,-99.05,-119.77,-631.86,-1230.61,-5587.5,347.99,87.58,32.49,275.4,163.78,0.46,544.12,22.94,-9.71,203.03,-30.28,-33.45,-12.07,-211.09,-40.67,116.3,0.72,-82.48,-20.09,-2.69,69.66,178.79,237.89,33.56,47.52,-113.46,-44.96,-1.64,-40.08,731.58,41.72,-28.8,-59.23,-64.0,36.01,-40.53,10.73,-608.8,-200.61,-8.95,-175.78,-137.49,87.98,365.06,797.9,124.9,573.53,1.91,-35.17
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,0.46,2.94,,,-24.4,-20.79,-6.04,712.22,62.39,-181.3,-92.85,-99.05,-119.77,-631.86,-1230.61,-5587.5,347.99,87.58,32.49,275.4,163.78,0.46,544.12,22.94,-9.71,203.03,-30.28,-33.45,-12.07,-211.09,-40.67,116.3,0.72,-82.48,-20.09,-2.69,69.66,178.79,237.89,33.56,47.52,-113.46,-44.96,-1.64,-40.08,731.58,41.72,-28.8,-59.23,-64.0,36.01,-40.53,10.73,-608.8,-200.61,-8.95,-175.78,-137.49,87.98,365.06,797.9,124.9,573.53,1.91,-35.17
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,2.78,-4.98,,,-24.15,-19.81,-9.62,716.06,51.29,-189.35,-97.91,-96.41,-125.77,-831.98,-5245.45,-463.01,288.55,89.56,39.05,866.42,166.13,-1.67,488.99,14.48,-9.38,195.34,-29.28,-35.27,-13.49,-209.77,-41.83,119.6,1.81,-90.58,-21.01,-3.09,70.39,179.12,240.6,33.13,46.87,-114.93,-44.92,-1.03,-40.19,674.42,42.79,-29.1,-58.23,-62.96,38.36,-40.61,8.94,-587.98,-198.82,-7.71,-180.13,-132.25,88.54,361.95,764.96,126.66,619.13,1.94,-36.1
Zysk netto akcjonariuszy jednostki dominującej,,,2.78,-4.98,,,-24.15,-19.81,-9.62,716.06,51.29,-189.35,-97.91,-96.41,-125.77,-831.98,-5245.45,-463.01,288.55,89.56,39.05,866.42,166.13,-1.67,488.99,14.48,-9.38,195.34,-29.28,-35.27,-13.49,-209.77,-41.83,119.6,1.81,-90.58,-21.01,-3.09,70.39,179.12,240.6,33.13,46.87,-114.93,-44.92,-1.03,-40.19,674.42,42.79,-29.1,-58.23,-62.96,38.36,-40.61,8.94,-587.98,-198.82,-7.71,-180.13,-132.25,88.54,361.95,764.96,126.66,619.13,1.94,-36.1
Aktywa trwałe,,,74.36,70.62,,,9.45,-8.23,-10.15,-4.22,3.27,43.01,85.28,81.54,75.13,41.58,12.92,5.66,2.97,2.22,-1.4,-5.1,-7.51,-5.56,-6.05,-4.01,-0.74,-1.87,-1.4,-0.85,-2.13,-3.11,-2.12,-0.97,-0.31,2.16,1.53,-0.63,0.02,1.18,3.83,8.13,8.33,7.49,8.08,8.62,6.95,9.25,6.68,3.65,3.97,-2.23,-3.73,-3.12,-2.06,0.35,3.55,4.34,2.57,1.3,-0.21,5.84,9.25,11.14,20.64,11.62,9.31
Wartości niematerialne i prawne,,,200.0,40.0,,,1322.22,0.0,1716.67,104.65,-70.31,614.29,-71.56,-67.05,-52.63,-62.0,412.9,372.41,966.67,878.95,48.43,44.53,-14.06,-26.88,-40.68,-38.38,-44.85,-45.59,-54.29,-33.61,-10.99,24.32,42.19,-3.7,-9.88,1.09,-12.09,-14.1,-24.66,-44.09,-42.5,-40.3,-30.91,113.46,134.78,442.5,486.84,87.39,79.63,-6.91,-16.59,-16.35,-7.22,-18.81,-20.97,-17.82,-9.44,-9.76,-9.52,-18.18,-36.81,-39.86,-43.61,-47.86,-52.43,-56.18,-54.67
Rzeczowe składniki majątku trwałego,,,55.83,53.97,,,11.35,2.25,0.24,6.89,14.72,43.44,85.77,81.96,75.51,41.65,12.74,3.31,-0.78,0.07,-3.4,-4.48,-4.82,-4.32,-4.42,-3.06,-0.44,-1.64,-1.3,-0.88,-2.23,-3.08,-2.28,-0.87,-0.21,2.2,1.57,-0.65,0.02,1.15,3.81,8.23,8.38,7.5,8.07,8.41,6.65,9.07,6.56,3.29,3.89,-2.29,-3.86,-2.86,-2.06,0.3,3.12,4.43,2.45,0.33,-0.78,-3.03,0.82,3.46,7.5,7.05,4.66
Należności długoterminowe,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,0.0,0.0,0.0,-14.29,0.0,0.0,-14.29,0.0,-14.29,-14.29,0.0,0.0,-100.0,0.0
Inwestycje długoterminowe,,,,7451.11,,,0.0,-98.65,-98.65,-98.65,-98.65,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.51,64.03
Pozostałe aktywa trwałe,,,22.96,3.83,,,-91.46,-23.16,-87.97,-88.4,174.07,-63.01,262.5,261.9,75.68,201.85,35.34,874.34,1647.69,711.66,750.96,-36.06,-79.45,-60.47,-73.95,-57.34,-22.91,-15.68,2.59,13.12,16.11,-11.79,14.85,-12.69,-12.2,-4.63,-0.98,4.26,5.72,16.71,15.76,2.4,6.19,-6.24,-3.62,-0.7,7.28,14.53,6.62,65.01,25.11,12.9,15.94,-24.07,3.8,12.57,57.5,-1.32,19.69,115.91,50.11,43.02,-4.51,-54.08,-48.94,-2.41,11.13
Aktywa obrotowe,,,-3.13,-10.45,,,-27.78,-6.57,-16.64,-3.1,24.31,-0.93,-14.51,-25.27,-37.0,-29.94,-10.29,7.65,25.08,25.6,8.72,7.91,15.08,5.55,16.11,33.36,21.09,26.74,20.99,3.27,8.44,4.78,5.15,6.69,-3.27,5.44,1.77,22.93,28.72,7.34,20.57,-6.44,6.19,27.17,11.21,23.6,7.23,-14.68,-2.15,-16.19,-9.03,27.12,2.6,16.56,31.97,-2.0,3.92,-15.36,-21.5,-14.45,-0.26,11.51,20.42,5.1,-3.86,-13.69,-17.53
Zapasy,,,44.68,17.24,,,16.48,-0.43,8.24,-47.7,-16.42,9.29,21.74,20.32,6.1,68.12,72.06,95.93,96.79,26.9,-30.16,-14.41,-38.03,-45.77,-17.5,-9.03,36.77,19.94,6.61,-13.68,-14.53,9.36,0.14,10.27,11.95,28.7,47.0,58.49,72.27,8.76,-3.23,-36.29,-45.55,-24.77,-12.11,27.96,20.49,15.43,21.42,-5.72,7.28,8.77,-4.12,-6.49,7.6,17.88,9.42,27.44,31.75,17.83,30.82,15.88,5.54,2.92,13.3,-12.75,-10.09
Należności krótkoterminowe,,,24.0,22.17,,,6.27,8.3,-6.69,-1.54,9.63,18.65,35.65,-0.35,-11.91,-26.2,-36.64,-16.94,5.64,25.39,17.52,23.39,22.82,-7.89,17.29,4.5,-13.96,-3.27,-10.81,-0.46,18.51,15.5,17.3,7.15,-7.38,3.1,2.34,13.1,26.03,24.68,34.55,27.16,12.42,1.6,-3.33,-0.12,-3.1,2.6,4.3,-12.83,-5.97,-7.92,-14.22,-5.19,6.93,6.02,6.02,0.84,-5.47,3.0,18.68,31.92,43.99,35.59,10.85,6.27,-16.2
Inwestycje krótkoterminowe,,,-23.22,-27.99,,,-66.23,-17.04,-30.88,48.25,100.29,-22.04,-82.72,-90.69,-88.07,-85.31,-81.4,-35.98,-70.86,3.36,943.68,16.51,1100.0,489.83,80.9,1362.41,131.79,70.32,101.01,23.93,12.67,-4.81,-2.55,4.28,-5.98,-4.76,-22.02,17.58,3.34,-9.51,25.35,-33.56,55.6,105.82,49.85,88.64,14.38,-35.77,-18.99,-26.75,-19.53,73.63,27.51,71.7,77.62,-13.47,-0.36,-47.24,-52.21,-41.96,-33.77,-31.38,0.76,-28.13,-45.77,-89.06,-29.34
Środki pieniężne i inne aktywa pieniężne,,,-23.22,-27.99,,,-66.23,-17.04,-30.88,48.25,100.29,-22.04,-82.72,-90.69,-88.07,-85.31,-81.4,-35.98,-70.86,3.36,943.68,16.51,1100.0,489.83,80.9,1362.41,131.79,69.94,101.01,23.93,12.61,-4.6,-2.55,4.28,-5.93,-4.76,-22.02,17.58,3.34,-9.51,25.35,-33.56,55.6,105.82,49.85,88.64,14.38,-35.77,-18.99,-26.75,-19.53,73.63,27.51,71.7,-65.62,-96.55,-91.68,-47.24,78.58,119.88,-19.48,-93.52,-84.11,32.96,-71.26,15.84,-12.92
Pozostałe aktywa obrotowe,,,-11.15,-19.01,,,-46.54,-43.25,-57.52,14.81,34.47,30.62,91.67,2.42,-45.09,-36.41,-27.54,145.67,127.15,129.41,114.5,-9.29,0.44,-8.72,37.53,-22.97,-10.16,-11.24,-46.95,0.92,5.33,1.9,-5.75,-13.18,-10.89,-8.28,-15.59,11.52,2.58,1.81,-2.81,6.1,2.01,8.87,23.55,27.88,14.64,20.77,24.75,-12.8,4.3,-1.01,-2.68,-6.35,-4.26,-0.85,-8.54,6.78,11.21,-1.03,2.71,6.75,10.85,12.67,18.77,2.6,17.25
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,19.13,16.54,,,-12.13,-7.38,-13.74,-3.61,13.29,20.29,31.84,23.36,16.54,11.12,4.86,6.31,9.21,8.5,1.61,-0.76,-0.2,-2.11,1.0,9.56,7.4,7.72,6.79,0.97,2.31,0.0,0.89,2.5,-1.63,3.51,1.64,10.46,12.61,3.77,11.06,0.5,7.26,16.06,9.55,15.93,7.09,-2.17,2.48,-6.67,-2.49,9.98,-0.85,6.07,13.72,-0.78,3.72,-5.76,-10.38,-6.18,-0.23,8.45,14.52,8.53,9.09,-0.37,-3.99
Kapitał własny akcjonariuszy jednostki dominującej,,,11.79,11.61,,,5.4,5.11,4.92,8.86,9.79,8.01,6.82,2.39,-1.49,-7.27,-8.78,-9.31,-7.1,-1.35,0.4,4.38,6.98,5.13,7.91,9.3,12.61,7.63,6.63,4.75,0.4,2.88,2.07,5.33,5.23,4.83,4.56,4.12,5.9,8.65,10.45,11.67,13.19,10.88,9.55,8.87,6.13,5.2,5.65,3.62,1.67,7.52,3.87,2.09,2.18,0.76,-2.54,-2.66,-5.11,-6.71,-2.03,5.99,14.98,16.01,17.64,16.14,12.61
Kapitał (fundusz) podstawowy,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,7.78,12.37,,,12.43,6.43,6.43,6.43,6.43,8.99,8.99,8.99,12.25,2.57,2.57,2.57,-0.41,-9.57,-9.57,-9.57,-13.61,-1.95,-1.95,-1.95,2.63,7.17,7.17,7.18,7.18,9.5,9.5,9.49,9.49,5.62,5.62,5.62,5.62,4.46,4.46,4.46,4.46,10.59,10.59,10.59,10.59,7.17,7.17,7.17,7.17,0.0,5.97,5.97,5.97,5.97,3.22,3.22,3.22,3.53,0.3,0.3,0.3,3.07,3.07,3.07,3.07
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,71.84,11.8,,,-100.0,-96.98,-98.97,-95.82,,64.76,123.81,4726.79,5822.61,4013.87,4582.98,68.76,25.62,11.84,13.57,-25.1,-30.7,75.26,80.82,95.19,119.87,-6.02,-3.13,-4.67,-5.49,-8.34,-9.44,-7.19,-6.26,-0.32,-2.71,6.42,3.81,-3.86,10.94,-0.5,-0.6,32.99,15.48,10.3,10.54,12.58,6.36,7.41,4.74,-13.99,-14.37,-18.32,-21.87,-19.54,-20.08,4.16,41.53,21.0,22.65,-2.44,-29.04,-32.49,-32.43,-35.53,-36.03
Z tytułu dostaw i usług,,,,,,,,,,-21.26,,,,34.52,,,,-3.26,,,,-0.84,,,,18.25,,,,-6.07,,,,8.39,,,,16.0,,,,3.28,,,,0.1,,,,-8.9,,,,-6.91,,,,9.01,,,,37.17,,,,-24.8,
Kredyty i pożyczki,,,,,,,,,,30.33,,,,-31.41,,,,269.62,,,,15.26,,,,-62.02,,,,40.33,,,,1.18,,,,145.35,,,,-77.46,,,,490.1,,,,-68.08,,,,232.61,,,,-48.67,,,,-24.0,,,,-21.65,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,-67.23,,,,269.23,,,,13.19,,,,82.82,,,,10.4,,,,0.0,,,,2.13,,,,-6.55,,,,-37.26,,,,-37.06,,,,-50.81,,,,-34.43,,,,-32.5,,,,59.26,
Inne zobowiązania długoterminowe,,,,,,,,,,-65.73,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,20.66,19.64,,,-41.35,-29.42,-36.32,-15.39,36.42,21.06,86.9,21.12,-2.54,48.03,13.72,18.44,42.75,23.73,-7.14,3.78,6.44,-38.5,-31.48,-6.28,-20.28,28.13,21.87,0.27,8.35,4.33,9.43,7.06,-12.02,5.42,-1.94,29.63,44.52,-0.14,21.6,-15.61,2.46,34.92,13.71,41.73,13.33,-26.86,-3.69,-29.43,-15.36,44.26,-4.76,31.56,68.18,6.1,34.05,-15.02,-31.8,-15.9,-2.81,20.56,38.43,14.93,10.85,-21.39,-28.36
Inne zobowiązania krótkoterminowe,,,,,,,,,,-19.07,,,,9.43,,,,-26.29,,,,2.71,,,,2.52,,,,2.06,,,,8.24,,,,-85.24,,,,730.88,,,,31.04,,,,-15.53,,,,18.5,,,,-13.94,,,,7.41,,,,17.31,
Rozliczenia międzyokresowe,,,75.24,69.93,,,70.01,9.8,9.84,-11.43,-11.8,113.68,116.39,119.58,123.89,-8.25,-8.38,19.85,18.51,20.76,19.45,-9.84,-16.58,-8.46,-8.34,0.07,-8.3,-0.02,-1.84,-6.63,9.64,-9.28,-7.18,-9.62,-8.87,-1.7,-0.7,-1.32,-0.83,-5.05,-5.89,-4.97,-5.08,-8.26,-7.89,-8.66,-8.37,-6.34,-6.51,-0.35,0.64,-1.01,-2.31,-7.5,-6.46,-5.02,-1.4,-3.53,-3.17,-4.31,-2.6,-3.0,-3.42,-4.46,-5.3,0.36,2.01
Pasywa razem,,,19.13,16.54,,,-12.13,-7.38,-13.74,-3.61,13.29,20.29,31.84,23.36,16.54,11.12,4.86,6.31,9.21,8.5,1.61,-0.76,-0.2,-2.11,1.0,9.56,7.4,7.72,6.79,0.97,2.31,0.0,0.89,2.5,-1.63,3.51,1.64,10.46,12.61,3.77,11.06,0.5,7.26,16.06,9.55,15.93,7.09,-2.17,2.48,-6.67,-2.49,9.98,-0.85,6.07,13.72,-0.78,3.72,-5.76,-10.38,-6.18,-0.23,8.45,14.52,8.53,9.09,-0.37,-3.99
Przepływy pieniężne z działalności operacyjnej,,,52.17,454.49,,,-27.46,35.63,53.1,87.58,115.13,-129.61,5783.82,-416.24,-101.91,137.46,-136.22,-30.61,1430.83,306.53,124.86,104.01,109.89,165.12,63.51,2015.48,-111.2,24.2,355.54,-99.61,689.66,-70.3,14.74,8957.14,-66.57,62.2,-40.75,-255.52,445.0,0.77,194.78,69.02,137.35,23.89,-79.96,-434.21,-14.82,-44.07,304.8,145.77,-35.43,68.25,-65.05,-50.67,1.08,-67.02,-97.28,-386.02,-54.65,-100.95,-4890.0,482.5,260.99,2566.67,365.66,-133.75,51.41
Amortyzacja,,,40.86,43.94,,,33.02,35.02,12.15,9.08,6.03,2.5,2.06,0.27,-0.41,56.83,57.26,68.71,73.37,11.73,10.26,0.0,-5.25,-7.72,-7.44,-4.52,-0.41,2.01,2.26,3.97,2.08,1.89,2.7,2.03,6.27,3.14,1.04,1.27,-4.59,-2.34,1.18,5.27,12.28,9.83,11.78,9.19,10.01,13.17,12.21,12.93,10.01,8.81,3.3,2.48,-0.53,-7.15,-5.48,-6.03,2.32,5.92,3.95,4.78,-4.24,2.88,6.25,6.54,9.33
Przepływy pieniężne z działalności inwestycyjnej,,,-343.8,-31.84,,,102.9,211.37,71.7,-144.59,-2553.4,-398.7,-4445.26,-43.45,31.54,88.47,79.18,83.25,49.48,38.01,79.53,65.36,56.64,95.51,-110.69,22.26,-196.83,-2721.43,35.08,-375.4,39.02,33.42,-19.34,-44.36,-43.44,-89.92,-117.87,35.31,-1.93,-185.79,-14.11,-110.54,-149.55,40.42,-58.08,-61.09,72.79,-150.68,55.83,-82.03,577.09,102.18,72.95,59.32,-1066.08,1074.19,523.4,805.42,82.27,-948.9,-243.05,-112.71,-49.77,158.92,-223.07,401.77,-56.45
CAPEX (niematerialne i rzeczowe),,,150.69,4153.61,,,-88.47,-91.05,-123.91,-56.65,995.24,2453.69,14985.23,746.5,-30.71,-88.65,-79.32,-79.35,-49.86,-37.45,-79.25,-69.69,-31.85,-95.61,106.94,-21.7,99.33,2778.57,-34.82,373.49,-42.55,-29.78,21.77,45.04,50.44,109.72,115.93,-57.25,-23.35,130.08,-22.48,332.97,81.42,-48.26,85.5,49.42,-61.95,75.58,-78.26,10.78,107.14,-101.21,-21.19,-86.92,-59.33,2456.67,128.92,918.54,61.09,-16.27,-35.14,-94.05,174.22,161.15,500.27,23.13,15.16
Przepływy pieniężne z działalności finansowej,,,-101.96,-736.25,,,-889.71,103.97,-103.92,153.68,39.18,5029.93,216.88,173.19,182.79,-93.22,1501.67,-27.34,-148.36,-137.38,10.65,-168.59,238.97,-448.69,-99.62,90.3,54.27,-107.35,-16783.33,-28.97,-186.25,94.85,7.19,77.11,27.68,-811.61,-33.15,8645.28,-399.54,-0.88,61.92,10.51,126.52,491.75,-156.58,-34.91,-397.49,-232.99,29.5,-122.59,82.02,243.81,-395.31,559.44,358.88,-209.39,89.92,-154.95,-99.43,86.32,534.67,-68.81,-1868.75,-291.34,-89.08,35.26,-236.75
Emisja akcji,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,0.0,,,,0.0,,,,-3.15,,,,-100.0,,,46.64,,,,-100.0,,,,,-24.46,,,,-100.0,,,,,,
Przepływy pieniężne razem,,,-98.36,-26.09,,,-416.09,356.79,-118.27,-17.23,213.67,-133.15,-1657.2,26.22,-67.43,100.44,86.37,122.03,-149.31,11163.64,345.96,-1466.31,2064.14,252.46,-119.49,176.49,-81.38,-13.05,71.65,-155.24,-138.56,-63.92,230.3,66.83,-379.66,-9.71,-1344.19,1208.33,-147.17,-148.75,175.21,18.31,341.51,1161.36,-344.38,-106.81,-77.22,-214.94,119.24,-1305.6,246.3,258.18,-881.18,169.89,-383.6,-152.32,113.26,188.93,87.32,-71.44,-179.49,-105.04,135.95,111.86,-257.25,201.74,-39.94
