,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Koszty finansowe,106.0,108.0,137.0,198.0,638.0,828.0,938.0,1119.0,1323.0,1232.0,1365.0,1558.0,1399.0,1543.0,1505.0,1201.0,1479.0,1052.0,1522.0,4659.0,-2244.0,721.0,573.0,509.0,2457.0,617.0,1380.0,1322.0,1353.0,1166.0,977.0,919.0,286.0,175.0,3157.0,879.0,2554.0,1160.0,1291.0,1437.0,635.0,465.0,188.0,115.0,142.0,124.0,117.0,109.0,123.0,404.0,62.0,65.0,28.0,30.0,22.0,22.0,33.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-476.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-55.0,-55.0,-55.0,0.0,0.0,-165.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-2729.0,3378.0,2240.0,3319.0,4021.0,1399.0,2607.0,796.0,6750.0,579.0,-1022.0,-486.0,-900.0,-1522.0,2173.0,-2292.0,2738.0,-2817.0,-5547.0,-12470.0,-4051.0,4149.0,9110.0,-189.0,-4635.0,1331.0,-26139.0,-1023.0,-2585.0,998.0,-1484.0,-884.0,-2542.0,-1054.0,-1455.0,-1523.0,-3415.0,-2922.0,5272.0,-622.0,1775.0,365.0,297.0,-1055.0,-1493.0,897.0,-2120.0,1377.0,2349.0,586.0,2347.0,-1079.0,4592.0,-345.0,-695.0,16743.0,-976.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-2729.0,3378.0,2240.0,3319.0,4021.0,1399.0,2607.0,796.0,6750.0,579.0,-1022.0,-486.0,-900.0,-1522.0,2173.0,-2292.0,2738.0,-2817.0,-5547.0,-12470.0,-4051.0,4149.0,9110.0,-189.0,-4635.0,1331.0,-26139.0,-1023.0,-2585.0,998.0,-1484.0,-884.0,-2542.0,-1054.0,-1455.0,-1523.0,-3415.0,-2922.0,5272.0,-622.0,1775.0,365.0,297.0,-1055.0,-1493.0,897.0,-2120.0,1377.0,2349.0,586.0,2347.0,-1079.0,4592.0,-345.0,-695.0,16743.0,-976.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-3227.0,2736.0,1569.0,3004.0,7763.0,1133.0,2094.0,409.0,5540.0,448.0,-852.0,-336.0,-995.0,-1125.0,1575.0,-2025.0,1761.0,-2837.0,-4590.0,-12201.0,-4130.0,3946.0,5532.0,-10.0,-3613.0,1213.0,-23163.0,-943.0,-5673.0,1076.0,-1480.0,-877.0,-2522.0,-1071.0,-1789.0,-1588.0,-3832.0,-2927.0,4896.0,-651.0,2369.0,268.0,331.0,-990.0,-1441.0,897.0,-1883.0,1444.0,2902.0,680.0,1721.0,-1118.0,4025.0,-357.0,-739.0,16721.0,-974.0
Zysk netto akcjonariuszy jednostki dominującej,-3227.0,2736.0,1569.0,3004.0,7763.0,1133.0,2094.0,409.0,5540.0,448.0,-852.0,-336.0,-995.0,-1125.0,1575.0,-2025.0,1761.0,-2837.0,-4590.0,-12201.0,-4130.0,3946.0,5532.0,-10.0,-3613.0,1213.0,-23163.0,-943.0,-5673.0,1076.0,-1480.0,-877.0,-2522.0,-1071.0,-1789.0,-1588.0,-3832.0,-2927.0,4896.0,-651.0,2369.0,268.0,331.0,-990.0,-1441.0,897.0,-1883.0,1444.0,2902.0,680.0,1721.0,-1118.0,4025.0,-357.0,-739.0,16721.0,-974.0
Aktywa trwałe,3357.0,3040.0,3038.0,3379.0,47079.0,47078.0,47147.0,46843.0,54959.0,51065.0,56111.0,56340.0,57147.0,58432.0,56500.0,56995.0,57063.0,56848.0,52719.0,40484.0,32265.0,32841.0,40982.0,44112.0,48600.0,47656.0,64627.0,65041.0,59242.0,59248.0,59100.0,58443.0,55678.0,55009.0,53947.0,53584.0,38820.0,38489.0,39016.0,37057.0,29820.0,27208.0,25332.0,25024.0,24716.0,24567.0,17888.0,17944.0,2016.0,2058.0,2250.0,2126.0,1805.0,2537.0,2459.0,2346.0,1938.0
Wartości niematerialne i prawne,268.0,255.0,242.0,228.0,215.0,201.0,188.0,224.0,218.0,219.0,1963.0,1940.0,1917.0,1798.0,1334.0,1324.0,1283.0,1278.0,1260.0,1269.0,1289.0,1153.0,1148.0,1143.0,1110.0,1096.0,1102.0,1101.0,880.0,1045.0,825.0,825.0,660.0,660.0,550.0,495.0,440.0,385.0,330.0,275.0,220.0,165.0,110.0,55.0,0.0,0.0,0.0,0.0,11.0,9.0,8.0,6.0,5.0,4.0,2.0,1.0,0.0
Rzeczowe składniki majątku trwałego,2088.0,1988.0,1899.0,1888.0,1945.0,1961.0,1907.0,1928.0,2097.0,2035.0,6113.0,6261.0,6150.0,6040.0,5977.0,5740.0,5538.0,5349.0,5536.0,5265.0,4995.0,4761.0,4572.0,4159.0,3614.0,3400.0,3148.0,2887.0,2725.0,2562.0,2639.0,2395.0,2235.0,2075.0,1925.0,1760.0,1666.0,1503.0,1513.0,1680.0,1503.0,1431.0,1252.0,1073.0,848.0,725.0,700.0,723.0,678.0,634.0,590.0,546.0,502.0,458.0,414.0,312.0,273.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,212.0,213.0,313.0,313.0,43561.0,43561.0,43561.0,43412.0,48008.0,48008.0,47878.0,47877.0,48800.0,49140.0,49075.0,49931.0,50242.0,50221.0,45433.0,32909.0,23945.0,23977.0,35227.0,38810.0,43067.0,43126.0,56710.0,57307.0,55637.0,55641.0,55636.0,54506.0,52225.0,51616.0,51472.0,51329.0,36714.0,36601.0,37173.0,34388.0,27808.0,24831.0,23655.0,23631.0,23608.0,23586.0,16706.0,16696.0,240.0,240.0,646.0,646.0,646.0,1441.0,1456.0,1471.0,1113.0
Pozostałe aktywa trwałe,789.0,584.0,584.0,950.0,1358.0,1355.0,1491.0,1279.0,4636.0,803.0,157.0,262.0,280.0,1454.0,114.0,0.0,0.0,0.0,490.0,1041.0,2036.0,2950.0,35.0,0.0,809.0,34.0,3667.0,3746.0,0.0,0.0,34023.0,717.0,558.0,658.0,0.0,0.0,0.0,0.0,0.0,714.0,289.0,781.0,315.0,265.0,260.0,256.0,482.0,525.0,1087.0,1175.0,1006.0,928.0,652.0,634.0,587.0,562.0,552.0
Aktywa obrotowe,62085.0,53804.0,60383.0,85750.0,106391.0,101068.0,95930.0,111318.0,110005.0,113627.0,130904.0,143887.0,144707.0,138542.0,128073.0,131098.0,122670.0,120433.0,124657.0,97433.0,103932.0,88750.0,91269.0,75205.0,59694.0,64189.0,29562.0,29674.0,31735.0,33293.0,34023.0,37639.0,43266.0,50510.0,43313.0,48169.0,53368.0,43459.0,27834.0,28114.0,30462.0,30739.0,29242.0,33203.0,36970.0,40438.0,48080.0,48543.0,61877.0,45363.0,24788.0,20873.0,23316.0,20276.0,19046.0,16386.0,17778.0
Zapasy,35117.0,31107.0,36990.0,43701.0,56617.0,62266.0,67925.0,77442.0,68863.0,64437.0,96319.0,103887.0,97813.0,94135.0,81998.0,81376.0,68867.0,69034.0,78532.0,75047.0,81939.0,61745.0,62118.0,59534.0,51299.0,52316.0,24411.0,24848.0,27015.0,27432.0,28900.0,32846.0,38010.0,42225.0,33726.0,36837.0,38985.0,33429.0,19017.0,18691.0,20729.0,19744.0,21354.0,24199.0,28152.0,31754.0,35666.0,38902.0,44372.0,29701.0,12618.0,11245.0,14877.0,14810.0,14670.0,14314.0,16308.0
Należności krótkoterminowe,16086.0,15686.0,15301.0,31293.0,35933.0,28760.0,22624.0,29619.0,32968.0,41216.0,29909.0,33019.0,29132.0,34537.0,38695.0,34229.0,43758.0,41141.0,27514.0,20313.0,18802.0,19517.0,24740.0,14610.0,7618.0,11066.0,4317.0,4658.0,4512.0,5177.0,4428.0,3266.0,4474.0,5663.0,5328.0,4355.0,3356.0,3390.0,2902.0,4785.0,4432.0,5318.0,2091.0,1908.0,1347.0,1674.0,8364.0,5143.0,9425.0,4056.0,2598.0,1520.0,1001.0,928.0,888.0,776.0,401.0
Inwestycje krótkoterminowe,9151.0,2383.0,2363.0,6379.0,9313.0,5809.0,2630.0,2061.0,5801.0,4607.0,741.0,933.0,11514.0,2235.0,610.0,1077.0,2398.0,61.0,4081.0,1272.0,599.0,4888.0,3589.0,1061.0,777.0,807.0,834.0,168.0,208.0,684.0,695.0,1527.0,782.0,2622.0,4259.0,6977.0,11027.0,6640.0,5915.0,4638.0,5301.0,5677.0,5797.0,7096.0,7398.0,6815.0,3856.0,4493.0,7993.0,11606.0,9572.0,8108.0,7355.0,4536.0,3373.0,1163.0,1033.0
Środki pieniężne i inne aktywa pieniężne,9151.0,2383.0,2363.0,6379.0,9313.0,5809.0,2630.0,2061.0,1773.0,509.0,741.0,933.0,11514.0,2235.0,610.0,1077.0,2398.0,61.0,4081.0,1272.0,599.0,4888.0,3589.0,1061.0,777.0,807.0,834.0,168.0,208.0,684.0,695.0,1527.0,782.0,2622.0,4259.0,6977.0,11027.0,6640.0,5915.0,4638.0,5301.0,5677.0,5797.0,7096.0,7398.0,6815.0,3856.0,4493.0,7993.0,11606.0,9572.0,8108.0,7355.0,4536.0,3373.0,1163.0,1033.0
Pozostałe aktywa obrotowe,1731.0,4628.0,5729.0,4377.0,4528.0,4233.0,2751.0,2196.0,2373.0,3367.0,3935.0,6048.0,6248.0,7635.0,6770.0,14416.0,7647.0,10197.0,14530.0,801.0,2592.0,2600.0,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,83.0,2.0,115.0,133.0,36.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,195.0,194.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,65442.0,56844.0,63421.0,89129.0,153470.0,148146.0,143077.0,158161.0,164964.0,164692.0,187015.0,200227.0,201854.0,196974.0,184573.0,188093.0,179733.0,177281.0,177376.0,137917.0,136197.0,121591.0,132251.0,119317.0,108294.0,111845.0,94189.0,94715.0,90977.0,92541.0,93123.0,96082.0,98944.0,105519.0,97260.0,101753.0,92188.0,81948.0,66850.0,65171.0,60282.0,57947.0,54574.0,58227.0,61686.0,65005.0,65968.0,66487.0,63893.0,47421.0,27038.0,22999.0,25121.0,22813.0,21505.0,18732.0,19716.0
Kapitał własny akcjonariuszy jednostki dominującej,15073.0,17809.0,15368.0,18372.0,50020.0,51152.0,53247.0,53656.0,61928.0,59643.0,59488.0,58619.0,57688.0,58111.0,58139.0,56114.0,57875.0,55037.0,50447.0,26382.0,19813.0,23759.0,29291.0,29281.0,27451.0,28664.0,5501.0,4559.0,-2434.0,-1358.0,-2838.0,-4119.0,-6237.0,-7308.0,-9097.0,-10685.0,-14518.0,-17445.0,-12549.0,-13200.0,-10831.0,-10563.0,-10232.0,-11222.0,-12663.0,-11766.0,-13649.0,-12204.0,-9303.0,-8623.0,-6902.0,-8020.0,-3995.0,-4351.0,-5091.0,11630.0,10656.0
Kapitał (fundusz) podstawowy,502.0,502.0,502.0,502.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,6500.0,6500.0,10509.0,10509.0,38773.0,38773.0,49267.0,49267.0,49267.0,49267.0,56526.0,56459.0,28263.0,28263.0,28264.0,28263.0,25264.0,28264.0,28264.0,28264.0,28263.0,28263.0,28263.0,28263.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28284.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,4087.0,2701.0,3142.0,3211.0,42475.0,34412.0,33894.0,40655.0,45268.0,42433.0,50458.0,57598.0,43689.0,42681.0,47811.0,54340.0,39497.0,57435.0,52074.0,47366.0,20842.0,17854.0,8440.0,22243.0,13444.0,13842.0,13121.0,13225.0,13161.0,12941.0,12448.0,13181.0,643.0,705.0,95.0,96.0,457.0,453.0,1196.0,1486.0,491.0,6787.0,6229.0,7596.0,7338.0,6674.0,6420.0,5733.0,13521.0,5082.0,4561.0,3854.0,3843.0,3759.0,3754.0,31.0,19.0
Z tytułu dostaw i usług,21877.0,21456.0,21280.0,27882.0,20871.0,13849.0,20722.0,24231.0,32842.0,24665.0,20927.0,59033.0,40205.0,48535.0,27972.0,32085.0,30795.0,31074.0,33636.0,27954.0,28188.0,23131.0,33193.0,32850.0,23725.0,23698.0,21981.0,23819.0,22876.0,23414.0,23506.0,24065.0,27233.0,28538.0,29221.0,28673.0,25456.0,22940.0,24012.0,24229.0,23551.0,23981.0,26910.0,26697.0,29340.0,29306.0,26009.0,27035.0,27663.0,26237.0,19555.0,18637.0,17408.0,16473.0,16221.0,1408.0,1962.0
Kredyty i pożyczki,6177.0,6100.0,6010.0,12840.0,11434.0,17025.0,16494.0,18719.0,20927.0,26398.0,20944.0,20634.0,35210.0,42945.0,37599.0,34179.0,39624.0,21124.0,25108.0,6934.0,21235.0,31100.0,35992.0,19664.0,31871.0,32254.0,33026.0,33414.0,34520.0,35116.0,36189.0,36926.0,46895.0,46531.0,48754.0,48907.0,36840.0,37306.0,37827.0,36683.0,31085.0,24790.0,24006.0,25161.0,25444.0,23973.0,22868.0,18168.0,8350.0,1516.0,1758.0,1675.0,1433.0,796.0,556.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,158.0,248.0,247.0,365.0,452.0,352.0,321.0,6022.0,6016.0,6149.0,6119.0,6111.0,6058.0,6009.0,6005.0,182.0,124.0,94.0,21.0,5.0,0.0,27.0,25.0,0.0,0.0,0.0,0.0,29.0,29.0,66.0,106.0,100.0,87.0,84.0,123.0,86.0,87.0,67.0,73.0,71.0,53.0,49.0,194.0,186.0,251.0,239.0,82.0,78.0
Inne zobowiązania długoterminowe,441.0,257.0,441.0,440.0,244.0,266.0,222.0,186.0,1014.0,1.0,911.0,732.0,765.0,1615.0,422.0,700.0,1763.0,168.0,57.0,57.0,53.0,1467.0,1669.0,1153.0,18.0,554.0,5.0,5.0,318.0,191.0,272.0,927.0,547.0,616.0,13.0,21.0,418.0,421.0,1094.0,1166.0,189.0,702.0,162.0,156.0,97.0,92.0,81.0,59.0,69.0,62.0,44.0,51.0,44.0,38.0,35.0,31.0,19.0
Zobowiązania krótkoterminowe,42959.0,32977.0,40971.0,63130.0,54031.0,54924.0,49245.0,58288.0,57768.0,56806.0,77069.0,84010.0,100477.0,96182.0,78623.0,77639.0,82361.0,64809.0,74855.0,64169.0,95542.0,79978.0,94520.0,67793.0,67399.0,69339.0,75567.0,76931.0,80250.0,80958.0,83513.0,87020.0,104538.0,112122.0,106262.0,112342.0,106249.0,98940.0,78203.0,76885.0,70622.0,61723.0,58577.0,61853.0,67011.0,70097.0,73197.0,72958.0,59675.0,50962.0,29379.0,27165.0,25273.0,23405.0,22842.0,7071.0,9041.0
Inne zobowiązania krótkoterminowe,14905.0,5421.0,13681.0,22408.0,21726.0,24050.0,12029.0,15338.0,3824.0,5585.0,34950.0,4096.0,24697.0,4250.0,12700.0,11054.0,5920.0,6595.0,9962.0,23162.0,40008.0,19689.0,19326.0,9274.0,11621.0,13263.0,20466.0,19677.0,22849.0,22428.0,23791.0,26004.0,30410.0,37053.0,28287.0,34762.0,43924.0,38665.0,16298.0,15867.0,15886.0,12865.0,7577.0,9872.0,12141.0,16731.0,24253.0,27682.0,23591.0,23156.0,8017.0,6659.0,6246.0,5885.0,5826.0,5581.0,7001.0
Rozliczenia międzyokresowe,3323.0,3357.0,3940.0,4416.0,6944.0,7658.0,6691.0,5562.0,0.0,5810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,65442.0,56844.0,63421.0,89129.0,153470.0,148146.0,143077.0,158161.0,164964.0,164692.0,187015.0,200227.0,201854.0,196974.0,184573.0,188093.0,179733.0,177281.0,177376.0,137917.0,136197.0,121591.0,132251.0,119317.0,108294.0,111845.0,94189.0,94715.0,90977.0,92541.0,93123.0,96082.0,98944.0,105519.0,97260.0,101753.0,92188.0,81948.0,66850.0,65171.0,60282.0,57947.0,54574.0,58227.0,61686.0,65005.0,65968.0,66487.0,63893.0,47421.0,27038.0,22999.0,25121.0,22813.0,21505.0,18732.0,19716.0
Przepływy pieniężne z działalności operacyjnej,9418.0,-5470.0,1229.0,-2630.0,-20081.0,1114.0,-1228.0,-8162.0,13314.0,-2993.0,-2325.0,-4400.0,13296.0,-13901.0,3320.0,-739.0,2408.0,-2148.0,6295.0,16236.0,-6502.0,1010.0,2195.0,4220.0,780.0,432.0,281.0,-341.0,339.0,773.0,378.0,1343.0,-1398.0,1992.0,1630.0,3140.0,1654.0,-4309.0,-470.0,-1741.0,-67.0,-779.0,-1135.0,-1103.0,257.0,-67.0,-1828.0,-1150.0,132.0,17306.0,-17780.0,-36.0,0.0,-234.0,-2050.0,-1541.0,3591.0
