,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Rzeczowe składniki majątku trwałego,,,,,120.8,159.02,158.2,17.43,17.58,4.01,13.09,58.28,53.69,49.61,35.9,-2.57,-1.72,-0.59,7.13,12.64,18.56,17.27,11.47,6.65,-1.2,-0.81,95.22,103.13,111.45,115.92,6.03,9.2,2.24,-4.54,-9.87,-2.35,-3.9,-67.93,-65.73,-71.08,-67.84,-38.04,-37.75,-75.91,-77.27,-63.64,-53.14,19.44,-6.66,11.86,-15.25,-19.1,0.67,-17.13,-17.56,-15.81,-14.9,-15.44,-14.35,-8.7,-90.25,-89.94,-89.75,-94.63,-48.91,-48.89
Należności długoterminowe,,,,,1028.57,39.29,53.57,2583.33,200.32,538.46,476.74,-84.78,-95.79,-83.94,-83.87,-18.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.5,335.0,255.0,237.5,7.57,16.09,30.99,-30.37,-49.75,-50.5,-46.24,-54.26,-57.0,-57.0,-57.0,0.0,0.0,0.0,-23.26,-23.26,-23.26,-93.02,-90.91,-90.91,-90.91,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,
Inwestycje długoterminowe,,,,,,,,-99.75,,0.0,-69.28,20300.0,20800.0,20800.0,6.37,496.57,482.78,579.43,651.15,31.88,-58.87,-84.58,-47.67,-83.24,219.76,662.1,-26.96,-66.17,-99.81,-99.94,-99.84,-93.41,300.0,1600.0,900.0,16066.67,14033.33,515517.63,909379.98,12217.11,8311.56,60.18,75.69,20.92,-8.15,-7.15,-23.0,-17.76,-16.79,-23.9,-37.0,-34.9,-51.2,-52.94,-40.95,-46.99,-29.6,-19.6,-19.18,-22.51,-4.47,0.04,7.26,64.35,47.52,47.33
Pozostałe aktywa trwałe,,,,,-20.0,77.52,57.85,-26.0,-81.91,-100.0,-88.28,-52.1,288.24,,-26.89,-48.33,80.3,-98.77,271.26,52.42,548.32,35300.0,112.69,259.79,-41.93,68.64,0.15,-43.97,-88.06,-13.4,-14.53,-9.71,77.57,65.38,69.22,152.33,291.05,7.37,-9.45,1.27,-46.57,-7.52,-16.09,-30.03,56.68,-100.0,-100.0,-100.0,-100.0,,,,,,,189.07,33.19,18.26,19.12,51.79,4.86,1.79,-2.78,-48.65,-31.32,-33.58
Aktywa obrotowe,,,,,255.19,243.58,225.01,11.45,16.06,2.37,-0.93,-2.55,-4.1,5.71,0.86,9.88,4.63,6.37,-0.47,16.47,-1.55,5.78,24.58,-7.24,21.16,-31.49,-19.16,-15.44,-8.95,-2.73,-2.57,-16.49,-41.72,-18.24,-16.18,0.22,29.95,-76.72,-81.29,-67.02,-75.19,24.29,12.18,-64.61,-72.22,-59.3,-59.15,-24.92,133.28,7.17,55.74,-27.97,-70.41,-26.48,-53.58,-33.75,-40.81,-49.28,-49.39,226.8,313.92,189.56,211.88,-57.1,-60.65,-58.15
Zapasy,,,,,437.5,-100.0,-75.78,-100.0,-100.0,,-100.0,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,9.06,93.82,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,141.42,176.95,157.34,75.47,10.41,-8.43,126.52,82.72,40.46,47.22,3.54,15.92,9.4,11.83,25.31,38.79,43.74,50.27,61.49,-23.89,-28.04,-46.72,-29.1,9.37,37.4,-13.8,-36.39,-40.59,-45.93,-8.07,38.59,39.57,19.65,-85.73,-90.08,-90.15,-88.5,-9.82,-24.61,-22.08,-52.62,-46.41,-40.86,-42.49,76.85,-12.15,11.62,13.3,-52.74,4.87,7.3,-1.2,-9.7,-4.75,-26.7,-15.29,2.75,-2.99,70.12,22.21,21.43,6.16
Inwestycje krótkoterminowe,,,,,160722.22,12958.65,9738.46,-9.8,-16.04,6.05,-41.26,-51.49,-44.63,-47.66,-17.64,-21.31,-48.6,-49.69,-46.5,-37.41,7.63,-18.9,49.21,-5.34,79.61,12.65,-50.13,-43.46,-67.47,48.63,235.39,67.31,0.6,-26.23,-82.53,-58.72,-3.06,-31.69,49.71,359.15,110.56,53.91,38.8,-79.3,-86.18,-67.93,-66.32,6.82,328.2,36.07,86.14,-53.46,-82.36,-42.74,-78.72,-82.68,-97.21,-91.58,-96.67,2302.83,18576.92,2259.52,6706.25,-81.08,-87.15,-86.58
Środki pieniężne i inne aktywa pieniężne,,,,,156777.78,5008.65,4366.03,-55.3,-45.54,164.63,-2.0,-35.93,-20.12,-50.55,0.15,12.27,-50.2,-45.44,-41.9,-30.15,21.71,-18.9,-21.52,-22.75,-48.72,-32.02,-55.93,-43.83,-10.79,119.42,428.89,106.38,7.52,-22.93,-79.83,-74.18,-8.41,-92.87,-94.75,247.53,-20.21,213.49,4305.19,-64.37,-96.41,-59.49,-94.4,-82.05,2854.17,296.88,418.95,240.0,-67.14,-21.42,-51.42,-82.68,-97.21,-91.58,-96.66,2302.83,18576.92,2259.52,6706.25,-81.08,-87.15,-86.58
Pozostałe aktywa obrotowe,,,,,-31.18,-25.86,65.41,18.23,277.9,50.96,-21.14,-11.85,-15.51,53.44,24.23,33.14,43.85,60.9,-6.8,-1.73,-97.38,-99.11,-99.57,56.85,4706.59,4935.8,17900.0,-53.79,-55.39,4.73,1.75,-18.71,-54.12,-72.17,-57.37,-21.27,96.93,-86.63,-99.95,-92.23,-95.26,-2.52,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,
Aktywa razem,,,,,216.98,219.91,205.42,13.13,17.35,12.6,9.17,15.41,12.88,11.87,6.24,8.58,5.78,6.74,5.17,14.62,3.77,7.81,19.44,-2.16,17.42,-18.12,10.79,13.5,13.33,28.41,1.05,-2.42,-26.03,-15.95,-17.31,-5.09,15.2,105.06,106.09,144.9,173.52,50.12,63.65,10.18,-14.17,-11.63,-25.31,-17.91,-15.08,-22.89,-35.15,-31.67,-44.18,-42.86,-29.9,-36.33,-21.57,-14.68,-13.82,-3.43,0.03,1.72,5.61,19.07,22.74,24.05
Kapitał własny akcjonariuszy jednostki dominującej,,,,,708.5,352.14,396.64,7.93,13.32,5.04,17.73,10.42,3.84,6.02,-3.06,-3.97,-5.19,-2.3,0.29,5.36,4.48,2.73,9.46,1.35,-0.68,-24.11,-22.27,-23.96,-16.09,0.85,-21.99,-28.26,-36.69,-40.68,-32.95,-10.3,3.02,434.32,507.7,594.04,634.5,75.04,87.83,25.22,-2.37,-11.56,-24.84,-17.54,-16.2,-23.75,-33.65,-32.71,-45.29,-44.15,-33.52,-37.94,-22.69,-16.57,-15.7,-3.73,-0.15,-4.4,0.44,16.04,20.5,31.75
Kapitał (fundusz) podstawowy,,,,,642.86,37.88,37.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.69,5.77,6.0,6.0,6.0,0.91,0.0,2.83,2.83,2.83,3.22,0.38,7.51,7.51,7.11,23.19,15.02,15.02,15.02,0.0,0.0,0.0,30.36,30.36,30.36,30.36,2.1,2.1
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,506.58,506.38,506.58,-14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,899.03,0.0,-0.01,-0.11,-90.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22,33.22,33.22,33.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,7.23,7.23,15.79,7.99,-100.0,-100.0,-100.0,-100.0,,,,,,-0.56,-0.56
Udziały niekontrolujące,,,,,,,,,,,,,,,-75.52,-66.38,-31.45,-37.44,-30.51,78.71,-100.0,259.84,152.03,-8.3,,-42.14,-31.61,89.76,89.76,97.24,136.32,3.94,-0.62,182.63,154.69,269.86,374.11,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-21.42,77.2,91.56,186.25,-1.99,-40.23,-60.15,18.5,251.97,183.71,247.02,-10.38,-6.28,-10.36,-12.04,-15.94,-21.68,-18.5,-15.88,-57.55,87.08,28.19,530.16,841.82,212.32,328.38,45.11,99.58,39.55,-11.9,-45.85,-26.45,-53.15,78.78,87.1,82.68,251.42,-41.21,-20.97,-54.34,-71.8,-27.89,-55.62,-47.06,-54.34,-79.05,-147.84,-92.37,-88.45,-75.25,112.18,-52.42,-52.89,-100.0,-100.0,-100.0,-100.0,,,,,-83.33
Z tytułu dostaw i usług,,,,,,119.42,,,21.81,81.65,19.85,112.65,53.09,-2.41,2.76,53.8,22.45,37.59,25.74,49.17,7.4,11.39,23.77,-27.91,0.87,-19.69,50.56,62.21,60.38,28.35,-16.86,-19.28,-29.1,-29.52,-11.55,-3.32,12.7,-78.65,-86.07,-80.39,-81.57,5.58,16.12,-16.89,-4.14,-34.46,0.95,-35.9,-54.41,-26.72,-44.76,-25.79,-8.4,-46.72,-53.54,-41.95,-54.99,14.83,16.38,-14.36,22.58,-18.68,-18.05,-4.0,-17.27,65.54
Kredyty i pożyczki,,,,,,-77.01,,,0.0,69.9,58.25,-53.67,428.16,92.0,300.61,-27.01,-38.24,171.13,-48.55,65.68,296.73,127.77,543.75,396.12,187.32,47.76,61.95,69.7,67.18,81.44,93.61,-33.08,-84.93,-36.76,-45.49,-5.03,488.6,14.5,9.93,22.26,-28.89,-22.96,-22.74,-21.47,-18.45,49.34,55.7,66.17,142.29,79.0,59.97,55.65,-13.73,-24.93,-21.66,-26.88,-12.78,0.4,1.39,1.28,2.13,-7.53,-10.03,-9.09,-9.69,-4.2
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,346.74,-17.39,-41.03,-79.52,-97.57,651.64,376.96,-100.0,-100.0,-100.0,-100.0,,,,,,,,,80.85,-27.4,0.0,-42.39,-15.29,35.85,35.85,35.85,-100.0,-100.0,-100.0,-100.0,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,-65.81,-90.84,-99.48,-90.8,-96.85,144.94,525.0,2487.5,975.0,-96.33,-82.0,-95.65,-90.7,0.0,2188.89,2522.22,2762.5,7025.0,3.88,-12.29,-12.66,-66.32,-14.49,-14.01,-15.0,-15.62,-15.3,-17.42,8828.82,9676.54,13352.26,17023.13,-39.03,-18.45,-53.32,-71.37,-30.65,-58.97,-51.59,-60.9,-85.43,-160.84,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,-83.33
Zobowiązania krótkoterminowe,,,,,47.86,134.31,133.43,88.16,34.64,39.32,15.76,26.63,19.38,19.1,26.47,57.24,38.01,31.17,22.4,36.72,7.56,18.02,45.43,-2.03,40.13,-12.63,19.62,36.16,20.59,26.02,3.84,-9.51,-41.43,3.73,10.35,6.52,76.79,-68.52,-73.6,-70.17,-74.36,-14.86,-15.01,-18.94,-13.57,9.57,26.84,18.34,45.41,43.06,26.09,24.37,-18.58,-27.03,-24.99,-23.07,-12.55,2.06,2.96,0.92,3.58,35.63,34.52,37.3,35.71,-6.04
Inne zobowiązania krótkoterminowe,,,,,,354.32,,,58.59,-48.01,-0.88,-23.92,-36.21,163.15,98.45,82.15,103.92,1.66,29.09,8.44,-9.74,15.43,51.98,25.0,91.86,-25.23,-52.8,-28.58,-50.54,-39.45,-26.01,54.38,-31.27,148.54,165.24,3.61,196.09,-71.87,-76.79,-83.3,-87.24,-25.9,-30.82,-15.12,-18.68,-8.83,-20.43,-16.67,-19.66,-15.55,2.19,-81.14,-79.4,-20.68,-21.72,268.48,264.85,17.33,19.19,24.67,14.78,454.88,451.96,438.13,485.24,-18.97
Rozliczenia międzyokresowe,,,,,-96.46,-100.0,-27.45,-100.0,-100.0,,-100.0,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,216.98,219.91,205.42,13.13,17.35,12.6,9.17,15.41,12.88,11.87,6.24,8.58,5.78,6.74,5.17,14.62,3.77,7.81,19.44,-2.16,17.42,-18.12,10.79,13.5,13.33,28.41,1.05,-2.42,-26.03,-15.95,-17.31,-5.09,15.2,105.06,106.09,144.9,173.52,50.12,63.65,10.18,-14.17,-11.63,-25.31,-17.91,-15.08,-22.89,-35.15,-31.67,-44.18,-42.86,-29.9,-36.33,-21.57,-14.68,-13.82,-3.43,0.03,1.72,5.61,19.07,22.74,24.05
Przepływy pieniężne z działalności operacyjnej,,,,,-70.11,-92.53,185.29,-74.32,-1.67,15457.69,-325.2,-48.44,80.88,-65.02,97.25,80.95,-495.53,-56.18,1613.68,118.32,125.85,-244.19,169.4,-2942.17,193.53,127.63,-329.12,264.69,-402.89,3734.41,90.02,-74.98,58.8,-96.01,-97.07,445.16,439.61,-1489.15,101.37,-116.32,-115.16,81.43,-2300.0,-19.42,110.65,-61.23,144.13,-115.68,-2346.67,104.71,-397.0,73.38,86.1,-958.11,39.45,57.84,71.17,85.04,93.08,12.8,-35.8,-3.16,-1975.86,270.18,-32.73,90.82
Amortyzacja,,,,,62.5,-43.1,-8.75,59.42,98.46,218.18,79.45,23.64,19.38,66.67,30.53,28.68,27.27,6.86,10.53,8.57,-1.02,13.9,41.27,43.16,53.61,35.68,144.94,141.54,133.89,155.36,124.92,151.75,161.69,40.11,11.01,7.5,10.2,-537.14,-91.0,-91.84,-92.74,102.94,-52.38,-62.07,-67.81,-66.92,14.29,54.55,87.23,88.64,7.5,0.0,-9.09,-2.41,-8.14,-43.53,-21.25,-19.75,-55.7,-29.17,-46.03,-49.23,-5.71,-2.94,0.0,0.0
Przepływy pieniężne z działalności inwestycyjnej,,,,,101.61,-8938.78,,57.4,46800.0,125.69,-239.15,17.81,-38.44,-102.33,100.72,-21.56,-102.82,-518.87,-2865.0,39.44,-1328.07,-53.35,-583.91,463.04,-274.32,-41.55,97.65,-151.29,105.45,-616.71,-1660.67,-125.02,1668.07,84.6,86.34,-67.84,-138.67,1016.54,47.66,48.81,77.8,-75.21,50.0,134.33,19.84,-86.56,-3.57,34.54,326.24,-525.83,100.0,-98.66,183.37,100.0,,18.75,-100.0,,-100.0,-100.0,,-63.74,,,400.0,-96.77
CAPEX (niematerialne i rzeczowe),,,,,-55.76,17780.0,-95.52,-95.45,14.58,-72.82,801.32,987.3,-37.73,-78.6,-97.66,-63.07,88.32,257.69,4918.75,187.35,218.6,152.69,-57.29,-7.02,-98.42,-67.02,-68.22,157.99,6261.54,2280.0,1310.09,75.97,-23.22,-66.2,-85.1,61.39,70.87,-602.41,-100.0,-99.58,-99.63,100.29,,-100.0,-100.0,-77.78,100.0,,,-100.0,-100.0,-100.0,0.0,,,,-100.0,,,,,,,,,
Przepływy pieniężne z działalności finansowej,,,,,-105.29,121.96,88.11,-94.99,-1881.13,-48.21,-11.36,-91.13,94.95,-2000.0,18.37,-303.53,-209.43,180.04,-1660.0,194.22,457.93,45.12,93.04,-503.07,59.45,1.09,15887.76,-267.12,327.46,-329.21,-33.67,13.06,-164.98,242.48,-102.14,56.51,-37.42,268.95,20.91,778.07,89.36,-117.43,100.0,-100.0,126.84,194.92,,,2458.82,-84.88,-100.0,355.66,-144.44,498.97,,-110.09,98.88,-100.26,66.1,2036.62,23.08,-13566.67,-550.0,-103.05,-6190.0,236.59
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,-100.0,,,,,,-100.0,100.0,-100.0,,,,,,,,,,-100.0,,,,,,-100.0,,,,,,-100.0,,-100.0,,,,,,-99.47,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-394.55,-175420.0,1988.62,-111.85,146.08,172.36,-280.1,-78.62,135.86,-87.23,98.17,44.6,-216.52,-9.62,257.39,73.98,111.31,-203.27,-76.24,12.31,-460.18,124.04,-2958.14,133.41,123.12,1485.16,317.9,-3092.03,-809.78,-40.9,-177.3,84.14,166.23,471.79,91.55,518.02,-270.75,-105.62,-233.71,-105.37,99.32,92.34,160.62,-394.56,10550.0,-1692.86,-295.48,214.31,-113.97,170.78,24.86,-144.89,35.62,-86.3,86.73,778.82,-26.6,-710.96,-1195.65,-123.97,-547.06,223.99
