,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Zysk z działalności gospodarczej,,,,,89.2,-101.35,-59.01,-11.62,945.12,3118.28,-159.12,-6.15,-31.02,-48.5,348.21,-24.28,-149.78,540.94,-294.17,56.91,531.65,-76.95,136.23,-12.84,-111.07,533.46,139.41,87.92,1715.49,-50.12,712.5,-81.58,-8.98,-33.65,-84.34,1318.86,44.49,1216.69,73.91,173.84,141.09,-136.24,-30.39,-125.64,18.86,23.72,-12.46
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,89.2,-101.35,-59.01,-11.62,945.12,3118.28,-159.12,-6.15,-31.02,-48.5,348.21,-24.28,-149.78,540.94,-294.17,56.91,531.65,-76.95,136.23,-12.84,-111.07,533.46,139.41,87.92,1715.49,-50.12,712.5,-81.58,-8.98,-33.65,-84.34,1318.86,44.49,1216.69,73.91,173.84,141.09,-136.24,-30.39,-125.64,18.86,23.72,-12.46
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,82.58,-94.87,-93.02,-34.73,632.4,728.06,-82.34,1.04,199.24,-20.57,2461.69,-24.44,-110.28,317.53,-502.69,60.59,570.54,-75.54,126.85,-23.9,-115.43,493.16,203.12,106.62,1201.63,-49.89,771.13,-85.01,-0.56,-33.71,-85.69,1684.24,26.48,1219.28,83.94,168.8,158.25,-137.28,-11.82,-126.94,18.23,24.48,-37.95
Zysk netto akcjonariuszy jednostki dominującej,,,,,82.58,-94.87,-93.02,-34.73,632.4,728.06,-82.34,1.04,199.24,-20.57,2461.69,-24.44,-110.28,317.53,-502.69,60.59,570.54,-75.54,126.85,-22.94,-117.48,493.16,203.12,104.05,1072.23,-49.89,771.13,-85.01,-0.56,-33.71,-85.69,1684.24,26.48,1219.28,83.94,168.8,158.25,-137.28,-11.82,-126.94,18.23,24.48,-37.95
Aktywa trwałe,,,,,,-1.67,,7.44,10.03,11.62,6.86,5.66,-24.77,-11.98,-8.19,-9.47,22.89,12.44,9.76,19.19,28.22,19.01,22.23,22.14,16.03,22.54,25.0,22.32,27.63,20.89,37.45,27.77,26.39,30.13,16.65,25.58,30.83,44.52,45.02,57.88,57.13,32.35,25.89,1.8,1.85,2.02,1.96
Wartości niematerialne i prawne,,,,,,21.05,,-13.64,-35.0,-56.52,-57.89,-47.37,-53.85,-50.0,-50.0,-70.0,-66.67,300.0,550.0,500.0,34050.0,3590.0,2838.46,4355.56,14.49,-8.13,-33.51,-41.52,-61.38,-81.42,-40.55,-50.96,-36.09,16.67,-37.09,-20.43,-3.11,-6.12,-36.32,-8.2,-70.05,-57.25,-33.06,-62.5,39.29,59.32,2.47
Rzeczowe składniki majątku trwałego,,,,,,-88.61,,-47.58,9.11,-1.21,8.38,-5.22,-13.66,87.17,49.66,52.48,92.53,4.46,-5.97,-8.54,-19.98,-27.29,-19.78,-19.74,-19.12,-24.21,-27.09,131.15,154.85,187.33,233.4,12.27,8.03,1.78,-0.81,-1.01,-3.2,111.76,218.94,495.79,242.75,202.38,187.97,94.41,333.37,149.17,70.25
Należności długoterminowe,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,
Inwestycje długoterminowe,,,,,,-1.68,,7.24,10.56,12.13,6.56,5.28,-25.68,-12.94,-8.44,-9.61,23.64,13.14,9.75,19.44,28.53,19.04,22.58,22.57,16.38,23.04,25.43,22.31,27.81,21.04,37.41,27.89,26.38,29.99,16.62,25.52,30.91,44.64,45.09,57.78,57.15,32.26,25.7,1.5,1.35,1.67,1.59
Pozostałe aktywa trwałe,,,,,,140.31,,9542.31,-63.73,-58.93,121.86,159.47,357.35,341.4,29.9,8.26,-31.45,-39.76,13.19,-11.73,-13.21,11.23,-25.9,-63.75,-44.73,-48.56,-50.69,24.59,-42.87,-39.71,40.88,-23.94,61.78,153.19,41.64,111.76,-6.34,-16.64,-27.72,-30.3,-41.6,-15.51,-4.44,140.81,320.42,35.78,174.1
Aktywa obrotowe,,,,,,416.01,,100.04,142.81,19.37,18.92,17.32,218.12,9.91,-7.51,-36.71,-75.77,-31.98,-27.95,44.34,-4.75,-13.22,19.82,15.19,8.59,17.01,-14.72,7.9,17.36,71.75,86.37,-9.89,7.6,23.25,-9.21,110.07,49.06,12.97,65.07,-39.57,-15.67,26.3,34.25,155.68,147.29,1.71,4.56
Zapasy,,,,,,,,,-86.93,-56.14,-22.92,-2.78,113.51,-68.0,-100.0,-100.0,2.53,567.5,,,-1.23,-8.24,992.0,18.75,50.0,-41.22,-90.84,-34.21,-79.17,-66.67,220.0,224.0,224.0,12.5,-76.25,-72.84,16.05,-64.81,0.0,581.82,71.28,-100.0,-100.0,-100.0,213.04,,
Należności krótkoterminowe,,,,,,34.1,,56.09,30.66,113.04,121.53,196.09,3721.09,-35.48,-40.08,-61.9,-96.31,116.0,145.82,115.37,88.93,-37.75,-45.64,82.31,102.77,115.41,21.98,-1.1,-24.01,15.6,108.06,1.73,41.02,33.07,0.93,27.01,36.42,-14.83,17.78,34.13,18.42,21.31,1.85,8.46,-4.5,-27.78,-36.19
Inwestycje krótkoterminowe,,,,,,640.25,,104.51,156.2,9.49,7.23,3.28,-22.23,19.44,0.22,-31.02,-5.58,-48.77,-52.47,35.47,-14.9,-1.6,67.2,1.91,-14.09,-12.38,-23.24,11.09,40.97,113.44,78.16,-13.59,-2.67,19.33,-13.64,141.0,54.68,25.38,89.39,-54.02,-29.05,27.82,44.62,239.89,246.25,10.03,13.51
Środki pieniężne i inne aktywa pieniężne,,,,,,354.01,,35.21,125.98,-38.18,-17.57,3.35,-29.79,163.42,68.43,5.38,61.14,-54.79,-60.4,92.27,-9.05,5.08,134.33,-2.69,-26.26,-28.88,-33.61,18.85,73.54,121.33,87.12,-16.17,-3.06,59.74,13.2,66.0,39.16,8.73,53.73,-29.95,-5.38,77.84,85.18,304.31,252.67,9.22,13.89
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,10.74,,14.16,19.78,12.69,8.51,7.14,11.39,-8.77,-8.09,-13.27,-19.06,4.6,4.09,21.75,24.03,15.31,21.98,21.3,15.3,22.06,20.93,20.67,26.68,25.1,40.98,23.91,24.79,29.35,14.18,31.87,32.17,41.1,46.54,46.33,51.09,31.82,26.6,9.33,8.58,1.99,2.19
Kapitał własny akcjonariuszy jednostki dominującej,,,,,26.1,35.97,31.2,22.83,25.35,9.63,9.94,10.5,14.58,16.04,16.85,6.99,0.67,4.38,1.45,10.3,13.47,7.54,10.55,8.66,5.15,12.21,13.19,15.65,19.87,15.11,27.05,19.93,19.77,29.11,16.99,42.78,42.77,50.57,52.78,53.0,57.39,36.91,33.93,4.18,3.37,-4.1,-4.12
Kapitał (fundusz) podstawowy,,,,,0.0,20.01,20.01,20.01,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,8.88,18.0,18.0,8.38,8.38,0.0,0.0,12.26,12.26,12.26,12.26,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,69.73,,99.05,99.05,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.95,0.95,0.2,0.2,0.0,0.0,35.47,35.47,48.23,-1.73,-27.46,-27.46,-33.71,0.0,59.64,59.63,59.63,59.63,-0.01,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,4.67,,-1.28,7.42,16.16,7.99,7.6,-36.16,-26.94,-22.15,-24.56,25.51,7.79,2.36,26.46,26.26,30.81,45.63,41.85,32.8,32.98,22.67,29.67,38.2,28.29,61.29,30.24,28.87,41.56,17.33,16.97,18.59,25.29,31.47,42.9,48.12,28.89,21.08,13.03,10.01,5.93,2.26
Z tytułu dostaw i usług,,,,,,76.78,,54.33,47.75,-9.65,-53.17,-24.66,370.53,98.66,123.85,33.15,-88.97,-15.03,107.47,354.13,546.99,-13.66,-25.3,-0.2,-21.88,33.76,69.91,-0.55,-1.5,113.78,18.46,-25.47,17.78,-47.15,-28.76,34.26,12.67,88.83,141.4,97.1,97.08,55.08,-12.64,-40.48,-11.9,-24.12,2.56
Kredyty i pożyczki,,,,,,-43.0,,71.61,72.71,17.19,16.95,-8.99,140.6,-79.44,-81.75,-79.17,-92.8,-29.88,-30.62,-10.85,-0.87,54.08,78.92,43.01,55.22,45.67,130.13,-15.44,-15.53,75.6,3.49,82.79,57.36,-47.79,-49.87,-41.69,-32.2,-6.04,4.56,39.35,49.67,54.55,230.2,183.95,174.32,129.33,-4.24
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805.79,4712.48,-47.04,-46.03,-46.15,-17.34,130.41,132.62,118.58,215.82
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,3.12,,10.66,7.14,10.19,3.98,-0.47,-29.1,-30.15,-25.37,-23.81,4.31,8.03,3.3,3.68,9.33,11.58,15.81,14.68,9.92,19.66,24.07,37.76,48.31,32.12,44.14,38.12,25.64,20.54,22.61,5.86,13.42,43.69,25.89,62.83,73.19,30.23,34.26,-3.07,-9.91,-6.36,-0.59
Zobowiązania krótkoterminowe,,,,,,-30.93,,68.28,67.37,11.86,4.49,-9.23,193.72,-39.42,-60.72,-66.41,-91.87,-10.65,54.16,163.83,210.79,-6.92,-9.59,4.85,-6.51,37.1,88.9,-5.14,-7.45,91.99,12.21,-0.65,31.24,-41.35,-32.77,100.07,84.72,147.48,188.17,20.17,24.7,14.06,14.13,27.57,46.73,25.74,51.76
Inne zobowiązania krótkoterminowe,,,,,,-63.04,,-36.53,11.23,665.96,858.46,662.21,2912.7,70.14,-17.17,-69.18,-95.44,154.15,167.13,607.43,203.08,-65.36,-62.99,-48.53,4.46,19.85,-8.08,-32.66,-52.06,-62.29,39.96,22.56,149.18,463.75,113.47,122.24,6.39,10.87,64.97,21.28,191.78,32.25,23.47,22.11,1.51,-27.48,-36.63
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,190.14,10.74,187.84,14.16,19.78,12.69,8.51,7.14,11.39,-8.77,-8.09,-13.27,-19.06,4.6,4.09,21.75,24.03,15.31,21.98,21.3,15.3,22.06,20.93,20.67,26.68,25.1,40.98,23.91,24.79,29.35,14.18,31.87,32.17,41.1,46.54,46.33,51.09,31.82,26.6,9.33,8.58,1.99,2.19
Przepływy pieniężne z działalności operacyjnej,,,,,319.89,-62.77,-27.27,168.85,37.88,-150.78,-0.79,11.23,-55.91,461.18,-139.16,-24.31,10.13,-83.87,-3.72,181.05,-20.69,256.35,290.3,-78.5,40.43,-48.34,260.58,-73.44,114.79,262.2,-120.42,1858.85,53.66,-0.42,1182.28,-32.28,-43.45,14.02,-38.83,-46.93,25.04,172.14,-20.45,-99.12,207.28,-7.93,8.87
Amortyzacja,,,,,-73.99,-242.29,-67.2,-88.47,22.22,112.5,0.0,37.84,-3.64,4.44,26.83,7.84,0.0,48.94,40.38,41.82,16.98,-30.0,-30.14,-35.9,37.1,214.29,327.45,336.0,182.35,64.94,-9.63,-11.47,-36.67,-39.76,-58.88,-55.44,-40.79,-168.63,35.8,1.16,6.67,225.71,29.09,106.9,63.54,50.76,45.07
Przepływy pieniężne z działalności inwestycyjnej,,,,,72.88,169.52,18.06,-52.88,-42.9,-16.17,4.92,81.31,27.68,2460.51,13.51,-127.05,37.37,-109.4,27.16,-481.7,-1218.27,-190.2,-46.04,-43.16,-15.13,37.6,-58.29,15.39,4.7,-37.67,-315.71,-3.7,-1.34,-140.6,-12.82,-177.12,-42.65,794.85,-0.12,46.94,-43.86,-115.77,23.15,40.55,-8.26,-30.66,35.67
CAPEX (niematerialne i rzeczowe),,,,,-87.27,7.55,304.06,63.0,42.47,7.76,-6.14,-82.54,-27.15,293.57,-7.55,164.17,12.23,-63.21,-35.6,453.79,587.31,119.94,67.29,16.41,25.2,-36.52,70.97,-10.36,7.54,55.17,254.97,7.11,-18.91,77.34,38.83,-1.18,247.58,19.91,-20.52,124.39,-23.42,25.84,-23.22,-60.38,-12.94,28.7,-38.05
Przepływy pieniężne z działalności finansowej,,,,,-134.72,254.76,-112.39,-450.26,262.72,-195.61,395.8,-48.52,-96.65,-528.9,-100.07,-123.64,4855.54,96.57,-31570.0,273.55,-67.52,765.08,1229.46,-0.04,-120.23,-50.01,-84.19,53.47,492.61,65.33,2426.23,-87.73,70.89,407.38,-83.97,1252.2,46.2,-9.47,387.51,-94.27,363.88,61.68,5.47,1367.26,-76.89,-93.18,-18.99
Emisja akcji,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-149.3,995.43,-141.93,-78.21,1073.25,-148.14,153.86,68.75,-88.76,403.78,-453.71,-581.8,991.44,-133.1,6.96,255.83,-181.32,52.96,220.02,-85.43,-54.49,-15.96,-46.0,517.32,53.15,101.28,-70.96,-116.92,78.39,34261.17,-921.68,520.78,-664.47,1726.75,154.27,-280.0,124.94,-84.37,152.98,248.82,-335.85,-164.82,45.51
