,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Inwestycje krótkoterminowe,7608.0,36581.0,4885.0,16886.0,9914.0,70517.0,61089.0,53302.0,23373.0,47774.0,44537.0,1746.0,2915.0,8880.0,2915.0,4755.0,10598.0,8181.0,4384.0,4580.0,3864.0,3487.0,10205.0,5895.0,14882.0,6378.0,3996.0,12433.0,10190.0,52964.0,29028.0,12537.0,27487.0,18189.0,17565.0,24199.0,17076.0,22804.0
Środki pieniężne i inne aktywa pieniężne,7608.0,36581.0,4885.0,16886.0,9914.0,70517.0,61089.0,41600.0,16857.0,47774.0,44537.0,1746.0,2915.0,8874.0,2915.0,4373.0,10442.0,8181.0,4384.0,4580.0,3864.0,3487.0,9582.0,5895.0,14564.0,6291.0,3996.0,12097.0,10190.0,52964.0,29028.0,12537.0,27487.0,18189.0,17565.0,24199.0,17076.0,22804.0
Pozostałe aktywa obrotowe,118.0,622.0,523.0,240.0,593.0,1313.0,1003.0,1238.0,1133.0,903.0,1139.0,1000.0,1151.0,746.0,1167.0,928.0,1172.0,1060.0,1207.0,1025.0,977.0,1175.0,1049.0,837.0,0.0,817.0,980.0,911.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,134612.0,152397.0,121063.0,137167.0,145757.0,187550.0,183694.0,184798.0,163047.0,184389.0,179605.0,157227.0,175054.0,175733.0,168118.0,187831.0,213109.0,196043.0,246511.0,264277.0,283778.0,259393.0,269482.0,272747.0,286909.0,276619.0,285660.0,286261.0,296058.0,334520.0,305492.0,307566.0,340691.0,330051.0,326632.0,341959.0,341462.0,337956.0
Kapitał własny akcjonariuszy jednostki dominującej,42558.0,54447.0,59453.0,58086.0,64583.0,102926.0,104937.0,97960.0,100893.0,111928.0,110578.0,97315.0,103093.0,119138.0,121923.0,111713.0,122553.0,135088.0,137409.0,122545.0,126692.0,149885.0,147682.0,146451.0,150836.0,163414.0,162971.0,170470.0,183933.0,205814.0,210715.0,165708.0,184297.0,214364.0,225182.0,177798.0,195488.0,216668.0
Kapitał (fundusz) podstawowy,28929.0,28929.0,3300.0,3300.0,3300.0,3620.0,3620.0,3620.0,3620.0,3620.0,3620.0,3625.0,3625.0,3625.0,3625.0,3630.0,3630.0,3630.0,3630.0,3636.0,3636.0,3636.0,3636.0,3645.0,3645.0,3645.0,3645.0,3645.0,3651.0,3651.0,3651.0,3658.0,3658.0,3658.0,3658.0,3658.0,3658.0,3672.0
Udziały (akcje) własne,4963.0,5159.0,5159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,38056.0,37562.0,66202.0,83455.0,83454.0,109109.0,109109.0,121818.0,121818.0,121818.0,121818.0,125131.0,125131.0,125131.0,125131.0,128146.0,128146.0,128146.0,128146.0,141409.0,141409.0,141409.0,141409.0,141409.0,173344.0,173344.0,173344.0,181680.0,181680.0,51911.0,51911.0,51911.0,51911.0,51911.0,51911.0,51911.0,51911.0,51911.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,66637.0,60759.0,43981.0,59577.0,60300.0,59428.0,59305.0,13961.0,14399.0,52752.0,53775.0,46111.0,52089.0,21949.0,21938.0,56256.0,63928.0,26131.0,69515.0,101588.0,107813.0,60175.0,76598.0,63039.0,83268.0,43435.0,53655.0,64376.0,46962.0,44721.0,42916.0,43296.0,37691.0,36429.0,37947.0,36615.0,36273.0,38046.0
Z tytułu dostaw i usług,24071.0,21940.0,5633.0,7456.0,8859.0,13397.0,8074.0,9568.0,9380.0,15908.0,9335.0,9589.0,15194.0,21316.0,10923.0,11936.0,18244.0,30080.0,20277.0,22267.0,31015.0,28959.0,25317.0,32076.0,31874.0,36865.0,27506.0,28959.0,32940.0,29620.0,19011.0,31690.0,31565.0,43108.0,30445.0,104391.0,39704.0,48979.0
Kredyty i pożyczki,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,50874.0,30143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10109.0,17305.0,2000.0,11172.0,31182.0,12547.0,49782.0,60925.0,5605.0,2047.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,257.0,3850.0,609.0,762.0,877.0,582.0,641.0,11692.0,7003.0,453.0,867.0,1602.0,745.0,6006.0,5855.0,5750.0,5641.0,77.0,15186.0,15850.0,16506.0,16039.0,16525.0,20244.0,17487.0,17746.0,17305.0,18252.0,18364.0,18840.0,18097.0,14114.0,20430.0,18693.0,19471.0,18965.0,66145.0,27523.0
Inne zobowiązania długoterminowe,7806.0,7356.0,7528.0,7487.0,7962.0,7628.0,7603.0,7712.0,5269.0,7564.0,7940.0,7454.0,7659.0,7972.0,8095.0,8079.0,7901.0,8131.0,7301.0,7424.0,7031.0,6507.0,6037.0,5759.0,5961.0,5633.0,5592.0,5552.0,5512.0,5455.0,5415.0,5375.0,5348.0,5281.0,5281.0,5200.0,5161.0,5167.0
Zobowiązania krótkoterminowe,25417.0,37191.0,17629.0,19504.0,20874.0,25196.0,19452.0,72877.0,47755.0,19709.0,15252.0,13801.0,19872.0,34646.0,24257.0,19862.0,26628.0,34824.0,39587.0,40144.0,49273.0,49333.0,45202.0,63257.0,52805.0,69770.0,69034.0,51415.0,65163.0,83985.0,51861.0,98562.0,118703.0,79258.0,63503.0,127546.0,109701.0,83242.0
Inne zobowiązania krótkoterminowe,1089.0,1401.0,1387.0,1286.0,1138.0,1217.0,737.0,743.0,1229.0,3348.0,5050.0,2610.0,3933.0,7324.0,7479.0,2176.0,2743.0,4667.0,4124.0,2012.0,1752.0,4335.0,3360.0,10937.0,3444.0,5050.0,6918.0,2204.0,2687.0,4343.0,2206.0,2976.0,5783.0,11852.0,11540.0,4190.0,3852.0,6740.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,134612.0,152397.0,121063.0,137167.0,145757.0,187550.0,183694.0,184798.0,163047.0,184389.0,179605.0,157227.0,175054.0,175733.0,168118.0,187831.0,213109.0,196043.0,246511.0,264277.0,283778.0,259393.0,269482.0,272747.0,286909.0,276619.0,285660.0,286261.0,296058.0,334520.0,305492.0,307566.0,340691.0,330051.0,326632.0,341959.0,341462.0,337956.0
Przepływy pieniężne z działalności operacyjnej,6254.0,22206.0,-13063.0,7903.0,-7267.0,36678.0,-5351.0,-1580.0,305.0,27154.0,-1532.0,-14317.0,1649.0,37578.0,-3632.0,-12149.0,803.0,44870.0,566.0,-3880.0,3157.0,51906.0,-3880.0,5828.0,10599.0,25399.0,-5315.0,10128.0,10826.0,26288.0,1012.0,8235.0,11894.0,55930.0,10602.0,15534.0,16132.0,50922.0
Amortyzacja,1088.0,860.0,982.0,1025.0,1094.0,1168.0,1357.0,1122.0,1116.0,1346.0,1302.0,1257.0,1346.0,1532.0,1754.0,1743.0,1819.0,2133.0,6006.0,6591.0,5907.0,7471.0,6691.0,7275.0,5871.0,5927.0,6690.0,6234.0,6393.0,5831.0,6096.0,6257.0,6820.0,6179.0,7017.0,7104.0,6828.0,7259.0
Przepływy pieniężne z działalności inwestycyjnej,-258.0,-219.0,-1140.0,-439.0,-2395.0,-962.0,-2644.0,-2028.0,-4179.0,-4913.0,-2087.0,-6041.0,-5989.0,-6387.0,-1890.0,-5082.0,-2084.0,-3195.0,-4865.0,-4722.0,-4466.0,-2772.0,-184.0,-3322.0,-10417.0,-1968.0,-134.0,1258.0,-303.0,-1061.0,-1031.0,-1207.0,-2268.0,-3264.0,-1604.0,-1475.0,-2725.0,-5165.0
CAPEX (niematerialne i rzeczowe),202.0,277.0,1141.0,444.0,2272.0,1305.0,2763.0,2155.0,4131.0,4755.0,2087.0,6041.0,5989.0,6388.0,1891.0,5105.0,2084.0,3194.0,4868.0,4723.0,4468.0,2791.0,184.0,8830.0,10514.0,1857.0,348.0,141.0,106.0,1052.0,1148.0,2086.0,3074.0,2948.0,1891.0,1188.0,2687.0,5714.0
Przepływy pieniężne z działalności finansowej,-5508.0,6986.0,-17493.0,4569.0,2587.0,25014.0,-554.0,-16675.0,-20998.0,8720.0,382.0,-22433.0,5509.0,-25232.0,-437.0,18689.0,7350.0,-43936.0,502.0,8798.0,593.0,-49511.0,10159.0,-6193.0,8487.0,-31704.0,3154.0,-3285.0,-12430.0,17547.0,-23916.0,-23520.0,5324.0,-61964.0,-9622.0,-7425.0,-20530.0,-40029.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11946.0,0.0,0.0,0.0,15042.0,0.0,0.0,0.0,15246.0,0.0,0.0,0.0,18179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55420.0,0.0,0.0,0.0,61140.0,0.0
Przepływy pieniężne razem,488.0,28973.0,-31696.0,12033.0,-7075.0,60730.0,-8549.0,-20283.0,-24872.0,30961.0,-3237.0,-42791.0,1169.0,5959.0,-5959.0,1458.0,6069.0,-2261.0,-3797.0,196.0,-716.0,-377.0,6095.0,-3687.0,8669.0,-8273.0,-2295.0,8101.0,-1907.0,42774.0,-23935.0,-16492.0,14950.0,-9298.0,-624.0,6634.0,-7123.0,5728.0
