,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Koszty finansowe,,,,,-93.04,,,,-48.72,,,-101.64,-43.04,-69.95,-63.64,1300.0,-38.25,79.31,-23.44,-34.26,66.42,-44.23,57.14,-22.54,24.66,39.66,2.6,49.09,-78.06,25.93,96.2,15.85,198.36,28.43,-32.9,65.26,10.99,83.97,-18.27,-43.31,90.1,-46.06,-7.06,13.48,-74.48,44.62,164.56,236.63,343.88,156.91,131.1,42.35,127.36
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,114.17,85.15,-150.25,87.68,-30.22,-16.93,353.4,4068.57,106.42,257.3,71.27,-2.59,5.69,3.24,5.8,44.79,55.99,-10.12,-41.74,-31.55,3.03,-16.83,123.82,37.36,34.87,117.35,8.79,14.88,-3.56,-25.38,3.98,5.01,5.12,-45.3,-74.41,-38.03,-85.75,-101.4,445.93,12.13,393.03,11556.25,-26.3,21.96,-28.57,0.38,16.15,58.26,42.57
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,114.17,85.15,-150.25,87.68,-30.22,-16.93,353.4,4068.57,106.42,257.3,71.27,-2.59,5.69,3.24,5.8,44.79,55.99,-10.12,-41.74,-31.55,3.03,-16.83,123.82,37.36,34.87,117.35,8.79,14.88,-3.56,-25.38,3.98,5.01,5.12,-45.3,-74.41,-38.03,-85.75,-101.4,445.93,12.13,393.03,11556.25,-26.3,21.96,-28.57,0.38,16.15,58.26,42.57
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,
Zysk netto,,,,,103.19,327.43,-101.19,54.87,220.76,-19.25,10185.71,1028.0,58.04,243.33,102.12,-3.19,11.13,7.99,1.61,43.54,43.55,-15.21,-38.07,-32.38,5.91,-15.42,115.48,36.97,39.39,118.03,7.08,13.26,-6.49,-25.25,3.52,5.97,15.62,-47.22,-78.28,-24.5,-91.42,-107.17,681.55,-8.43,607.19,2440.62,-44.54,25.59,-17.23,-2.4,25.2,36.44,48.96
Zysk netto akcjonariuszy jednostki dominującej,,,,,107.99,147.69,-101.03,72.28,29.23,-25.88,10085.71,1028.0,62.42,274.02,110.01,-6.29,9.97,10.23,-0.34,46.64,46.18,-16.94,-38.69,-30.87,6.03,-16.39,113.27,34.57,37.61,120.59,7.32,15.71,-5.15,-24.64,4.63,4.43,15.28,-45.13,-77.61,-31.42,-87.86,-104.81,659.04,3.25,408.33,3502.22,-43.03,25.69,-17.6,3.27,17.02,30.66,31.31
Aktywa trwałe,,,,,13.93,,,,-0.65,,,,-31.95,,,4.12,13.09,13.45,6.72,9.04,9.14,10.42,9.15,13.26,14.08,7.64,7.75,-0.89,-0.34,17.26,15.41,24.02,95.91,72.09,80.84,70.68,14.7,16.8,11.79,10.75,2.81,2.4,38.91,40.89,37.52,37.81,2.66,6.83,11.66,14.33,12.63,19.13,19.8
Wartości niematerialne i prawne,,,,,-0.48,,,,-12.4,,,,-10.61,,,11.08,14.55,15.42,-8.55,-8.19,-11.95,-11.35,-4.46,38.12,36.43,37.68,30.33,-8.46,9.28,75.47,18.24,26.92,287.11,145.55,297.42,267.31,7.01,8.35,2.61,6.52,19.26,22.95,109.61,110.61,92.86,88.66,11.17,13.53,19.31,20.53,19.99,29.75,27.04
Rzeczowe składniki majątku trwałego,,,,,28.68,17.44,20.17,19.09,-2.62,-5.65,-34.91,-32.4,-36.32,-29.7,1.9,4.09,10.79,7.32,7.34,10.82,16.66,20.05,16.55,14.72,15.38,7.02,6.97,2.08,-3.66,0.85,0.38,2.05,21.1,18.99,37.52,38.98,37.03,39.74,18.01,11.38,-10.56,-15.44,-17.76,-18.57,-19.22,-20.07,-19.9,-13.24,-7.05,1.63,-1.42,-3.04,-8.57
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,-89.34,-79.24,81.21,84.24,84.24,29.36,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-63.3,,,,119.38,,,,-32.03,,,-12.86,33.23,88.85,55.79,44.91,-35.25,-43.43,-49.71,-48.56,-28.94,-32.66,-7.2,-10.16,19.52,25.75,2.04,221.44,423.99,407.55,65.8,-50.39,-62.06,-58.21,36.67,61.86,51.22,64.76,73.87,61.78,50.23,46.53,38.83,37.49,13.66,-2.37,-15.54,-15.21,47.6
Aktywa obrotowe,,,,,-0.29,,,,-2.21,,,,48.87,,,46.64,39.12,39.93,21.24,20.55,-2.69,-11.14,38.86,-15.08,7.43,23.24,-24.09,14.61,23.45,24.3,-5.72,-1.14,-11.88,-21.76,16.13,-1.54,-0.07,-14.02,-11.73,-21.13,-35.69,-28.71,-27.78,-1.84,11.88,33.25,62.95,59.64,61.6,26.34,21.49,-12.53,18.36
Zapasy,,,,,-29.82,,,,8.77,,,,25.41,,,-2.06,-1.57,-28.56,-0.42,56.58,14.39,57.37,83.75,34.9,21.32,37.91,-18.24,-5.07,35.48,-11.97,10.26,11.06,26.75,25.61,13.31,-17.5,-1.29,8.71,-10.4,-3.44,-38.35,-53.35,-22.96,-17.32,9.97,67.36,82.05,91.98,20.05,-1.79,-16.77,-37.61,8.14
Należności krótkoterminowe,,,,,-5.28,3.61,6.69,5.49,-9.59,-8.02,-2.61,11.94,19.71,-1.12,31.8,44.69,30.55,43.01,13.16,-3.21,36.41,21.66,20.26,20.47,-11.38,-10.72,9.28,20.99,41.07,56.85,21.25,20.88,20.29,8.99,31.48,8.54,-6.89,-7.45,-38.18,-22.96,-46.56,-39.2,-5.18,-6.35,36.0,53.51,47.43,54.43,57.46,29.06,33.89,13.82,6.51
Inwestycje krótkoterminowe,,,,,61.93,46.63,34.19,-21.37,7.96,28.6,35.67,64.64,108.12,92.04,59.88,70.33,66.45,61.82,34.75,28.71,-39.61,-45.68,39.82,-57.4,28.58,58.95,-52.91,33.78,2.44,23.51,-51.32,-48.34,-90.87,-64.64,-47.46,-29.54,100.62,-65.95,196.62,-40.33,57.62,97.7,-72.96,104.8,0.1,34.5,295.14,86.43,132.28,45.64,30.49,-56.78,66.67
Środki pieniężne i inne aktywa pieniężne,,,,,62.04,46.63,34.19,-21.37,10.29,28.6,35.67,64.64,111.44,88.49,59.88,69.17,66.45,63.86,33.66,28.67,-39.64,-45.36,40.95,-57.09,28.63,58.97,-52.9,33.78,2.44,23.51,-51.32,-48.34,-90.87,-64.64,-47.46,-29.54,100.62,-65.95,196.62,-40.33,57.62,97.7,-73.57,101.6,-4.59,31.05,295.69,85.55,139.61,45.49,30.18,-56.84,68.67
Pozostałe aktywa obrotowe,,,,,-44.31,,,,6.81,,,,163.24,,,18.82,-27.56,42.4,31.13,78.55,5.14,199.44,78.99,86.88,156.48,7.04,45.89,-30.76,-18.59,-25.59,-20.92,34.71,18.03,36.87,41.2,37.96,46.63,30.03,-12.18,-20.98,-2.98,-7.94,-8.45,-37.16,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,-100.0,,,,,,,-33.33,-68.75,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,
Aktywa razem,,,,,8.07,,,,-1.24,,,,-1.54,,,24.92,27.9,28.28,14.72,15.65,1.82,-2.75,26.45,-3.71,10.15,16.34,-12.61,7.3,13.38,21.42,3.67,9.83,28.21,15.3,48.15,34.01,8.32,4.14,2.48,-1.14,-12.53,-8.15,16.16,28.17,30.01,36.61,15.44,18.86,24.24,17.41,15.28,9.44,19.33
Kapitał własny akcjonariuszy jednostki dominującej,,,,,17.51,25.42,12.24,9.54,19.49,11.11,21.32,31.63,28.03,42.29,31.22,32.83,26.4,22.51,14.68,16.28,-4.18,-12.91,-11.02,-11.57,13.84,23.44,16.47,8.89,9.79,16.02,-16.54,-14.03,-11.95,-15.48,16.51,23.79,9.26,-0.36,15.17,2.74,0.09,5.58,5.75,14.57,28.71,32.56,13.51,16.78,18.11,18.98,20.45,19.32,31.17
Kapitał (fundusz) podstawowy,,,,,0.0,,,,0.61,,,,0.3,,,2.42,2.11,2.11,1.2,-0.74,-0.74,-0.74,0.0,0.0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,0.0,-4.93,-3.43,-3.43,-3.43,-1.41,-2.94,-2.94,-2.94,0.0,-0.96,-0.96,-0.96,-0.96,0.0,0.0,3.86,3.86,3.86,3.86,4.95
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,65.01,47.06,-370.14,-405.06,-161.49,100.0,100.0,100.0,100.0,,,,,-288.42,-199.09,73.57,85.97,86.86,40.06,-141.68,-112.2,-79.62,62.91,0.0,100.0,100.0,100.0,100.0,,,,,,,
Kapitał (fundusz) zapasowy,,,,,-46.62,,,,-14.76,,,,1.47,,,18.02,15.69,1.11,-2.59,-20.91,-4.45,-19.17,4.79,22.67,0.9,31.89,12.77,17.11,17.11,-31.21,-20.54,-11.97,-8.99,11.33,13.1,1.57,25.21,-19.11,-20.71,54.37,21.12,113.09,103.17,4.01,11.29,-0.85,7.8,17.69,26.31,28.9,30.2,19.97,34.95
Udziały niekontrolujące,,,,,,,,,,,,,100.0,,,,,,,,-90.91,-117.65,25.0,-281.82,-1475.0,-1333.33,-520.0,72.5,107.27,109.3,304.76,227.27,-600.0,-950.0,-186.05,-364.29,-220.0,-214.71,-229.73,89.19,81.25,79.44,74.59,-1425.0,2916.67,1486.36,1090.32,327.87,-19.82,-48.85,-68.4,2489.21,1586.35
Zobowiązania długoterminowe,,,,,16.3,14.69,7.94,11.28,-17.32,-31.78,-64.58,-68.35,-63.29,-53.68,11.4,53.66,80.68,97.32,74.17,56.76,38.95,37.79,38.34,39.0,47.65,19.83,23.6,7.06,3.49,37.05,22.87,34.21,129.17,95.4,99.85,37.2,-9.21,-8.41,-13.4,37.92,1.84,-2.7,45.4,18.21,41.9,40.34,-4.0,-39.29,-39.34,-25.01,-28.1,74.77,29.31
Z tytułu dostaw i usług,,,,,-14.51,,,,-33.74,,,,9.68,,,18.14,102.12,79.46,7.06,31.78,15.44,24.71,102.27,29.4,1.37,17.39,-28.98,-6.27,11.65,-5.28,2.62,13.01,25.92,-8.65,50.17,15.5,27.69,72.93,25.56,-26.44,-50.49,-71.5,0.89,11.47,138.64,494.22,97.11,305.01,39.43,19.03,98.77,31.52,0.83
Kredyty i pożyczki,,,,,1.18,,,,-3.84,,,,-49.07,,,-44.26,-21.77,-49.12,-63.76,-100.0,-86.32,61.12,-100.0,,-94.55,-100.0,,,-100.0,,,,,44.65,750.44,129.37,188.1,460.97,-3.09,-39.92,-46.12,-29.33,-7.85,908.46,41.42,29.79,179.84,57.18,394.58,36.59,-67.39,-67.54,41.03
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,23.91,,,,0.7,,,,-36.25,,,-17.59,-7.3,-5.89,-4.62,5.08,15.51,-86.24,20.44,27.16,31.92,1249.7,54.26,34.11,26.8,43.61,46.17,59.51,58.49,25.39,26.15,-8.7,7.3,6.23,-4.62,17.23,-9.61,-12.52,-10.93,-11.5,-13.49,-18.0,-7.05,-20.01,-16.29,-8.34,-18.93,-1.01,-7.03
Inne zobowiązania długoterminowe,,,,,26.56,,,,-9.42,,,,-34.19,,,-13.09,29.73,25.68,25.38,19.23,-55.13,-42.07,-60.59,-40.99,56.18,26.76,133.9,62.19,39.93,232.57,175.26,36.66,717.84,231.1,261.76,237.92,-53.68,-53.34,-52.6,-15.27,-7.31,-4.33,246.31,286.76,265.22,247.55,-58.01,-62.61,-67.87,-67.62,-27.73,-32.94,0.06
Zobowiązania krótkoterminowe,,,,,-2.61,2.52,-7.68,-7.83,-6.17,-100.0,-16.17,-23.45,-13.34,,5.62,5.62,19.67,24.57,-0.07,1.47,2.2,5.64,107.34,-4.06,-10.43,0.93,-51.61,3.48,26.86,24.1,36.55,48.19,49.17,30.36,60.55,46.36,21.97,24.24,2.8,-29.26,-33.96,-28.93,7.34,63.06,18.09,36.96,34.2,69.58,107.24,61.22,40.63,-29.08,-7.94
Inne zobowiązania krótkoterminowe,,,,,-19.31,,,,44.52,,,,78.76,,,72.84,0.59,74.11,33.48,22.65,23.99,9.4,170.71,-32.58,-40.5,-38.24,-76.05,-5.3,63.9,48.3,47.66,56.99,58.53,86.2,13.14,109.12,3.16,-25.67,-7.95,-47.2,-21.99,17.78,51.95,37.96,-81.64,-83.48,-89.39,22.84,951.94,957.03,1080.13,-81.16,-69.81
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,8.07,13.17,3.06,2.12,-1.24,-42.0,-10.69,-11.0,-1.54,63.21,20.58,24.92,27.9,28.28,14.72,15.65,1.82,-2.75,26.45,-3.71,10.15,16.34,-12.61,7.3,13.38,21.42,3.67,9.83,28.21,15.3,48.15,34.01,8.32,4.14,2.48,-1.14,-12.53,-8.15,16.16,28.17,30.01,36.61,15.44,18.86,24.24,17.41,15.28,9.44,19.33
Przepływy pieniężne z działalności operacyjnej,,,,,94.3,,,,-73.83,,,-44.16,65.5,24.4,37.96,-4.59,6.99,26.21,-41.91,17.68,-38.53,-1.96,-27.22,-48.18,161.34,0.88,-18.21,71.88,-10.97,82.77,222.13,25.36,7.09,1.75,-91.41,117.84,-16.71,-44.87,1118.57,-94.91,40.02,-63.6,-47.75,1272.55,-32.64,233.72,-29.69,-28.88,101.35,64.93,190.64,128.12,-64.88
Amortyzacja,,,,,10.36,36.17,68.82,53.89,11.66,25.03,-22.3,-31.1,1.53,-32.2,-18.84,-9.61,-10.29,8.22,7.83,8.53,12.59,1.03,1.75,9.66,13.79,13.38,8.73,4.58,-1.42,17.08,20.25,25.84,38.87,22.17,23.52,54.38,42.58,10.21,15.92,-14.69,-19.74,16.61,12.61,16.14,12.2,1.71,-8.34,-8.17,7.89,5.11,29.09,-8.52,-20.67
Przepływy pieniężne z działalności inwestycyjnej,,,,,3.97,,,,80.01,,,79.79,21.62,-343.53,-132.09,-30.17,-68.83,32.75,35.09,-51.6,245.09,47.54,104.11,44.42,-117.49,54.82,39.53,88.58,-10.53,34.15,-210.0,-389.39,-1117.09,-65.74,-565.15,-267.8,85.48,-139.11,-2.96,62.88,-287.8,-137.62,-1047.79,-289.8,69.39,-27.93,72.98,-33.1,-297.46,-41.35,-33.74,-289.82,31.98
CAPEX (niematerialne i rzeczowe),,,,,10.5,,,,-80.37,,,-79.39,-14.98,275.74,122.07,24.13,61.32,-15.86,-36.44,54.34,-252.81,-50.61,-96.91,-43.89,116.29,-54.22,-275.0,-85.2,15.85,10.71,278.57,271.26,29.74,-3.23,377.0,247.99,24.75,105.56,-4.4,-46.26,298.05,176.22,110.53,185.1,-34.03,33.37,48.54,47.97,93.5,38.0,32.96,-16.05,-25.92
Przepływy pieniężne z działalności finansowej,,,,,-87.06,,,,-302.99,,,-10.11,5.26,64.94,-79.44,77.71,224.22,-146.48,-160.63,6.37,-1369.59,-215.29,255.64,-3057.2,83.84,73.13,-206.58,72.61,-23.37,-92.75,-136.13,-6.11,-13.92,-77.34,78.27,-85.96,-97.95,-26.1,125.08,34.44,63.59,121.44,130.9,55.09,-53.7,-253.1,-20.72,50.48,-52.18,-354.71,-150.64,-134.73,316.15
Emisja akcji,,,,,-100.0,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,-100.0,,,100.83,,,,-100.0,,,,,-100.0,,,96.64,,,,-23.73,,,,-100.0,,,,,100.0,,,,-100.0,,,-100.0,,
Przepływy pieniężne razem,,,,,318.3,,,,-101.26,,,93.88,10609.09,22.48,-270.65,141.26,56.66,51.03,-418.4,2.97,-304.2,-76.69,306.79,-709.41,169.93,489.1,-172.0,99.61,-28.89,88.76,-124.59,603.57,-213.65,-20.57,69.67,292.91,71.24,-98.1,203.04,-629.24,249.92,915.87,-190.85,141.78,-44.17,143.91,126.01,-93.71,-16.1,-71.17,-53.28,-4729.87,1321.33
