,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Wartości niematerialne i prawne,2973.0,2876.0,2750.0,2616.0,3357.0,3335.0,2977.0,2785.0,2639.0,2434.0,2273.0,2047.0,7410.0,7743.0,7178.0,6561.0,6162.0,5883.0,56941.0,54370.0,41096.0,38523.0,35418.0,29416.0,29171.0,27570.0,26256.0,24291.0,21827.0,19877.0,17740.0,16427.0,14974.0
Rzeczowe składniki majątku trwałego,100508.0,98330.0,98520.0,110375.0,112076.0,113647.0,119817.0,125229.0,134762.0,148032.0,160910.0,174705.0,190716.0,202679.0,222034.0,232239.0,242785.0,260755.0,292006.0,307466.0,329140.0,333851.0,335882.0,331142.0,329208.0,330276.0,330233.0,332950.0,341592.0,347445.0,348375.0,342087.0,333799.0
Należności długoterminowe,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,93.0,93.0,156.0,156.0,218.0,218.0,218.0,218.0,218.0,156.0,156.0,156.0,156.0
Inwestycje długoterminowe,6558.0,6558.0,6558.0,6558.0,46802.0,46802.0,59556.0,59556.0,70729.0,70729.0,71473.0,67751.0,54476.0,54486.0,49771.0,50391.0,48530.0,12798.0,24461.0,20223.0,12872.0,47953.0,43300.0,43176.0,37903.0,18673.0,13462.0,12785.0,13027.0,11055.0,10199.0,10540.0,11259.0
Pozostałe aktywa trwałe,13214.0,13215.0,13215.0,20158.0,31835.0,33846.0,39803.0,47837.0,62283.0,68768.0,78867.0,92542.0,97224.0,109109.0,124158.0,136861.0,150202.0,161749.0,180248.0,191631.0,201524.0,20513.0,21566.0,21859.0,31937.0,36096.0,36515.0,36248.0,28518.0,30252.0,26652.0,27883.0,19371.0
Aktywa obrotowe,44946.0,47134.0,60353.0,57927.0,270161.0,274376.0,261499.0,257348.0,254546.0,244855.0,237542.0,215664.0,213751.0,213144.0,181297.0,155351.0,143576.0,129143.0,100830.0,103679.0,118917.0,119343.0,101230.0,284791.0,278701.0,263428.0,259374.0,234269.0,237581.0,209285.0,188109.0,177792.0,189749.0
Zapasy,19491.0,20569.0,24121.0,27690.0,19869.0,20443.0,19889.0,16629.0,18356.0,18658.0,21370.0,20736.0,23607.0,26554.0,25250.0,28164.0,30062.0,31120.0,26852.0,29029.0,29760.0,29238.0,27106.0,30373.0,23376.0,29458.0,29921.0,36681.0,38385.0,38367.0,30355.0,29809.0,26406.0
Należności krótkoterminowe,20679.0,23768.0,32014.0,25913.0,27173.0,28321.0,29963.0,32938.0,33733.0,30000.0,33737.0,35018.0,40131.0,33445.0,45980.0,46092.0,45778.0,41184.0,54597.0,42887.0,42034.0,45645.0,43043.0,34841.0,27245.0,28304.0,35516.0,37357.0,33701.0,34057.0,42937.0,44637.0,48237.0
Inwestycje krótkoterminowe,3413.0,2264.0,3062.0,3585.0,222203.0,224567.0,209535.0,205077.0,201355.0,194689.0,180189.0,158859.0,147998.0,151033.0,106644.0,78123.0,66692.0,54906.0,16886.0,29620.0,43978.0,41320.0,25005.0,218283.0,227551.0,203867.0,191839.0,158174.0,164624.0,134231.0,111891.0,101948.0,114543.0
Środki pieniężne i inne aktywa pieniężne,3413.0,1647.0,1640.0,663.0,220765.0,223129.0,209400.0,204941.0,201355.0,194689.0,189189.0,158859.0,147998.0,146025.0,106644.0,78123.0,66692.0,54555.0,16886.0,29620.0,43978.0,41307.0,25005.0,218283.0,147796.0,124514.0,113167.0,77811.0,82902.0,49819.0,25061.0,21919.0,32359.0
Pozostałe aktywa obrotowe,1363.0,533.0,1156.0,739.0,916.0,1045.0,2112.0,2704.0,1102.0,1508.0,2246.0,1051.0,2015.0,2112.0,3423.0,2972.0,1044.0,1933.0,2495.0,2143.0,3145.0,3140.0,6076.0,1294.0,529.0,1799.0,2098.0,2057.0,871.0,2630.0,2926.0,1398.0,563.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,168289.0,168203.0,181396.0,197724.0,464321.0,472096.0,483742.0,492845.0,525050.0,534908.0,551156.0,552800.0,563668.0,587252.0,584529.0,581494.0,591346.0,570419.0,654579.0,677462.0,703642.0,560276.0,537552.0,710540.0,707138.0,676261.0,666058.0,640761.0,642763.0,618070.0,591231.0,574885.0,569308.0
Kapitał własny akcjonariuszy jednostki dominującej,100817.0,113244.0,120602.0,131462.0,402501.0,407558.0,418614.0,424554.0,439847.0,447397.0,447938.0,453215.0,448729.0,455220.0,442272.0,444906.0,445040.0,425510.0,442702.0,443853.0,434671.0,371233.0,366331.0,561042.0,554002.0,530912.0,503340.0,491435.0,479646.0,468258.0,466482.0,460007.0,445556.0
Kapitał (fundusz) podstawowy,3000.0,3000.0,3000.0,3000.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,5100.0,5100.0,5100.0,5104.0,5104.0,5104.0,5104.0,5106.0,5106.0,5106.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,53137.0,53137.0,83317.0,83317.0,317769.0,317769.0,347926.0,347926.0,347926.0,347926.0,365892.0,365892.0,365892.0,365892.0,384789.0,384788.0,384789.0,384789.0,393124.0,393124.0,393124.0,393124.0,411469.0,613510.0,613510.0,613510.0,598710.0,587104.0,587104.0,587104.0,543232.0,543232.0,543232.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,3674.0,5569.0,4866.0,6283.0,3039.0,5422.0,1188.0,880.0,1707.0,2944.0,1229.0,977.0,1198.0,988.0,532.0,355.0,194.0,35746.0,44938.0,40378.0,31714.0,73870.0,70430.0,65125.0,66773.0,65418.0,61036.0,61482.0,46677.0,47507.0,43906.0,36503.0,37415.0
Z tytułu dostaw i usług,13866.0,0.0,0.0,0.0,5859.0,0.0,0.0,0.0,5928.0,0.0,0.0,0.0,9004.0,0.0,0.0,10387.0,7363.0,6661.0,12978.0,8754.0,18092.0,21853.0,24459.0,13575.0,12681.0,20138.0,17514.0,32902.0,18306.0,19902.0,13791.0,17758.0,10705.0
Kredyty i pożyczki,7060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.0,12236.0,12837.0,13240.0,12307.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12753.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,2461.0,0.0,0.0,0.0,3208.0,0.0,0.0,0.0,1599.0,0.0,0.0,0.0,954.0,0.0,0.0,1536.0,1466.0,35151.0,2549.0,10425.0,2900.0,29677.0,30220.0,6239.0,6563.0,5928.0,10041.0,9694.0,19434.0,18597.0,15355.0,10962.0,7127.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33751.0,38753.0,38753.0,24380.0,64470.0,61767.0,56421.0,58419.0,55185.0,52580.0,50870.0,39289.0,39022.0,37459.0,30854.0,31705.0
Zobowiązania krótkoterminowe,30975.0,17670.0,23270.0,28175.0,10095.0,11363.0,13672.0,13291.0,13845.0,16195.0,24134.0,13191.0,14313.0,21893.0,25925.0,21627.0,19236.0,103742.0,35850.0,45763.0,63095.0,115173.0,100791.0,84373.0,86363.0,79931.0,101682.0,87844.0,116440.0,102305.0,80843.0,78375.0,86337.0
Inne zobowiązania krótkoterminowe,7588.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,6318.0,0.0,0.0,0.0,4355.0,0.0,0.0,9704.0,10407.0,61930.0,18064.0,14348.0,29266.0,50403.0,33805.0,64559.0,67119.0,53865.0,74125.0,45248.0,78700.0,63806.0,51697.0,49655.0,55752.0
Rozliczenia międzyokresowe,32823.0,31720.0,32658.0,31804.0,48686.0,47753.0,50268.0,54120.0,69651.0,68372.0,77855.0,85417.0,99428.0,109151.0,115800.0,114606.0,126876.0,5421.0,131089.0,147468.0,174162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,168289.0,168203.0,181396.0,197724.0,464321.0,472096.0,483742.0,492845.0,525050.0,534908.0,551156.0,552800.0,563668.0,587252.0,584529.0,581494.0,591346.0,570419.0,654579.0,677462.0,703642.0,560276.0,537552.0,710540.0,707138.0,676261.0,666058.0,640761.0,642763.0,618070.0,591231.0,574885.0,569308.0
Przepływy pieniężne z działalności operacyjnej,14341.0,2411.0,3110.0,14083.0,1041.0,9892.0,-1878.0,9013.0,8276.0,10995.0,5674.0,1926.0,9645.0,19885.0,-16883.0,-6177.0,-1876.0,11043.0,3521.0,24536.0,31804.0,5380.0,-6521.0,28147.0,16946.0,-13078.0,458.0,-14571.0,22490.0,-16173.0,-7660.0,8108.0,7411.0
Amortyzacja,2574.0,1716.0,5305.0,3493.0,2838.0,3554.0,3898.0,3939.0,5870.0,4262.0,4422.0,4321.0,4209.0,4943.0,5155.0,5240.0,5283.0,5132.0,8164.0,7743.0,9843.0,9428.0,10900.0,14068.0,6946.0,11649.0,11519.0,11705.0,9222.0,11770.0,12709.0,12753.0,12784.0
Przepływy pieniężne z działalności inwestycyjnej,-12736.0,-3126.0,-2062.0,-16271.0,-3596.0,-5035.0,-6205.0,-11278.0,-11126.0,-17239.0,-12044.0,-22880.0,-20582.0,-21064.0,-14657.0,-22216.0,-9799.0,-22930.0,-38673.0,-19947.0,-16982.0,-7443.0,-7388.0,-20526.0,-85691.0,-7914.0,-8346.0,-1997.0,-13215.0,-7884.0,-11429.0,-5727.0,3400.0
CAPEX (niematerialne i rzeczowe),12981.0,3192.0,1659.0,11511.0,4925.0,4780.0,7914.0,5382.0,13264.0,15822.0,7776.0,20354.0,23508.0,16155.0,15366.0,20834.0,12597.0,21344.0,29807.0,21374.0,26638.0,7443.0,7473.0,20603.0,5833.0,8213.0,8750.0,5501.0,11442.0,8466.0,11766.0,5991.0,6590.0
Przepływy pieniężne z działalności finansowej,361.0,-419.0,-1054.0,1211.0,222657.0,-2493.0,-5646.0,-2194.0,-737.0,-422.0,-8130.0,-376.0,76.0,-794.0,-7840.0,-129.0,244.0,-250.0,-2518.0,8145.0,-463.0,-608.0,-2394.0,185657.0,-1741.0,-2290.0,-3459.0,-18788.0,-4184.0,-9026.0,-5669.0,-5523.0,-371.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202642.0,13358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,5370.0,0.0,4430.0,0.0,0.0,0.0,6351.0,1299.0,0.0,0.0,7650.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,14800.0,0.0,0.0,0.0,4595.0,0.0
Przepływy pieniężne razem,1966.0,-1134.0,-6.0,-977.0,220102.0,2364.0,-13729.0,-4459.0,-3587.0,-6666.0,-14500.0,-21330.0,-10861.0,-1973.0,-39380.0,-28522.0,-11431.0,-12137.0,-37670.0,12734.0,14359.0,-2671.0,-16303.0,193278.0,-70486.0,-23282.0,-11347.0,-35356.0,5091.0,-33083.0,-24758.0,-3142.0,10440.0
