,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Pozostałe przychody (koszty),,,,,-350.0,333.33,-425.0,,-355.56,550.0,523.08,-408.82,100.0,-83.52,-96.36,270.48,,-293.33,-4250.0,-78.77,-597.3,1489.66,-673.49,-76.32,90.76,-143.92,95.95,2033.33,100.0,77.4,100.0,-101.56,,100.0,,100.0,,,,,,72.01,-214.29,-8314.29,-1300.0,-201.38,-1481.82,66.89,130.61,100.0,96.26,89.74,-153.33,,-115.38,-100.0,25.0,100.0,92.86,90.0,83.33,,-850.0,-350.0,-300.0,5.26,31.58,-5.56,-612.5,0.0,100.0,100.0,59.65
Zysk z działalności gospodarczej,,,,,-98.52,-404.74,-35.56,-252.9,-29042.68,-250.17,-1794.69,660.14,-5.84,94.13,110.48,-47.91,28.36,-2641.19,-199.34,-97.74,-7.35,82.89,-95.55,-1373.59,95.11,92.97,105.01,-73.93,870.02,277.8,246.76,106.49,17.84,49.04,146.36,159.19,-31.17,-149.48,-66.52,-419.67,9.09,11.58,-71.84,19.83,-93.66,-7639.28,-1303.6,-435.79,1424.75,103.03,3.33,47.38,108.89,60.77,205.13,69.29,-17.15,-12.68,65.54,216.22,174.12,76.31,-26.22,58.86,-75.56,-12.65,-8.2,-63.91,84.36,-1.63,-1.5,264.31,19.07
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-98.52,-404.74,-35.56,-252.9,-29042.68,-250.17,-1794.69,660.14,-5.84,94.13,110.48,-47.91,28.36,-2641.19,-199.34,-97.74,-7.35,82.89,-95.55,-1373.59,95.11,92.97,105.01,-73.93,870.02,277.8,246.76,106.49,17.84,49.04,146.36,159.19,-31.17,-149.48,-66.52,-419.67,9.09,11.58,-71.84,19.83,-93.66,-7639.28,-1303.6,-435.79,1424.75,103.03,3.33,47.38,108.89,60.77,205.13,69.29,-17.15,-12.68,65.54,216.22,174.12,76.31,-26.22,58.86,-75.56,-12.65,-8.2,-63.91,84.36,-1.63,-1.5,264.31,19.07
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,-100.0,,,,,,,,,,,,
Zysk netto,,,,,-126.46,-453.97,-29.45,-861.18,-2611.06,-263.86,-2125.77,585.98,-6.23,103.34,107.44,-53.87,35.43,-4727.69,-200.27,-141.8,-0.79,81.91,-230.74,12.41,93.26,109.94,110.53,-80.45,720.45,-24.26,-11.98,107.17,-15.46,108.28,247.73,-10.23,-31.72,-83.64,-62.53,-1321.34,-16.74,-237.43,-222.77,13.12,-93.14,-18229.31,-61.32,-266.44,2272.03,97.46,-69.63,70.42,94.39,296.02,190.71,59.47,-14.25,-8.43,83.49,293.31,179.31,49.89,-33.39,18.67,-76.9,85.67,-3.24,-50.84,77.1,-55.81,-5.13,105.84,89.52
Zysk netto akcjonariuszy jednostki dominującej,,,,,-127.21,-442.99,-33.36,-2858.83,-1762.14,-201.09,-2224.84,370.76,-51.82,104.0,107.44,-53.62,35.56,-4780.41,-199.95,-142.12,-0.14,81.87,-231.27,11.21,93.09,109.89,110.56,-78.71,704.67,-17.36,-13.73,106.59,-16.57,99.91,255.82,-9.15,-30.36,-83.33,-62.28,-1401.79,-17.52,-229.49,-221.39,12.91,-93.73,-18148.86,-60.07,-265.53,2515.89,97.46,-70.96,70.47,94.39,296.02,190.71,59.47,-14.25,-8.43,83.49,293.31,179.31,49.89,-33.39,18.67,-76.9,85.67,-3.24,-50.84,77.1,-55.81,-5.13,105.84,89.52
Aktywa trwałe,,,,,4.67,5.58,142.81,181.12,188.27,169.85,12.96,-12.81,-16.52,-15.03,-15.7,-16.97,-9.25,-7.15,-4.79,-9.94,-14.75,-16.85,-17.49,-5.39,-7.61,-4.92,0.46,6.09,8.17,4.89,1.46,-4.01,-4.79,-3.02,-3.42,-3.33,-2.1,-1.24,0.01,-2.48,-3.2,-2.47,-3.73,-2.93,-1.57,-3.72,-0.81,-3.29,-3.83,-6.1,-7.84,-2.97,-3.42,-0.39,-2.15,-2.66,6.13,6.36,6.4,5.56,-4.73,-6.11,-6.59,-6.73,-5.07,-3.42,-1.29,-0.1,0.28,-0.92,-1.67,-5.43,-3.99
Wartości niematerialne i prawne,,,,,11.77,1.94,0.06,289.79,288.11,266.61,253.99,-12.18,-12.76,-11.57,-9.26,-9.18,-9.17,-7.55,-7.09,-8.17,-7.33,-7.47,-6.73,-5.32,-4.93,-3.65,0.32,4.5,5.32,4.37,1.61,-2.53,-2.85,-1.71,-1.68,-0.04,0.78,1.44,1.59,-0.11,-0.6,-2.42,-3.51,-3.33,-3.03,-2.66,-1.32,-7.49,-7.6,-7.22,-7.78,-3.01,-3.87,-4.18,-4.62,-3.42,-2.88,-2.92,-2.89,-2.9,-2.6,-2.09,-1.67,-1.22,-0.72,0.22,1.32,2.05,2.26,1.74,1.26,-1.19,-1.71
Rzeczowe składniki majątku trwałego,,,,,-3.97,-1.5,-5.29,59.7,52.58,44.09,50.12,-21.44,-24.41,-25.84,-27.43,-25.26,-22.97,-27.71,-31.06,-36.69,-39.5,-36.49,-40.36,-42.4,-43.83,-45.98,-18.96,30.79,34.78,45.22,7.88,-23.41,-20.62,-11.35,-13.94,-15.92,-20.02,-26.53,-26.65,-31.43,-34.37,26.68,33.17,42.12,48.02,-24.45,-27.28,-29.14,-28.92,-31.31,-33.66,-28.15,-33.83,-28.61,-28.7,-37.15,-31.88,463.72,466.46,508.55,555.17,-21.0,-18.08,-22.56,-29.56,-35.65,-30.9,-16.42,-4.95,-1.43,-20.06,-33.06,-42.33
Należności długoterminowe,,,,,-0.97,16.02,1.64,155.89,208.29,104.45,67.74,-28.99,-9.65,-7.95,-18.27,95.45,148.72,119.05,171.54,26.09,-30.6,-3.51,7.18,79.42,13.78,104.14,28.07,-25.78,-25.0,-49.74,-24.96,37.24,65.64,88.95,69.27,-55.17,-48.82,-59.83,-40.92,-2.96,-11.08,13.66,-16.64,-8.06,8.86,2.62,-0.32,28.53,-30.95,-3.67,4.71,-9.04,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,36.01,-36.55,3462.38,3.46,-11.31,116.8,-98.16,-62.82,-74.02,-89.17,-64.72,-22.46,37.0,190.44,80.21,-5.39,-13.77,8.41,-19.05,-10.24,-7.15,-30.58,-18.88,-16.4,-12.73,-9.54,7.13,-87.16,-87.61,-100.0,-100.0,1917.28,1680.63,,,-12.09,-0.62,-4.85,-5.33,-22.53,-25.27,-35.44,-45.19,-43.37,-39.98,-27.43,-14.65,-0.2,272.56,416.95,377.84,423.6,26.95,-9.14,12.31,10.52,2.83,-7.72,-34.4,-13.87,-14.09,-43.68,-41.88,-60.43,-65.41,-45.8,-46.02,-37.13,-25.06
Pozostałe aktywa trwałe,,,,,-15.74,61.0,26.61,11.46,90.28,40.29,100.8,27.58,-29.38,-11.66,-42.3,-99.13,-10.13,11.04,48.68,1616.4,-65.99,-75.51,-79.93,107.8,-8.18,7.05,37.08,53.39,113.69,27.78,4.43,-16.32,-38.75,-40.6,-45.56,-58.14,-61.74,-34.29,-24.45,-45.72,-100.0,-81.21,-80.38,-71.11,,130.43,735.85,1870.07,1930.24,277.61,18.09,14.48,2.88,84.19,45.13,-0.55,136.4,-0.5,-0.37,-4.83,-71.57,-35.94,-43.18,-51.92,-30.79,29.65,46.95,56.58,28.93,-29.64,-18.61,-35.78,12.96
Aktywa obrotowe,,,,,-21.14,-24.68,-29.05,21.71,84.12,158.35,81.54,-11.45,-22.85,-24.26,1.39,-9.34,-20.45,-38.22,-47.65,-42.44,-23.5,-22.57,-17.24,-10.33,-22.36,-21.63,-0.22,-37.39,16.43,-17.98,-25.16,13.23,-2.94,16.5,39.61,22.95,39.55,9.04,-9.95,-7.76,-17.59,20.96,18.28,38.64,12.1,-11.51,22.88,-34.8,-30.15,2.62,-20.55,-22.18,-24.71,-41.82,-48.16,-43.64,-28.52,-22.94,-15.06,15.73,-1.73,-11.04,-12.87,-3.91,3.43,20.63,25.06,4.02,9.98,2.0,5.21,26.74,28.8
Zapasy,,,,,-24.01,-22.47,-36.32,51.32,117.87,243.65,130.94,31.11,-25.73,-57.79,-32.07,-40.3,-61.8,-47.53,-38.94,-52.61,-22.17,-23.64,-27.03,16.96,-19.94,-25.58,-4.21,1.82,23.09,49.72,14.54,-12.44,-11.51,-10.24,33.23,-15.68,-23.26,-26.01,-41.08,-20.48,97.32,98.46,29.22,97.14,59.31,19.68,81.16,9.0,-30.12,81.19,30.72,42.26,22.59,-98.63,-98.73,-99.32,-99.14,-65.17,-30.47,-9.22,-17.7,-12.26,-45.75,-87.59,-80.0,-73.16,-76.16,45.45,15.09,139.73,58.21,72.92,18.03
Należności krótkoterminowe,,,,,2.26,3.58,9.64,74.65,62.02,137.95,59.69,3.87,-17.13,-16.58,4.47,-21.01,-3.88,-31.22,-38.32,-46.73,-37.28,-29.83,-33.68,-14.45,-5.62,-22.49,16.82,-40.27,-21.65,-0.36,-20.22,47.59,18.23,14.8,46.83,43.4,61.93,27.52,3.6,0.17,-7.44,24.11,19.85,3.79,22.91,-15.81,-10.71,-40.54,-37.23,-24.09,-18.53,-42.56,-62.6,-24.76,-35.1,-5.47,24.84,-35.36,-32.36,-11.45,-5.53,-6.16,9.71,18.56,-9.92,10.95,-14.68,-9.32,-19.45,-33.35,-20.48,-17.68,5.44
Inwestycje krótkoterminowe,,,,,-81.24,-89.53,-91.32,-66.59,92.48,384.05,203.99,-9.41,65.92,5.7,43.65,58.16,-42.4,-27.15,-53.83,-18.26,98.47,44.38,155.05,-8.04,-55.55,-27.36,-38.65,-30.47,196.59,-55.13,-38.13,-37.1,-21.15,57.02,6.92,-38.26,22.27,-42.52,-65.91,-75.21,-53.06,-73.6,-48.69,1273.01,-56.25,-30.57,1472.85,-36.62,43.16,499.88,-67.43,-12.69,96.84,37.55,10.18,-46.69,-27.49,22.59,65.36,107.45,4.04,-20.15,-54.91,-35.54,21.98,42.88,209.22,39.16,39.31,62.03,37.65,103.01,42.27
Środki pieniężne i inne aktywa pieniężne,,,,,-50.82,-52.46,-66.93,-43.91,324.47,510.37,279.93,-14.14,69.54,10.64,63.31,72.74,-41.25,-26.47,-55.55,-18.27,108.42,48.81,176.04,-7.69,-56.24,-27.7,-39.27,-30.33,205.38,-56.12,-38.93,-40.75,-20.42,65.15,12.41,-33.38,22.32,-42.38,-65.78,-75.1,-53.03,-73.6,-48.69,1273.01,-56.25,-30.57,1472.85,-36.62,42.82,499.88,-67.57,-12.69,40.9,37.55,10.65,-46.69,1.54,22.59,65.36,107.45,4.01,-20.18,-54.94,-35.57,21.96,42.86,209.29,39.22,39.37,62.12,37.71,103.01,42.27
Pozostałe aktywa obrotowe,,,,,98.39,47.03,5.14,92.76,118.93,114.57,103.72,-96.73,-66.41,-48.58,-31.78,-100.0,-84.51,-90.44,-90.08,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,936.28,927.96,2.75,-56.21,-52.67,-62.95,-51.89,0.89,-11.18,2.55,18.25,3.2,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,
Aktywa razem,,,,,-14.55,-16.49,14.78,54.35,116.68,162.29,44.54,-11.96,-20.22,-21.01,-5.81,-12.16,-15.57,-26.44,-31.48,-31.09,-19.4,-19.84,-17.37,-8.07,-15.06,-13.34,0.14,-16.98,11.99,-5.53,-11.18,2.89,-3.9,4.7,13.79,8.24,18.1,3.28,-4.88,-5.12,-11.45,8.42,6.5,17.28,5.72,-7.76,11.41,-21.4,-18.71,-1.77,-15.07,-12.13,-13.77,-21.92,-26.65,-19.96,-8.57,-4.98,-1.68,8.59,-3.73,-7.66,-8.63,-5.83,-2.2,3.85,6.88,1.23,3.75,0.1,0.82,5.26,8.45
Kapitał własny akcjonariuszy jednostki dominującej,,,,,6.41,-4.54,49.82,41.08,34.32,75.49,-6.06,12.73,19.9,-0.23,18.24,8.58,2.17,-19.38,-22.36,-28.11,-29.34,-15.6,-18.39,-18.86,-10.64,-4.84,-0.97,-6.6,-6.07,-6.27,-4.34,5.09,4.44,5.51,6.5,6.56,5.41,3.84,2.61,-2.28,-2.58,-3.46,-4.53,-4.08,-5.17,-43.84,-44.89,-83.71,-81.2,-69.57,-73.09,-4.77,50.87,69.99,111.25,98.7,22.54,20.78,24.84,43.37,61.95,61.08,52.77,50.25,22.54,25.52,24.14,19.46,21.76,16.3,15.95,18.33,22.63
Kapitał (fundusz) podstawowy,,,,,0.31,0.49,10.67,10.71,10.74,38.17,25.45,25.41,34.95,7.66,7.66,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56,24.56,74.29,74.29,39.92,38.17,-1.26,-1.26,-1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-10.6,-10.6,-10.6,-10.6,-2.55,-6.64,-6.64,-30.11,-26.87,-22.01,-22.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.86,76.86,76.86,76.86,0.0,0.0,47.13,45.82,45.82,45.82,55.37,56.45,56.45,56.45,67.34,67.34,-10.89
Kapitał (fundusz) zapasowy,,,,,5.13,6.88,224.8,225.13,225.59,395.73,62.95,62.59,78.57,10.3,10.3,12.38,1.87,1.89,1.89,0.0,-1.58,0.0,0.0,-1.58,1.61,0.16,-1.43,0.16,-1.43,-1.58,0.0,0.0,0.0,-33.07,-33.07,-33.07,-33.07,2.98,2.98,2.98,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,-3.25,7.09,7.09,4.25,0.0,-9.66,-90.94,-91.06,-90.1,-90.1,-1.12,0.18,0.48,0.48,0.28,0.3,0.0,0.0,0.0,0.0,582.83
Udziały niekontrolujące,,,,,-18.38,-30.36,-37.28,2744.2,2677.85,-37.78,-28.59,-97.6,-97.54,15.05,14.48,5.01,6.07,-6.31,-34.52,-33.94,-36.71,-29.66,-1.49,5.87,9.85,7.38,8.3,7.52,8.01,5.39,4.92,1.31,-28.34,-28.56,-29.79,-29.64,-2.36,-1.04,-23.76,-24.17,-21.49,-20.61,4.65,5.07,-82.91,-81.91,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-87.71,8.1,-27.31,249.17,311.73,244.24,303.19,-27.48,-39.67,-36.4,-25.99,-55.25,-2.35,-10.38,-12.31,-52.73,-78.48,-83.72,-42.35,250.49,562.98,789.16,-16.8,-43.28,-38.51,73.92,390.86,358.34,160.51,-71.51,-78.17,-76.13,-16.14,162.99,253.85,228.5,-15.15,-3.06,5.66,25.38,-54.4,49.89,42.6,5.01,138.56,-31.51,149.93,94.75,105.58,-65.21,-90.02,-37.32,-15.49,550.73,495.96,20.06,-26.54,-84.63,-40.41,-47.65,-26.02,126.59,-40.31,-42.7,-41.74,-77.66,-33.01,-26.35,-38.84
Z tytułu dostaw i usług,,,,,18.33,-13.47,62.21,12.47,82.57,326.85,-27.69,-10.88,-49.9,-27.37,65.16,-7.04,-25.63,-63.64,-69.46,-47.03,0.82,21.18,18.41,13.74,14.36,-22.49,71.02,-30.52,46.95,7.59,-26.03,21.68,-4.71,24.98,54.31,24.29,33.91,6.24,-15.05,-22.45,-13.06,8.11,-6.1,26.87,-5.64,-13.13,18.22,-4.17,4.82,70.65,6.14,-16.84,-35.72,-24.06,-8.58,-28.17,-12.8,-49.48,-45.74,-17.83,-25.22,-46.19,-45.35,-47.07,-43.15,-3.91,-7.33,1.04,6.07,-9.9,-16.9,-18.1,4.78
Kredyty i pożyczki,,,,,6.74,1620.31,608.24,4985.52,2892.89,220.88,1750.32,23.83,17.67,-45.47,-70.98,-69.42,-70.79,-63.45,-27.64,-48.82,-38.67,-56.52,-73.38,-16.03,-100.0,-3.13,-6.57,-99.99,,-55.81,-76.82,279400.0,195.2,-50.13,-3.13,9.62,12.78,56.61,-7.48,656.95,14.3,797.11,1635.81,-41.0,115.11,-44.37,-2.18,117.42,502.24,94.31,-97.44,-80.61,-77.91,-4.18,3531.94,215.53,135.05,-70.27,-70.5,-47.99,-47.94,90.99,-100.0,-100.0,-100.0,-100.0,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,166.81,-89.35,-98.89,-16.47,799.8,1039.53,8522.0,-20.29,-25.95,-44.51,-26.58,1.78,13.44,21.55,-36.85,-20.48,8.84,-0.76,41.99,-12.23,-80.41,-77.47,-46.28,44.21,372.22,-97.99,-96.43,-99.53,-98.5,12487.66,3634.68,13438.18,4131.71,-98.88,-99.87,-98.75,-99.85,11.66,-9.43,-2.61,64361.29,8017.27,83247.92,8063.99,-0.67,-1.79,-98.3,-80.57,-85.24,-60.53,2181.5,69.89,123.66,-56.06,-56.66,-49.77,-47.32,-23.86,34.95,174.42,163.37,252.29,105.8,4.09,2.89,49.8,-99.47,-99.47,-99.47
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,-50.21,-51.13,-33.45,46.18,4.23,-5.37,5.18,-31.86,-24.5,-42.77,-55.57,-57.12,-42.03,4.58,-5.1,30.56,131.37,125.99,124.48,65.72,-5.04,361.3,12.75,24.58,63.96,-65.8,28.65,35.46,-64.86,-69.13,-87.34,-91.89,-92.53,-97.59,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,466.75,2.27,10.46,-4.55,-88.18,-41.34,-41.82,-29.41,-7.21,3.24,-2.6,-18.67
Inne zobowiązania długoterminowe,,,,,3.03,16.56,-22.08,250.29,320.97,273.67,314.75,-26.79,-39.29,-34.35,-24.43,-67.65,-3.2,-13.22,-9.32,-50.42,-83.78,-88.83,-88.56,32.04,45.44,157.23,88.52,-12.45,190.81,142.91,132.52,175.15,4.47,-27.84,-39.61,-24.06,-32.98,-44.31,-24.66,-25.68,-53.37,0.33,52.67,149.1,98.57,834.19,638.99,159.71,347.6,-20.71,44.13,-78.96,-74.37,-79.22,-86.96,159.11,117.96,169.65,171.18,-0.94,-77.88,-76.62,-72.94,-75.41,-0.2,-6.84,-37.24,-32.29,-25.58,-18.92,-18.26,-22.91,-18.81
