,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Pozostałe aktywa trwałe,,115.96,,,,139.06,259.55,-22.62,31.76,7.38,-58.62,-38.8,-51.22,-49.35,10.98,-2.99,4.53,5.45,36.17,63.35,46.16,45.54,3.83,-11.33,-21.39,-46.56,-69.6,-83.78,-95.16,329.42,618.32,1269.7,2308.0,-60.05,-66.64,714.23,1786.71,1746.58,2178.62,3.07,-9.98,-7.94,-10.55,-14.78,-13.36,-15.9,-13.75,-13.65,-84.85,-79.36,-78.62,-80.94,197.58,147.61,151.54,202.91,16.06,3.57,10.27,-35.97,12.22,15.78,-12.7,41.85,-1.39,-6.51,-6.36,-10.65,-26.4
Aktywa obrotowe,,183.44,,,,16.2,47.74,69.23,7.11,1.7,7.07,-11.75,13.43,13.64,-12.61,7.85,22.83,33.3,5.02,-20.37,-26.24,-29.44,-3.36,2.99,16.01,22.13,15.13,17.36,-4.2,3.26,-20.98,-18.67,14.04,4.46,75.26,25.64,23.15,14.13,-1.48,20.96,18.16,9.05,1.23,9.53,-3.06,1.5,6.51,-2.73,0.47,-9.66,-6.07,2.34,-5.32,5.19,3.97,-4.12,-9.6,-11.16,1.72,5.77,57.72,47.87,58.56,50.69,11.71,20.1,-4.78,-1.76,2.24
Zapasy,,42.56,,,,158.14,147.47,49.46,6.76,-4.26,-20.97,-44.1,-48.04,-57.06,-48.54,15.74,10.76,34.39,7.53,-11.96,-24.33,-8.32,-11.08,2.68,-4.88,-9.24,-22.37,-13.7,-12.4,-3.81,24.81,21.58,58.97,56.5,43.73,46.77,75.02,42.03,53.75,24.97,14.57,8.44,-4.22,-14.27,-24.08,1.35,12.95,41.79,57.86,22.25,55.63,13.11,19.13,12.2,-12.38,-19.48,-32.1,-27.21,-14.11,-0.26,11.8,2.63,-8.89,20.03,38.64,24.29,49.66,-0.48,-8.41
Należności krótkoterminowe,,75.0,,,,27.76,24.09,15.26,22.85,22.37,-42.29,-23.37,-40.13,-29.91,77.78,-37.89,39.27,6.82,5.42,38.4,-39.96,-29.99,-25.88,-14.43,39.08,56.76,14.48,22.32,12.02,110.57,62.56,-2.59,-8.35,-50.91,70.56,7.44,43.39,14.53,-57.24,18.26,6.95,3.28,-10.82,14.86,7.87,30.38,65.16,23.77,21.55,-6.64,9.58,16.4,15.77,37.83,-5.44,8.41,15.13,-1.27,36.26,24.35,-30.41,16.47,-42.08,-41.43,-16.56,-41.71,-32.48,-47.35,-30.9
Inwestycje krótkoterminowe,,3084.41,,,,-92.93,-63.97,469.0,-18.39,77.44,-21.96,-45.81,277.44,367.95,39.6,-17.14,7.86,45.16,76.81,-16.05,21.69,-26.64,65.03,53.95,42.06,76.3,65.14,104.48,-9.4,-39.2,-34.31,-3.26,78.57,157.35,110.45,8.96,-9.6,-8.26,15.78,13.37,24.76,10.79,12.69,52.77,14.42,-6.98,-16.35,-59.14,-41.83,-48.22,-74.23,-52.36,-60.39,-42.61,126.72,87.15,62.91,47.72,0.39,-3.38,186.53,223.29,333.54,373.97,30.84,48.19,-21.83,8.97,18.02
Środki pieniężne i inne aktywa pieniężne,,3084.41,,,,-92.93,-74.26,-59.97,-63.07,-49.59,-9.69,945.64,693.42,1547.1,134.6,-10.13,14.27,45.16,76.81,-16.05,21.69,-26.64,15.87,-16.25,14.24,70.0,125.06,245.41,2.23,-36.95,-79.89,-57.23,36.32,71.86,618.49,168.22,30.51,37.38,14.27,13.37,24.76,10.79,14.19,52.77,12.76,-9.87,-19.17,-62.49,-41.71,-52.35,-78.39,-61.43,-66.12,-35.64,179.8,151.79,92.14,47.72,-1.92,-3.38,185.32,44.12,226.95,179.1,-15.92,-5.48,-63.83,-62.75,-34.42
Pozostałe aktywa obrotowe,,832.35,,,,721.77,380.17,99.4,-24.1,-56.2,-61.4,-22.71,-46.62,-25.15,-47.94,-11.47,-14.0,-9.6,77.73,29.95,-41.78,6.74,-65.54,-77.97,-39.78,10.68,345.45,217.74,-24.11,-70.83,-82.03,-60.19,109.41,-7.14,48.47,64.23,95.79,520.24,556.18,112.75,101.43,41.12,-58.94,-59.57,-45.8,-36.77,78.6,72.81,3.81,-10.1,-11.31,2.5,16.58,-13.59,-39.97,-16.9,-34.96,60.08,45.81,-20.92,-50.75,-71.12,-65.75,-82.57,-72.88,120.98,79.54,368.79,185.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,0.0,38.32,38.32,38.32,-16.58,-46.01,-46.01,-46.01,-10.47,0.0,0.0,0.0,0.0,0.0,3.02,3.02,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,
Aktywa razem,,197.17,,,,64.17,77.61,83.72,35.9,18.48,-33.04,-41.86,-39.57,-42.5,-12.95,2.35,12.93,19.96,-0.15,-18.46,-23.17,-24.35,-6.62,-2.18,8.39,11.14,10.02,12.14,-7.26,3.38,3.24,4.77,36.63,20.38,54.26,42.61,39.89,35.14,12.65,14.02,18.83,13.69,8.35,14.03,4.4,8.1,11.21,6.52,8.69,18.39,20.28,22.93,17.04,7.38,3.3,-0.52,0.67,0.15,6.72,11.16,8.51,14.99,11.32,5.58,5.61,-1.69,-3.83,-1.54,-0.62
Kapitał własny akcjonariuszy jednostki dominującej,,387.34,,,,20.37,15.62,19.91,-33.82,-47.3,-119.61,-125.53,-181.14,-208.9,-182.87,302.57,213.69,204.03,220.94,11.07,8.36,10.69,-1.55,6.62,13.02,17.34,19.95,22.82,23.81,31.11,32.03,35.52,35.02,28.59,30.44,45.08,38.76,37.52,26.87,9.43,13.94,11.05,12.67,12.32,7.62,8.2,9.38,8.73,7.22,5.58,4.23,3.63,3.32,1.3,-5.29,-7.13,-15.21,-14.56,-4.61,-0.67,9.64,14.13,30.64,35.86,27.31,26.56,6.51,3.07,6.7
Kapitał (fundusz) podstawowy,,24.42,,,,0.0,0.0,0.0,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,38.34,38.34,131.76,131.76,67.53,67.53,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,-1.45,-1.45,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,-167.39,-217.98,-110.33,-75.93,-52.84,-35.35,-19.29,-37.16,-29.82,-27.98,-31.37,-20.12,-24.59,-24.44,-16.47,-8.86,-3.69,0.0,0.0,0.0,0.0,0.0,-1.08,-1.16,-1.16,-1.49,-1.97
Kapitał (fundusz) zapasowy,,1390.17,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-50.76,-51.79,-51.89,,153.88,159.31,159.86,78.32,-7.46,-7.39,-7.39,13.77,-44.0,-44.04,-44.04,-23.97,54.45,56.06,56.06,61.44,61.44,59.77,59.77,18.09,18.09,18.09,17.26,25.28,25.28,25.28,26.38,5.12,5.12,5.12,4.95,5.79,5.79,5.79,5.79,0.15,0.15,0.15,0.15,0.0,-8.57,-8.57,-8.57,-8.57,0.0,-4.67,-4.67,-0.27,-0.27,4.62
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.35,-6.86,16.46,40.21,8.65,11.78,100.0,100.0,100.0,100.0,,,,,,,
Zobowiązania długoterminowe,,-96.43,,,,14163.33,4568.79,3511.44,265.45,68.53,-98.82,-98.36,-98.53,-98.43,25.53,4498.81,3710.84,3578.23,2862.58,-26.43,-16.09,-14.8,-5.78,-9.88,-95.72,-97.14,-98.37,-99.14,-95.23,-24.61,44.8,229.8,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,130.79,2198.38,705.79,810.76,919.46,13.09,11.35,48.92,76.9,88.33,118.98,31.78,-59.15,-18.16,-79.29,-74.67,0.78,-49.32,76.96,78.3,-9.09
Z tytułu dostaw i usług,,51.08,,,,121.0,25.01,35.04,25.66,18.28,141.92,24.0,140.63,92.86,55.7,-60.33,-78.17,-90.05,-94.15,-61.81,-57.97,44.77,83.63,32.94,37.14,2.21,53.57,38.87,42.83,-32.95,-51.3,-65.57,-23.48,1.17,101.94,120.06,78.78,15.05,59.81,119.99,80.92,36.49,-4.0,26.4,-10.05,84.36,68.19,-9.48,15.8,-3.59,46.46,3.46,-6.44,11.15,36.99,107.71,95.16,116.66,10.81,30.1,139.12,148.51,40.13,16.14,-32.35,-50.73,-15.53,-28.9,-27.81
Kredyty i pożyczki,,-100.0,,,,,,601.89,945.39,1183.31,4890.25,274.14,193.59,88.42,-0.33,-81.58,-75.67,-75.61,-91.61,-51.09,-89.74,-91.46,-80.51,-64.59,903.28,1139.82,1352.62,638.85,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,699900.0,243.85,222.64,,-85.31,-66.29,-4.63,-98.25,-84.49,-93.35,-97.74,-6.13,-8.78
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-100.0,,,,,,,,,,,264.86,255.26,-48.67,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7605.49,39.01,-10.78,23.95,-72.68,-79.24,-76.42,-76.89,-48.8,-33.74,242.66,242.37,26.25,20.69,-75.6,-76.19,-55.03
Inne zobowiązania długoterminowe,,18.64,,,,636.67,23.6,23.59,28.05,17.71,-55.46,-52.19,-56.3,-56.62,25.53,418.44,16.45,15.06,43.82,-64.77,47.31,45.54,3.83,-11.33,-20.17,-46.56,-69.6,-83.78,-95.23,-24.61,44.8,229.8,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,130.79,2198.38,20.54,17.5,180.26,-65.19,105.47,108.94,-0.81,-1.05,19.68,36.93,18.8,-0.45,-4.29,-4.31,-7.05,10.93,10.83,10.84,-1.22
Zobowiązania krótkoterminowe,,50.48,,,,103.53,63.51,123.98,141.29,164.75,423.53,135.75,114.92,78.35,12.77,-74.11,-73.39,-71.14,-89.02,-52.16,-69.12,-71.94,-26.42,-19.85,172.57,185.54,166.7,138.81,-64.04,-49.57,-60.59,-64.07,47.73,-17.4,236.41,29.47,46.66,16.54,-27.97,56.67,46.58,38.03,-13.4,25.12,-12.66,3.47,14.13,-13.51,17.77,43.72,74.15,110.97,27.49,38.5,31.72,3.31,25.06,17.24,-0.54,35.12,51.1,39.94,23.31,-26.05,-36.28,-49.48,-41.51,-35.4,-26.86
Inne zobowiązania krótkoterminowe,,782.0,,,,34.3,86.05,89.45,79.64,52.78,30.66,63.6,-8.12,26.04,16.63,-60.02,-54.48,-9.28,-66.22,-42.93,-32.85,-75.07,-4.63,10.33,-1.24,27.51,-31.34,-23.09,-23.64,142.73,119.84,114.9,154.33,-23.05,283.18,4.91,32.19,17.13,-44.06,20.67,25.66,38.64,-18.32,23.8,-14.96,-27.82,-19.13,-17.78,18.65,9.16,23.11,166.47,-1.73,33.08,27.33,-49.33,-53.66,-29.38,-27.77,14.57,5.76,-73.61,-28.53,-85.55,-70.64,-4.28,-74.16,-23.59,10.79
Rozliczenia międzyokresowe,,,,,,-1.05,-14.94,60.0,-6.83,-94.82,-94.75,-29.63,-47.25,-22.16,-21.34,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,197.17,,,,64.17,77.61,83.72,35.9,18.48,-33.04,-41.86,-39.57,-42.5,-12.95,2.35,12.93,19.96,-0.15,-18.46,-23.17,-24.35,-6.62,-2.18,8.39,11.14,10.02,12.14,-7.26,3.38,3.24,4.77,36.63,20.38,54.26,42.61,39.89,35.14,12.65,14.02,18.83,13.69,8.35,14.03,4.4,8.1,11.21,6.52,8.69,18.39,20.28,22.93,17.04,7.38,3.3,-0.52,0.67,0.15,6.72,11.16,8.51,14.99,11.32,5.58,5.61,-1.69,-3.83,-1.54,-0.62
Przepływy pieniężne z działalności operacyjnej,,29.87,,,,594.28,-166.16,286.24,148.97,-241.87,121.52,-25.44,-88.15,94.63,-410.7,-69.49,735.46,-1229.57,-3.39,-202.55,154.42,15.39,112.75,-110.67,-5.3,21.45,424.92,29.53,16.05,-171.98,-35.4,200.83,18.59,25.94,174.17,-426.56,-17.93,60.99,13.8,21.67,41.07,-225.82,46.65,70.39,-15.48,-138.96,-45.4,-595.28,5.07,91.58,-90.21,65.0,10.47,45.99,2284.44,-23.18,-30.57,-316.72,-55.33,37.05,88.34,-107.08,134.58,-592.87,-67.97,90.37,-61.12,84.54,107.07
Amortyzacja,,76.0,,,,151.89,109.6,24.92,55.71,32.18,26.73,47.58,-24.87,-50.63,-54.26,-49.52,-29.3,-6.8,-6.84,-8.88,-10.88,-8.16,-13.54,-16.07,-15.64,-23.01,-18.16,-13.66,21.63,20.8,52.77,46.18,16.04,14.47,7.73,-4.1,15.44,4.93,-5.65,26.07,36.63,45.06,28.0,16.05,-16.65,-9.63,-1.35,-9.84,-13.5,365.81,401.37,381.81,546.61,3.06,-11.87,1.9,-37.76,-48.23,-46.0,-69.12,10.9,-6.14,-32.5,76.46,-79.41,-10.68,57.68,2.02,73.32
Przepływy pieniężne z działalności inwestycyjnej,,-420.29,,,,-131.35,-31.86,796.9,-563.25,59.7,103.19,-98.2,101.22,113.72,45.22,-39.64,-70.73,-77.04,2681.32,-32.21,89.1,-474.61,-119.93,4.97,-129.32,592.07,78.88,-355.33,587.28,-98.05,-2373.25,53.07,-268.09,1314.66,127.06,-352.35,-163.16,-180.44,-104.07,9.22,38.99,-28.41,-1394.41,-210.94,-232.26,-98.11,-28.19,19.01,4.93,-218.61,-88.31,41.5,14.36,103.71,63.28,-37.39,47.73,-482.12,-19.02,15.66,1385.83,-2320.5,1387.03,127.93,-99.6,7.42,-100.66,-1132.53,-3076.97
