,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Koszty finansowe,,,,,-53.55,272.77,-54.38,-29.67,-20.92,-57.49,159.32,-85.09,17.08,77.57,-0.98,220.73,-40.43,-41.49,-82.4,-91.25,-36.05,37.0,520.0,5147.83,303.19,-6.91,15.02,-71.91,-0.73,78.41,-149.34,525.96,35.22,-28.75,169.98,-21.54,-75.68,55.71,41.12,-84.2,255.76,0.87,142.27,450.57,159.85,20.93,176.47,101.45,-18.03,24.39,-56.5,67.23,-25.19,76.94,307.72,93.15,62.87,133.18,-54.43,33.03,42.06
Pozostałe przychody (koszty),,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,,,,,100.0,,,,,,,,98.15,,40.0,-100.0,400.0,16.67
Zysk z działalności gospodarczej,,,,,-40.88,-27.54,122.08,-8.42,42.98,8.41,-0.27,34.83,3.43,-0.32,-24.53,-19.87,-24.92,-21.42,-18.45,-17.95,-22.82,6.34,24.58,16.67,26.4,32.28,21.61,-3.94,0.65,-1.28,-12.46,60.45,27.0,34.53,6.38,-7.63,8.98,4.96,59.86,2.5,51.93,25.74,37.68,51.79,30.97,38.71,26.3,21.03,43.61,22.99,26.63,51.98,24.25,80.6,31.05,-20.9,15.21,-21.63,22.44,23.58,-0.04
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-40.88,-27.54,122.08,-8.42,42.98,8.41,-0.27,34.83,3.43,-0.32,-24.53,-19.87,-24.92,-21.42,-18.45,-17.95,-22.82,6.34,24.58,16.67,26.4,32.28,21.61,-3.94,0.65,-1.28,-12.46,60.45,27.0,34.53,6.38,-7.63,8.98,4.96,59.86,2.5,51.93,25.74,37.68,51.79,30.97,38.71,26.3,21.03,43.61,22.99,26.63,51.98,24.25,80.6,31.05,-20.9,15.21,-21.63,22.44,23.58,-0.04
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-40.74,-31.33,135.44,-9.71,48.88,13.16,0.44,45.78,14.71,-11.26,-17.16,-18.18,-43.73,-24.83,-21.22,-18.73,-10.03,23.74,6.52,12.7,15.57,28.1,37.4,-19.18,0.53,4.64,-13.76,83.01,24.58,27.51,2.24,-10.55,10.88,-0.14,64.04,10.59,62.79,17.5,37.9,47.0,28.98,50.94,25.57,19.62,38.04,25.37,22.42,39.58,23.79,93.21,31.73,-23.31,16.87,-26.57,23.55,29.66,2.93
Zysk netto akcjonariuszy jednostki dominującej,,,,,-3.21,-16.45,171.9,-5.19,48.23,12.61,1.45,45.64,4.89,-0.47,-17.31,-18.45,-38.56,-32.94,-21.45,-18.74,-10.16,23.54,7.26,12.49,15.88,27.87,37.63,-18.9,0.25,4.96,-14.14,81.96,23.72,26.38,1.23,-10.47,10.75,0.01,64.46,10.3,61.43,15.08,38.94,45.21,30.64,51.28,24.57,19.68,34.67,23.14,19.97,38.21,23.36,96.62,30.13,-27.08,16.34,-27.9,26.42,31.26,3.29
Aktywa trwałe,,,,,-15.46,-2.5,26.3,8.18,18.36,12.87,6.71,10.97,-0.02,2.79,-2.92,-3.52,8.35,10.06,3.49,4.3,4.99,3.89,7.1,8.61,1.22,0.9,1.4,0.32,4.76,6.38,3.64,4.56,-1.22,-1.32,3.25,-1.93,2.25,2.74,-3.46,-0.47,13.17,11.46,28.55,24.53,15.51,11.09,0.72,5.07,0.2,-1.32,4.73,14.37,14.12,30.01,25.81,12.5,13.0,-3.92,-2.22,10.32,9.66
Wartości niematerialne i prawne,,,,,-15.25,-1.86,27.95,7.34,17.06,11.59,5.92,10.19,-0.33,2.28,-3.5,-3.99,7.89,9.36,1.94,2.07,-0.99,-2.67,0.98,2.23,-1.76,-1.52,-1.47,-2.44,1.41,3.74,1.09,2.42,-2.73,-5.79,-1.89,-7.93,-3.19,-0.6,-5.33,-0.28,4.04,0.48,15.6,12.57,14.42,13.45,3.68,8.08,4.5,2.86,10.69,24.4,21.77,40.87,32.71,14.63,14.28,-5.3,-3.16,12.09,11.56
Rzeczowe składniki majątku trwałego,,,,,-23.91,-21.13,-4.77,46.33,76.88,66.9,47.74,21.93,5.29,16.62,3.36,0.41,10.96,24.25,39.03,67.03,157.8,137.99,129.78,104.89,29.65,22.83,25.11,23.66,22.87,24.73,20.82,18.28,15.09,24.5,32.75,29.17,29.92,17.33,3.37,-2.48,4.93,46.23,71.02,64.82,59.42,5.03,-7.8,-6.24,-11.32,-13.04,-11.62,-9.21,-8.5,-2.93,-1.5,-0.81,2.71,-1.48,2.33,2.37,2.23
Należności długoterminowe,,,,,,,-91.31,,,,58.45,181.88,97.89,109.63,31.11,-20.0,-31.12,-18.11,214.58,-10.71,32.43,7.48,-17.24,252.0,205.54,109.86,-8.72,-42.52,-18.42,-46.55,-46.08,-36.57,-66.43,52.2,32.8,-10.39,6.27,-55.69,-56.18,-46.09,198.03,244.44,118.18,289.25,-18.59,-13.9,92.29,13.4,5.81,0.0,-28.28,-22.78,-12.39,-18.99,1270.69,1143.85,1046.65,1089.31,-4.14,-7.76,-8.44
Inwestycje długoterminowe,,,,,-26.03,-18.35,15.42,49.05,80.51,67.3,42.19,-5.62,-19.49,-23.08,-34.62,-23.67,-15.4,-10.9,-12.35,36.95,158.42,155.75,179.58,102.31,-6.98,1.62,-12.96,-20.74,182.93,-4.67,-3.19,-44.1,-87.53,-49.61,-59.63,-23.37,-4.06,11.42,-19.86,31.39,547.88,238.62,563.14,295.64,-5.21,5.57,3.3,9.46,-81.83,-82.0,-80.5,-89.24,87.33,93.32,81.45,379.68,56.69,15.84,-5.4,-7.63,-9.08
Pozostałe aktywa trwałe,,,,,-7.0,-7.25,19.93,-40.19,-29.16,-18.72,-41.9,156.72,35.99,13.42,103.77,56.25,92.19,44.31,13.45,-26.6,-43.08,-12.25,-58.57,-28.59,-11.15,-30.73,30.6,-16.35,4.0,30.2,9.75,37.44,25.88,30.45,8.24,20.73,2.67,6.35,37.93,37.85,1472.38,100.71,92.19,77.01,-82.04,19.4,21.65,78.17,44.68,48.46,41.72,-25.72,-12.0,2.02,3.43,2.73,18.98,-3.63,-1.46,18.57,4.6
Aktywa obrotowe,,,,,33.45,14.11,-21.23,3.39,1.11,-0.53,22.05,16.54,20.67,25.4,-8.53,-15.92,-12.08,-12.81,-15.5,-2.87,-10.23,-11.42,8.19,10.79,6.19,4.67,11.03,-0.08,7.8,15.91,10.85,29.07,11.12,-1.44,-7.09,-5.19,10.36,13.29,27.9,25.8,32.21,33.57,47.23,29.36,19.97,18.65,2.46,19.59,23.76,15.89,18.24,3.36,13.26,28.49,41.45,40.38,33.71,11.37,14.7,17.0,-0.47
Zapasy,,,,,-32.19,-37.92,-17.07,-45.03,-29.15,15.14,10.07,-5.57,36.07,59.09,55.88,24.86,2.87,-7.34,-6.45,8.35,-5.86,-14.16,-14.49,-7.66,14.94,4.23,19.49,-5.1,-4.51,39.99,28.54,51.39,-3.3,-35.03,-30.51,5.61,37.49,19.94,19.25,-31.41,20.36,51.71,42.01,118.83,-12.88,-23.01,-23.52,-25.0,27.94,18.57,24.18,31.04,33.62,80.73,125.81,55.96,60.1,23.08,51.51,71.57,2.97
Należności krótkoterminowe,,,,,6.27,34.32,56.4,31.24,14.24,4.3,9.4,19.54,21.69,17.24,-10.57,-18.5,-6.6,8.93,-7.42,27.46,8.5,-5.96,14.68,-9.97,-13.03,-6.6,-9.88,-9.94,15.99,8.36,19.09,38.02,0.1,4.03,-10.65,-4.62,8.87,16.38,20.85,18.08,17.8,13.7,50.48,23.44,43.51,31.69,-3.78,24.96,4.57,-4.58,9.6,7.23,29.8,52.58,70.23,49.81,35.69,13.38,15.48,20.66,12.25
Inwestycje krótkoterminowe,,,,,108.86,11.15,-58.02,-3.03,-2.17,-6.34,45.9,15.4,17.39,26.55,-18.53,-19.21,-19.94,-32.4,-29.53,-36.04,-33.6,-21.11,1.8,50.09,29.18,22.48,51.58,13.28,4.22,18.72,-5.44,18.16,27.74,1.47,7.08,-5.0,9.08,7.91,41.14,44.76,20.27,26.75,29.3,18.73,24.65,40.28,18.1,24.39,45.04,32.52,26.07,-7.2,0.74,2.24,7.6,29.08,21.25,12.18,3.75,5.34,-14.81
Środki pieniężne i inne aktywa pieniężne,,,,,117.4,12.01,-58.51,-3.42,-2.22,-6.48,33.04,2.22,14.63,10.66,-24.98,-28.16,-43.16,-43.34,-16.01,-20.26,-9.6,2.6,0.66,50.48,29.58,12.31,36.59,13.6,7.6,20.33,1.32,18.27,19.27,15.14,13.09,-3.21,18.94,7.06,33.82,42.5,18.7,27.69,34.38,21.09,27.59,40.5,20.3,24.72,42.54,32.42,25.96,-7.24,1.22,2.23,7.59,29.02,23.07,9.62,3.54,5.06,-15.16
Pozostałe aktywa obrotowe,,,,,-8.38,-20.32,44.82,1.29,50.5,59.26,19.58,44.64,26.15,45.16,17.66,13.39,-1.12,-12.32,-14.35,-11.58,32.12,21.93,41.11,108.95,49.89,9.95,4.26,-0.79,-6.24,21.52,22.8,17.54,14.92,3.12,-6.74,-30.13,-3.97,17.68,12.07,51.93,258.14,235.81,187.44,109.6,-32.74,-52.29,-5.19,7.99,20.49,53.47,19.07,29.24,-7.38,39.38,19.66,29.77,69.52,-16.94,8.19,-1.88,-5.81
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,-4.49,2.43,8.79,6.66,12.95,8.44,10.8,12.68,5.78,9.65,-4.57,-7.45,1.81,2.12,-1.86,2.23,0.78,-0.64,7.37,9.2,2.44,1.9,3.76,0.2,5.54,8.96,5.53,11.34,2.0,-1.35,0.41,-2.97,4.56,5.78,4.51,7.76,18.87,18.29,34.36,26.29,17.0,13.73,1.31,10.51,8.25,4.94,9.39,9.9,13.79,29.4,31.64,23.13,21.06,2.18,4.56,13.22,5.31
Kapitał własny akcjonariuszy jednostki dominującej,,,,,69.56,496.0,6.06,3.24,12.61,7.67,18.58,18.17,6.88,6.8,-5.08,-5.83,4.28,1.28,-0.53,-2.47,-5.06,-2.83,1.03,4.74,-2.01,1.73,2.97,1.52,5.33,7.2,3.86,5.93,0.83,-1.31,2.83,-1.71,6.88,5.51,1.14,6.37,5.01,2.0,9.96,4.55,12.99,10.12,7.47,14.09,9.71,9.55,12.27,6.25,6.43,13.38,14.13,14.79,13.65,1.08,3.02,0.47,-0.38
Kapitał (fundusz) podstawowy,,,,,92.32,92.32,5.54,6.15,2.89,4.71,4.71,1.77,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,85.51,44.92,3.79,3.79,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,-100.98,-99.98,-96.89,-100.0,100.0,-100.0,-100.0,,,,,,,,-10.92,-5.52,7.74,-7.98,-20.65,-5.26,-16.17,-4.67,-100.0,-100.0,-100.0,2413.29,,,,-62.44,-29.39,-28.87,-39.66,4.22,1.96,5.85,50.11,23.81,29.72,23.26,-2.68,9.59,9.13,19.94,84.22,83.03,76.44,68.98,6.79,5.81,114.55,104.84,121.16,115.47,-5.47,-8.28,-5.18
Zobowiązania długoterminowe,,,,,-95.77,-95.15,161.0,-35.43,-58.37,-62.63,-63.96,-13.73,28.54,20.91,19.59,-2.88,11.24,23.97,66.16,111.6,390.69,317.19,224.89,114.87,-20.54,-11.38,-13.02,10.67,-7.29,-3.44,-6.17,-0.33,7.35,6.37,5.3,0.47,9.88,13.08,-12.35,-24.89,240.84,272.1,457.13,461.01,35.96,12.76,-15.11,-8.57,-34.48,-36.14,-22.93,25.21,77.8,118.28,88.15,30.23,18.03,-11.58,-1.76,49.86,54.86
Z tytułu dostaw i usług,,,,,23.55,60.21,32.62,9.59,-15.62,11.57,9.95,2.36,24.92,32.96,-3.8,-15.69,-4.98,-3.94,4.65,64.15,14.57,4.73,12.76,6.42,20.29,-0.93,44.26,-15.49,3.36,22.52,12.15,46.11,16.06,-12.18,-44.96,-16.15,5.44,-16.4,67.01,36.08,61.03,86.52,80.65,40.34,65.75,65.39,33.5,69.05,19.76,-43.15,-35.18,-1.49,20.05,177.68,255.04,48.69,50.95,8.95,13.3,36.84,-11.46
Kredyty i pożyczki,,,,,35.68,-15.38,-85.4,-35.6,-52.24,-49.76,43.3,-72.89,-79.36,-60.1,-52.3,-17.12,3.95,57.52,590.91,1191.21,2518.67,1614.58,436.31,249.24,147.78,42.72,37.81,-7.12,17.82,23.57,37.58,11.27,-18.61,-19.03,-10.03,-0.35,22.79,69.38,40.36,35.78,9.89,-1.97,66.21,61.31,66.52,25.18,-33.35,-39.4,-36.68,-46.43,-34.98,53.11,56.47,203.32,158.76,43.98,46.11,-2.98,-9.77,-22.34,-26.42
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-66.68,-70.97,7.83,127.83,150.8,115.45,-93.87,-89.9,-91.55,20.0,10.73,-6.89,-82.51,108.31,-86.8,5.02,788.09,-55.64,537.57,9.7,995.59,24.07,-58.38,-67.02,-1.36,-2.71,3.01,59.73,14.6,14.34,0.65,-16.69,-96.07,8.33,-3.01,-16.93,1239.92,66.94,4986.14,3856.82,112.69,54.69,-24.25,22.51,113.44,44.9,191.58,60.85,31.17,44.87,-23.91,26.07,-2.22,5.53,4.53,-5.8,-21.51
Inne zobowiązania długoterminowe,,,,,-4.16,-69.76,33.74,466.67,49.25,31.89,-12.21,59.01,70.19,55.72,48.98,18.78,36.4,5.51,10.98,-11.73,-20.09,-1.13,-16.22,1.9,-1.89,-23.77,-22.34,-45.12,-37.75,-6.71,-14.92,60.54,74.26,49.05,42.99,25.37,-19.78,-0.57,-32.89,-24.27,45.4,22.02,80.79,0.89,-3.61,3.18,3.45,135.37,191.81,140.41,360.38,-9.75,-45.03,-17.94,-54.06,27.69,14.62,-18.04,-16.69,-21.34,42.02
Zobowiązania krótkoterminowe,,,,,-6.99,0.72,21.91,32.75,26.1,23.55,-18.95,-12.22,-2.68,25.52,-2.27,-18.36,-17.09,5.22,-15.97,30.16,20.79,-5.73,32.1,22.88,43.04,5.53,14.47,-7.88,9.21,16.98,16.37,40.67,5.16,-1.38,-12.72,-8.21,-6.41,5.79,29.31,19.34,46.97,44.41,81.99,60.89,23.43,25.06,-8.34,8.93,24.54,8.56,14.08,13.98,18.92,51.8,71.32,39.76,41.36,8.21,10.32,26.64,1.2
Inne zobowiązania krótkoterminowe,,,,,3.67,22.38,39.72,35.59,40.7,20.03,20.56,6.79,14.53,24.34,-1.52,-20.19,-21.29,-19.61,-24.88,0.98,3.95,1.22,18.66,13.1,-0.55,-4.16,-4.24,0.75,14.83,18.35,12.92,45.92,4.3,9.47,12.0,-4.13,14.31,3.57,11.17,4.6,32.72,31.5,30.69,44.1,-37.75,-23.8,-22.24,-26.04,37.32,96.7,25.44,12.07,-6.78,-32.45,16.91,31.2,64.22,18.49,18.08,48.2,60.27
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,-4.49,2.43,8.79,6.66,12.95,8.44,10.8,12.68,5.78,9.65,-4.57,-7.45,1.81,2.12,-1.86,2.23,0.78,-0.64,7.37,9.2,2.44,1.9,3.76,0.2,5.54,8.96,5.53,11.34,2.0,-1.35,0.41,-2.97,4.56,5.78,4.51,7.76,18.87,18.29,34.36,26.29,17.0,13.73,1.31,10.51,8.25,4.94,9.39,9.9,13.79,29.4,31.64,23.13,21.06,2.18,4.56,13.22,5.31
Przepływy pieniężne z działalności operacyjnej,,,,,-85.7,43.92,-88.15,177.24,561.48,-20.2,-129.05,-35.95,115.85,84.77,-227.35,-7.79,-76.57,-90.43,555.89,-8.08,62.03,929.81,-26.36,62.95,-102.29,-11.71,210.58,-24.46,-11539.24,46.88,-75.41,109.41,133.02,-36.33,152.08,-9.31,97.4,-95.03,200.34,10.95,-7.69,1538.74,-30.48,63.58,-144.0,318.9,53.48,-8.5,1260.89,-12.38,19.21,-3.69,14.55,-29.58,39.49,-9.15,34.75,8.5,-38.5,105.99,-110.15
Amortyzacja,,,,,34.77,39.82,28.41,78.65,32.0,32.8,40.11,33.64,24.19,25.37,20.6,24.28,33.18,33.14,30.4,20.74,41.25,62.26,79.26,75.7,49.35,28.19,25.53,27.98,25.68,26.04,20.68,20.09,8.71,7.11,9.85,10.28,14.44,16.85,11.17,7.72,36.85,40.66,54.41,43.46,29.35,21.5,10.15,11.7,-2.68,-1.32,-0.19,3.33,12.61,18.02,27.6,23.15,7.56,-6.46,-6.21,-12.38,4.69
Przepływy pieniężne z działalności inwestycyjnej,,,,,77.2,80.82,-1605.63,90.66,-876.45,-175.14,75.7,-103.48,186.37,-701.42,-192.9,-37.2,-279.44,78.45,159.63,-73.36,-101.28,-208.86,-155.23,53.65,57.38,-22.66,-14.57,60.93,9.97,-1.33,81.67,-133.51,-68.46,58.16,-848.76,-116.91,56.43,-112.51,14.0,73.13,-302.06,-18.02,-33.68,-483.78,52.69,25.76,30.85,67.64,-37.98,43.01,-254.14,-717.92,20.9,-269.61,38.98,75.21,-11.01,52.83,41.85,-202.02,16.73
CAPEX (niematerialne i rzeczowe),,,,,-25.03,-43.33,-5.02,59.46,108.94,43.88,61.61,-20.47,59.45,169.5,29.61,847.26,32.07,57.97,71.21,-34.01,289.55,36.31,75.13,-84.74,-58.98,-45.75,-20.6,427.25,-46.95,4.76,11.82,-64.21,87.65,103.86,86.51,245.56,-25.2,-15.71,-46.17,-60.08,121.81,37.19,9.43,6.09,-47.2,-45.57,-26.14,-12.7,129.05,24.6,-148.13,48.21,-37.46,19.98,477.48,29.75,31.82,-27.54,-23.57,40.36,-10.5
Przepływy pieniężne z działalności finansowej,,,,,-257.16,65.53,-111.19,78.75,58.95,57.14,-62.02,58.95,42.87,100.0,-17.53,97.4,-287.32,,22.67,-113907.69,1211.7,-107.53,16.75,144.05,-106.52,-1502.1,-54.03,-66.64,-260.1,-0.17,5.93,-307.02,-11.41,71.98,-12.2,149.68,100.63,1133.28,-51.95,-271.96,-19279.41,19.91,44.45,-144.68,-137.29,-268.42,-225.8,-61.54,13.24,-25.53,1.41,114.0,104.95,149.33,-57.45,-29.85,-1660.9,-357.87,-4.6,-891.24,-208.54
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,-64.04,,,,143.18,,,,40.91,,,,125.0,,,,-60.49,,,,25.0,,,,5.01,,,,14.28,,,,8.33,,,,0.0,,,,42.31,,,,35.14,,,,28.0,100.0,,,14.06,,
Przepływy pieniężne razem,,,,,-205.8,265.88,-140.45,184.82,-110.43,-23.32,42.9,-54.16,430.15,-76.77,-86.58,-32.38,-178.71,-113.86,127.34,-230.23,91.35,3371.79,-195.0,321.8,-1047.97,-97.26,78.87,-19.95,-94.89,3950.0,-384.35,72.93,21.27,13.98,-64.81,-24.49,94.24,-168.17,116.94,47.69,-2643.83,178.12,-189.51,8.57,-6.33,523.21,-398.27,17.45,87.86,-16.43,-158.39,-104.44,579.29,-32.89,32.88,2106.33,-7.78,-71.77,-87.16,43.69,-397.01
