,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Koszty finansowe,,50.0,,,,-91.67,-100.0,109.09,-82.35,400.0,,600.0,83.33,-80.0,166.67,-150.0,-100.0,2100.0,-183.33,385.71,,-100.0,180.0,-95.0,87.5,,-100.0,-100.0,-93.33,,,,-200.0,-97.3,150.0,100.0,200.0,2400.0,-200.0,,1600.0,-100.0,200.0,100.0,-94.12,,700.0,,1300.0,-100.0,-100.0,100.0,-100.0,,,,,,-91.67,-100.0,41.67,,400.0,,35.29
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,111.32,,,,-521.73,-146.07,-273.4,65.26,91.18,25.25,106.25,110.0,213.6,114.04,1663.64,290.91,18.31,-59.38,-80.93,-24.81,151.19,492.31,113.51,-34.02,-79.38,92.21,42.41,562.5,-281.61,6.76,44.89,-84.2,372.15,131.01,55.52,1017.91,22.79,80.27,18.93,-52.6,-49.62,-26.9,-31.01,45.07,184.59,22.45,54.09,39.03,-12.02,-34.97,8.89,-12.29,32.28,189.56,212.03,307.64,162.54,52.66,-5.33,19.65,14.53,106.91,-8.0,-36.3
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,111.32,,,,-521.73,-146.07,-273.4,65.26,91.18,25.25,106.25,110.0,213.6,114.04,1663.64,290.91,18.31,-59.38,-80.93,-24.81,151.19,492.31,113.51,-34.02,-79.38,92.21,42.41,562.5,-281.61,6.76,44.89,-84.2,372.15,131.01,55.52,1017.91,22.79,80.27,18.93,-52.6,-49.62,-26.9,-31.01,45.07,184.59,22.45,54.09,39.03,-12.02,-34.97,8.89,-12.29,32.28,189.56,212.03,307.64,162.54,52.66,-5.33,19.65,14.53,106.91,-8.0,-36.3
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,73.33,,,,-595.45,-178.04,-335.76,57.47,91.18,40.95,105.9,106.67,230.4,111.91,1590.48,550.0,14.72,-21.43,-78.87,-9.09,120.32,186.36,94.67,-49.23,-80.58,125.4,51.37,536.36,-281.25,1.41,20.81,-91.43,328.28,106.25,54.68,1577.78,32.02,73.74,17.19,-52.98,-50.57,-33.33,-22.31,45.42,179.63,33.43,42.82,30.99,-12.09,-37.47,1.86,-8.69,32.02,215.68,219.93,289.47,184.31,49.23,-5.6,28.07,6.52,107.77,-8.29,-36.77
Zysk netto akcjonariuszy jednostki dominującej,,73.33,,,,-595.45,-178.04,-335.76,57.47,91.18,40.95,105.9,106.67,230.4,111.91,1590.48,550.0,14.72,-21.43,-78.87,-9.09,120.32,186.36,94.67,-49.23,-80.58,125.4,51.37,536.36,-281.25,1.41,20.81,-91.43,328.28,106.25,54.68,1577.78,32.02,73.74,17.19,-52.98,-50.57,-33.33,-22.31,45.42,179.63,33.43,42.82,30.99,-12.09,-37.47,1.86,-8.69,32.02,215.68,219.93,289.47,184.31,49.23,-5.6,28.07,6.52,107.77,-8.29,-36.77
Aktywa trwałe,,10.83,,,,40.35,-7.25,-27.23,-32.75,-27.14,-29.49,-23.85,33.84,54.41,113.85,116.67,38.81,42.54,16.06,18.7,2.09,-9.69,-1.79,8.49,15.91,34.28,21.36,22.97,29.41,14.88,25.47,1.34,-14.92,-18.47,-20.07,-6.36,1.42,7.06,-6.35,-3.27,6.06,15.57,19.44,21.81,5.46,-3.25,1.42,-14.16,-3.3,18.26,18.85,36.74,44.97,39.61,47.99,31.4,4.59,8.58,64.76,116.56,399.04,377.66,171.34,114.76,13.61
Wartości niematerialne i prawne,,0.0,,,,1575.0,47.37,-37.14,-11.59,-31.34,-41.07,4.55,244.26,313.04,490.91,400.0,16.67,21.05,10.26,-14.35,-13.47,-16.09,-18.14,-17.77,-31.6,-20.21,-22.16,-22.22,342.76,292.21,345.99,346.83,-19.47,-20.86,-27.82,-9.41,-8.7,-9.0,-9.98,-29.41,-64.83,-33.56,-33.0,-32.5,32.53,-31.49,-34.21,-37.45,-40.91,-42.93,-43.43,-43.42,-43.08,-24.78,-27.27,-32.56,-36.49,-44.71,-51.39,-60.34,-31.91,-34.04,-20.0,4.35,3.12
Rzeczowe składniki majątku trwałego,,2.86,,,,77.78,9.69,-13.71,-25.06,-31.25,-33.62,-30.79,0.33,25.38,127.04,126.32,76.8,78.55,10.59,24.74,3.88,-12.52,-14.02,-5.76,7.47,23.98,11.33,17.99,-1.16,-13.26,15.0,-14.48,-12.9,-18.35,-16.3,-11.94,-3.65,5.29,-20.22,18.02,27.15,25.94,29.3,29.5,15.38,21.26,27.52,-10.33,-8.71,22.74,15.51,43.72,70.49,49.0,48.6,16.86,-5.94,-4.57,16.76,22.16,22.12,2.83,-12.67,-18.43,-18.57
Należności długoterminowe,,0.0,,,,1250.0,86.21,131.03,-7.41,-7.41,-7.41,-25.37,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,-30.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,92.0,92.0,0.0,0.0,8.33,8.33,8.33,8.33,163.46,155.77,155.77
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,581.27,256.36,20.33
Pozostałe aktywa trwałe,,23.24,,,,-68.57,-69.09,-75.42,-70.0,-12.73,-11.76,-2.27,14.58,22.92,6.67,18.6,38.18,30.51,100.0,111.76,6.58,-1.3,83.33,111.11,203.7,253.95,96.59,69.74,-77.24,-75.46,-82.66,-84.24,8.93,-4.55,10.0,70.49,131.15,126.98,128.79,23.08,169.5,141.96,122.52,139.06,-22.63,-22.54,-8.93,-4.58,38.1,52.99,63.73,65.41,28.08,33.66,59.68,68.94,34.04,49.64,19.5,13.48,22.96,0.85,-0.94,-1.4,-0.7
Aktywa obrotowe,,21.69,,,,99.5,-28.2,-51.46,-47.19,-37.95,-37.35,-10.17,-14.32,-6.14,-3.66,6.15,18.19,22.34,13.17,5.97,5.26,8.05,10.23,6.01,2.56,-5.13,1.31,-2.55,9.3,7.77,-6.2,9.76,-1.87,6.97,25.6,22.92,37.42,33.17,33.71,28.64,19.57,8.44,9.92,7.19,8.03,17.61,15.96,18.25,18.98,14.04,16.47,14.66,12.0,16.55,25.32,34.89,40.1,34.68,12.37,0.46,-29.19,-35.02,-17.76,-20.97,-5.23
Zapasy,,-100.0,,,,,,,-100.0,-100.0,-100.0,55.56,,,,1085.71,-3.33,101.57,226.23,30.72,-79.31,-76.95,-67.84,-70.05,520.83,11.86,15.62,-98.46,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,90.82,,,,-41.12,85.34,-58.39,-74.71,-59.13,-83.63,-24.53,1.69,42.89,49.38,10.84,41.49,10.58,-12.5,6.35,19.06,25.88,-9.68,-20.97,-43.47,-22.46,62.92,20.0,138.78,39.34,-21.47,42.35,-42.43,-13.55,21.98,34.77,111.09,4.19,32.43,-11.35,-0.08,21.7,-9.1,22.3,-2.03,48.96,34.14,28.54,41.95,17.73,48.47,31.55,12.91,19.85,19.45,22.82,27.18,45.6,18.68,29.25,41.84,15.26,22.13,30.55,20.8
Inwestycje krótkoterminowe,,-60.02,,,,760.7,-50.86,-50.57,-39.71,-35.55,-3.99,-7.26,-20.53,-19.32,-13.38,-6.81,8.36,13.89,-2.11,-5.67,17.39,29.2,44.99,42.71,8.46,-1.58,-6.91,-3.63,-0.45,2.87,-2.7,4.46,7.22,12.29,26.26,18.83,28.45,34.27,31.35,36.04,20.73,6.87,14.31,5.46,9.32,14.02,14.27,17.16,17.45,15.29,13.26,14.65,12.74,16.46,26.96,37.62,43.61,32.07,10.69,-5.15,-42.2,-46.64,-26.7,-34.27,-17.31
Środki pieniężne i inne aktywa pieniężne,,-60.02,,,,760.7,-50.86,-50.57,-39.71,-35.55,-3.99,-7.26,-20.53,-19.32,-13.38,-6.81,8.36,13.89,-2.11,-5.67,17.39,29.2,36.84,39.36,-48.59,-51.19,-63.45,-50.75,-0.95,29.7,52.61,-24.25,-29.72,-67.29,-63.54,11.43,155.31,363.87,423.26,178.04,32.3,2.94,13.16,-14.1,-17.53,9.98,49.16,88.13,98.75,57.92,-16.07,-32.77,-11.02,-0.09,26.37,92.64,111.7,35.18,-5.76,-49.09,-68.79,-63.51,-57.98,-70.89,-35.85
Pozostałe aktywa obrotowe,,333.88,,,,-80.1,-48.62,-40.06,-40.82,8.13,35.38,-18.59,23.45,60.62,18.75,180.86,145.81,86.5,271.29,80.88,-89.55,-87.15,-92.65,-92.35,21.74,-21.84,19.3,-3.17,8.93,108.82,88.24,68.85,70.49,-23.94,25.0,103.88,-2.88,205.56,116.87,56.19,208.91,6.06,-11.24,-0.91,20.83,-2.0,-4.55,5.23,-27.85,-33.24,-42.86,-62.57,-19.85,-6.11,2.38,10.94,-6.42,57.67,43.02,41.55,15.2,-8.26,3.66,18.41,25.96
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,20.51,,,,93.6,-27.06,-50.0,-46.14,-37.17,-36.8,-11.37,-9.95,-1.07,5.4,14.53,20.97,24.98,13.62,7.8,4.77,5.4,8.31,6.41,4.57,-0.09,4.22,1.56,12.66,8.99,-0.85,8.12,-4.38,2.36,15.84,17.57,31.27,29.41,27.81,24.0,17.79,9.29,10.95,8.85,7.73,14.98,14.27,14.13,16.39,14.49,16.72,16.77,15.18,19.08,27.7,34.5,35.78,31.32,18.75,13.15,10.92,8.87,14.18,7.43,2.71
Kapitał własny akcjonariuszy jednostki dominującej,,30.54,,,,221.19,-27.65,-52.41,-51.78,-42.24,-43.15,-14.28,-7.27,-0.24,6.79,15.51,19.25,20.4,11.11,3.41,3.0,7.72,11.32,12.8,11.14,2.33,0.08,1.65,8.64,4.13,3.03,3.81,-3.66,5.23,15.38,17.43,28.36,28.58,26.04,25.43,13.41,4.92,5.62,2.58,6.9,13.96,15.86,15.26,9.11,7.04,5.62,4.85,9.53,10.42,14.29,23.38,29.04,29.34,18.14,10.31,10.79,4.7,14.92,3.1,-6.29
Kapitał (fundusz) podstawowy,,900.0,,,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,0.0,0.0,0.0,20.32,20.32,20.32,20.32,0.0,0.0,0.0,0.0,0.0,0.0,31.34,31.34,31.34,31.34,0.0,45.64,45.64,45.64,45.64,0.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,104.57,,,,785.86,-22.83,-22.83,-22.83,-22.83,-45.39,-45.39,-45.39,-45.39,-10.5,-10.5,-10.5,-8.81,9.54,9.54,9.54,7.51,10.54,10.54,10.54,10.54,9.08,9.08,9.08,2.94,10.06,10.06,10.06,16.62,2.81,2.81,2.81,2.81,13.84,13.84,13.84,13.84,4.02,4.02,4.02,4.02,17.58,17.58,17.58,17.58,11.92,11.92,11.92,11.92,12.28,12.28,12.28,-18.34,-27.26,-27.26,-85.86,-80.55,-78.58,-78.58,10.14
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu dostaw i usług,,,,,,,,,-43.3,,,,-22.97,,,,82.46,,,,22.6,,,,15.69,,,,97.29,,,,-23.02,,,,-9.82,,,,-14.36,,,,-100.0,,,,,,,,-6.29,,,,-100.0,,,,,,,,
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,-90.91,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,10.77,,,,-46.1,-27.84,-41.38,-8.57,-5.05,0.4,1.18,-24.31,-7.62,-4.49,5.58,10.51,23.73,10.03,18.06,18.82,1.74,1.42,-14.09,-15.21,-4.94,29.59,8.58,37.88,30.22,-17.12,26.9,-7.31,-5.0,22.06,21.2,17.73,13.97,12.79,3.06,31.59,19.09,23.43,24.16,12.45,26.38,12.67,10.82,13.62,7.65,10.56,16.55,18.08,31.0,40.49,39.02,35.12,30.29,26.77,28.86,23.11,24.87,20.17,20.84,21.43
Inne zobowiązania krótkoterminowe,,,,,,,,,1.76,,,,-24.44,,,,-0.54,,,,17.75,,,,-24.28,,,,11.25,,,,5.19,,,,33.77,13.97,12.79,3.06,49.61,19.09,23.43,24.16,37.7,26.38,12.67,10.82,-10.37,7.65,10.56,16.55,24.61,31.0,40.49,39.02,62.32,30.29,26.77,28.86,23.11,24.87,20.17,20.84,21.43
Rozliczenia międzyokresowe,,2900.0,,,,108.89,32.69,68.0,-51.32,-32.98,-17.39,0.79,53.26,23.81,49.12,47.24,128.37,142.95,90.0,55.61,-12.73,-11.87,-8.67,-12.71,-19.93,-19.46,-21.69,-25.59,-6.22,15.99,17.32,21.16,-4.27,-13.14,-2.21,0.44,187.13,120.66,144.53,126.52,33.62,36.45,38.58,52.98,4.26,-0.61,4.57,11.42,96.04,110.97,133.23,137.05,41.98,47.98,69.45,78.43,65.36,40.44,13.1,7.11,-1.29,5.4,5.84,5.94,12.18
Pasywa razem,,20.51,,,,93.6,-27.06,-50.0,-46.14,-37.17,-36.8,-11.37,-9.95,-1.07,5.4,14.53,20.97,24.98,13.62,7.8,4.77,5.4,8.31,6.41,4.57,-0.09,4.22,1.56,12.66,8.99,-0.85,8.12,-4.38,2.36,15.84,17.57,31.27,29.41,27.81,24.0,17.79,9.29,10.95,8.85,7.73,14.98,14.27,14.13,16.39,14.49,16.72,16.77,15.18,19.08,27.7,34.5,35.78,31.32,18.75,13.15,10.92,8.87,14.18,7.43,2.71
Przepływy pieniężne z działalności operacyjnej,,-132.55,,,,-260.81,-280.45,17500.0,89.53,90.76,93.81,-97.07,-120.51,35.14,380.8,241.18,98.84,-135.42,-106.27,-42.53,51550.0,336.28,1404.55,-27.0,-92.23,-53.18,-26.83,268.49,743.75,73.6,1.9,45.72,-36.15,81.57,69.63,-21.43,81.44,113.2,14.33,117.21,-31.33,-39.76,79.04,-68.76,7.26,22.73,9.02,90.91,39.93,21.9,-28.77,108.52,15.63,73.71,246.97,153.49,143.03,4.79,23.68,-22.19,-15.67,92.16,27.54,-41.62,-28.38
Amortyzacja,,-2.94,,,,36.36,6.98,-13.21,16.67,13.33,2.17,-8.7,-20.41,29.41,-10.64,42.86,56.41,13.64,92.86,41.67,32.79,8.0,1.23,-5.88,13.58,22.22,20.73,22.5,15.22,33.33,40.4,45.92,32.08,1.52,-10.79,-31.47,-29.29,-26.12,-19.35,10.2,15.15,4.04,3.0,-0.93,4.39,16.5,16.5,7.48,-14.29,-18.33,-17.5,26.09,69.61,77.55,86.87,28.28,-6.94,-32.18,-25.95,-14.52,1.86,37.29,12.41,-5.66,-9.76
Przepływy pieniężne z działalności inwestycyjnej,,-447.06,,,,69.49,99.29,-66.67,73.75,127.78,300.0,-3200.0,-345.59,-1540.0,-11700.0,-54.84,52.15,-50.0,74.57,-52.08,3.45,52.78,-235.59,141.1,-1554.29,37.25,-108.08,946.67,67.49,1893.75,45.87,-465.92,39.44,-260.98,-17.94,156.14,346.93,75.76,215.21,-129.15,-125.31,-202.23,-22.44,-412.23,-136.84,157.75,835.74,132.61,16.89,-329.41,-176.53,-570.38,288.24,46.49,31.61,162.09,236.27,-880.42,-191.23,-389.64,-124.92,78.05,45.88,97.7,332.99
CAPEX (niematerialne i rzeczowe),,2150.0,,,,-75.56,-99.04,-97.39,-66.35,-90.91,0.0,966.67,754.29,2200.0,3200.0,309.38,-22.07,373.91,-9.09,-48.85,-69.96,-70.64,-18.33,79.1,72.86,359.38,-97.96,55.83,371.07,-63.27,23200.0,-93.58,-89.3,-46.3,-25.75,908.33,9.84,37.93,-91.91,93.39,95.52,380.0,135.71,21.37,-42.75,-51.56,66.67,-71.48,-1.33,230.11,-85.45,253.09,347.3,23.45,587.5,-68.18,-72.81,-16.89,396.36,26.37,7.78,-50.16,-69.6,-67.83,-3.09
Przepływy pieniężne z działalności finansowej,,-11.11,,,,80.0,-100.52,-2844.07,9000.0,-4425.0,100.0,92.0,-60.96,79.01,,100.0,126.62,678.95,-5216.67,,-100.0,-22.27,19.87,,,-100.0,-77.64,,-100.0,,-196.34,,,-100.0,100.0,,,,,100.0,,,37.5,,54.38,40.0,20.0,-456.52,-75.34,-33.33,25.0,-25.0,0.0,-25.0,-133.33,-100.0,-325.0,-360.0,-328.57,-100.0,-47.06,-73.91,0.0,-100.0,-20.0
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,-63.95,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,-42.92,,,,77.64,,,,15.56,,,,-61.98,,,,166.67,,,,-37.5,,-54.38,-40.0,-20.0,456.52,75.34,33.33,-25.0,25.0,0.0,25.0,133.33,100.0,325.0,360.0,328.57,100.0,47.06,73.91,0.0,100.0,20.0
Przepływy pieniężne razem,,-144.2,,,,-173.42,-129.0,106.06,120.83,69.62,94.01,-3075.0,-260.0,36.8,201.63,205.88,150.0,99.37,-410.4,-78.57,429.17,38800.0,59.54,281.48,-350.62,-75.97,-307.01,466.02,96.5,1608.6,-104.07,-229.85,67.95,-133.35,107.67,201.72,7732.0,216.23,106.0,-37.53,-103.56,-179.71,219.42,-266.32,-260.29,267.01,318.39,157.12,95.51,-148.29,-147.15,-311.16,15845.45,230.05,131.05,347.25,172.98,-1032.04,-793.8,-196.19,-112.16,80.31,79.4,27.54,362.61
