,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Koszty finansowe,803.0,1423.0,1210.0,3457.0,4591.0,3361.0,2832.0,3204.0,1769.0,2769.0,2616.0,1821.0,4179.0,2153.0,2721.0,3054.0,1631.0,2393.0,2487.0,2157.0,1495.0,835.0,495.0,2990.0,-1892.0,720.0,721.0,1541.0,385.0,1222.0,682.0,950.0,1134.0,1284.0,952.0,803.0,1491.0,1676.0,1250.0,1497.0,1716.0,1095.0,1215.0,1381.0,1242.0,1102.0,1422.0,1120.0,2566.0,1050.0,-711.0,2810.0,356.0,1025.0,976.0,435.0,1568.0,2565.0,2657.0,2340.0,1650.0,2411.0,1439.0,2017.0,1591.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67226.0,0.0,-13989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.0,-2283.0,0.0,0.0,0.0,-240.0,-466.0,-599.0,-435.0,-485.0,-382.0,0.0,-952.0,0.0,363.0
Zysk z działalności gospodarczej,2949.0,9182.0,12526.0,18981.0,16827.0,18124.0,2943.0,6934.0,5849.0,3013.0,4639.0,7267.0,7810.0,-825.0,8594.0,13491.0,6824.0,4704.0,-57959.0,11432.0,-13421.0,2880.0,4308.0,22822.0,-16297.0,5301.0,7348.0,3701.0,-3326.0,2166.0,4592.0,4432.0,525.0,4443.0,4340.0,2964.0,-2049.0,3591.0,6426.0,5643.0,-620.0,6090.0,4516.0,10619.0,-204.0,6611.0,9818.0,9148.0,5595.0,10407.0,15909.0,5985.0,2750.0,10232.0,11545.0,9655.0,9356.0,14728.0,15296.0,17453.0,12962.0,15629.0,18111.0,17560.0,8090.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2949.0,9182.0,12526.0,18981.0,16827.0,18124.0,2943.0,6934.0,5849.0,3013.0,4639.0,7267.0,7810.0,-825.0,8594.0,13491.0,6824.0,4704.0,-57959.0,11432.0,-13421.0,2880.0,4308.0,22822.0,-16297.0,5301.0,7348.0,3701.0,-3326.0,2166.0,4592.0,4432.0,525.0,4443.0,4340.0,2964.0,-2049.0,3591.0,6426.0,5643.0,-620.0,6090.0,4516.0,10619.0,-204.0,6611.0,9818.0,9148.0,5595.0,10407.0,15909.0,5985.0,2750.0,10232.0,11545.0,9655.0,9356.0,14728.0,15296.0,17453.0,12962.0,15629.0,18111.0,17560.0,8090.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,727.0,-2275.0,5512.0,-1322.0,-1349.0,434.0,922.0,-59.0,-1920.0,-641.0,679.0,-154.0,-115.0,-307.0,174.0,-215.0,-266.0,-233.0,9.0,-236.0,14.0,-194.0,-28.0,-89.0,-26.0,-3.0,326.0,0.0,0.0,122.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1913.0,7261.0,9004.0,14708.0,13698.0,13896.0,1908.0,5356.0,5408.0,2752.0,3028.0,6002.0,6040.0,-1106.0,7007.0,11243.0,4154.0,3526.0,-60049.0,8821.0,1935.0,3774.0,4681.0,15927.0,-10667.0,3270.0,5741.0,2888.0,-3203.0,1130.0,2028.0,3001.0,313.0,3442.0,3516.0,2049.0,-5212.0,2711.0,4832.0,3531.0,-50.0,4829.0,3174.0,7868.0,-1054.0,5106.0,7662.0,7147.0,5090.0,8498.0,9757.0,8782.0,2484.0,8355.0,9449.0,7296.0,7379.0,11096.0,12116.0,13615.0,10391.0,12649.0,19340.0,13991.0,6788.0
Zysk netto akcjonariuszy jednostki dominującej,1968.0,7287.0,8872.0,14468.0,13934.0,13933.0,6905.0,583.0,4300.0,2790.0,4312.0,4962.0,6487.0,-809.0,12849.0,4353.0,6471.0,3336.0,-59859.0,8821.0,-990.0,3582.0,-501.0,19153.0,-10663.0,2900.0,4707.0,2429.0,-2900.0,1340.0,1457.0,3125.0,740.0,3122.0,3323.0,1688.0,-5081.0,2714.0,4348.0,3048.0,96.0,4659.0,3018.0,7488.0,-201.0,4939.0,6595.0,6619.0,5054.0,7896.0,8782.0,7844.0,2331.0,7732.0,8697.0,6621.0,6739.0,10740.0,10154.0,11586.0,9215.0,11733.0,18294.0,13088.0,6195.0
Aktywa trwałe,0.0,185510.0,191617.0,331749.0,360290.0,356176.0,350388.0,347684.0,345852.0,335634.0,335834.0,336650.0,337406.0,338233.0,345303.0,346345.0,348709.0,350314.0,283346.0,282419.0,277860.0,278738.0,236349.0,119891.0,142335.0,141484.0,142844.0,131528.0,115534.0,115261.0,116490.0,127926.0,134216.0,133905.0,144496.0,151377.0,155488.0,163804.0,163815.0,164339.0,175072.0,175902.0,175153.0,177498.0,179430.0,191597.0,195910.0,195507.0,197046.0,196236.0,172946.0,177739.0,188021.0,188060.0,187698.0,196606.0,198464.0,202932.0,202464.0,198073.0,195276.0,190895.0,200224.0,195204.0,199401.0
Wartości niematerialne i prawne,0.0,108618.0,109836.0,225215.0,235309.0,235793.0,236558.0,237019.0,237468.0,237984.0,238625.0,239365.0,241031.0,242146.0,243385.0,244002.0,245104.0,245530.0,178834.0,178916.0,167751.0,168350.0,164014.0,52740.0,52743.0,52582.0,52996.0,53439.0,55104.0,55175.0,55734.0,63866.0,69599.0,71766.0,72918.0,75075.0,77518.0,79927.0,81913.0,83291.0,92171.0,93921.0,94777.0,96066.0,97884.0,97343.0,97885.0,98291.0,101227.0,100205.0,74823.0,75724.0,76548.0,74853.0,76725.0,76472.0,78846.0,80527.0,79981.0,79032.0,78479.0,75979.0,78380.0,74935.0,75436.0
Rzeczowe składniki majątku trwałego,0.0,62394.0,65476.0,89447.0,103923.0,95046.0,92252.0,85790.0,85073.0,70604.0,72118.0,72466.0,70982.0,70064.0,73594.0,74439.0,77333.0,77329.0,76171.0,75636.0,72401.0,72704.0,44746.0,43696.0,60217.0,59223.0,59040.0,59977.0,41914.0,42690.0,43353.0,46323.0,48347.0,48647.0,58121.0,60270.0,65458.0,68479.0,66528.0,64706.0,65238.0,64318.0,63217.0,62741.0,62682.0,75360.0,78891.0,77765.0,74675.0,74950.0,87842.0,91066.0,98097.0,99695.0,98913.0,101133.0,100535.0,101889.0,102920.0,100864.0,98129.0,95942.0,104635.0,102490.0,101940.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7683.0,7845.0,6770.0,8783.0,9153.0,9566.0,10026.0,9400.0,9665.0,9609.0,9902.0,9668.0,13089.0
Inwestycje długoterminowe,0.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11074.0,11134.0,11197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,35.0,34.0,0.0,0.0,0.0,46.0,46.0,57.0,57.0,49.0,54.0,57.0,80.0,141.0,140.0,64.0,5026.0,4637.0,3633.0,5070.0,4567.0,4260.0,4336.0,3460.0,3525.0,3955.0
Pozostałe aktywa trwałe,0.0,14434.0,16241.0,17023.0,20994.0,25273.0,21514.0,24811.0,23247.0,26982.0,25027.0,24755.0,25393.0,26023.0,28324.0,27904.0,26272.0,27455.0,28341.0,27867.0,37708.0,37684.0,27589.0,23455.0,18301.0,18545.0,19611.0,18112.0,18516.0,17396.0,17403.0,17737.0,16270.0,13492.0,13457.0,16032.0,12512.0,15376.0,15353.0,16307.0,17629.0,17663.0,17159.0,18691.0,18818.0,18848.0,19077.0,19394.0,21095.0,21027.0,10224.0,10869.0,5552.0,5527.0,5226.0,5192.0,5293.0,7317.0,4467.0,4210.0,4743.0,5029.0,3847.0,4586.0,4981.0
Aktywa obrotowe,0.0,184545.0,180047.0,217202.0,231197.0,242536.0,212480.0,215566.0,192646.0,168884.0,175189.0,194576.0,183741.0,188425.0,198338.0,220454.0,202192.0,195018.0,204535.0,191510.0,169906.0,177452.0,241336.0,254642.0,226430.0,228099.0,122468.0,110996.0,128010.0,131883.0,142847.0,124960.0,121959.0,135049.0,138137.0,140880.0,136043.0,143766.0,154785.0,154490.0,141202.0,156692.0,165454.0,167153.0,166320.0,160880.0,165136.0,160406.0,157403.0,166348.0,165519.0,153102.0,158785.0,182495.0,210387.0,211898.0,232249.0,262905.0,289499.0,255433.0,252382.0,259151.0,245569.0,236831.0,232979.0
Zapasy,0.0,26234.0,26583.0,34205.0,32701.0,31859.0,28855.0,29992.0,26648.0,26937.0,25117.0,26755.0,28369.0,31232.0,34696.0,39262.0,42144.0,42779.0,45781.0,45210.0,39671.0,43830.0,40624.0,26053.0,19765.0,21388.0,22393.0,22279.0,22127.0,22634.0,26748.0,30863.0,30936.0,35035.0,36862.0,39776.0,36790.0,36480.0,39040.0,39491.0,41876.0,45521.0,49646.0,52633.0,47543.0,45968.0,44339.0,42359.0,44280.0,46942.0,41987.0,43389.0,41751.0,49340.0,56813.0,65386.0,70590.0,88332.0,85103.0,75376.0,77415.0,77622.0,78100.0,80385.0,72120.0
Należności krótkoterminowe,0.0,142269.0,136437.0,167587.0,186024.0,186023.0,167109.0,169797.0,148870.0,133389.0,140981.0,160559.0,148870.0,149748.0,157549.0,168462.0,152057.0,143385.0,145802.0,137900.0,121019.0,123123.0,145076.0,91929.0,81816.0,74662.0,79086.0,69089.0,73065.0,84352.0,99436.0,84662.0,81951.0,87191.0,90195.0,88025.0,85639.0,97348.0,100823.0,101212.0,84771.0,97893.0,105058.0,99627.0,103544.0,99282.0,103672.0,104378.0,98403.0,93875.0,91413.0,80795.0,89865.0,98757.0,125360.0,116902.0,138943.0,141605.0,164423.0,143898.0,142749.0,153998.0,139098.0,135454.0,139389.0
Inwestycje krótkoterminowe,0.0,14431.0,13193.0,12084.0,10578.0,21331.0,13116.0,13250.0,16071.0,6873.0,7263.0,5840.0,4614.0,5663.0,4729.0,11791.0,6623.0,7598.0,11720.0,7622.0,7502.0,8473.0,14486.0,136276.0,123871.0,130947.0,20144.0,18858.0,16188.0,23792.0,15693.0,7691.0,6819.0,10270.0,9018.0,10657.0,11278.0,8240.0,12515.0,12571.0,12739.0,11568.0,9237.0,13858.0,13529.0,14101.0,14921.0,12855.0,12802.0,23691.0,30439.0,27342.0,24228.0,30855.0,26629.0,25891.0,19941.0,29123.0,38064.0,29948.0,29248.0,24952.0,25582.0,19780.0,15660.0
Środki pieniężne i inne aktywa pieniężne,0.0,14431.0,13131.0,12062.0,10570.0,21326.0,12926.0,13117.0,16024.0,6748.0,7242.0,5825.0,4578.0,5525.0,4728.0,11791.0,6146.0,7487.0,11545.0,7549.0,7499.0,8473.0,14409.0,136276.0,112311.0,119551.0,8698.0,7618.0,4816.0,12467.0,4341.0,7677.0,6771.0,10219.0,8908.0,10537.0,11108.0,8141.0,12483.0,12396.0,12664.0,11256.0,9194.0,13847.0,13523.0,14084.0,14921.0,12855.0,12754.0,23691.0,30439.0,27342.0,24228.0,30855.0,26549.0,25881.0,19939.0,29123.0,38064.0,29948.0,29248.0,24952.0,25575.0,19677.0,15621.0
Pozostałe aktywa obrotowe,0.0,1611.0,1990.0,1511.0,1894.0,3323.0,3400.0,2527.0,1057.0,1685.0,1828.0,1422.0,1888.0,1782.0,1364.0,939.0,1368.0,1256.0,1232.0,778.0,1714.0,2026.0,866.0,384.0,978.0,1102.0,845.0,770.0,1091.0,1105.0,970.0,1744.0,2253.0,2553.0,2062.0,2422.0,2336.0,1698.0,2407.0,1216.0,1816.0,1710.0,1513.0,1035.0,1704.0,1529.0,2204.0,814.0,1918.0,1840.0,1680.0,1576.0,2941.0,3543.0,1585.0,3719.0,2775.0,3845.0,1909.0,6211.0,2970.0,2579.0,2789.0,1212.0,5810.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,1844.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40284.0,0.0,0.0,0.0,0.0,0.0,15539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,370055.0,371664.0,548951.0,591487.0,598712.0,562868.0,563250.0,538498.0,504518.0,511023.0,531226.0,521147.0,526658.0,543641.0,566799.0,550901.0,545332.0,487881.0,473929.0,447766.0,456190.0,477685.0,374533.0,368765.0,369583.0,265312.0,242524.0,243544.0,247144.0,259337.0,252886.0,256175.0,268954.0,282633.0,292257.0,291531.0,307570.0,318600.0,318829.0,316274.0,332594.0,340607.0,344651.0,345750.0,352477.0,361046.0,355913.0,354449.0,362584.0,338465.0,330841.0,346806.0,370555.0,398085.0,408504.0,430713.0,465837.0,491963.0,453506.0,447658.0,450046.0,445793.0,432035.0,432380.0
Kapitał własny akcjonariuszy jednostki dominującej,54536.0,156654.0,162600.0,235928.0,259348.0,280398.0,280186.0,282860.0,284529.0,285659.0,283802.0,288323.0,295251.0,294090.0,307291.0,318157.0,318115.0,322436.0,258453.0,266499.0,269423.0,274873.0,276180.0,285097.0,276119.0,279102.0,126631.0,134253.0,130976.0,139696.0,117507.0,120948.0,121736.0,126330.0,121034.0,124384.0,116119.0,118385.0,123753.0,125510.0,126232.0,134272.0,135124.0,141506.0,144829.0,149508.0,154087.0,161066.0,166964.0,173175.0,151411.0,161248.0,164740.0,170646.0,174792.0,180338.0,184676.0,198302.0,199142.0,204409.0,213695.0,216215.0,218527.0,224166.0,226861.0
Kapitał (fundusz) podstawowy,0.0,3559.0,3559.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3915.0,3892.0,3892.0,3892.0,3892.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.0,-604.0,-632.0,-691.0,-922.0,-981.0,-1001.0,-1124.0,-1507.0,-624.0,-1161.0,-1859.0,-2574.0
Kapitał (fundusz) zapasowy,0.0,73959.0,73959.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,131967.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0,106202.0
Udziały niekontrolujące,275.0,394.0,652.0,861.0,829.0,1059.0,623.0,589.0,599.0,644.0,1126.0,780.0,906.0,609.0,1740.0,2327.0,2110.0,2300.0,3765.0,5091.0,4771.0,4779.0,6417.0,4742.0,4968.0,5463.0,6181.0,5050.0,4042.0,3989.0,3877.0,3585.0,3259.0,3967.0,4048.0,4948.0,5381.0,4895.0,4776.0,4978.0,4846.0,5445.0,4584.0,4762.0,4198.0,4359.0,5525.0,5906.0,5244.0,6075.0,5265.0,6059.0,6603.0,6990.0,8060.0,7531.0,7021.0,11482.0,13180.0,11050.0,12101.0,10868.0,11576.0,11867.0,12409.0
Zobowiązania długoterminowe,0.0,19307.0,40751.0,110057.0,105969.0,100547.0,104125.0,93358.0,85866.0,78180.0,75373.0,75904.0,63206.0,58230.0,54451.0,48924.0,21278.0,20521.0,39861.0,35788.0,18398.0,18836.0,18504.0,14807.0,23590.0,23680.0,28718.0,30627.0,20602.0,20539.0,34193.0,33227.0,34264.0,31197.0,35245.0,42866.0,33535.0,40336.0,41348.0,48019.0,44961.0,89489.0,73006.0,99061.0,98102.0,99489.0,97542.0,74772.0,80551.0,66367.0,73278.0,77119.0,76539.0,81988.0,93863.0,100250.0,97528.0,101350.0,103147.0,91131.0,86202.0,82771.0,93344.0,85310.0,75055.0
Z tytułu dostaw i usług,0.0,117157.0,82135.0,98023.0,122107.0,107380.0,89318.0,92055.0,85855.0,71584.0,79114.0,93032.0,75445.0,75808.0,99868.0,89471.0,81829.0,74017.0,90327.0,82906.0,59620.0,68559.0,82442.0,63926.0,53469.0,51641.0,60498.0,40693.0,42958.0,36710.0,49698.0,51093.0,55741.0,56529.0,57919.0,53777.0,61207.0,60805.0,70988.0,67109.0,63642.0,66381.0,74145.0,77125.0,75261.0,63428.0,75753.0,68850.0,75547.0,76856.0,73013.0,60338.0,65109.0,72226.0,75807.0,80920.0,98479.0,103207.0,141812.0,116506.0,112090.0,117085.0,97558.0,85995.0,92092.0
Kredyty i pożyczki,0.0,72377.0,74248.0,93425.0,91791.0,100095.0,79511.0,85338.0,77662.0,63820.0,68771.0,69611.0,83433.0,95563.0,99868.0,102672.0,123683.0,120588.0,89487.0,77945.0,90699.0,84844.0,75842.0,1721.0,1419.0,1426.0,33753.0,22290.0,41233.0,38866.0,50043.0,39376.0,36230.0,45333.0,59161.0,60329.0,69965.0,77413.0,71786.0,66699.0,68553.0,28219.0,45552.0,14155.0,16249.0,24900.0,17922.0,35468.0,16049.0,28911.0,24194.0,15682.0,11018.0,10692.0,12347.0,13208.0,13453.0,15985.0,12901.0,12267.0,10252.0,9345.0,10861.0,9284.0,8774.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
