,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Zysk z działalności gospodarczej,,,,,66.23,2908.21,312.9,-34.21,103.69,-91.94,-35.19,-24.66,-35.76,-19.24,215.41,58.89,-55.01,10.07,55.33,46.99,353.45,132.07,20.86,191.36,15.24,17.78,-13.86,-37.61,79.36,3.97,100.31,-12.17,-22.59,-70.25,-11.74,-66.96,-58.81,20.92,-21.45,250.66,317.75,536.45,135.76,138.48,71.92,31.21,96.51,88.84,13.51,-87.58,-80.62,-74.46,-88.38
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,66.23,2908.21,312.9,-34.21,103.69,-91.94,-35.19,-24.66,-35.76,-19.24,215.41,58.89,-55.01,10.07,55.33,46.99,353.45,132.07,20.86,191.36,15.24,17.78,-13.86,-37.61,79.36,3.97,100.31,-12.17,-22.59,-70.25,-11.74,-66.96,-58.81,20.92,-21.45,250.66,317.75,536.45,135.76,138.48,71.92,31.21,96.51,88.84,13.51,-87.58,-80.62,-74.46,-88.38
Zysk (strata) netto z działalności zaniechanej,,,,,,-100.3,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,94.3,2290.02,186.48,-28.96,71.81,-92.78,-37.04,-36.9,-35.34,-15.25,208.48,85.9,-65.67,4.96,69.34,42.02,500.16,150.26,17.65,169.57,13.41,16.56,-15.95,-23.75,89.7,6.44,107.39,-19.63,-40.95,-90.82,-29.33,-78.74,-57.49,248.55,-22.19,316.41,333.37,537.65,162.29,212.07,78.16,30.26,91.09,58.74,13.45,-87.11,-79.65,-71.32,-88.36
Zysk netto akcjonariuszy jednostki dominującej,,,,,94.27,2290.03,186.47,-28.96,71.83,-92.78,-37.05,-36.9,-35.35,-15.25,208.65,85.89,-65.68,4.93,69.34,42.02,500.36,150.32,17.64,169.56,13.41,16.56,-15.96,-23.75,89.7,6.44,107.42,-19.63,-40.97,-90.84,-29.34,-78.75,-57.5,249.02,-22.19,316.51,333.51,537.86,162.33,212.04,78.16,30.26,91.1,58.74,13.45,-87.12,-79.66,-71.32,-88.36
Aktywa trwałe,,,,,3.74,-19.27,-19.46,-17.49,-17.43,6.1,6.51,6.34,6.7,11.99,15.06,17.92,19.39,15.95,14.08,9.08,7.62,6.36,7.05,8.45,9.88,10.03,10.15,13.05,12.35,15.39,15.64,15.07,18.58,15.61,14.66,12.05,8.08,4.9,2.53,0.13,-0.48,-3.04,-1.86,-1.42,0.04,3.69,6.68,8.25,8.15,6.27,3.65,2.21,0.32
Wartości niematerialne i prawne,,,,,30.14,-10.11,-8.67,68.64,64.91,142.98,142.54,1.18,-4.91,-3.94,-3.87,11.37,3.91,2.39,12.19,1.77,7.71,8.14,-0.3,-2.69,7.83,32.41,39.4,38.35,47.56,28.43,39.48,47.21,98.06,88.18,71.92,63.61,10.43,-30.39,-34.8,-23.33,-1.32,7.22,50.91,53.73,46.18,51.39,33.02,22.07,26.26,13.04,2.26,-6.71,-17.35
Rzeczowe składniki majątku trwałego,,,,,3.31,-19.63,-19.82,-19.09,-18.91,4.25,4.66,6.56,7.04,12.51,15.61,18.09,19.88,16.22,14.11,9.29,7.56,6.17,7.01,8.55,9.24,8.93,9.1,12.66,12.37,15.23,15.21,14.32,7.77,6.19,5.28,10.58,16.78,15.21,12.73,1.19,-0.68,-4.0,-4.13,-4.39,-2.95,0.63,3.69,5.46,4.89,5.16,2.54,2.04,1.01
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,10.54,8.07,6.42,3.76,2.44,2.39,1.99,2.2,6.87,8.86,12.82,-0.33,-7.42,-2.47,-5.18,13.71,26.8,31.19,42.81,33.61,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,13.38,,,7.77,38.3,17.41,67.59,352.25,329.64,413.51,169.38,-3.51,-32.06,-20.85,-26.57,-14.82,962.0,772.72,736.23,618.76,-31.47,4.35,0.94,-1.05,718.62,406.4,455.48,-33.72,-89.68,-91.0,-88.88,40.32,30.41,86.13,54.47,65.78,47.96,97.13,119.91,125.51,119.52,33.98,44.48,28.4,31.37
Aktywa obrotowe,,,,,15.9,1.46,-8.89,-14.47,-25.89,9.82,8.0,4.25,7.31,10.06,3.59,23.25,11.27,-17.08,-3.66,-16.94,4.69,-6.64,-1.75,33.04,15.2,16.55,22.37,-1.92,19.58,40.73,24.95,7.16,2.49,10.73,-0.5,1.74,18.07,-10.6,-7.71,25.03,18.61,46.42,81.79,67.3,65.67,39.18,37.95,50.7,43.3,-0.89,-14.21,-33.68,-39.62
Zapasy,,,,,-3.84,-22.6,-17.23,-9.86,9.53,14.47,19.76,-1.17,-9.97,-0.18,-22.08,9.22,-11.71,-6.89,22.16,-15.25,-6.83,-2.85,-19.42,-8.11,7.06,9.77,33.38,49.04,61.79,44.8,38.23,7.03,-3.27,4.17,1.04,13.53,3.75,-20.62,-20.1,-21.13,-14.01,47.1,47.68,71.51,107.15,61.61,56.34,39.31,10.84,-5.62,-12.71,-24.85,-24.65
Należności krótkoterminowe,,,,,15.65,-8.86,-28.73,-23.48,-31.82,17.83,51.82,21.69,23.69,30.84,-10.9,-14.41,-12.96,-35.43,1.04,-2.98,23.36,6.49,5.66,19.98,8.31,12.98,10.48,21.87,35.96,40.04,30.55,16.32,11.75,6.0,-1.62,-8.01,-16.19,-30.8,-21.82,-8.97,23.98,76.46,54.12,68.11,44.08,31.71,61.33,59.0,14.36,-27.27,-23.99,-32.19,-18.54
Inwestycje krótkoterminowe,,,,,44.23,-1.16,73.16,-2.54,-51.15,96.77,-65.64,-19.52,-1.48,-28.59,168.61,138.85,144.46,56.85,-36.1,-31.56,-11.07,-36.82,-1.13,19.94,-0.35,-14.1,-41.95,-36.44,-59.6,41.62,65.67,-11.09,51.49,45.62,-5.17,14.7,183.06,40.09,-7.6,168.77,18.29,7.52,429.65,82.42,65.43,29.3,20.92,64.01,137.71,91.89,-0.93,-45.11,-55.09
Środki pieniężne i inne aktywa pieniężne,,,,,177.48,-19.31,5.2,-9.94,-56.42,145.26,-48.39,-12.56,17.11,-27.09,100.99,141.69,57.06,-10.32,-5.25,-31.84,32.82,7.41,-7.64,21.96,6.74,-7.92,-35.68,-36.44,-59.6,41.62,65.67,-11.09,51.49,45.62,-5.17,14.7,183.06,40.09,-7.6,168.77,18.29,7.52,429.65,82.42,65.43,29.3,20.92,64.01,137.71,91.89,-0.93,-45.11,-55.09
Pozostałe aktywa obrotowe,,,,,21.74,-2.37,-5.96,9.13,-15.16,24.73,31.35,35.09,14.37,4.44,11.2,14.63,-0.12,-30.85,-4.11,-9.65,7.98,-14.43,13.31,1297.31,196.99,248.83,386.47,-49.02,45.54,33.78,-31.1,-0.74,-40.2,11.19,6.7,-4.38,43.69,29.85,103.04,82.84,62.77,33.94,18.6,8.51,79.17,39.84,-15.79,-27.51,-16.14,-19.66,-6.43,47.69,-48.22
Aktywa trwałe przeznaczone do sprzedaży,,,,,,67248.0,,,,-100.0,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,6.61,-14.68,-17.05,-16.74,-19.6,7.08,6.88,5.81,6.84,11.47,12.16,19.26,17.46,7.15,9.94,2.31,6.96,3.68,5.25,13.64,11.05,11.24,12.48,9.35,14.0,20.32,17.57,13.32,14.72,14.5,11.32,9.89,10.22,1.49,0.51,4.96,3.9,6.55,13.28,14.48,17.24,13.14,15.76,22.6,21.16,3.92,-2.53,-12.7,-17.17
Kapitał własny akcjonariuszy jednostki dominującej,,,,,11.04,74.13,86.5,72.37,49.69,3.85,3.17,1.74,-3.69,6.04,7.98,10.15,23.71,-1.3,0.63,2.62,6.76,7.79,8.27,18.86,18.63,10.66,9.3,4.37,8.13,7.75,11.61,8.22,4.43,-0.6,-2.64,-8.82,-11.01,2.06,0.75,6.79,13.75,24.88,30.38,43.69,46.49,27.0,32.29,36.51,34.21,14.38,3.4,-10.48,-17.01
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69,8.69,8.69,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,6.9,6.9,10.0,16.67,16.13,9.68,9.09,5.71,8.33,-2.94,-2.78,-2.7,-2.56,6.06,5.71,8.33,7.89,0.0,2.7,5.13,9.76,5.71,13.16,14.63,17.78,16.22,6.98,2.13,11.32,16.28,23.91,25.0,11.86,6.0,3.51,-3.33,-6.06,-7.55,-8.47,3.45,6.45,14.29,16.67,18.33,13.64,3.57,7.94,15.49,18.67
Zobowiązania długoterminowe,,,,,5.67,-63.51,-62.39,-62.15,-61.0,38.33,57.15,33.94,37.05,4.76,15.22,27.92,24.43,43.68,30.15,-1.3,0.42,-8.54,-5.94,6.14,2.28,18.25,19.53,15.56,35.66,19.89,17.25,15.93,22.11,41.42,46.71,56.88,40.13,9.68,0.48,0.65,-8.26,-10.68,-8.56,-16.5,-14.91,-7.17,-10.85,-14.25,-17.94,-13.96,-11.33,4.6,11.61
Z tytułu dostaw i usług,,,,,-2.84,-22.68,-18.58,-5.71,-6.44,20.86,-1.35,-5.7,24.59,21.62,-5.43,19.36,-26.1,-26.38,-2.72,-6.49,-2.35,-8.18,22.81,-9.57,-3.12,6.36,-6.85,21.16,13.75,7.65,-5.15,-7.66,8.02,2.87,15.47,10.83,22.8,3.46,6.39,10.17,-7.32,15.06,0.06,8.23,8.6,15.09,11.51,11.6,15.11,-3.73,2.36,-19.03,-22.61
Kredyty i pożyczki,,,,,-15.58,-99.92,-72.62,-41.99,-32.55,48141.18,-46.67,-44.55,-50.48,-13.03,-3.04,23.33,56.93,85.18,85.23,89.78,80.33,86.87,12.85,-2.44,-24.06,7.98,60.48,51.19,10.45,121.07,90.98,62.11,17.28,-14.29,-65.33,-49.31,-9.86,-22.82,30.24,50.93,62.41,-16.73,33.2,-13.99,-12.82,26.15,-12.02,-6.84,11.3,-37.71,5.26,1.6,-7.71
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,0.3,-1.19,-95.59,-94.85,-93.7,-93.21,1843.15,1557.15,2660.11,2694.75,95.76,95.67,-55.6,-55.54,-42.82,-42.76,-92.84,-93.06,-95.63,-95.6,-23.57,-23.56,0.0,2110.41,6707.48,9079.91,8956.02,209.84,-67.71,-98.78
Zobowiązania z tytułu leasingu finansowego,,,,,1290.64,429.91,201.34,-6.91,-54.32,-96.05,-95.93,-87.4,-92.81,2713.64,2825.83,722.9,1900.35,-40.29,-42.96,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,10.11,6.31,5.42,11.94,4.49,8.94,7.56,4.59,3.74,5.5,7.29,13.86,15.39,15.58,14.44,-0.46,-4.73,-8.78,-16.91,-9.1,-7.84,-5.83,3.69,-5.42,-5.43,-3.62,1.69,17.12,18.08,27.38,31.47,58.78,54.46,41.23,36.34,17.37,19.35,15.53,10.71,-12.96,-17.1,-14.74,-21.04,3.13,4.65,6.57,14.13,14.47,17.51
Zobowiązania krótkoterminowe,,,,,3.7,-7.16,-33.23,-16.73,-16.04,-11.8,-21.04,-12.22,0.18,32.45,18.58,30.16,-3.87,-13.81,4.26,6.85,18.33,15.37,17.4,12.66,6.0,3.12,9.53,12.6,-0.35,47.57,30.37,20.46,29.78,4.69,-11.0,-13.85,5.78,-12.98,0.11,11.14,13.39,11.12,27.99,22.96,21.87,20.57,24.74,43.29,42.45,5.8,-5.14,-31.78,-39.17
Inne zobowiązania krótkoterminowe,,,,,-13.92,183.13,-1.04,-25.85,11.92,-54.57,32.51,112.32,4.86,-12.05,-2.47,18.09,9.34,37.4,42.89,2.88,35.1,38.31,16.17,115.23,62.47,36.84,63.36,10.06,0.91,16.81,11.38,-8.29,20.07,20.19,8.27,12.79,17.52,-10.1,-5.33,9.79,40.4,65.42,102.55,76.6,51.43,23.56,39.81,57.16,32.45,-9.22,-31.79,-39.79,-39.25
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,6.61,-14.68,-17.05,-16.74,-19.6,7.08,6.88,5.81,6.84,11.47,12.16,19.26,17.46,7.15,9.94,2.31,6.96,3.68,5.25,13.64,11.05,11.24,12.48,9.35,14.0,20.32,17.57,13.32,14.72,14.5,11.32,9.89,10.22,1.49,0.51,4.96,3.9,6.55,13.28,14.48,17.24,13.14,15.76,22.6,21.16,3.92,-2.53,-12.7,-17.17
Przepływy pieniężne z działalności operacyjnej,,,,,-14.79,387.86,25.04,-122.09,44.71,28.0,-98.65,748.95,-6.3,-17.08,2554.0,96.96,-105.59,45.51,-32.47,35.42,506.69,72.02,217.34,42.63,-37.89,7.26,1.05,-41.88,-375.39,59.01,69.67,39.54,409.07,-57.04,25.79,-5.5,87.17,2.57,-15.82,22.95,-24.55,102.6,90.8,45.87,31.07,23.41,27.96,86.94,153.96,-49.83,-69.58,-60.7,-82.78
Amortyzacja,,,,,12.14,-1.44,-8.19,-26.02,-6.09,-2.5,4.43,-60.14,-18.62,-12.39,-13.92,185.54,12.31,10.39,13.2,32.14,21.16,20.67,16.76,-3.46,-2.29,8.69,16.9,24.71,20.03,8.92,18.84,23.64,42.72,40.08,20.8,21.44,71.93,42.02,34.96,35.98,0.01,35.51,37.87,-7.62,13.57,-6.91,-0.15,41.26,2.89,23.41,-21.24,-24.4,4.52
Przepływy pieniężne z działalności inwestycyjnej,,,,,46.72,-445.99,-1631.69,131.87,33.83,24.31,1.89,-344.75,-74.12,-43.15,-161.71,2.21,-117.05,12.48,92.9,-136.89,53.77,26.8,-564.39,-135.78,53.85,-9.13,-95.24,54.41,-310.62,-206.04,8.17,-66.05,-25.07,22.7,13.37,2.2,-24.83,94.54,7.21,74.62,21.47,41.47,-19.52,-43.9,-99.61,-483.53,7.27,-29.74,-8.66,32.49,-3.04,-57.02,80.13
CAPEX (niematerialne i rzeczowe),,,,,10.35,2.24,-53.19,-13.5,-23.39,26.06,313.24,28.84,48.62,18.49,87.42,7.44,4.87,-4.7,-32.48,41.54,-30.65,-19.97,-10.43,18.49,44.5,60.25,42.72,18.79,24.7,105.86,31.59,20.22,73.06,-39.16,-8.11,-3.17,-1.59,-21.71,-52.48,-36.09,-43.88,-46.75,67.92,24.34,11.8,173.95,84.95,-0.29,49.14,17.54,-43.25,-17.26,-29.46
Przepływy pieniężne z działalności finansowej,,,,,-134.87,-3827.69,61.28,-9.87,-1664.69,133.25,91.56,-58.31,46.68,-21.77,5151.95,191.92,86.42,-375.93,-103.9,-206.42,289.22,-172.6,-392.36,118.44,-309.57,-12.91,200.82,-217.26,320.55,79.0,-332.86,-644.87,-87.76,257.11,-201.58,43.63,1110.0,-397.05,-21.49,214.47,-146.89,-77.01,75.67,-247.2,2.7,-57.82,-180.68,10.9,82.85,-79.17,45.7,12.67,-417.83
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,-100.0,7300.0,,-99.99,,210.81,-38.98,500266.65,71872.73,-100.0,-100.0,361.58,-99.99,,,28.37,-100.0,,,68.75,,-100.0,,9.92,-100.0,,,0.0,,-2958.33,,-58.96,-100.0,100.0,,7.62,,,,260.5,,,,63.04,,,
Przepływy pieniężne razem,,,,,177.02,-79778.69,49.95,-32.51,-715.31,139.41,-238.67,70.69,44.44,-96.05,121.61,170.31,-333.37,-3130.82,24.43,-45.73,84.92,-68.38,-71.25,48.97,-131.97,-19.84,-474.01,-36.87,-40.61,129.05,27.8,-55.33,70.91,31.82,-382.01,57.16,823.35,-345.14,-102.27,396.25,-124.35,-41.02,243.81,-0.96,-243.21,-123.61,10.93,119.34,272.19,-180.37,-129.98,-76.39,-107.91
