,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Zysk netto akcjonariuszy jednostki dominującej,,,,,72.42,238.93,-816.18,-130.21,1100.51,35.49,343.74,2266.51,-80.34,-4.59,40.17,-64.67,359.33,46.96,88.15,191.44,97.37,-53.57,-17.69,10.17,-51.21,-18.34,27.64,48.7,285.12,475.59,112.76,56.61,60.47,13.69,-8.38,-47.53,-66.12,-31.79,43.37,21.47
Aktywa trwałe,,,,,3.5,,,31.6,37.26,32.2,28.89,14.34,9.16,6.72,6.58,3.08,3.28,3.36,2.22,13.62,18.97,16.07,15.79,6.37,2.94,2.74,2.64,-2.4,-3.86,-1.51,2.04,2.27,3.64,3.96,13.05,69.0,69.82,64.72,48.84,-0.47
Wartości niematerialne i prawne,,,,,17.39,,,34.61,40.75,35.25,50.92,9.43,4.49,-0.08,-1.19,1.25,1.56,3.47,5.94,17.07,18.27,16.33,15.02,1.01,0.13,-0.08,0.88,0.16,0.0,-0.04,0.52,1.15,1.34,0.31,11.35,70.34,71.94,72.88,53.27,-1.51
Rzeczowe składniki majątku trwałego,,,,,2.35,,,4.72,4.56,4.95,5.59,12.19,10.67,12.08,10.7,8.83,6.85,-2.56,-7.4,-7.56,-7.36,33.36,26.66,82.79,104.35,53.25,57.63,0.4,-10.77,-15.96,-4.98,-4.53,-0.98,-1.17,-5.12,7.06,8.6,9.83,7.64,-2.11
Należności długoterminowe,,,,,-100.0,,,,,,,,,,,,,175.0,227.88,223.23,222.52,-44.76,-62.17,-58.48,-40.22,64.56,106.98,-3.37,249.07,202.31,193.26,271.64,2.54,-2.93,18.65,66.4,65.01,70.12,42.09,-65.65
Inwestycje długoterminowe,,,,,,,,,,-100.0,,,,,,549.03,423.2,-15.83,3.87,3.62,56.94,59.27,114.81,113.43,33.28,-6.29,-71.88,-71.78,-70.68,-22.21,189.68,169.97,212.96,219.79,124.39,258.3,220.32,56.22,52.93,15.71
Pozostałe aktywa trwałe,,,,,-98.35,,,45.79,134.49,33.6,-97.15,1642.71,1308.12,1066.87,1706.06,-14.93,-11.94,31.0,-52.13,-17.55,78.37,-45.69,-92.53,-97.3,-98.23,-90.15,42.75,361.8,40.05,638.7,21.4,-55.64,163.05,-61.5,32.25,218.21,17.8,-10.31,85.37,16.31
Aktywa obrotowe,,,,,-2.56,,,31.61,30.62,-21.9,-13.25,9.64,17.83,16.92,-10.04,15.7,19.36,36.99,31.92,47.36,28.72,13.27,45.03,13.01,23.26,21.02,45.16,51.1,69.6,16.99,-5.61,-0.29,-3.54,63.24,64.4,34.25,36.47,31.57,15.94,17.09
Zapasy,,,,,,,,,,,,,,,,,,,,,,,76.3,-62.3,-67.78,-62.34,-57.85,462.28,809.33,885.52,1064.33,142.43,127.28,154.68,109.53,54.67,29.0,-0.89,-3.82,4.94
Należności krótkoterminowe,,,,,-15.81,,,16.78,31.92,22.55,20.97,23.25,6.67,10.36,15.75,23.2,23.32,26.57,7.17,45.69,45.55,39.66,51.32,15.85,4.21,-22.15,2.87,0.23,9.1,43.29,22.51,25.88,25.68,19.8,28.82,24.06,39.71,38.67,23.59,10.61
Inwestycje krótkoterminowe,,,,,37.64,,,57.19,28.22,-55.03,-36.15,-7.78,39.16,30.23,-42.74,2.86,13.56,54.92,90.52,43.54,-3.3,-27.53,35.18,10.9,73.81,123.8,94.71,154.64,148.99,-5.56,-26.52,-28.1,-26.73,117.24,96.43,46.91,33.82,29.35,19.13,26.93
Środki pieniężne i inne aktywa pieniężne,,,,,37.64,,,57.19,28.22,-55.03,-36.15,-7.78,39.16,30.23,-42.74,2.86,13.56,54.92,90.52,43.54,-3.3,-27.53,35.18,10.9,73.81,123.8,94.71,154.64,148.99,-5.56,-26.52,-28.1,-26.73,117.24,96.43,36.99,26.8,23.69,12.51,29.14
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,-100.0,
Aktywa razem,,,,,2.55,,,31.6,36.28,20.49,20.24,13.64,10.39,8.16,4.12,4.89,5.72,8.46,6.02,18.97,20.64,15.53,20.44,7.68,6.65,6.17,10.79,8.63,11.65,2.45,0.12,1.54,1.34,18.46,25.2,59.22,59.64,53.55,38.62,3.69
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-8.46,35.28,32.72,46.08,48.47,1.28,7.21,14.73,13.1,7.41,6.17,2.09,3.93,6.57,10.34,14.14,14.88,12.05,10.17,9.58,7.81,14.91,15.31,17.13,20.89,17.99,22.31,24.22,25.46,27.17,24.22,19.39,16.83,8.82,3.69,1.23
Kapitał (fundusz) podstawowy,,,,,229.63,,,14.78,13.4,0.0,0.0,1.49,1.56,1.98,2.05,0.63,0.56,0.28,0.35,0.42,0.49,0.35,0.28,0.14,0.21,0.28,0.21,0.41,0.41,0.48,0.48,0.34,0.27,0.14,0.21,0.14,0.14,0.14,0.07,0.07
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,0.5,,,50.22,48.86,0.0,0.0,1.73,1.86,2.37,2.55,0.93,0.8,0.6,0.71,0.67,0.77,0.61,0.42,0.33,0.47,0.56,0.68,0.78,1.02,0.97,0.84,0.8,0.4,0.29,0.27,0.27,0.24,0.2,0.16,0.14
Udziały niekontrolujące,,,,,290.21,274.36,289.26,35.79,34.78,41.14,41.42,5.05,12.15,1.55,2.72,18.29,-66.71,-59.95,-80.61,-45.17,83.99,65.9,255.97,14.66,15.16,1.98,5.41,-9.88,-6.1,13.49,6.82,32.0,37.25,43.93,148.61,262.7,236.64,213.28,-1.19,-33.57
Zobowiązania długoterminowe,,,,,14.29,,,18.69,30.3,48.32,41.48,12.51,5.48,2.57,-13.47,-6.92,3.14,-1.02,17.51,31.65,27.25,22.56,22.06,5.32,2.34,12.82,12.46,2.21,1.06,-29.68,-29.5,-30.71,-34.29,-14.05,-13.02,112.71,135.53,128.63,139.9,-1.21
Z tytułu dostaw i usług,,,,,-11.58,,,3.83,5.95,37.17,85.11,25.93,15.0,50.2,82.83,106.7,71.41,70.62,-17.05,6.4,12.71,1.25,51.95,-2.13,5.55,-29.05,-6.56,4.32,11.67,40.49,7.29,3.08,6.94,44.21,88.88,66.69,84.63,81.24,12.62,17.87
Kredyty i pożyczki,,,,,29.07,,,94.16,52.99,7.93,-31.6,2.09,15.6,-10.12,-5.65,-65.97,-51.69,-24.83,-13.84,139.4,52.46,22.86,2.57,11.3,34.2,-25.52,-7.64,-2.65,17.34,75.14,-9.74,-2.35,-22.32,37.13,100.53,343.48,192.55,146.15,237.78,25.57
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,48.21,52.67,-0.65,-3.91,-3.91,-2.09,1.7,-2.69,5.46,16.98,18.79,41.77,39.06,53.04,33.51
Inne zobowiązania długoterminowe,,,,,-8.04,,,116.3,166.08,115.69,78.97,54.41,33.48,14.96,-25.97,-33.28,-73.16,-68.39,-59.64,-35.11,103.12,62.17,90.11,1.05,-20.0,-21.58,-22.04,-17.61,-16.54,-16.62,-12.43,-4.83,-19.63,-5.28,-9.46,36.29,51.21,30.1,29.37,-11.17
Zobowiązania krótkoterminowe,,,,,-1.93,,,28.38,19.54,24.6,13.71,14.63,15.17,28.36,51.28,47.07,28.93,44.49,-15.49,14.66,19.55,9.32,43.79,7.7,12.81,-23.95,-3.55,2.31,11.8,41.21,5.72,3.44,1.53,38.74,81.91,104.75,96.06,88.23,45.77,19.97
Inne zobowiązania krótkoterminowe,,,,,14.01,,,26.57,18.02,16.8,7.9,-8.9,14.2,23.96,67.05,108.73,93.68,-0.38,-0.47,-29.66,33.38,18.89,-15.03,-4.82,-57.51,4.97,2.74,-8.1,13.19,36.24,51.6,45.0,48.48,1.59,27.48,31.31,8.13,22.91,-5.81,-20.12
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,2.55,155.43,157.52,31.6,36.28,20.49,20.24,13.64,10.39,8.16,4.12,4.89,5.72,8.46,6.02,18.97,20.64,15.53,20.44,7.68,6.65,6.17,10.79,8.63,11.65,2.45,0.12,1.54,1.34,18.46,25.2,59.22,59.64,53.55,38.62,3.69
Przepływy pieniężne z działalności operacyjnej,,,,,2000.0,502.17,148.17,13.69,10.16,280.99,0.19,4.04,50.77,-41.95,1.49,5.1,32.65,103.86,67.22,-22.42,24.87,53.82,-2.16,17.83,13.28,-14.47,-6.22,86.26,27.47,36.78,8.83,-7.57,-5.45,16.69,9.47,18.23,50.44,80.82,29.5,7.01
Amortyzacja,,,,,133.66,35.44,23.42,36.62,39.59,36.04,43.97,37.42,31.49,33.57,22.39,22.37,9.55,3.26,13.5,12.38,40.58,49.18,45.83,36.51,11.44,1.85,-2.55,-5.8,-7.68,-0.95,5.84,12.12,12.86,15.05,7.59,50.33,66.58,64.33,57.66,4.43
Przepływy pieniężne z działalności inwestycyjnej,,,,,98.36,-438.42,-110.31,-114.94,-287.6,-8.76,60.54,71.4,28.82,22.71,-21.15,43.58,-589.32,28.49,-359.1,-300.61,52.32,-3.03,66.08,64.97,46.95,-49.2,23.66,105.37,21.9,-10.0,-237.2,-1794.92,92.22,34.26,8.81,-2323.26,-2171.69,-66.42,-192.36,91.29
CAPEX (niematerialne i rzeczowe),,,,,-98.4,463.81,110.32,103.84,281.64,9.99,-60.3,-106.88,-27.64,-70.65,21.84,193.52,6.25,-9.87,-4.49,18.5,10.14,48.93,20.31,104.27,14.0,10.27,7.52,-13.4,-23.72,6.25,111.62,48.5,29.59,30.63,-15.3,70.66,44.82,56.41,32.12,-3.58
Przepływy pieniężne z działalności finansowej,,,,,-104.25,22641.92,-132.48,-3.34,31.2,-97.61,27.56,-124.12,14.84,98.5,-499.09,105.73,968.47,-168.48,43.42,9114.63,-113.66,-1529.21,48.68,-121.26,28.03,106.15,49.25,-92.98,202.15,-7053.38,-159.32,67.32,-238.83,98.47,-260.58,6403.54,-122.79,-834.66,51.46,-105.87
Emisja akcji,,,,,-99.06,,,,-100.0,-100.0,4233.03,,,,-100.0,-100.0,,,,,,,,,,,,70.53,,,,-91.05,-84.2,-61.8,-21.66,2.96,-46.34,-47.47,-66.82,-39.23
Dywidenda,,,,,-100.0,,,,,,,,,,,,,,-12.44,,,,-100.0,,,-100.0,,,,,,,,-100.0,,,,,108.54,
Przepływy pieniężne razem,,,,,-110.4,774.08,102.01,-272.32,-515.02,-101.04,43233.33,77.51,164.15,-640.11,-216.3,325.73,80.57,477.07,4.36,-45.86,-169.4,-121.4,235.25,-141.17,373.59,765.74,26.4,1076.83,152.07,-723.02,-114.43,-34.89,-5.34,138.6,-705.23,-220.89,-21.68,48.9,-81.37,86.6
