,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Kapitał (fundusz) podstawowy,0.0,9400.0,9400.0,11700.0,11700.0,11700.0,11700.0,12945.0,12945.0,12945.0,12945.0,13012.0,13012.0,13012.0,13012.0,13012.0,13012.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0,13062.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,61741.0,73553.0,47399.0,47399.0,114519.0,149189.0,206465.0,206465.0,206805.0,206942.0,243222.0,243376.0,243530.0,243530.0,300550.0,300550.0,300461.0,300461.0,359175.0,359175.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0,106299.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,77312.0,76992.0,77565.0,78732.0,79727.0,105153.0,108093.0,105218.0,44411.0,42746.0,41393.0,110524.0,112730.0,149723.0,156743.0,155511.0,156413.0,156063.0,152055.0,147635.0,90926.0,83163.0,91825.0,171903.0,180133.0,179981.0,233954.0,251613.0,269396.0,214489.0,199977.0,212970.0,291572.0
Z tytułu dostaw i usług,0.0,42563.0,68112.0,78535.0,60633.0,59104.0,83134.0,74748.0,67665.0,67141.0,79116.0,103470.0,85728.0,97912.0,120418.0,104322.0,89228.0,65761.0,107225.0,139478.0,131788.0,103904.0,193274.0,130345.0,120546.0,94878.0,170075.0,145535.0,134100.0,130215.0,220084.0,231812.0,218491.0,154107.0
Kredyty i pożyczki,0.0,31357.0,33691.0,1141.0,33149.0,37239.0,43282.0,11177.0,55549.0,130135.0,132595.0,110566.0,67016.0,68634.0,78972.0,68366.0,78946.0,83582.0,68469.0,12398.0,10060.0,76597.0,102911.0,106741.0,76384.0,168928.0,171760.0,113256.0,155329.0,210616.0,136160.0,132951.0,111416.0,196135.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,2790.0,0.0,2963.0,3501.0,3505.0,4682.0,5482.0,5821.0,6611.0,7004.0,7166.0,8830.0,7774.0,15322.0,17957.0,19526.0,21818.0,34134.0,23465.0,29853.0,26706.0,27849.0,28571.0,32749.0,32509.0,32655.0,35032.0,21924.0,39021.0,40717.0,37977.0,37747.0,37306.0
Inne zobowiązania długoterminowe,0.0,172.0,172.0,346.0,902.0,1134.0,144.0,172.0,595.0,1625.0,221.0,238.0,895.0,3169.0,757.0,699.0,1961.0,5370.0,1175.0,1391.0,2807.0,7303.0,2462.0,6118.0,9975.0,13627.0,2798.0,6515.0,10997.0,18101.0,6702.0,13131.0,22763.0,35013.0
Zobowiązania krótkoterminowe,0.0,78986.0,108079.0,85532.0,99652.0,101714.0,135548.0,95138.0,132371.0,206391.0,223797.0,233650.0,172996.0,183107.0,230429.0,216982.0,208024.0,202916.0,223429.0,199330.0,193887.0,216100.0,360042.0,327059.0,292881.0,367141.0,463068.0,369973.0,407791.0,458062.0,495841.0,485254.0,443801.0,456159.0
Inne zobowiązania krótkoterminowe,0.0,2276.0,6276.0,2893.0,2369.0,1866.0,4450.0,3731.0,3336.0,2504.0,5082.0,12448.0,11422.0,8787.0,15717.0,26337.0,20324.0,31755.0,13601.0,23989.0,22186.0,8893.0,36008.0,61402.0,63202.0,70826.0,88578.0,76150.0,96438.0,78210.0,98880.0,82514.0,76147.0,68611.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,72023.0,232365.0,268024.0,306597.0,331083.0,342149.0,411636.0,442590.0,487359.0,505422.0,534190.0,560828.0,585368.0,610999.0,710806.0,716208.0,721577.0,731526.0,764426.0,768911.0,795638.0,789953.0,963767.0,982021.0,1078768.0,1202770.0,1348674.0,1342422.0,1451309.0,1570282.0,1596019.0,1615875.0,1652849.0,1793923.0
Przepływy pieniężne z działalności operacyjnej,2960.0,-6760.0,-4053.0,-4539.0,-39018.0,3039.0,-25895.0,-7477.0,-36838.0,-9002.0,-1377.0,43518.0,-27572.0,7871.0,3662.0,15500.0,306.0,-4131.0,37681.0,74787.0,6583.0,8851.0,-7422.0,24407.0,-27535.0,-85781.0,24305.0,71906.0,-6715.0,-39432.0,161731.0,45263.0,48839.0,-75748.0
Amortyzacja,978.0,1080.0,1140.0,1171.0,1232.0,1358.0,1402.0,1607.0,1796.0,1901.0,2070.0,2128.0,2150.0,2318.0,4176.0,4722.0,4990.0,6196.0,5655.0,5676.0,6054.0,6120.0,6142.0,6393.0,6805.0,6837.0,7388.0,7930.0,8385.0,9146.0,9976.0,10448.0,11191.0,11889.0
Przepływy pieniężne z działalności inwestycyjnej,-1017.0,-995.0,-489.0,257.0,-747.0,248.0,-5270.0,-6081.0,-2244.0,-2378.0,-1953.0,-97.0,-2900.0,-225.0,-2081.0,-2170.0,-3884.0,-4955.0,-1177.0,-1418.0,-4880.0,-2796.0,-5524.0,-792.0,-5550.0,-6224.0,-10785.0,-10346.0,-6812.0,-9691.0,-8828.0,-10054.0,-11270.0,-7595.0
CAPEX (niematerialne i rzeczowe),1120.0,1011.0,771.0,1176.0,1042.0,2288.0,4632.0,4453.0,2253.0,1222.0,479.0,1011.0,2961.0,643.0,2010.0,2260.0,3865.0,5224.0,1220.0,1424.0,4755.0,2588.0,3205.0,3332.0,5553.0,6362.0,7428.0,10356.0,10534.0,9716.0,5377.0,13597.0,11409.0,7596.0
Przepływy pieniężne z działalności finansowej,3332.0,4820.0,197.0,14721.0,29590.0,794.0,29175.0,26537.0,37980.0,7175.0,-1192.0,-24727.0,17007.0,-3152.0,3495.0,-19422.0,3560.0,14220.0,-34036.0,-68981.0,-10099.0,-9256.0,18283.0,-17779.0,27261.0,82370.0,5583.0,-54536.0,825.0,53681.0,-134741.0,-60306.0,-31832.0,87011.0
Emisja akcji,0.0,0.0,0.0,50600.0,0.0,0.0,0.0,58677.0,0.0,-300.0,0.0,1336.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13062.0,0.0,0.0,19593.0,0.0,0.0,0.0,19593.0,0.0,0.0
Przepływy pieniężne razem,5275.0,-2935.0,-4345.0,10439.0,-10175.0,4081.0,-1990.0,12979.0,-1102.0,-4205.0,-4522.0,18694.0,-13465.0,4494.0,5076.0,-6092.0,-18.0,5134.0,2468.0,4388.0,-8396.0,-3201.0,5337.0,5836.0,-5824.0,-9635.0,19103.0,7024.0,-12702.0,4558.0,18162.0,-25097.0,5737.0,3668.0
