,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Koszty finansowe,,,,,,,,-100.0,25.0,175.0,366.67,,-60.0,4.55,137.5,-54.9,575.0,330.43,726.32,721.74,77.78,77.78,41.4,-156.61,270.83,115.91,112.16,954.21,493.82,860.0,-196.39,-0.55,-35.0,-112.28,609.03,-258.09,431.3,-212.72,-135.31,116.42,-14.52,-43.4,80.02,79.24,-80.13,126.68,247.85,1097.4,187.9,355.97,-18.26,-68.53
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,54.17,-2500.0,-312.41,-38.89,-26.14,-153.85,-192.78,-27.91,-108.71,16.91,-36.15,-8.2,-101.15,34.07,-94.91,88.63,-46.42,-265.36,13.0,-27754.24,-527.8,-398.73,-572.65,60.88,-11.66,-114.36,16.08,14.01,-4.43,37.72,-50.69,7.69,-32.43,34.27,45.5,-3.36,13.96,77.27,-71.41,257.66,143.58,304.97,67.62,-41.71,121.3,197.87,314.48,-49.62
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,54.17,-2500.0,-312.41,-38.89,-26.14,-153.85,-192.78,-27.91,-108.71,16.91,-36.15,-8.2,-101.15,34.07,-94.91,88.63,-46.42,-265.36,13.0,-27754.24,-527.8,-398.73,-572.65,60.88,-11.66,-114.36,16.08,14.01,-4.43,37.72,-50.69,7.69,-32.43,34.27,45.5,-3.36,13.96,77.27,-71.41,257.66,143.58,304.97,67.62,-41.71,121.3,197.87,314.48,-49.62
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,53.98,-2526.32,-351.28,-21.51,-26.32,-147.7,-190.14,-38.04,-108.93,13.92,-36.58,-4.37,-99.15,44.55,-100.52,82.16,-51.72,-325.25,18.92,-17959.34,-505.89,-398.92,-598.57,60.88,-11.66,-114.36,16.08,14.01,-4.43,37.72,-50.69,7.69,-32.43,34.27,45.5,-3.36,13.96,77.27,-71.41,334.49,143.58,304.97,67.62,-57.71,121.31,197.85,314.48,-108.28
Zysk netto akcjonariuszy jednostki dominującej,,,,,53.98,-2526.32,-351.28,-21.51,-26.32,-147.7,-190.14,-38.04,-108.93,13.92,-36.58,-4.37,-99.15,44.55,-100.52,82.16,-51.72,-325.25,18.92,-17959.34,-505.89,-398.92,-598.57,60.88,-11.66,-114.36,16.08,14.01,-4.43,37.72,-50.69,7.69,-32.43,34.27,45.5,-3.36,13.96,77.27,-71.41,334.49,143.58,304.97,67.62,-57.71,121.31,197.85,314.48,-108.28
Aktywa trwałe,,,,,420.32,489.66,440.54,99.8,97.56,37.34,89.87,91.44,107.12,144.17,107.94,109.35,93.21,61.72,48.95,35.86,31.11,28.09,22.65,-62.34,-63.88,-63.88,-65.59,6.23,6.23,-0.19,-0.7,0.12,2.05,3.08,0.84,0.95,-1.98,-3.49,-4.59,-9.15,-8.89,0.51,15.84,53.05,56.75,43.41,29.93,2.11,0.46,5.14,13.38,13.28
Wartości niematerialne i prawne,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,-26.04,-30.74,-28.41,-26.67,-24.28,-10.81,-7.2,-9.09,-8.63,-19.53,-10.66,-27.22,-33.47
Rzeczowe składniki majątku trwałego,,,,,,,,37.67,23.02,-0.13,82.84,165.45,267.27,416.44,297.63,232.0,156.67,79.19,36.04,13.9,7.9,-3.23,-4.3,-5.48,-4.37,2.13,4.95,6.12,6.11,-0.07,-0.58,0.23,2.17,3.37,1.11,-1.04,-3.86,-5.52,-6.52,-8.94,-8.6,1.04,16.62,35.83,39.05,26.83,14.91,1.18,-0.6,4.66,14.24,25.23
Należności długoterminowe,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,5.45,,,,-5.17,0.0,0.0,153.64,157.27,76.36,76.36,-29.39,-30.74,-43.3,-43.3,-100.0,-100.0,0.0,0.0,,,77.27,77.27,5.64,5.64,5.64,5.64,3.88,4.85,6.8,9.22,21.03,22.22,21.82
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,129.37,132.6,51.73,92.68,71.38,68.71,76.8,48.27,57.38,60.16,49.33,59.98,55.52,50.6,55.32,42.06,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,9.48,9.48,9.48,9.47,-64.8
Aktywa obrotowe,,,,,-63.27,-79.84,-64.36,-37.9,-67.21,703.21,132.76,84.34,96.7,-22.15,77.39,25.51,126.54,-63.02,-74.95,-16.1,-11.37,-34.66,-15.61,85.65,116.35,485.13,175.03,-56.69,759.97,166.81,351.29,623.43,-71.03,-55.35,-56.93,-44.15,-49.61,-63.56,-66.23,-70.78,434.8,861.11,833.79,599.7,-56.02,-66.45,-1.28,-0.25,46.62,28.64,1.97,10.06
Zapasy,,,,,-32.79,-21.31,-51.52,100.0,141.46,62.5,140.62,993.88,751.52,3900.0,7016.88,325.65,437.72,126.73,-65.27,-31.65,-31.19,-55.91,63.9,35.68,99.45,140.72,179.64,69.16,40.96,27.73,9.83,43.85,17.71,-6.67,-17.88,-14.49,-23.89,-32.28,-22.93,-32.14,-45.42,96.55,220.11,41.32,110.45,-40.5,-64.73,0.38,-9.13,7.77,13.22,-19.28
Należności krótkoterminowe,,,,,66.36,17.6,13.8,-30.24,4.37,-29.68,236.83,443.67,103.2,154.24,-10.98,-62.8,41.51,-60.62,-32.02,9.52,-45.52,4.36,-30.71,42.26,-6.65,164.89,68.12,-56.96,47.1,361.64,4.15,58.04,-20.28,-80.37,-38.32,9.02,16.25,-64.15,-24.65,-7.04,3901.17,4210.03,207.47,608.97,-77.25,-73.71,1119.81,-23.8,-69.91,-19.82,-78.67,128.9
Inwestycje krótkoterminowe,,,,,-67.43,-91.56,-58.83,-45.37,-93.77,2354.29,99.41,-19.85,-88.44,-44.56,77.19,92.82,2632.56,-99.74,-91.77,-12.64,215.66,1889.13,-95.85,144.09,250.96,2634.32,3579.69,-93.0,1231.63,172.18,2787.05,5527.94,-76.52,-54.76,-64.88,-52.12,-61.62,-73.47,-87.93,-91.44,-78.21,845.69,2852.05,1933.7,432.14,-71.15,-87.5,10.12,283.49,72.51,685.53,-10.85
Środki pieniężne i inne aktywa pieniężne,,,,,-67.43,-91.56,-58.83,-45.37,-93.77,2354.29,99.41,-19.85,-88.44,-44.56,77.19,92.82,2632.56,-99.74,-91.77,-12.64,215.66,1889.13,-95.85,144.09,250.96,2634.32,3579.69,-93.0,1231.63,172.18,2787.05,5527.94,-76.52,-54.76,-64.88,-52.12,-61.62,-73.47,-87.93,-91.44,-78.21,845.69,2852.05,1933.7,432.14,-71.15,-87.5,10.12,283.49,72.51,685.53,-10.85
Pozostałe aktywa obrotowe,,,,,-90.29,-87.33,-95.96,118.11,98.45,0.67,-6.96,-14.88,78.18,205.99,397.24,64.84,19.97,-30.8,-77.83,-36.0,-21.26,-40.31,112.14,-72.83,-61.57,-70.7,307.91,-8.51,1264.26,61.68,-85.76,551.16,-75.1,102.22,148.99,-18.81,-14.89,-12.27,-11.76,11.88,305.0,-10.44,25.46,753.74,127.71,1189.51,420.29,-10.95,23.77,32.0,-35.17,-46.03
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,4.39,26.33,36.22,47.2,47.7,123.77,98.86,90.3,106.42,66.68,100.45,96.26,95.35,34.58,22.06,30.67,27.96,24.34,20.94,-52.86,-54.61,-46.63,-58.11,-9.65,190.93,57.34,71.13,75.53,-50.88,-31.05,-30.25,-21.54,-22.33,-26.21,-25.07,-31.02,114.11,161.29,138.31,135.23,-21.33,-32.08,11.62,1.05,18.33,13.12,7.46,11.86
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-4.93,-7.21,-9.11,-10.41,-10.91,177.43,177.23,185.33,186.78,50.03,50.23,91.69,91.58,19.88,18.73,27.91,27.57,40.19,41.64,-97.08,-107.27,-115.78,-125.79,-1552.35,-651.01,419.38,266.35,177.81,139.6,-84.91,-110.84,-151.21,-252.76,-602.71,-878.57,-258.61,194.82,160.7,126.33,168.89,54.63,106.98,275.37,43.51,53.03,64.28,95.8,53.94
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,37.68,37.68,37.68,37.68,8.32,8.32,13.68,13.68,4.96,4.96,3.33,3.33,6.48,9.26,5.73,5.73,2.61,0.0,0.0,0.0,16.27,16.27,16.27,16.27,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,17.7,17.7,17.7,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,-6.36,-6.36,159.63,177.28,177.28,177.28,49.45,49.43,87.19,87.19,19.85,19.86,11.58,11.58,28.08,42.29,22.03,22.03,-97.99,-98.19,-98.19,-98.19,4173.17,4173.17,4173.17,4173.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.99,117.99,117.99,117.99,0.0,0.0,0.0,0.0,9.77,9.77,9.77
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-51.28,-51.28,-51.28,-100.0,-100.0,-100.0,-100.0,,,,,,,,,142.19,142.19,115.62,90.38,8970.97,9300.0,10378.99,15289.9,15.46,8.02,132.09,115.81,122.2,123.76,26.07,38.34,35.14,35.58,16.61,9.64,4.91,6.53,16.28,15.18,-31.97,-29.24,-36.92,-30.28,1.66,-2.61,-4.31,-12.71,-0.59
Z tytułu dostaw i usług,,,,,,,,179.52,,,,-60.91,,,,215.98,,,,160.63,,,,17.62,,,,35.03,40.15,-6.76,-12.93,-9.33,-24.48,-18.12,6.72,24.68,55.59,49.15,30.11,-13.32,13.4,-34.08,-21.23,28.24,-59.38,30.84,151.3,-44.88,4.6,-82.29,-89.04,-38.02
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.28,913.26,-98.41,-98.21,-98.52,-99.65,11.98,-5.84,1656.67,1697.27,1555.72,2452.58,97.22,18.47,0.59,-28.83,-51.09,-18.13,-2.85,-34.7,-99.11,-99.14,-99.11,367.75,22916.91
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,51.28,,,,-100.0,,,,,,,,384.38,,,,10.97,,,,455.23,534.64,66.44,122.97,38.64,36.87,26.88,36.97,59.74,54.85,36.5,21.93,11.49,-4.86,-6.31,-3.78,-59.5,-39.07,0.2,6.47,93.3,-20.79,-83.37,-15.08,-16.41
Inne zobowiązania długoterminowe,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,-13.88,-14.34,128.15,133.08,170.62,178.68,30.61,45.23,36.97,37.09,18.24,10.68,7.3,8.6,18.64,15.82,-33.0,-31.97,-38.42,-34.85,-3.07,-4.79,-7.51,-12.09,3.32
Zobowiązania krótkoterminowe,,,,,173.51,-73.46,-61.9,149.87,466.34,157.1,91.19,0.4,69.84,817.47,4622.44,106.58,86.58,174.12,-18.08,58.87,50.94,-27.46,14.53,501.18,276.89,616.28,268.13,63.86,272.3,-40.99,-42.27,-44.75,-79.0,-4.66,7.93,29.88,41.54,38.21,34.93,21.06,31.97,53.35,28.38,-8.07,-42.3,-62.1,-4.13,-22.71,-0.73,-39.17,-32.73,-25.55
Inne zobowiązania krótkoterminowe,,,,,,,,-78.81,,,,7115.62,,,,38.2,,,,-86.87,,,,11138.42,,,,-15.03,-11.91,12.09,11.53,18.76,22.94,-0.4,7.86,0.07,6.63,4.61,-4.25,11.27,46.19,113.43,76.67,7.15,-42.24,-85.48,-28.23,4.97,33.1,82.1,-62.46,-75.58
Rozliczenia międzyokresowe,,,,,48.24,275.42,263.7,249.02,214.31,40.25,9.68,11.21,25.94,80.11,81.24,106.08,108.28,36.35,67.88,31.94,20.45,15.17,-11.21,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,4.39,26.33,36.22,47.2,47.7,123.77,98.86,90.3,106.42,66.68,100.45,96.26,95.35,34.58,22.06,30.67,27.96,24.34,20.94,-52.86,-54.61,-46.63,-58.11,-9.65,190.93,57.34,71.13,75.53,-50.88,-31.05,-30.25,-21.54,-22.33,-26.21,-25.07,-31.02,114.11,161.29,138.31,135.23,-21.33,-32.08,11.62,1.05,18.33,13.12,7.46,11.86
Przepływy pieniężne z działalności operacyjnej,,,,,,,,88.97,-82.54,78.63,-647.34,-110.58,144.72,-433.51,50.8,-161.79,-398.34,68.34,-47.95,-72.5,-149.29,-211.79,74.61,164.7,-12.65,-28.43,-448.64,-232.23,-55.33,-37.1,107.35,41.04,27.67,62.86,-464.85,-44.91,23.54,8.91,-92.01,-2.22,239.23,-741.68,276.53,-138.15,-287.76,115.14,-120.17,387.9,164.55,-475.06,275.13,-102.31
Amortyzacja,,,,,116.5,75.54,11.76,-1.57,12.11,7.79,9.72,14.34,10.0,4.94,8.12,1.74,6.55,173.19,443.69,460.96,456.31,116.58,-0.06,27.23,8.53,17.09,33.73,7.25,27.25,49.84,27.57,26.62,20.08,-1.82,2.03,-0.25,-1.33,-7.22,-18.15,-19.09,-18.19,-17.82,-6.79,5.3,16.09,17.67,-4.92,-20.58,-29.33,-31.89,-1.69,-10.21
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,,92.83,93.83,59.31,-1809.37,-1576.1,-16593.33,-1424.21,-105.53,-168.27,65.5,63.08,76.4,81.5,80.32,93.44,92.64,25.72,-460.59,-196.73,-1030.69,-12.19,61.91,-38.53,45.45,-81.55,-400.96,-108.07,32.83,59.45,68.66,55.14,22.7,124.12,98.77,-421.48,-1414.84,-4470.55,-16992.86,78.84,74.95,29.43,53.2,-229.08,-400.08,-99.77
CAPEX (niematerialne i rzeczowe),,,,,,,,-95.89,-93.83,-59.31,1802.11,2195.83,2866.67,776.44,209.85,264.85,94.16,-35.8,-84.28,-82.69,-80.32,-93.44,-92.64,-25.72,460.59,154.27,1028.71,23.34,-61.91,61.36,-45.31,69.63,404.96,108.45,-30.87,-60.52,-68.47,-55.14,-24.94,-97.58,-98.79,421.48,1464.14,43506.45,20742.86,-78.84,-75.74,-28.44,-61.62,229.08,400.08,96.99
Przepływy pieniężne z działalności finansowej,,,,,,,,-87.58,-17180.0,408.79,-127.09,-102.14,100.0,7.96,2041.95,41762.5,,-81.94,-16.74,184.04,3154.85,-17.91,-83.8,-55.93,39.89,284.27,-73.98,20.22,1473.06,-461.64,-144.12,-101.99,-100.25,99.14,-90.26,7286.5,-69.1,7.59,97.59,-1.2,-1561.36,17909.77,-5050.0,-106.7,92.48,-100.62,-567.6,-1009.99,40.32,31.74,1023.98,-44.0
Emisja akcji,,,,,,,,,,,-100.0,,,-17.01,,,,-100.0,-100.0,,,,,,,,,,,,,,-100.0,100.0,,,,,,,,,,,,-100.0,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,,,,91.34,-82.44,1510.76,-1477.28,-768.75,13.62,-52.46,104.08,-69.19,-61.97,-106.43,36.45,138.53,59.04,-147.26,-157.18,225.8,23.48,529.6,-2451.41,-115.2,9631.84,-977.88,99.51,-326.52,-110.27,90.61,-6376.64,142.73,30.29,24.72,-59.99,29.78,108.17,1092.44,170.15,-785.21,-3132.01,-94.34,-250.02,218.24,151.73,-840.67,486.13,-183.01
