,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Aktywa razem,,,,,7.87,25.89,51.58,55.52,64.71,51.21,32.96,28.7,31.1,42.36,31.72,45.17,27.73,18.01,34.24,41.43,58.27,63.52,47.36,38.76,20.07,6.01,8.56,-8.43,-10.07,-0.16,-4.97,6.12,22.75,42.33,63.14,48.4,47.17,2.18,-13.88,-8.1,-5.66,11.25
Kapitał własny akcjonariuszy jednostki dominującej,,,,,35.1,28.92,76.99,72.52,69.96,56.47,14.11,16.65,14.61,19.74,22.16,12.38,21.61,20.54,23.11,22.6,13.09,14.38,11.88,21.06,19.96,26.52,26.83,31.89,32.99,20.29,20.13,16.76,14.73,26.46,28.09,21.26,23.02,24.27,21.04,25.65,26.31,21.8
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,30.47,30.47,30.47,30.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,53.39,53.39,53.4,86.71,86.71,86.71,86.71,70.74,70.74,70.74,70.74,2.74,2.74,2.74,2.74,6.41,6.41,6.41,8.08,18.62,18.62,20.59,18.73,1.66,22.12,18.6,19.48,18.52,10.19,-89.67,-89.75,-89.67,-90.75,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,833.02,833.02,833.02,831.92,1.31,1.59,5.26,6.17,5.46
Zobowiązania długoterminowe,,,,,26.83,45.83,10.62,33.48,26.85,151.1,142.08,97.26,87.84,7.13,-47.45,-34.81,-12.74,-11.69,156.84,170.36,128.04,138.76,36.04,26.91,19.14,-23.76,-52.32,-70.9,-61.39,-34.59,48.8,184.58,135.23,118.94,76.68,58.53,31.15,-4.61,-11.74,-22.11,-12.44,8.76
Z tytułu dostaw i usług,,,,,,80.05,,33.82,,-3.12,-18.65,-7.68,-19.33,190.74,455.15,553.62,430.21,10.61,-18.37,0.19,54.99,93.68,101.61,63.96,3.73,-5.89,9.63,-23.57,-22.73,-15.42,-34.07,-21.28,15.16,70.4,118.29,96.97,119.22,-13.04,-36.96,-25.33,-39.55,-10.11
Kredyty i pożyczki,,,,,,4.81,,59.15,,-31.14,-97.24,-47.77,25.27,123.05,2179.89,82.4,-17.35,154.81,225.56,128.65,111.2,-10.04,30.01,17.9,95.46,136.08,159.36,139.91,55.45,13.62,-28.2,-36.36,-27.78,-29.69,-0.86,4.29,-29.63,8.49,-16.72,-7.66,90.54,-7.67
Z tytułu emisji dłużnych papierów wartościowych,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,18.72,,77.0,,59.75,-22.57,74.58,-6.65,170.91,95.64,1299.68,1384.79,351.29,904.6,70.13,69.18,79.77,24.57,20.14,-15.14,-13.89,-27.38,-37.78,123.58,63.57,86.47,-19.53,4.28,-39.47,-26.26,20.45,44.43,181.43,-7.84,31.21,-69.84,-58.92
Inne zobowiązania długoterminowe,,,,,,,,,,,44.89,70.17,71.41,25.74,23.95,-18.96,-8.63,178.84,169.18,246.02,239.09,61.78,63.07,25.48,27.28,32.53,31.55,27.93,-2.0,-20.01,-27.21,-10.25,11.68,95.22,112.13,-4.68,13.84,-61.95,-57.32,-38.87,-49.01,11.42
Zobowiązania krótkoterminowe,,,,,-20.67,17.81,75.9,64.25,96.86,6.92,-7.33,1.88,17.73,110.67,155.54,172.97,64.57,34.05,5.09,15.03,57.8,63.82,79.86,55.02,20.68,14.37,33.48,8.81,0.96,3.01,-25.86,-24.14,1.65,29.47,77.66,59.0,68.46,-6.84,-31.67,-19.52,-18.73,4.92
Inne zobowiązania krótkoterminowe,,,,,,-7.65,,139.46,,96.09,99.79,58.78,46.58,-65.63,-83.02,-83.77,-82.81,81.08,81.2,40.99,-6.72,23.42,38.23,92.0,133.48,24.47,35.8,162.34,34.83,168.22,65.41,-1.87,39.44,9.98,101.23,12.56,25.62,-7.76,-24.26,-2.89,51.73,135.22
Rozliczenia międzyokresowe,,,,,423.99,-2.18,-100.0,-68.19,-100.0,-100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,7.87,25.89,51.58,55.52,64.71,51.21,32.96,28.7,31.1,42.36,31.72,45.17,27.73,18.01,34.24,41.43,58.27,63.52,47.36,38.76,20.07,6.01,8.56,-8.43,-10.07,-0.16,-4.97,6.12,22.75,42.33,63.14,48.4,47.17,2.18,-13.88,-8.1,-5.66,11.25
Przepływy pieniężne z działalności operacyjnej,,,,,21.87,-75.76,-210.76,-177.19,-16.94,-491.97,81.96,260.78,-58.91,295.91,529.95,-320.82,-503.41,-10.73,-280.05,-81.72,377.85,-123.32,86.69,187.55,7.67,517.33,257.73,93.48,-87.54,104.78,-491.12,-173.16,-41.59,172.12,0.67,95.75,1788.04,-27.31,110.92,-515.67,-3.29,-48.4
Amortyzacja,,,,,2.96,27.95,-3.39,4.62,21.29,-10.87,38.78,20.43,38.61,-28.45,14.96,27.02,-8.01,295.87,52.73,70.65,51.79,-4.74,40.29,32.13,13.53,33.68,12.46,15.21,19.95,-13.96,2.9,-18.15,17.89,40.71,27.4,34.47,21.71,34.35,25.72,25.95,-1.98,-20.72
Przepływy pieniężne z działalności inwestycyjnej,,,,,-299.02,95.78,-51.8,2.23,79.32,-5178.38,272.65,-495.39,-595.99,146.72,-146.4,101.13,55.73,-460.46,-193.04,967.95,-209.91,97.92,45.41,-95.6,-113.46,2990.15,10.11,-164.55,98.23,-133.79,-31.71,-1664.79,-2633.64,181.37,-238.9,-525.86,-8.55,-40.15,89.96,80.4,103.43,-248.47
CAPEX (niematerialne i rzeczowe),,,,,424.54,-80.07,114.14,16.03,-57.51,1401.66,-94.52,659.06,234.84,-142.1,1421.21,-99.91,-60.3,455.76,-30.52,4628.57,180.04,-91.48,63.88,-81.87,136.78,-1113.28,-14.66,369.17,-98.29,114.66,-64.99,67.85,124.11,-58.6,1643.44,420.11,151.13,-294.29,-90.05,-48.52,-102.09,269.59
Przepływy pieniężne z działalności finansowej,,,,,69.48,-267.2,441.1,647.38,-161.13,794.22,-79.13,-102.51,202.89,-110.55,-785.6,5509.54,57.97,769.42,196.0,56.62,-213.33,-58.89,-111.42,24.99,205.75,-727.63,-580.42,-172.05,-15.86,81.45,101.67,259.44,-87.86,-385.71,4566.37,-70.56,-4069.5,61.37,-158.86,97.7,158.73,-209.69
Emisja akcji,,,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,-100.0,,,-100.0,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,63.55,-111.21,70.7,2483.08,-12.18,356.42,350.02,-286.45,96.13,872.96,-658.63,123.58,-7831.15,-26.55,79.13,-23.97,213.21,-87.04,-181.31,2954.33,253.04,-749.67,-103.15,-62.44,-17.46,274.59,-43.76,-81.17,-168.61,155.87,51.04,-13.04,-125.17,-7.22,33.42,252.67,434.68,-119.74
