,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pozostałe aktywa trwałe,,,,,,41.18,,-26.49,19.66,6.69,28.88,-20.33,-26.83,-6.42,27.45,27.05,92.17,56.66,19.2,58.5,72.45,56.67,13.58,13.47
Aktywa obrotowe,,,,,,98.93,,92.94,234.08,39.52,62.18,128.13,45.49,97.44,77.74,68.31,32.88,31.48,14.99,24.17,20.25,-0.82,-5.18,-19.85
Zapasy,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,,204.62,,65.47,204.82,63.17,80.3,89.72,7.77,109.52,49.02,85.23,19.59,22.23,13.45,-1.68,-1.77,-18.57,-19.17,-1.55
Inwestycje krótkoterminowe,,,,,,52.79,,152.31,358.1,18.94,42.52,182.57,151.91,83.02,117.18,52.21,48.91,44.13,16.44,54.11,41.58,19.76,7.67,-33.37
Środki pieniężne i inne aktywa pieniężne,,,,,,40.77,,36.08,312.76,-6.92,80.55,487.76,330.18,153.84,156.37,60.47,55.94,37.57,-7.03,35.15,25.46,19.88,22.75,-29.59
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,68.04,,34.05,52.31,10.17,13.96,35.46,18.93,41.86,36.14,32.42,17.32,17.25,9.17,17.06,18.98,13.57,12.33,1.27
Kapitał własny akcjonariuszy jednostki dominującej,,,,,43.44,75.32,38.81,46.74,67.17,2.7,6.11,26.89,18.52,19.12,16.11,17.14,13.43,3.17,9.0,2.46,3.49,8.54,7.51,-3.47
Kapitał (fundusz) podstawowy,,,,,50.0,10.83,10.83,11.83,11.83,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.89,0.3,0.3,0.3
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,248.32,,248.32,248.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,19.05,-138.24,-139.33,30933.33,12205.88,12038.46,9577.14,368.97,55.78,4.41,-11.73,-49.88,-228.73,-288.86,-381.08,-502.12,64.62
Zobowiązania długoterminowe,,,,,,58.04,,-26.15,12.38,7.48,3.53,49.45,1.17,18.33,23.2,-19.14,-22.72,-47.34,-44.15,-15.88,28.35,152.59,184.08,176.34
Z tytułu dostaw i usług,,,,,,171.74,,84.45,157.51,93.95,45.15,65.75,7.15,129.43,73.78,119.65,45.71,62.43,12.98,18.22,89.39,41.43,80.99,47.74
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,-97.55,-99.3,-96.65,,171.05,255.26,252.63,130.43,459.22,-33.33,976.12,9107.55,3659.9,704.44,-47.16,-90.32,-95.48
Inne zobowiązania długoterminowe,,,,,,58.04,,-26.15,12.38,5.86,1.33,42.31,-2.02,4.03,9.54,-16.39,-21.02,-41.89,-38.01,-20.93,24.36,158.33,186.29,192.15
Zobowiązania krótkoterminowe,,,,,,40.51,,13.34,32.62,49.46,39.41,50.17,9.95,105.72,80.52,89.45,34.21,56.03,22.07,70.13,78.55,35.05,34.75,-4.08
Inne zobowiązania krótkoterminowe,,,,,,-40.71,,-25.21,-30.22,4.19,17.98,9.49,24.28,9.96,109.01,-35.64,-23.96,-29.18,-58.83,-37.71,-47.45,-42.52,-70.5,-81.19
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,134.91,68.04,84.6,34.05,52.31,10.17,13.96,35.46,18.93,41.86,36.14,32.42,17.32,17.25,9.17,17.06,18.98,13.57,12.33,1.27
Przepływy pieniężne z działalności operacyjnej,,,,,-81.12,-342.96,470.69,-105.59,347.21,461.05,24.72,2149.79,6.83,17.26,89.58,-4.59,29.34,-52.54,-26.68,439.32,8.31,18.64,21.06,-104.04
Amortyzacja,,,,,-50.12,48.94,115.7,202.71,209.16,119.81,73.75,46.14,23.27,5.25,-5.89,-14.7,-1.5,-0.86,-2.45,-0.16,-12.42,-15.41,0.07,8.37
Przepływy pieniężne z działalności inwestycyjnej,,,,,-173.27,-29.52,-36.84,17.49,52.02,57.8,67.4,131.44,23.25,-92.8,-14.29,-85.08,-19.25,18.03,-66.68,-3775.68,-129.97,-32.27,1.18,-20.88
CAPEX (niematerialne i rzeczowe),,,,,136.68,35.19,-14.09,-20.83,-45.92,-56.34,-46.63,-45.92,-26.26,-5.62,10.79,28.27,92.84,67.69,69.03,177.35,53.57,36.94,46.71,26.07
Przepływy pieniężne z działalności finansowej,,,,,289.2,103.56,88.7,-100.26,-100.32,-100.05,101.41,-1025.0,-125.0,120.0,-268.75,-16802.22,144.44,54800.0,-31274.07,16.03,-516.67,-97.18,-23.57,99.26
Emisja akcji,,,,,,,,,,-100.0,,,,,,,,,,,,,,
Dywidenda,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,-17.37,,,40.22,-100.0
Przepływy pieniężne razem,,,,,-108.1,91.2,74.76,-505.32,318.72,-44.07,173.04,245.55,46.59,-17.74,147.5,-145.08,37.98,-66.83,-171.55,537.6,-67.2,-100.13,-5.97,-177.25
