,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Zysk netto akcjonariuszy jednostki dominującej,1526.0,1184.0,1475.0,1237.0,1730.0,1209.0,1874.0,1239.0,7634.0,5026.0,14807.0,15546.0,6889.0,9778.0,11594.0,16537.0,26214.0,32550.0,21168.0,128043.0,21591.0,29156.0,25515.0,25643.0,42802.0,33186.0,32783.0,36445.0,42089.0,1008.0,30012.0,33560.0,27366.0,15795.0
Aktywa trwałe,0.0,620.0,0.0,1369.0,1540.0,2795.0,4044.0,4595.0,5402.0,5108.0,25275.0,26121.0,25220.0,24311.0,25737.0,25639.0,32283.0,49255.0,47897.0,150428.0,152872.0,201715.0,202957.0,210751.0,216323.0,217828.0,222476.0,217773.0,221441.0,182714.0,161936.0,157861.0,160039.0,135522.0
Wartości niematerialne i prawne,0.0,569.0,0.0,1189.0,1230.0,1684.0,2008.0,2141.0,2196.0,2298.0,1621.0,2001.0,2004.0,2090.0,2206.0,2497.0,2573.0,2659.0,2779.0,1540.0,2956.0,3096.0,3239.0,3108.0,3082.0,3106.0,3106.0,4009.0,3755.0,3498.0,3332.0,3181.0,3507.0,3354.0
Rzeczowe składniki majątku trwałego,0.0,30.0,0.0,146.0,180.0,303.0,330.0,335.0,349.0,323.0,140.0,136.0,101.0,87.0,75.0,61.0,49.0,195.0,185.0,61.0,211.0,256.0,257.0,386.0,930.0,2298.0,2226.0,2154.0,2582.0,4026.0,3891.0,3890.0,3698.0,3491.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,28.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,99.0,699.0,1508.0,1836.0,2562.0,2052.0,22796.0,23614.0,22742.0,22029.0,23366.0,23046.0,29627.0,46296.0,44813.0,148382.0,149511.0,197227.0,198861.0,206773.0,210408.0,211984.0,216323.0,210922.0,210448.0,170226.0,149959.0,143521.0,145109.0,122645.0
Pozostałe aktywa trwałe,0.0,21.0,0.0,34.0,31.0,109.0,198.0,283.0,295.0,435.0,718.0,370.0,373.0,105.0,90.0,35.0,34.0,105.0,120.0,445.0,194.0,1136.0,600.0,484.0,1903.0,388.0,821.0,666.0,4656.0,4964.0,4754.0,7269.0,7725.0,6004.0
Aktywa obrotowe,0.0,16092.0,0.0,19155.0,20181.0,49998.0,51765.0,54267.0,65093.0,71618.0,66918.0,86471.0,80655.0,97497.0,116547.0,136267.0,142580.0,162559.0,189761.0,182513.0,232766.0,256883.0,293907.0,236803.0,281745.0,354328.0,386707.0,418488.0,339747.0,375886.0,430025.0,469077.0,361346.0,399424.0
Zapasy,0.0,7510.0,0.0,10657.0,11508.0,11121.0,10133.0,11811.0,13185.0,16113.0,12715.0,13932.0,13389.0,16730.0,19457.0,22728.0,24773.0,23893.0,27636.0,21318.0,24052.0,29028.0,34509.0,40310.0,44178.0,45379.0,48337.0,52111.0,60521.0,69203.0,76998.0,84245.0,94605.0,94200.0
Należności krótkoterminowe,0.0,1483.0,0.0,2205.0,2271.0,3684.0,4768.0,5116.0,5966.0,7139.0,4807.0,13568.0,8002.0,10154.0,10399.0,17871.0,21679.0,31865.0,36020.0,55715.0,53883.0,46128.0,43156.0,50096.0,51728.0,44930.0,37795.0,60340.0,51545.0,66414.0,66182.0,79783.0,43599.0,66355.0
Inwestycje krótkoterminowe,0.0,6877.0,0.0,5787.0,5793.0,35172.0,36802.0,36959.0,45416.0,47196.0,49042.0,58513.0,58937.0,69627.0,85729.0,94239.0,88749.0,98502.0,123535.0,105218.0,153305.0,180866.0,214580.0,97325.0,183400.0,264019.0,300575.0,306037.0,227681.0,240269.0,286845.0,305049.0,223142.0,238869.0
Środki pieniężne i inne aktywa pieniężne,0.0,6877.0,0.0,5787.0,5793.0,35172.0,36802.0,36959.0,45416.0,47196.0,49042.0,58513.0,58937.0,69627.0,85729.0,94239.0,88749.0,98502.0,123535.0,105218.0,153305.0,180866.0,214580.0,97104.0,136931.0,221698.0,286143.0,240409.0,130385.0,139772.0,273488.0,233278.0,114776.0,136719.0
Pozostałe aktywa obrotowe,0.0,222.0,0.0,506.0,609.0,21.0,62.0,381.0,526.0,1170.0,354.0,458.0,327.0,986.0,962.0,1429.0,7379.0,8299.0,2570.0,262.0,1526.0,861.0,1662.0,49072.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,16712.0,0.0,20524.0,21721.0,52793.0,55809.0,58862.0,70495.0,76726.0,92193.0,112592.0,105875.0,121808.0,142284.0,161906.0,174863.0,211814.0,237658.0,332941.0,385638.0,458598.0,496864.0,447554.0,498068.0,572156.0,609183.0,636261.0,561188.0,558600.0,591961.0,626938.0,521385.0,534946.0
Kapitał własny akcjonariuszy jednostki dominującej,12416.0,13725.0,15026.0,16437.0,18167.0,48189.0,50057.0,51675.0,60220.0,64695.0,78687.0,79333.0,86395.0,97390.0,111498.0,128287.0,117610.0,175009.0,197807.0,271475.0,308566.0,356396.0,383193.0,338178.0,383763.0,438138.0,471631.0,382508.0,420821.0,420287.0,450739.0,356527.0,385420.0,401985.0
Kapitał (fundusz) podstawowy,600.0,600.0,600.0,600.0,600.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,5170.0,0.0,11189.0,11189.0,40631.0,40631.0,46740.0,46740.0,46740.0,48436.0,50649.0,50585.0,50585.0,52916.0,52895.0,55117.0,59802.0,60018.0,93472.0,93472.0,93391.0,102560.0,150574.0,151835.0,32142.0,32142.0,32142.0,32142.0,32142.0,32142.0,32142.0,32142.0,32142.0
Udziały niekontrolujące,750.0,1326.0,1500.0,1922.0,1896.0,1861.0,1784.0,2744.0,3229.0,5532.0,6962.0,10316.0,12712.0,16276.0,21287.0,20933.0,20983.0,24395.0,25986.0,27122.0,38276.0,58921.0,62917.0,61126.0,67306.0,81054.0,86230.0,75216.0,86620.0,83583.0,90414.0,73315.0,76915.0,77053.0
Zobowiązania długoterminowe,0.0,60.0,0.0,90.0,90.0,1409.0,1412.0,398.0,2969.0,66.0,2584.0,2584.0,2843.0,2673.0,2898.0,2878.0,4621.0,6735.0,6973.0,27555.0,27170.0,36507.0,37485.0,38894.0,38942.0,40550.0,41013.0,43076.0,41029.0,41812.0,39739.0,40755.0,41345.0,34810.0
Z tytułu dostaw i usług,0.0,81.0,0.0,457.0,298.0,191.0,198.0,197.0,909.0,1097.0,1506.0,1345.0,1018.0,1328.0,2270.0,1143.0,203.0,2672.0,3698.0,3791.0,3837.0,3393.0,2727.0,5097.0,5202.0,11860.0,7405.0,134173.0,8230.0,10682.0,9778.0,150284.0,14164.0,15441.0
Kredyty i pożyczki,0.0,91.0,0.0,54.0,454.0,0.0,0.0,1749.0,0.0,2301.0,0.0,0.0,63.0,311.0,47.0,19.0,0.0,0.0,0.0,0.0,1626.0,0.0,0.0,86.0,555.0,26.0,340.0,130.0,294.0,374.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,1739.0,291.0,237.0,381.0,370.0,477.0,479.0,479.0
Inne zobowiązania długoterminowe,0.0,60.0,0.0,90.0,90.0,7.0,4.0,398.0,694.0,66.0,2584.0,2584.0,2843.0,2673.0,2898.0,2878.0,4621.0,6735.0,6973.0,27505.0,27170.0,36507.0,37485.0,38894.0,38942.0,40550.0,41013.0,42235.0,40226.0,39632.0,37678.0,38815.0,39526.0,33096.0
Zobowiązania krótkoterminowe,0.0,1601.0,0.0,2075.0,1568.0,1334.0,2556.0,4045.0,4077.0,6433.0,3960.0,20359.0,3925.0,5469.0,6601.0,9808.0,31649.0,5675.0,6892.0,6789.0,11626.0,6774.0,13269.0,9356.0,8057.0,12414.0,10309.0,135461.0,12718.0,12918.0,11069.0,156341.0,17705.0,21098.0
Inne zobowiązania krótkoterminowe,0.0,1429.0,0.0,1564.0,816.0,1143.0,2358.0,2099.0,3168.0,3035.0,2454.0,19014.0,2844.0,3830.0,4284.0,8646.0,31446.0,3003.0,3194.0,2998.0,6163.0,3381.0,10542.0,4173.0,2300.0,189.0,825.0,867.0,3957.0,1481.0,921.0,5580.0,3062.0,5178.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,13166.0,16712.0,16526.0,20524.0,21721.0,52793.0,55809.0,58862.0,70495.0,76726.0,92193.0,112592.0,105875.0,121808.0,142284.0,161906.0,174863.0,211814.0,237658.0,332941.0,385638.0,458598.0,496864.0,447554.0,498068.0,572156.0,609183.0,636261.0,561188.0,558600.0,591961.0,626938.0,521385.0,534946.0
Przepływy pieniężne z działalności operacyjnej,448.0,-1039.0,-756.0,-151.0,-196.0,280.0,1707.0,-159.0,8727.0,552.0,1936.0,24222.0,-502.0,10361.0,8721.0,10562.0,13141.0,10425.0,17144.0,6540.0,18803.0,11348.0,24528.0,20677.0,36673.0,47357.0,36667.0,25164.0,49928.0,4788.0,26939.0,26965.0,54668.0,16488.0
Amortyzacja,16.0,16.0,3.0,28.0,35.0,33.0,44.0,46.0,54.0,73.0,29.0,39.0,47.0,54.0,48.0,141.0,96.0,249.0,184.0,149.0,224.0,129.0,88.0,184.0,276.0,127.0,238.0,347.0,345.0,565.0,385.0,472.0,384.0,415.0
Przepływy pieniężne z działalności inwestycyjnej,14.0,-34.0,-40.0,-106.0,-197.0,-1553.0,-77.0,-14.0,-1958.0,573.0,-90.0,26.0,-12.0,-222.0,368.0,2259.0,-4603.0,-158.0,8381.0,18015.0,7956.0,9277.0,4940.0,-10812.0,-5804.0,28412.0,31687.0,-54786.0,-24767.0,4631.0,106697.0,-48839.0,-38401.0,-31874.0
CAPEX (niematerialne i rzeczowe),-14.0,34.0,40.0,106.0,97.0,153.0,77.0,14.0,68.0,-3.0,250.0,-70.0,0.0,222.0,20.0,209.0,333.0,873.0,204.0,54.0,301.0,293.0,496.0,268.0,408.0,-29.0,96.0,920.0,-8.0,155.0,164.0,1296.0,-438.0,88.0
Przepływy pieniężne z działalności finansowej,850.0,771.0,0.0,-37.0,399.0,30652.0,0.0,330.0,1688.0,655.0,0.0,-14777.0,938.0,551.0,7013.0,-4312.0,-14028.0,-513.0,-491.0,-42872.0,21327.0,6936.0,4246.0,-127341.0,8958.0,8998.0,-3910.0,-16110.0,-135184.0,-32.0,80.0,-18337.0,-134769.0,2761.0
Emisja akcji,850.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25512.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15708.0,0.0,0.0,0.0,3805.0,16434.0,990.0,0.0,62436.0,0.0,6198.0,0.0,84084.0,0.0,45161.0,4000.0,12701.0,8422.0,128360.0,0.0,16682.0,111292.0,24641.0
Przepływy pieniężne razem,1312.0,-302.0,-796.0,-294.0,6.0,29379.0,1630.0,157.0,8457.0,1780.0,1846.0,9471.0,424.0,10690.0,16102.0,8509.0,-5490.0,9754.0,25034.0,-18317.0,48086.0,27561.0,33714.0,-117476.0,39827.0,84767.0,64444.0,-45732.0,-110023.0,9387.0,133716.0,-40211.0,-118502.0,-12625.0
