,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Pozostałe przychody (koszty),,,,,,,,,,,,,36.96,38.71,101.08,-260.56,1.72,0.0,-5800.0,50.0,100.0,100.0,100.0,-140.35,,,,72.99
Zysk z działalności gospodarczej,,,,,128.26,-177.93,442.16,-73.46,-1165.87,20.84,-57.02,547.74,103.92,156.47,-17.0,-49.98,4254.02,590.03,667.87,-100.24,-109.79,-76.05,-78.92,100260.0,-74.12,-332.79,-481.89,50.54
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,128.26,-177.93,442.16,-73.46,-1165.87,20.84,-57.02,547.74,103.92,156.47,-17.0,-49.98,4254.02,590.03,667.87,-100.24,-109.79,-76.05,-78.92,100260.0,-74.12,-332.79,-481.89,50.54
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,128.12,-177.37,447.55,-82.67,-1040.1,20.39,-57.55,814.45,102.93,155.95,-25.58,-50.97,5759.65,404.36,699.11,-106.18,-98.38,-79.9,-85.75,4538.3,-1142.59,-320.43,-647.06,25.81
Zysk netto akcjonariuszy jednostki dominującej,,,,,128.12,-177.37,447.55,-91.31,-932.85,11.04,-60.51,1642.94,102.03,146.93,-27.14,-53.12,8934.29,400.87,618.14,-117.28,-102.25,-84.62,-94.33,1785.83,-1070.42,-432.45,-1939.76,20.14
Aktywa trwałe,,,,,-13.33,82.95,48.09,123.28,142.66,40.72,77.43,-6.02,67.32,50.79,168.4,216.43,64.03,71.47,-4.44,-5.72,31.04,24.32,57.74,57.76,34.53,38.58,20.19,6.69
Wartości niematerialne i prawne,,,,,-40.03,-31.63,-36.29,287.99,314.44,362.26,418.3,10.69,164.84,113.24,325.71,286.54,60.31,87.39,-9.59,-24.41,-12.35,-13.98,19.59,55.49,49.69,43.44,16.53,-1.8
Rzeczowe składniki majątku trwałego,,,,,-37.97,65.33,117.35,141.5,156.83,22.0,-2.99,-9.11,-13.83,17.09,17.8,43.51,66.3,-8.63,-4.37,40.63,77.36,88.53,124.38,22.4,39.35,39.23,7.94,26.23
Należności długoterminowe,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,-45.37,-25.28,23.61,129.81
Inwestycje długoterminowe,,,,,-100.0,84.43,84.43,,,33.78,33.78,-72.49,-100.0,-98.67,-97.01,7.94,,25.0,-44.44,-92.65,-94.12,-20.0,-20.0,-20.0,0.0,-100.0,-100.0,-100.0
Pozostałe aktywa trwałe,,,,,128.12,444.27,125.91,-52.39,0.68,-61.91,-18.58,-84.21,-91.61,-86.68,-85.35,351.52,335.14,560.38,848.08,751.68,1581.37,638.57,403.85,94.01,4.29,35.2,45.41,9.38
Aktywa obrotowe,,,,,95.91,27.05,130.08,-5.78,1.94,7.86,-17.12,164.93,38.25,78.02,12.18,-45.04,3.94,-11.6,43.73,123.92,71.96,77.51,49.27,33.79,-3.51,-6.82,-1.67,-5.51
Zapasy,,,,,-51.08,-80.83,37.53,28.87,-39.39,-52.46,-49.63,-55.2,-10.81,922.76,-36.59,3032.14,-40.14,-84.63,-32.63,-90.82,-71.9,296.93,69.03,-9.94,25.81,-95.91,301.64,1322.76
Należności krótkoterminowe,,,,,243.65,47.13,350.87,-24.84,-15.35,6.28,-32.01,59.0,25.35,36.62,11.49,-26.92,1.92,-12.92,8.7,181.8,215.81,-14.61,31.73,-56.9,-59.92,9.81,-31.67,116.55
Inwestycje krótkoterminowe,,,,,346.01,1927.85,307.24,18.16,-8.01,-67.6,-74.51,498.65,-48.09,20.33,116.61,-66.69,200.19,92.71,1007.06,96.52,27.03,840.22,152.91,214.54,32.41,-59.38,-51.53,-47.35
Środki pieniężne i inne aktywa pieniężne,,,,,343.3,1927.85,307.24,15.52,-10.71,-67.6,-74.51,512.33,-48.21,14.74,97.01,-66.69,211.88,97.15,1107.25,96.52,27.03,170.57,-13.73,214.54,32.41,44.69,43.26,-47.49
Pozostałe aktywa obrotowe,,,,,-43.23,-70.91,-54.48,123.37,260.82,432.55,302.63,167.51,170.96,140.89,22.13,-54.78,-31.5,-12.83,-12.72,117.95,-95.77,-85.11,-92.63,114.42,5375.0,1086.4,3086.9,-21.47
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,73.11,35.83,116.24,7.08,16.65,14.81,-6.19,129.4,44.57,70.97,46.33,-22.78,19.06,7.38,24.42,78.69,57.77,58.1,51.88,38.2,7.45,6.21,5.32,-2.95
Kapitał własny akcjonariuszy jednostki dominującej,,,,,128.81,49.11,73.17,-1.0,-26.12,-26.46,-29.76,9.33,43.19,72.65,67.2,23.2,61.58,75.79,88.7,59.98,3.84,-4.58,-11.81,14.99,28.39,18.35,5.75,8.85
Kapitał (fundusz) podstawowy,,,,,51.18,51.18,51.18,51.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,6.77,6.77,6.77,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,35.36,76.97,76.97,76.97,34.97,1.11,1.11,1.11,1.11,8.92,8.92,8.92,8.92,15.24,15.24,15.24,-84.7,-86.73,-86.73,-66.67,151.1,151.1,151.1,0.0
Udziały niekontrolujące,,,,,,,,,,,,135.69,126.48,508.7,1317.65,205.41,285.82,243.09,368.6,229.2,106.38,82.17,38.87,31.9,63.07,53.53,43.5,57.68
Zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,-60.84,,,,379.66,14.7,-13.93,-64.93,-24.15
Z tytułu dostaw i usług,,,,,-43.63,-40.22,651.75,-44.32,14.29,24.63,-24.95,306.14,23.92,104.36,-13.64,-25.96,36.23,-62.28,18.35,90.68,511.64,3.27,41.98,36.91,-13.58,796.04,284.2,-11.57
Kredyty i pożyczki,,,,,,-100.0,-99.9,,,,148800.0,185.62,30.45,29.42,131.3,-80.21,-100.0,-91.63,-100.0,-100.0,,135.84,,,-30.24,265.56,161.12,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-46.54,,,,1728.24,197.01,293.88,-33.27,-10.94,503.52,918.65,-88.8,24.64,66.36,0.46,144.25,-70.9,-76.23,-77.37,86.23,-20.52,-34.53,-48.55,8.56
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,-72.06,-94.99,-98.37,-89.51
Zobowiązania krótkoterminowe,,,,,-38.66,-37.54,91.75,10.31,184.8,110.13,8.61,188.52,41.29,77.19,30.93,-48.08,-24.07,-44.58,-20.99,94.55,256.99,340.7,266.33,103.04,-4.85,-1.29,8.03,-8.43
Inne zobowiązania krótkoterminowe,,,,,46.25,-22.7,-42.17,-50.96,67.52,-7.34,38.95,105.13,304.08,12.85,-54.64,-48.52,-13.76,172.85,101.04,505.53,-45.49,1294.45,1438.53,352.67,229.36,-85.75,-82.46,-5.22
Rozliczenia międzyokresowe,,,,,836.34,834.92,826.84,683.51,-0.06,10.24,14.05,500.26,29.17,51.72,42.74,22.01,34.65,3.52,-6.16,76.5,-100.0,-100.0,-100.0,-100.0,,,,
Pasywa razem,,,,,73.11,35.83,116.24,7.08,16.65,14.81,-6.19,129.4,44.57,70.97,46.33,-22.78,19.06,7.38,24.42,78.69,57.77,58.1,51.88,38.2,7.45,6.21,5.32,-2.95
Przepływy pieniężne z działalności operacyjnej,,,,,889.1,227.18,-3018.95,-216.92,-70.8,-123.74,123.19,658.5,-1311.09,795.29,-288.34,33.29,119.44,-448.65,532.78,-40.3,-365.21,145.28,-73.04,423.45,-484.95,-53.64,-38.22,-60.71
Amortyzacja,,,,,-15.97,-11.35,-16.43,-17.76,-9.09,9.6,18.8,114.4,205.45,245.99,294.24,162.69,107.74,47.68,47.63,41.62,-25.79,-5.0,-4.82,-4.01,136.87,93.53,81.3,49.84
Przepływy pieniężne z działalności inwestycyjnej,,,,,2700.0,,,1214.29,-171.54,99.17,99.02,-123.72,-2067.74,-671.43,-75.0,-3518.92,91.17,157.41,-421.43,39.36,-348.31,-2809.68,-2269.86,-126.97,-186.47,-27.38,33.29,68.04
CAPEX (niematerialne i rzeczowe),,,,,100.0,,,535.71,350.0,-80.47,-99.02,-94.38,4380.0,102.38,87.5,26040.0,-89.98,-100.0,393.33,-36.65,296.04,,3290.54,-1281.88,197.5,27.2,-106.18,119.08
Przepływy pieniężne z działalności finansowej,,,,,-6283.33,383.33,,31.33,88.51,-3454.9,-249.13,171.44,-3373.48,15.08,145.77,-139.16,62.55,217.89,-156.69,49.44,126.38,-139.4,139.33,34.56,36.42,314.81,-145.0,-153.82
Emisja akcji,,,,,,,,-116.46,-100.0,-100.0,,100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,-54.5,,,,0.0,,,,39.58,,,,-100.0,,,,,
Przepływy pieniężne razem,,,,,473.7,87.61,-2913.68,3.08,-64.07,-2522.22,72.43,660.1,-3714.69,82.79,19.0,-69.93,96.78,-631.38,906.03,-34.04,-823.01,114.77,-103.68,754.28,-476.56,254.7,-94.35,-69.2
