,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Zysk przed opodatkowaniem,635.0,448.0,729.0,578.0,3182.0,-49.0,802.0,692.0,2678.0,390.0,1996.0,1434.0,1842.0,187.0,165.0,99.0,-2312.0,-2803.0,-533.0,-712.0,555.0,-1069.0,1345.0,6110.0,1997.0,-5.0,3591.0,2075.0,2247.0,-1009.0,2575.0,1481.0,2870.0,-1951.0,2647.0,4065.0,1117.0,2702.0,5056.0,8553.0,4391.0,2783.0,2940.0,5111.0,-846.0,337.0,1605.0,4834.0,2387.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,501.0,526.0,670.0,657.0,1923.0,62.0,331.0,453.0,2418.0,280.0,1559.0,1062.0,1510.0,191.0,-351.0,-342.0,-2434.0,-2910.0,-527.0,-955.0,46.0,-1311.0,597.0,5641.0,1648.0,-56.0,3222.0,1309.0,1355.0,-1065.0,1888.0,956.0,2092.0,-1973.0,1995.0,3288.0,533.0,2300.0,4367.0,7479.0,2187.0,2325.0,2234.0,4628.0,-1108.0,217.0,1026.0,3796.0,2347.0
Zysk netto akcjonariuszy jednostki dominującej,501.0,526.0,670.0,657.0,2163.0,139.0,681.0,953.0,1737.0,487.0,1706.0,1123.0,1485.0,10.0,18.0,-174.0,-1983.0,-2928.0,-427.0,-868.0,182.0,-1022.0,890.0,5872.0,1857.0,238.0,3454.0,1633.0,1884.0,-507.0,2319.0,1516.0,2569.0,-1318.0,2173.0,3598.0,1044.0,2794.0,5365.0,7736.0,1679.0,2325.0,2234.0,4628.0,-1108.0,217.0,1026.0,3796.0,2347.0
Aktywa trwałe,2545.0,10083.0,13438.0,19012.0,19017.0,19753.0,25171.0,25863.0,29288.0,29007.0,30794.0,31042.0,29841.0,30278.0,32332.0,35297.0,38543.0,38214.0,38264.0,37406.0,36692.0,36095.0,35752.0,26423.0,27964.0,30211.0,29990.0,34499.0,35810.0,65901.0,63869.0,72690.0,73991.0,74435.0,74319.0,81054.0,81850.0,77976.0,74816.0,72157.0,69505.0,67640.0,69057.0,68194.0,63181.0,60218.0,60844.0,58134.0,64632.0
Wartości niematerialne i prawne,138.0,7743.0,11237.0,15274.0,15237.0,15155.0,15198.0,21541.0,24401.0,24246.0,24232.0,24046.0,22525.0,22629.0,22684.0,25117.0,26468.0,26679.0,26755.0,26562.0,26322.0,26097.0,25879.0,21538.0,21394.0,23217.0,22831.0,22421.0,22017.0,21607.0,21197.0,21875.0,23016.0,22598.0,22038.0,21544.0,20936.0,20975.0,20527.0,20168.0,20016.0,19939.0,19617.0,19213.0,18726.0,18197.0,20315.0,19923.0,25126.0
Rzeczowe składniki majątku trwałego,2331.0,2126.0,2054.0,3503.0,3582.0,4223.0,9639.0,3949.0,4381.0,4277.0,6112.0,6370.0,6594.0,6862.0,9023.0,9572.0,11699.0,11094.0,10931.0,10267.0,9768.0,9344.0,9203.0,4554.0,6236.0,6571.0,6731.0,7465.0,9312.0,39437.0,37472.0,45707.0,46412.0,46582.0,47319.0,54890.0,56152.0,52188.0,49881.0,47450.0,44760.0,42874.0,44684.0,44113.0,39656.0,37261.0,35798.0,33482.0,34782.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,209.0,209.0,209.0,207.0,209.0,210.0,210.0,215.0,215.0,211.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850.0,3850.0,3850.0,4450.0,4450.0,4000.0,4000.0,3950.0,3800.0,3700.0,3700.0,3050.0,3550.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0
Inwestycje długoterminowe,67.0,30.0,33.0,31.0,31.0,51.0,51.0,51.0,91.0,91.0,101.0,217.0,217.0,103.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,9.0,184.0,114.0,204.0,167.0,115.0,74.0,113.0,208.0,184.0,139.0,199.0,290.0,469.0,353.0,336.0,315.0,380.0,517.0,516.0,541.0,593.0,609.0,270.0,273.0,362.0,367.0,702.0,570.0,946.0,689.0,597.0,502.0,1194.0,951.0,759.0,1001.0,1052.0,1297.0,989.0,1279.0,1377.0,1306.0,1418.0,1349.0,1310.0,1281.0,1279.0,1274.0
Aktywa obrotowe,37115.0,43497.0,41299.0,40901.0,41818.0,46823.0,38046.0,42466.0,49005.0,50715.0,48808.0,45792.0,45851.0,56283.0,56916.0,59559.0,54771.0,57073.0,56627.0,62774.0,74725.0,65092.0,61050.0,51433.0,52725.0,50586.0,51421.0,57966.0,66092.0,65223.0,70152.0,68191.0,69682.0,65264.0,58433.0,59059.0,61672.0,63305.0,70787.0,71260.0,84023.0,88522.0,85221.0,98806.0,102916.0,94915.0,94119.0,80585.0,79394.0
Zapasy,22741.0,24988.0,22956.0,25566.0,23067.0,26855.0,24583.0,27948.0,30375.0,34560.0,34154.0,31330.0,31576.0,40258.0,41043.0,43684.0,39838.0,42065.0,43197.0,47451.0,56726.0,49394.0,45521.0,36248.0,35219.0,36111.0,35253.0,41423.0,50761.0,48985.0,53464.0,49335.0,48804.0,48120.0,41220.0,40066.0,38876.0,45197.0,40201.0,50873.0,59473.0,69218.0,66573.0,74600.0,75679.0,72549.0,76228.0,58101.0,50031.0
Należności krótkoterminowe,10620.0,14281.0,14341.0,12773.0,16146.0,17910.0,11211.0,12673.0,13926.0,13840.0,11899.0,11712.0,11252.0,13725.0,13208.0,12830.0,11818.0,13121.0,10351.0,9409.0,11465.0,12521.0,11732.0,10713.0,11020.0,11222.0,12185.0,13891.0,10783.0,13906.0,13488.0,14848.0,15477.0,14819.0,13250.0,15981.0,12824.0,13071.0,16108.0,17461.0,15209.0,13610.0,13399.0,16479.0,17887.0,17829.0,15265.0,19095.0,19946.0
Inwestycje krótkoterminowe,3573.0,3272.0,3338.0,1816.0,2142.0,1785.0,2036.0,1527.0,4403.0,1960.0,2396.0,2336.0,2878.0,2300.0,2665.0,3045.0,3115.0,1887.0,3079.0,5914.0,6534.0,3177.0,3797.0,4472.0,6486.0,3253.0,3983.0,2652.0,4548.0,2332.0,3200.0,4008.0,5401.0,2325.0,3963.0,3012.0,9972.0,5037.0,14478.0,2926.0,9341.0,5694.0,5249.0,7727.0,9350.0,4537.0,2626.0,3389.0,9417.0
Środki pieniężne i inne aktywa pieniężne,2108.0,3272.0,3188.0,1816.0,1458.0,1084.0,1414.0,942.0,3794.0,1960.0,1388.0,909.0,1782.0,883.0,1856.0,2442.0,2599.0,1471.0,2700.0,5583.0,6135.0,2932.0,3797.0,3033.0,5157.0,1910.0,2571.0,1285.0,3624.0,1340.0,2380.0,2869.0,4616.0,978.0,3205.0,2215.0,9261.0,3990.0,13769.0,2132.0,8753.0,4976.0,3520.0,4832.0,6447.0,1621.0,2136.0,2884.0,9018.0
Pozostałe aktywa obrotowe,181.0,956.0,664.0,746.0,463.0,273.0,216.0,318.0,301.0,355.0,359.0,414.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,39660.0,53580.0,54737.0,59913.0,60835.0,66576.0,63217.0,68329.0,78293.0,79722.0,79602.0,76834.0,75692.0,86561.0,89248.0,94856.0,93314.0,95287.0,94891.0,100180.0,111417.0,101187.0,96802.0,77856.0,80689.0,80797.0,81411.0,92465.0,101902.0,131124.0,134021.0,140881.0,143673.0,139699.0,132752.0,140113.0,143522.0,141281.0,145603.0,143417.0,153528.0,156162.0,154278.0,167000.0,166097.0,155133.0,154963.0,138719.0,144026.0
Kapitał własny akcjonariuszy jednostki dominującej,15439.0,24329.0,24800.0,25357.0,27510.0,27409.0,28315.0,29269.0,31021.0,31508.0,33019.0,34141.0,34820.0,34430.0,34878.0,51109.0,49111.0,46211.0,45628.0,44819.0,46765.0,45682.0,46757.0,42047.0,43917.0,43898.0,43992.0,45444.0,46917.0,46407.0,47689.0,49255.0,51835.0,50375.0,52584.0,56127.0,56637.0,58975.0,64188.0,66260.0,63794.0,56475.0,54581.0,58519.0,58443.0,58349.0,56895.0,60977.0,61466.0
Kapitał (fundusz) podstawowy,160.0,160.0,160.0,160.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,177.0,177.0,177.0,179.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.0,-1401.0,-1606.0,-2008.0,-2006.0,-2006.0,-2006.0,-2006.0,-2006.0,-2006.0,-2031.0,-2501.0,-2661.0,-2911.0,-9351.0,-12696.0,-10785.0,-10875.0,-11030.0,-10412.0,-10453.0,-10514.0,-9748.0,-12281.0
Kapitał (fundusz) zapasowy,14778.0,14778.0,18855.0,18855.0,23330.0,23330.0,27410.0,27411.0,27410.0,27410.0,31014.0,31014.0,31014.0,31371.0,37050.0,36444.0,36444.0,36444.0,36444.0,36444.0,36444.0,36444.0,36444.0,38397.0,38397.0,38397.0,44377.0,44377.0,44377.0,44377.0,49587.0,49587.0,49587.0,49587.0,49587.0,54109.0,54109.0,54109.0,55577.0,55783.0,14756.0,14736.0,14756.0,14756.0,14756.0,14756.0,14756.0,14756.0,14756.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,5625.0,4700.0,0.0,4885.0,4678.0,4290.0,4228.0,4221.0,4404.0,4029.0,3856.0,3406.0,3409.0,1664.0,1579.0,1839.0,1510.0,1283.0,-297.0,-494.0,-800.0,-1064.0,-1365.0,-1905.0,-2464.0,-2865.0,-306.0,-772.0,-1566.0,-1709.0,-2048.0,-2621.0,-3151.0,-4051.0,-4373.0,-3824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,10150.0,8777.0,7424.0,5783.0,6641.0,4959.0,3508.0,5295.0,9962.0,10880.0,8004.0,6239.0,5579.0,5316.0,5457.0,7233.0,13150.0,10925.0,10630.0,9044.0,5872.0,6639.0,4714.0,5402.0,5187.0,5079.0,4869.0,6868.0,28608.0,25004.0,33370.0,33869.0,33913.0,34968.0,41801.0,41158.0,40354.0,38282.0,34882.0,32960.0,30590.0,30900.0,28863.0,26196.0,24516.0,23822.0,22214.0,24296.0
Z tytułu dostaw i usług,23232.0,11903.0,12600.0,11948.0,7922.0,13937.0,8287.0,11831.0,13382.0,12890.0,12807.0,8833.0,10690.0,14131.0,15651.0,13227.0,14430.0,12343.0,16712.0,19934.0,31934.0,21347.0,19831.0,12231.0,18961.0,16140.0,18073.0,19590.0,28254.0,21157.0,27879.0,20541.0,24817.0,18814.0,19946.0,15884.0,20224.0,21937.0,23233.0,22543.0,41400.0,40008.0,34457.0,38347.0,44701.0,29256.0,35856.0,25156.0,38053.0
Kredyty i pożyczki,0.0,5898.0,6869.0,7826.0,6645.0,8748.0,9157.0,10011.0,9564.0,11259.0,9876.0,12737.0,13634.0,22612.0,24099.0,16139.0,14317.0,16201.0,14811.0,16406.0,15424.0,21329.0,14675.0,14117.0,5622.0,9902.0,6412.0,14274.0,12066.0,20021.0,17052.0,19586.0,14127.0,19624.0,2646.0,4473.0,1030.0,1030.0,1030.0,1619.0,2131.0,13089.0,16779.0,25110.0,22463.0,29914.0,23633.0,17424.0,7499.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,500.0,108.0,429.0,293.0,2193.0,2139.0,2728.0,1760.0,614.0,366.0,290.0,498.0,507.0,588.0,846.0,1123.0,1144.0,1467.0,1319.0,1188.0,1867.0,2856.0,2591.0,1981.0,2780.0,2392.0,1977.0,2306.0,11421.0,12077.0,12620.0,11717.0,12172.0,11202.0,13293.0,14540.0,11390.0,12971.0,13907.0,13512.0,12410.0,12943.0,15472.0,13401.0,12494.0,11877.0,12514.0,12131.0
Inne zobowiązania długoterminowe,0.0,7095.0,6010.0,4818.0,3490.0,2552.0,1684.0,832.0,0.0,0.0,0.0,0.0,1638.0,1745.0,1829.0,2492.0,4116.0,4139.0,4157.0,4250.0,4248.0,4344.0,4289.0,3930.0,3902.0,3818.0,3967.0,3780.0,4868.0,3708.0,3637.0,3604.0,3735.0,4120.0,3941.0,4253.0,4204.0,4156.0,4873.0,4911.0,3956.0,3865.0,3866.0,3847.0,3754.0,2752.0,3917.0,3558.0,5694.0
Zobowiązania krótkoterminowe,24078.0,18934.0,20951.0,21408.0,21309.0,26366.0,24264.0,30303.0,35096.0,31654.0,29437.0,28338.0,30412.0,42148.0,45025.0,34434.0,33564.0,32517.0,36674.0,43152.0,53769.0,48123.0,42123.0,31392.0,31864.0,32512.0,33404.0,43517.0,50022.0,58573.0,64193.0,58562.0,58741.0,56977.0,46909.0,44233.0,48348.0,45103.0,47184.0,46648.0,60598.0,69097.0,68797.0,79618.0,81458.0,72268.0,74246.0,55528.0,58264.0
Inne zobowiązania krótkoterminowe,846.0,633.0,1374.0,1205.0,6449.0,1488.0,4681.0,5733.0,10390.0,6891.0,6388.0,6478.0,5590.0,4898.0,4687.0,4222.0,3694.0,2829.0,3684.0,5493.0,5223.0,3580.0,4761.0,2453.0,5300.0,3690.0,6527.0,7676.0,7396.0,5974.0,7185.0,5815.0,8080.0,6367.0,13115.0,10583.0,12554.0,10746.0,9950.0,8579.0,3555.0,3590.0,4618.0,689.0,893.0,604.0,2880.0,434.0,581.0
Rozliczenia międzyokresowe,143.0,167.0,209.0,5724.0,6233.0,535.0,979.0,5249.0,1996.0,1920.0,1976.0,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,39660.0,53580.0,54737.0,59913.0,60835.0,66576.0,63217.0,68329.0,78293.0,79722.0,79602.0,76834.0,75692.0,86561.0,89248.0,94856.0,93314.0,95287.0,94891.0,100180.0,111417.0,101187.0,96802.0,77856.0,80689.0,80797.0,81411.0,92465.0,101902.0,131124.0,134021.0,140881.0,143673.0,139699.0,132752.0,140113.0,143522.0,141281.0,145603.0,143417.0,153528.0,156162.0,154278.0,167000.0,166097.0,155133.0,154963.0,138719.0,144026.0
Przepływy pieniężne z działalności operacyjnej,0.0,0.0,0.0,872.0,-3558.0,25.0,0.0,-439.0,3924.0,-4772.0,3262.0,852.0,6696.0,-8124.0,2063.0,-4119.0,5799.0,-8530.0,5722.0,-88.0,3551.0,-6079.0,6211.0,-1716.0,12873.0,-4971.0,6598.0,-7207.0,6972.0,-7946.0,8068.0,-977.0,14540.0,-5409.0,19863.0,-535.0,15148.0,-1183.0,13570.0,-2275.0,13824.0,-6437.0,1348.0,1063.0,8970.0,-8005.0,13813.0,11605.0,30575.0
Amortyzacja,70.0,153.0,168.0,224.0,225.0,249.0,247.0,382.0,555.0,430.0,445.0,482.0,450.0,525.0,572.0,631.0,961.0,903.0,862.0,870.0,873.0,877.0,875.0,658.0,592.0,745.0,823.0,879.0,1000.0,3062.0,3068.0,3377.0,3414.0,3566.0,3647.0,3901.0,3802.0,3774.0,3633.0,3605.0,3664.0,3609.0,4077.0,3664.0,3893.0,3837.0,3817.0,3774.0,4151.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,0.0,-4311.0,-578.0,-5672.0,-1.0,434.0,-1536.0,-3576.0,-3166.0,-1036.0,-2265.0,-670.0,-1434.0,-2988.0,-3302.0,-289.0,-217.0,-147.0,-222.0,6.0,146.0,-107.0,-1199.0,-2462.0,-351.0,-1083.0,-1999.0,-468.0,-350.0,-1623.0,-2316.0,-1507.0,22.0,-413.0,-282.0,-680.0,-358.0,-630.0,-612.0,-2583.0,-2073.0,-1762.0,-481.0,-3.0,-3430.0,190.0,-6140.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,0.0,4295.0,341.0,5637.0,0.0,-733.0,1580.0,3421.0,2369.0,761.0,2707.0,802.0,1881.0,2689.0,3275.0,634.0,393.0,148.0,239.0,104.0,71.0,107.0,1220.0,2468.0,351.0,1083.0,1999.0,530.0,412.0,1723.0,2381.0,1568.0,8.0,465.0,322.0,732.0,737.0,703.0,694.0,1647.0,1130.0,762.0,234.0,108.0,3430.0,219.0,6139.0
Przepływy pieniężne z działalności finansowej,0.0,0.0,0.0,1899.0,-1753.0,5275.0,0.0,-136.0,725.0,6513.0,-667.0,-295.0,-3502.0,7895.0,344.0,7693.0,-2340.0,7691.0,-4276.0,3118.0,-2777.0,2870.0,-5492.0,1059.0,-9550.0,4186.0,-5586.0,7004.0,-2634.0,6130.0,-6678.0,3089.0,-10477.0,3278.0,-17658.0,-42.0,-7820.0,-3408.0,-3433.0,-8732.0,-6591.0,5243.0,-731.0,2011.0,-6874.0,3182.0,-9868.0,-11047.0,-18301.0
Emisja akcji,0.0,0.0,0.0,0.0,4493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3936.0,0.0,0.0,0.0,2374.0,0.0
Przepływy pieniężne razem,0.0,0.0,0.0,-1540.0,-5889.0,-372.0,-1.0,-141.0,3113.0,-1835.0,-571.0,-479.0,929.0,-899.0,973.0,586.0,157.0,-1128.0,1229.0,2883.0,552.0,-3203.0,865.0,-764.0,2124.0,-3247.0,661.0,-1286.0,2339.0,-2284.0,1040.0,489.0,1747.0,-3638.0,2227.0,-990.0,7046.0,-5271.0,9779.0,-11637.0,6621.0,-3777.0,-1456.0,1312.0,1615.0,-4826.0,515.0,748.0,6134.0
