,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Aktywa trwałe,,296.19,,,,95.9,87.31,36.04,54.01,46.85,22.34,20.02,1.89,4.38,4.99,13.71,29.16,26.21,18.35,5.98,-4.8,-5.55,-6.56,-29.36,-23.79,-16.3,-16.12,30.56,28.06,118.14,112.97,110.7,106.62,12.95,16.36,11.51,10.62,4.76,0.67,-10.98,-15.08,-13.26,-7.7,-5.49,-9.1,-10.97,-11.89,-14.75,2.3
Wartości niematerialne i prawne,,5510.87,,,,95.73,35.25,41.03,60.14,59.99,59.44,11.63,-7.69,-6.67,-6.39,4.45,17.5,17.9,17.95,5.75,-0.55,-2.18,-3.27,-18.91,-18.72,-11.04,-11.78,4.1,2.91,-6.93,-7.16,-2.44,4.54,4.59,3.97,-1.51,-9.04,-7.18,-6.86,-6.39,-4.39,-4.94,-4.43,-4.74,-6.44,-8.74,3.56,3.7,34.18
Rzeczowe składniki majątku trwałego,,-8.79,,,,98.64,369.28,12.73,22.31,1.28,-36.59,61.31,50.51,60.44,47.63,50.27,77.42,61.67,21.15,7.26,-16.51,-15.77,-15.81,-55.64,-36.16,-29.68,-26.86,63.92,49.33,500.17,456.71,512.28,398.41,18.12,26.28,20.09,20.99,12.03,5.41,-13.55,-20.29,-17.85,-10.42,-7.03,-11.4,-13.09,-19.89,-24.1,-12.29
Należności długoterminowe,,,,,,,,,,0.0,0.48,0.48,3.86,2.87,0.48,0.48,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,15.58,3.9,3.9,-11.24,-14.61,-7.5,-7.5,-22.78,-6.58,-6.76,-6.76,13.11,-2.82,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,,-55.22,,,,70.0,54.55,64.52,193.55,78.43,98.04,325.49,138.46,13.19,-39.6,-71.89,-71.89,-40.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,
Pozostałe aktywa trwałe,,1944.44,,,,-37.5,-35.09,-44.61,24.55,60.0,87.84,76.11,39.42,154.89,153.96,68.84,8.62,-18.98,46.46,53.57,71.75,56.05,17.79,-47.67,-49.54,-38.95,-39.74,160.0,108.79,161.33,87.74,-14.96,-11.93,26.22,38.03,27.14,99.4,-11.89,36.38,30.3,27.77,30.89,0.69,43.38,5.47,-4.87,-1.91,-9.8,-5.56
Aktywa obrotowe,,17.2,,,,7.65,-7.88,3.83,17.19,8.31,28.29,7.83,-6.44,10.98,16.61,30.06,19.45,1.4,-0.51,5.4,36.43,14.05,7.81,-18.07,-29.44,-22.29,-15.77,12.7,25.35,28.93,36.43,17.64,5.43,0.06,-16.71,-13.39,-11.5,-3.0,21.14,20.66,36.24,39.83,20.39,38.66,22.49,7.22,10.44,-18.44,-22.86
Zapasy,,9.88,,,,7.47,7.09,9.32,31.68,28.69,38.93,12.1,3.95,16.49,20.17,39.43,26.17,4.49,5.25,8.62,42.39,17.42,5.38,-23.61,-37.91,-26.89,-22.56,14.28,44.13,35.65,51.66,19.1,-3.86,-1.77,-22.9,-18.79,-20.34,-6.07,-2.47,26.97,52.98,53.15,65.6,46.64,27.25,4.81,14.5,-22.12,-33.89
Należności krótkoterminowe,,34.47,,,,25.41,-21.83,-0.78,-13.75,-22.72,6.14,-7.58,-19.2,-0.83,11.0,9.55,5.03,-4.4,-21.63,-26.66,-2.99,-4.57,13.34,13.86,-3.88,-10.37,3.86,29.66,-2.15,23.92,10.69,6.89,43.53,6.57,-1.76,7.63,-17.14,-11.8,21.57,9.26,18.6,4.12,-16.82,-5.62,17.61,31.0,13.93,15.87,11.51
Inwestycje krótkoterminowe,,-8.42,,,,-45.45,-39.01,-15.91,105.56,9.8,17.68,52.98,-34.64,17.35,11.23,30.35,8.23,-17.96,15.53,94.22,109.76,68.36,23.32,-24.38,-0.73,2.39,4.9,-40.7,-29.88,-28.31,-19.66,51.13,18.76,-0.3,23.84,-24.85,84.63,116.65,265.33,-2.86,-6.33,13.04,-63.74,164.08,0.1,-20.32,-49.97,-56.14,0.72
Środki pieniężne i inne aktywa pieniężne,,55.22,,,,-66.87,-55.65,-48.13,160.22,80.81,-1.84,-3.5,-53.03,-54.95,33.72,168.65,45.85,66.59,45.47,128.62,136.05,99.32,40.63,-45.67,-15.94,-34.86,-32.29,-57.63,-29.73,-29.84,-7.43,123.27,27.37,-27.01,34.66,-22.8,100.63,307.98,329.61,-3.75,-5.49,24.71,-74.44,126.64,-26.35,-67.42,-39.32,-40.31,39.88
Pozostałe aktywa obrotowe,,428.18,,,,-71.44,-67.47,-57.37,-34.99,30.04,66.2,30.19,-51.83,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,35.1,,,,24.26,15.49,14.05,28.7,19.75,25.92,12.45,-3.32,8.58,12.12,23.46,23.28,10.08,6.32,5.61,19.4,6.19,2.01,-22.28,-27.58,-20.15,-15.9,18.76,26.29,62.29,64.62,52.36,40.99,6.54,-0.95,-0.55,-0.11,1.13,9.68,2.36,6.97,10.53,5.96,16.44,8.19,-0.66,0.44,-16.93,-13.29
Kapitał własny akcjonariuszy jednostki dominującej,,57.58,,,,12.66,14.17,15.43,12.76,14.95,16.61,16.65,12.25,9.27,5.63,49.7,41.04,34.22,30.82,-12.31,-4.78,-1.14,2.47,-6.18,-6.09,-3.91,-5.91,8.08,6.83,5.72,8.4,8.39,10.48,8.55,10.26,13.95,9.26,17.07,22.07,18.05,12.64,-4.24,-14.97,-11.68,-8.39,3.32,4.24,4.2,5.17
Kapitał (fundusz) podstawowy,,0.0,,,,9.38,9.38,9.38,0.0,0.0,1.14,1.14,1.14,1.14,1.13,26.55,26.55,26.55,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-715.45,-43.18,-24.91,0.1,0.0,0.0,-1.25,-24.68,-32.65,-45.11,-360.41,-407.64,-305.3,-273.58,-17.96,17.99,3.08,3.32,11.62,-17.95
Kapitał (fundusz) zapasowy,,0.0,,,,57.87,45.37,45.38,17.49,17.49,13.15,13.14,13.15,14.45,19.46,17.51,17.51,16.17,-1.64,0.0,0.0,0.0,0.0,5.36,5.36,5.36,21.77,15.57,15.57,15.57,11.74,11.74,11.74,11.74,0.0,9.12,9.12,9.12,12.08,3.09,-72.73,-72.77,-73.45,-73.55,0.0,0.14,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,-16.84,-8.72,,-13.59,-5.86,-6.08,-8.8,-19.31,-22.59,-58.7,-59.05,-46.01,-55.71,-22.9,-118.81,-126.86,-152.98,-182.93,-359.6,-285.63,-208.0,-169.27,77.58,59.48,36.44,40.35,-569.28,-239.51,-101.21,-137.04,-113.53,-45.9,100.0,100.0,100.0,100.0,,,,
Zobowiązania długoterminowe,,,,,,-34.57,-43.5,-52.75,-8.44,50.01,119.4,128.16,17.83,-44.0,-51.14,-31.82,15.93,135.71,105.51,94.8,25.04,-55.35,-39.23,-55.65,-40.27,-11.67,-23.5,3.29,27.14,451.53,392.3,585.36,393.14,18.54,39.85,25.27,21.52,18.99,9.48,-16.55,-19.92,-24.2,-19.28,-17.26,-20.52,-19.86,-22.91,-23.04,-7.25
Z tytułu dostaw i usług,,-48.76,,,,17.09,-34.23,-0.98,68.92,-7.51,54.54,-25.34,-20.12,9.63,22.21,49.75,34.99,-12.65,6.78,50.71,121.3,72.95,18.66,-38.64,-40.62,-24.39,-8.86,60.17,49.01,31.08,54.26,4.85,-12.16,-11.07,-28.46,-22.67,-18.51,16.6,16.48,41.92,104.71,82.38,48.31,70.11,7.97,-26.87,4.06,-34.4,-14.87
Kredyty i pożyczki,,,,,,48.32,33.31,27.92,43.93,28.7,7.85,27.23,42.56,100.83,144.02,26.71,5.01,-28.35,-38.54,1.65,7.73,31.65,-0.92,-13.95,-63.55,-53.57,-56.31,1.11,114.62,102.19,165.94,37.21,17.08,-1.98,-84.48,-77.16,-92.71,-94.75,-61.07,-63.81,106.89,1170.78,1529.03,1450.96,954.11,128.54,40.85,-30.61,-66.62
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,338.6,1880.56,535.9,500.68,-72.0,-82.89,-89.37,-71.7,-17.43,60.66,191.72,125.5,125.64,149.49,55.91,5.79,63.2,94.68,96.44,66.75,48.9,-16.25,-23.7,16.41,310.83,404.89,538.34,408.11,6.58,-7.25,5.33,24.09,-6.42,15.79,4.62,-7.07,8.96,-0.22,11.25,-0.82,0.68,-8.24,-19.12,-9.48
Inne zobowiązania długoterminowe,,,,,,-64.03,-71.98,-82.73,-100.0,-100.0,-100.0,-100.0,,,,,151.28,137.19,127.28,70.55,3.21,4.95,3.18,-7.53,-8.15,-12.11,-7.51,-3.82,24.76,-2.88,-8.32,-4.66,-23.27,11.11,8.36,18.01,12.56,0.87,23.65,15.47,-5.9,-7.0,-20.66,-21.67,-5.11,-28.8,1.32,-7.51,51.68
Zobowiązania krótkoterminowe,,-21.36,,,,39.25,15.81,41.55,64.7,20.06,21.32,-6.48,-13.35,33.15,52.95,21.51,10.36,-22.85,-18.55,25.32,60.2,47.99,14.86,-27.25,-40.74,-32.44,-20.7,38.62,56.99,80.16,92.17,34.57,17.43,-2.72,-26.93,-24.47,-17.69,-20.84,0.59,5.46,25.34,53.2,45.81,70.68,34.42,4.59,7.92,-30.26,-28.47
Inne zobowiązania krótkoterminowe,,-25.18,,,,135.07,240.68,375.77,61.11,363.1,36.47,12.99,-46.2,-28.92,-26.63,-34.83,-33.92,-42.24,-21.4,30.1,41.39,26.55,29.23,-55.34,1.47,3.07,37.09,212.92,39.55,61.9,10.08,-24.24,9.25,6.58,82.53,81.99,55.37,68.78,-24.13,-18.94,-71.68,-66.59,-53.59,-91.97,-74.88,-83.18,-37.64,-37.01,-34.94
Rozliczenia międzyokresowe,,16.78,,,,220.36,368.42,-8.3,-67.98,258.88,101.84,-59.55,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,35.1,,,,24.26,15.49,14.05,28.7,19.75,25.92,12.45,-3.32,8.58,12.12,23.46,23.28,10.08,6.32,5.61,19.4,6.19,2.01,-22.28,-27.58,-20.15,-15.9,18.76,26.29,62.29,64.62,52.36,40.99,6.54,-0.95,-0.55,-0.11,1.13,9.68,2.36,6.97,10.53,5.96,16.44,8.19,-0.66,0.44,-16.93,-13.29
Przepływy pieniężne z działalności operacyjnej,,,,,,,,-150.34,210.29,-19188.0,,294.08,70.64,-70.24,-36.76,-583.45,-13.4,-5.0,177.36,97.86,-38.77,28.73,8.55,-1850.0,262.52,18.23,6.23,-319.99,-45.84,-59.85,22.28,86.44,108.55,31.93,146.19,45.24,4.18,78.13,-31.68,-325.23,-8.74,-444.13,-90.07,146.73,-35.11,-24.36,924.7,991.72,240.86
Amortyzacja,,118.57,,,,62.75,47.02,70.54,146.67,72.69,80.16,26.18,-18.92,22.09,28.54,30.91,113.56,72.0,50.7,37.88,-9.16,-2.88,1.51,-24.37,-32.19,-15.05,-5.94,33.59,68.92,311.01,272.78,284.19,241.4,16.46,18.87,15.52,11.36,5.83,-0.38,-7.59,-3.63,-4.37,12.22,1.64,6.25,6.32,-6.38,3.0,6.63
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,,110.07,-165.74,36.95,-316500.0,-338.71,-47.46,81.26,54.71,-188.42,-45.78,56.87,84.87,95.08,93.28,102.08,167.28,27.21,-440.09,-41133.33,-340.41,-912.15,-66.72,80.99,0.28,-49.86,-15.86,-222.01,106.29,74.55,87.82,54.88,-1727.27,-52.54,-117.02,-279.85,-479.05,-179.68,21.41,99.88,-65.46,110.78,-1176.51
CAPEX (niematerialne i rzeczowe),,,,,,,,-117.07,363.34,-39.31,,203.82,71.33,-76.56,-20.6,253.35,20.98,-20.95,-79.11,-94.5,-92.7,-83.6,-81.93,-27.7,410.46,2273.08,394.37,912.15,63.85,-78.53,17.38,59.1,19.11,195.85,-98.06,-73.01,-86.48,-53.32,9112.5,51.18,115.53,125.0,53.32,8.39,-66.28,-93.44,203.54,-71.26,2523.5
Przepływy pieniężne z działalności finansowej,,,,,,,,-107.16,141.36,23.47,,-116.91,-583.03,21.22,151.57,2707.8,33.18,-2.58,-1343.02,-59.47,-18.68,-62.68,-28.44,-66.04,-243.9,45.85,-1.71,561.38,72.42,46.44,-19.55,-55.9,-297.76,-46.53,-164.42,-101.36,25.36,-203.97,80.56,-20690.48,15.72,253.84,78.71,123.03,-4.29,-39.31,-1249.93,-649.33,-166.24
Emisja akcji,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,-39.68,
Przepływy pieniężne razem,,,,,,,,90.84,152.86,-393.28,-57000.0,-239.72,-70.16,51.01,270.4,222.34,-83.1,-25.47,26.31,391.98,251.59,-183.95,-29.62,-126.5,284.78,-1.37,-23.58,-68.32,10.12,29.66,57.34,138.02,-25.31,-59.28,114.13,-302.45,303.32,-44.89,339.11,-1075.45,-6.03,28.34,-114.89,111.27,-75.61,-27.77,135.37,-42.99,279.81
