,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Koszty finansowe,29.0,46.0,39.0,32.0,31.0,32.0,38.0,31.0,51.0,56.0,46.0,172.0,316.0,253.0,534.0,777.0,1811.0,-482.0,472.0,569.0,1695.0,-721.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-18.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,213.0,-15.0,626.0,367.0,1045.0,60.0,450.0,2299.0,190.0,973.0,989.0,592.0,-259.0,-1580.0,4783.0,7292.0,993.0,1580.0,2431.0,-1308.0,-1165.0,-2195.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,213.0,-15.0,626.0,367.0,1045.0,60.0,450.0,2299.0,190.0,973.0,989.0,592.0,-259.0,-1580.0,4783.0,7292.0,993.0,1580.0,2431.0,-1308.0,-1165.0,-2195.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,164.0,-8.0,495.0,317.0,835.0,36.0,353.0,1858.0,121.0,889.0,993.0,98.0,-279.0,-1957.0,4584.0,5886.0,994.0,315.0,1503.0,178.0,-835.0,-2173.0
Zysk netto akcjonariuszy jednostki dominującej,164.0,-8.0,495.0,317.0,835.0,36.0,353.0,1858.0,121.0,889.0,993.0,98.0,-279.0,-1957.0,4584.0,5886.0,994.0,315.0,1503.0,178.0,-835.0,-2173.0
Aktywa trwałe,3409.0,4218.0,4512.0,4987.0,5296.0,5468.0,5684.0,5755.0,8009.0,8510.0,8865.0,8836.0,8764.0,9278.0,9535.0,9211.0,9130.0,9123.0,9363.0,9324.0,8998.0,8680.0
Wartości niematerialne i prawne,44.0,32.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,139.0,120.0,6624.0,6726.0,6840.0,7028.0,7267.0,101.0,7329.0,7182.0
Rzeczowe składniki majątku trwałego,225.0,212.0,187.0,162.0,137.0,115.0,111.0,101.0,2116.0,2123.0,2218.0,2213.0,2059.0,2477.0,2375.0,2290.0,2094.0,1899.0,1900.0,9028.0,1472.0,1302.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,470.0,470.0,470.0,578.0,576.0,576.0,576.0,582.0,582.0,582.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,2670.0,3504.0,3833.0,4236.0,4583.0,4777.0,4997.0,5072.0,5311.0,5805.0,6065.0,6465.0,6566.0,6681.0,536.0,195.0,196.0,196.0,196.0,195.0,197.0,196.0
Aktywa obrotowe,3373.0,3380.0,7394.0,15087.0,11717.0,10269.0,13823.0,15337.0,14147.0,14583.0,23090.0,23056.0,30883.0,34842.0,48050.0,74114.0,79100.0,80101.0,81514.0,89946.0,86087.0,72049.0
Zapasy,258.0,580.0,476.0,1077.0,684.0,2837.0,2049.0,2051.0,2159.0,3682.0,3136.0,2562.0,6480.0,5936.0,0.0,9426.0,13902.0,10804.0,9398.0,11752.0,9893.0,3035.0
Należności krótkoterminowe,976.0,588.0,2326.0,11192.0,3411.0,4317.0,2922.0,10590.0,7584.0,4300.0,3185.0,9120.0,10422.0,10587.0,35482.0,56466.0,56755.0,60123.0,64700.0,65100.0,69544.0,61980.0
Inwestycje krótkoterminowe,2022.0,2103.0,4365.0,2560.0,7176.0,2948.0,8640.0,2545.0,4122.0,6410.0,16397.0,9689.0,12312.0,380.0,4776.0,7669.0,7902.0,8497.0,6560.0,12937.0,6551.0,6878.0
Środki pieniężne i inne aktywa pieniężne,2022.0,2103.0,4365.0,2560.0,7176.0,2948.0,8640.0,2545.0,4122.0,6410.0,16397.0,9554.0,12312.0,380.0,4776.0,7669.0,7902.0,8497.0,6560.0,12937.0,6551.0,6878.0
Pozostałe aktywa obrotowe,117.0,109.0,227.0,258.0,446.0,167.0,212.0,151.0,282.0,191.0,372.0,1685.0,1669.0,17939.0,7792.0,553.0,541.0,677.0,856.0,157.0,99.0,156.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,6782.0,7598.0,11906.0,20074.0,17013.0,15737.0,19507.0,21092.0,22156.0,23093.0,31955.0,31892.0,39647.0,44120.0,57585.0,83325.0,88230.0,89224.0,90877.0,99270.0,95085.0,80729.0
Kapitał własny akcjonariuszy jednostki dominującej,3246.0,3238.0,6988.0,7136.0,7832.0,7868.0,8221.0,10079.0,10204.0,11093.0,12085.0,11620.0,11338.0,9362.0,14362.0,20206.0,21121.0,21500.0,22996.0,32519.0,31659.0,29529.0
Kapitał (fundusz) podstawowy,276.0,276.0,276.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,348.0,348.0,348.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,2806.0,2806.0,2806.0,5862.0,5835.0,6691.0,6691.0,6691.0,6691.0,9773.0,9773.0,9773.0,9773.0,9773.0,8679.0,3029.0,3029.0,3029.0,3029.0,12258.0,12258.0,12258.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1619.0,8756.0,9144.0,16486.0,17084.0,29008.0,35964.0,36179.0,35652.0,35894.0,31265.0,30902.0,28346.0
Z tytułu dostaw i usług,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.0,0.0,0.0,0.0,6793.0,8460.0,5423.0,3139.0,10154.0,9461.0,6444.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.0,0.0,0.0,0.0,1763.0,1655.0,1547.0,3637.0,6680.0,5822.0,4920.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0,919.0,883.0,890.0,805.0,624.0,667.0,549.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1619.0,8756.0,0.0,0.0,0.0,0.0,3637.0,3424.0,4902.0,5852.0,7200.0,6662.0,6296.0
Zobowiązania krótkoterminowe,1778.0,2218.0,2592.0,9394.0,0.0,2927.0,5668.0,5545.0,5252.0,7008.0,6577.0,5155.0,6156.0,11947.0,14215.0,27155.0,30930.0,32072.0,31987.0,35486.0,32524.0,22854.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,9394.0,0.0,0.0,0.0,5545.0,0.0,0.0,0.0,1515.0,0.0,0.0,0.0,17680.0,19932.0,24212.0,24406.0,18028.0,16574.0,10941.0
Rozliczenia międzyokresowe,1758.0,2142.0,2326.0,3544.0,9181.0,4942.0,5618.0,5468.0,4695.0,3373.0,4537.0,5973.0,5667.0,5727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,6782.0,7598.0,11906.0,20074.0,17013.0,15737.0,19507.0,21092.0,22156.0,23093.0,31955.0,31892.0,39647.0,44120.0,57585.0,83325.0,88230.0,89224.0,90877.0,99270.0,95085.0,80729.0
Przepływy pieniężne z działalności operacyjnej,-1291.0,-236.0,-349.0,-2556.0,4283.0,-4428.0,5703.0,-7974.0,1615.0,2489.0,2862.0,-6191.0,-4428.0,-11497.0,-7386.0,2497.0,1723.0,2384.0,-2216.0,-663.0,-4135.0,2507.0
Amortyzacja,37.0,35.0,36.0,34.0,35.0,22.0,11.0,8.0,145.0,155.0,178.0,257.0,180.0,177.0,199.0,201.0,196.0,195.0,205.0,184.0,413.0,525.0
Przepływy pieniężne z działalności inwestycyjnej,-471.0,-53.0,-24.0,-104.0,0.0,0.0,-6.0,-5.0,-110.0,-268.0,-349.0,688.0,-26.0,107.0,-11.0,-447.0,0.0,-303.0,-222.0,-29.0,0.0,-143.0
CAPEX (niematerialne i rzeczowe),500.0,56.0,0.0,108.0,0.0,0.0,6.0,27.0,0.0,38.0,0.0,1.0,26.0,0.0,11.0,419.0,0.0,303.0,239.0,186.0,106.0,247.0
Przepływy pieniężne z działalności finansowej,1046.0,369.0,2635.0,855.0,356.0,91.0,-113.0,1716.0,-43.0,-172.0,7126.0,-184.0,7076.0,-542.0,11793.0,844.0,-1490.0,-1487.0,502.0,7068.0,-2252.0,-2036.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-716.0,80.0,2262.0,-1805.0,4639.0,-4337.0,5584.0,-6263.0,1462.0,2049.0,9639.0,-5687.0,2622.0,-11932.0,4396.0,2894.0,233.0,594.0,-1936.0,6376.0,-6387.0,328.0
