,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Zysk z działalności gospodarczej,,,,,52.56,139.97,39.41,-6.42,11.69,-32.38,29.9,65.23,58.35,173.28,17.86,-18.71,-3.38,9.19,-18.66,140.43,131.72,98.8,197.69,70.24,40.08,42.02,33.66,-6.32,5.03,19.81,-14.63,23.67,22.29,-0.22
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,52.56,139.97,39.41,-6.42,11.69,-32.38,29.9,65.23,58.35,173.28,17.86,-18.71,-3.38,9.19,-18.66,140.43,131.72,98.8,197.69,70.24,40.08,42.02,33.66,-6.32,5.03,19.81,-14.63,23.67,22.29,-0.22
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,69.31,124.75,45.92,-8.9,14.14,-39.51,28.33,68.41,55.33,180.39,20.11,-19.24,-1.67,7.24,-18.14,142.14,133.97,106.13,197.8,70.55,39.44,43.04,33.34,-5.75,5.35,21.91,-14.55,22.39,22.15,0.01
Zysk netto akcjonariuszy jednostki dominującej,,,,,69.31,124.75,45.92,-8.9,14.14,-39.69,28.14,68.56,55.39,181.19,20.29,-19.31,-1.71,7.25,-18.14,142.14,133.97,106.13,197.8,70.55,39.44,43.04,33.34,-5.75,5.35,21.91,-14.55,22.39,22.15,0.01
Aktywa trwałe,,,,,,22.64,46.73,49.8,44.15,41.77,21.75,14.49,22.64,14.24,94.65,111.84,96.48,101.46,20.41,8.65,8.91,8.3,3.88,15.12,27.44,32.3,34.21,39.17,52.55,46.22,44.79,35.2,10.64,30.86
Wartości niematerialne i prawne,,,,,,-9.92,,-13.12,5.22,5.54,8.98,10.14,-1.42,2.23,0.08,-2.6,15.02,43.37,59.8,94.91,105.19,61.15,63.74,58.37,33.56,61.57,61.74,61.49,57.59,31.53,32.35,34.08,35.18,29.22
Rzeczowe składniki majątku trwałego,,,,,,28.32,,58.43,50.44,48.81,25.3,13.6,26.11,16.38,109.26,133.39,106.2,109.61,18.89,4.3,4.66,5.01,1.14,12.52,25.14,28.04,31.77,36.76,53.28,48.27,46.37,35.91,7.95,32.21
Należności długoterminowe,,,,,,40.52,,19.31,24.45,11.28,15.78,14.88,5.68,-8.69,-10.73,-0.44,6.83,11.4,4.73,-0.87,-4.72,7.75,21.27,44.1,105.78,78.07,75.01,57.15,9.12,18.17,8.25,2.87,13.3,4.54
Inwestycje długoterminowe,,,,,,180.33,,86.44,315.52,-6.43,258.04,42.73,-36.1,-3.75,-91.08,-3.82,-28.57,-4.55,-4.58,-5.3,26.36,-4.76,-24.66,-17.48,-12.23,-15.71,2.73,-5.08,-9.02,-6.78,-2.65,-1.79,-0.9,0.0
Pozostałe aktywa trwałe,,,,,,,,,,,-100.0,67.67,,,,-84.88,,,18.44,544.24,-100.0,,-52.14,-50.2,,,-64.9,14.72,22.26,105.92,343.58,59.9,53.78,-52.09
Aktywa obrotowe,,,,,,51.46,54.59,43.64,47.6,48.54,30.89,28.39,19.79,21.77,25.05,17.44,13.82,9.58,4.94,7.07,10.56,7.92,31.23,30.53,37.37,56.83,40.99,36.21,30.87,27.53,13.71,17.38,14.66,10.56
Zapasy,,,,,,55.29,55.33,42.84,40.9,47.4,29.48,27.61,18.22,18.48,18.17,14.57,8.59,5.95,3.15,4.3,14.44,4.53,29.33,25.73,27.57,53.39,38.7,38.18,34.07,29.41,14.56,19.89,11.82,5.3
Należności krótkoterminowe,,,,,,50.26,54.51,53.38,59.38,54.68,29.9,28.79,40.09,38.59,50.7,52.04,34.73,25.35,11.49,8.8,-3.56,28.5,44.63,55.99,82.36,80.33,49.06,29.18,23.69,16.85,6.95,19.81,23.76,27.62
Inwestycje krótkoterminowe,,,,,,-0.95,31.84,30.84,201.78,50.91,84.89,38.45,-18.62,31.96,63.36,-32.44,19.97,18.35,6.31,56.75,16.61,-17.68,1.11,-0.62,9.19,-20.74,35.86,42.86,14.81,106.13,43.33,-39.89,10.55,6.94
Środki pieniężne i inne aktywa pieniężne,,,,,,-0.28,31.5,29.07,204.99,51.32,35.74,40.04,-17.58,31.93,116.15,-32.41,20.27,18.41,8.37,57.38,16.86,-17.61,-6.35,-1.24,9.19,-20.77,35.23,32.72,14.84,106.25,47.54,-35.12,10.56,6.95
Pozostałe aktywa obrotowe,,,,,,,,149.32,,800.0,-29.17,-25.27,-100.0,-100.0,-100.0,-100.0,,,,,,-100.0,,,,,,,,-100.0,,27.04,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,47.25,53.58,44.36,47.2,47.72,29.77,26.72,20.11,20.89,33.06,27.71,23.27,19.73,7.54,7.36,10.26,7.99,26.08,27.72,35.59,52.26,39.94,36.7,34.53,30.56,18.34,20.37,13.89,14.24
Kapitał własny akcjonariuszy jednostki dominującej,,,,,112.01,111.27,106.06,66.8,63.57,58.44,56.58,19.4,20.85,23.78,23.54,19.84,18.62,18.1,16.42,21.91,26.83,29.75,35.23,34.87,35.2,35.73,35.55,31.14,28.98,28.58,25.52,26.02,25.78,24.13
Kapitał (fundusz) podstawowy,,,,,,24.47,24.47,10.64,10.64,10.64,10.64,0.52,0.52,0.52,0.52,0.0,0.0,0.38,0.38,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,85.48,102.83,335.59,335.59,80.59,38.71,17.8,17.88,17.76,17.68,23.57,23.49,23.38,23.38,19.51,19.51,-64.62,-64.62,-70.4,-70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,3.12,36.58,39.36,33.64,-44.3,-59.35,-61.71,5.04,153.83,250.26,278.67,40.7,38.75,4.23,-2.99,-5.06,-41.87,-46.71,-39.61,16.44,98.11,116.42,154.78,46.37,49.55,19.17,-14.52,-15.36,8.23
Z tytułu dostaw i usług,,,,,,38.86,22.05,-4.82,11.6,13.6,-4.83,38.43,26.69,45.83,52.2,0.82,4.08,-32.84,-10.96,33.7,47.7,58.0,80.25,-6.55,-8.53,-8.69,-12.0,11.65,11.24,37.24,29.4,59.28,62.93,18.35
Kredyty i pożyczki,,,,,,18.76,28.47,879.58,67.57,249.46,206.35,889.23,20.64,-47.26,-40.44,-38.17,17.8,21.78,-13.3,-81.87,-87.26,-8.36,50.3,760.95,659.28,120.54,66.9,6.1,103.35,24.68,-20.73,17.39,-28.27,-6.88
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,25.63,,85.02,66.27,88.62,49.59,30.72,51.69,17.59,118.76,150.59,121.13,180.65,122.78,30.67,52.89,22.4,-18.41,21.76,9.7,21.73,17.26,22.61,-33.05,20.03,24.69,8.41,72.17,-4.4
Inne zobowiązania długoterminowe,,,,,,559.3,-16.28,-50.29,-34.04,43.3,53.47,38.37,50.42,95.02,242.53,193.7,119.11,69.45,55.22,99.0,43.14,36.0,109.53,339.83,255.36,86.59,13.65,6.49,10.25,32.83,139.53,101.55,106.99,93.43
Zobowiązania krótkoterminowe,,,,,,28.77,25.42,11.23,32.83,102.91,65.11,145.59,30.69,-11.28,2.96,-7.13,20.25,10.82,-3.04,-8.14,-6.8,6.5,61.14,64.08,51.06,69.89,28.61,13.12,39.23,24.76,7.08,31.16,8.83,-0.42
Inne zobowiązania krótkoterminowe,,,,,,-18.01,-29.09,28.97,40.82,34.19,14.2,233.64,242.39,250.92,209.27,111.58,77.94,261.39,-13.46,-8.92,9.16,-71.99,164.75,155.96,184.87,696.42,146.0,24.02,52.59,10.43,11.63,8.36,-21.04,-12.27
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,359.69,47.25,53.58,44.36,47.2,47.72,29.77,26.72,20.11,20.89,33.06,27.71,23.27,19.73,7.54,7.36,10.26,7.99,26.08,27.72,35.59,52.26,39.94,36.7,34.53,30.56,18.34,20.37,13.89,14.24
Przepływy pieniężne z działalności operacyjnej,,,,,-1418.18,144.96,-538.91,-64.73,5.59,-396.22,94.68,682.02,25.15,187.44,365.94,-64.38,101.11,-152.48,928.97,382.5,2051.31,314.26,-119.7,-67.36,-518.27,-1069.17,427.47,194.61,75.61,54.03,565.42,-37.05,827.31,-92.1
Amortyzacja,,,,,25.97,25.74,22.98,37.23,45.78,39.99,47.65,32.42,19.71,21.94,101.74,121.9,132.09,167.3,35.42,20.2,21.32,-1.23,8.61,12.63,12.41,11.72,20.29,24.04,23.22,33.77,35.03,31.75,33.46,29.99
Przepływy pieniężne z działalności inwestycyjnej,,,,,26.55,124.92,-977.71,-2466.15,-200.4,-1058.87,62.94,98.4,-29.23,90.54,-6.55,-2137.11,-33.93,-2102.22,43.44,34.65,-25.64,43.57,-369.33,44.15,-13.73,-122.6,-95.24,-1206.31,-22.74,-55.7,18.15,2.82,-65.44,21.63
CAPEX (niematerialne i rzeczowe),,,,,-6.96,126.31,500.78,278.66,116.22,-46.59,-89.66,-77.3,31.42,-47.38,319.62,123.54,30.53,712.44,-39.3,-36.99,23.03,-50.46,162.7,133.99,16.78,145.83,131.76,210.8,89.7,52.72,-27.61,31.3,8.31,-21.82
Przepływy pieniężne z działalności finansowej,,,,,788.06,-83.53,14709.64,80.27,28.35,803.65,-104.09,-193.18,-55.22,-143.93,393.2,21.45,-79.07,551.14,-1073.85,-255.17,-383.68,-165.09,153.72,74.23,369.94,989.91,-69.46,-206.74,-96.97,-34.83,-2513.42,-10.58,-3958.42,62.09
Emisja akcji,,,,,,,,15.96,,,,-97.72,,100.0,,-100.0,,,,,-100.0,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,-100.0,,,0.0,,
Przepływy pieniężne razem,,,,,-292.89,239.05,54.2,24.33,89.17,-203.04,-127.24,44.03,-1121.87,206.87,212.25,-132.59,99.87,14.24,-51.38,172.03,-46544.44,-162.35,116.25,33.0,30.63,-201.0,257.94,20.36,-118.1,147.31,-4.93,-457.3,145.17,-19.53
