,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Koszty finansowe,,,,,-60.68,-65.9,-33.08,-23.92,25.6,-21.16,200.22,171.99,19.68,227.6,24.33,20.66,13.69,74.67,81.28,-54.66,298.24,30.99,-37.36,407.51,-64.6,-84.01,-27.78,-64.32,75.21,290.22,256.31,-165.82,-10.94,56.63,12.49,791.38
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,-238.46,-35.38,-2433.33,100.0,100.0,100.0,100.0,,,,,,,
Zysk z działalności gospodarczej,,,,,-102.58,65.35,220.17,54.73,874.31,71.89,296.67,-37.91,172.87,-45.79,-93.53,241.8,-69.78,969.06,1278.77,-88.21,1233.98,-22.37,-9.98,634.72,-82.2,-75.98,14.12,84.9,597.54,-16.7,70.99,-96.75,-62.57,296.83,-66.71,6659.03
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-102.58,65.35,220.17,54.73,874.31,71.89,296.67,-37.91,172.87,-45.79,-93.53,241.8,-69.78,969.06,1278.77,-88.21,1233.98,-22.37,-9.98,634.72,-82.2,-75.98,14.12,84.9,597.54,-16.7,70.99,-96.75,-62.57,296.83,-66.71,6659.03
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.86
Zysk netto,,,,,-102.97,333.15,52.92,5.39,569.11,-32.07,287.84,-21.93,188.26,-53.15,-93.61,297.97,-67.19,1013.19,876.88,-60.17,1064.75,-30.55,5.85,152.14,-82.88,-92.96,13.45,96.66,646.29,205.5,72.93,-78.3,-58.41,339.78,-53.53,885.42
Zysk netto akcjonariuszy jednostki dominującej,,,,,-108.63,3225.81,52.94,5.39,569.86,-32.1,278.1,-21.78,108.18,-56.21,-93.84,295.3,-53.4,1061.65,919.72,-60.38,942.83,-28.84,8.25,156.31,-82.92,-93.13,13.13,95.41,714.32,213.18,72.93,-78.3,-58.41,339.78,-53.53,885.42
Aktywa trwałe,,,,,,27.19,,32.24,32.67,-1.89,0.64,1.49,4.83,14.4,19.47,23.7,29.26,36.13,-2.56,21.03,-25.21,-15.49,3.77,-22.22,-14.92,10.43,18.01,26.12,-4.96,-67.99,-69.69,-64.67,-35.81,30.33,135.39,107.82
Wartości niematerialne i prawne,,,,,,131.33,,299.62,273.54,267.97,232.05,112.42,88.71,77.28,26.48,0.77,-11.65,-27.47,-33.03,-27.11,-28.11,-25.26,-8.66,10.73,18.83,18.11,1.02,-10.25,-6.71,4.43,19.43,191.62,196.47,226.39,268.47,109.6
Rzeczowe składniki majątku trwałego,,,,,,-14.75,,-8.15,-6.71,-1.9,16.2,20.03,19.17,15.43,-2.42,-6.99,-3.34,139.24,134.45,140.42,73.86,-54.03,-53.11,-54.68,-48.24,-18.65,-22.56,-23.86,-9.92,-10.53,-11.43,-10.56,-6.15,-77.42,82.11,88.05
Należności długoterminowe,,,,,,359.69,,-100.0,-100.0,-100.0,-100.0,,,,,,,,4300.0,3096.61,3669.67,44.63,-92.53,-96.64,-96.69,467.68,8424.1,21048.9,19949.67,-98.92,-99.03,-99.2,-97.84,-79.4,10.88,29.91
Inwestycje długoterminowe,,,,,,32.06,,42.41,43.59,4.48,6.29,2.62,5.01,14.68,23.02,25.9,33.58,27.55,-17.19,8.58,-40.45,-15.71,18.49,-18.54,-9.53,-12.78,-10.4,-2.26,-55.61,-68.02,-70.25,-70.76,8.26,47.45,111.49,134.39
Pozostałe aktywa trwałe,,,,,,30.79,,7.53,4.47,-31.24,-32.06,-21.7,-8.7,7.74,9.89,33.82,25.24,5.88,-13.93,12.0,2.9,25.97,38.73,17.15,18.45,4.3,12.72,-7.07,-15.32,-38.8,-41.02,12.38,-4.89,40.08,215.36,76.5
Aktywa obrotowe,,,,,,51.07,,31.84,28.59,16.52,47.35,59.21,50.53,47.27,21.54,11.28,13.33,9.33,-0.96,17.17,23.23,27.17,27.91,12.75,5.57,-10.46,-8.69,-13.21,-8.6,11.55,4.79,14.03,9.28,2.32,85.16,81.47
Zapasy,,,,,,36.29,,17.92,8.3,9.21,50.36,60.65,63.83,65.33,13.74,6.78,19.18,-1.87,-0.28,29.02,10.74,30.69,25.89,4.43,-12.43,-14.88,-18.77,-29.71,-23.64,-23.21,-25.76,-4.78,10.26,11.51,141.8,95.21
Należności krótkoterminowe,,,,,,38.96,,243.09,170.53,10.15,116.11,8.72,18.38,95.79,12.33,33.07,-5.69,-42.65,67.86,-18.75,4.89,55.29,-45.0,10.57,38.32,-19.12,-37.1,134.78,109.56,429.35,731.32,32.01,28.55,-87.01,19.8,57.0
Inwestycje krótkoterminowe,,,,,,193.07,,104.77,151.17,47.36,19.7,78.99,18.68,-16.37,72.4,27.28,-6.24,100.91,-19.37,-21.56,24.54,9.73,61.27,63.37,-8.29,9.95,41.44,31.75,101.79,3.73,-20.48,-1.54,0.54,43.15,58.63,107.82
Środki pieniężne i inne aktywa pieniężne,,,,,,175.84,,104.76,200.53,61.63,18.62,78.54,19.54,-15.8,73.97,27.51,-6.43,100.69,-19.46,-21.5,24.79,9.85,57.75,33.93,-83.62,-6.35,36.2,50.55,995.63,15.13,-33.04,0.76,-1.62,48.68,62.85,93.23
Pozostałe aktywa obrotowe,,,,,,-19.97,,-24.73,-56.73,65.52,38.99,23.05,0.03,2.57,1.26,8.15,-15.55,0.29,3.4,10.41,-46.0,-64.84,66.63,41.27,60.98,79.21,-49.7,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,168.62,-100.0,-100.0,-100.0,-54.57,,,,12.48,9.71,5.32,-0.47
Aktywa razem,,,,,,44.36,,31.94,29.53,11.97,36.11,44.38,39.75,40.14,21.17,13.52,16.15,14.07,-1.24,17.93,13.69,18.16,23.73,5.69,2.92,-7.31,-4.81,-7.36,-8.21,-2.76,-8.62,-1.89,4.28,3.98,88.16,83.39
Kapitał własny akcjonariuszy jednostki dominującej,,,,,14.77,29.97,30.89,29.07,31.41,6.13,19.2,19.31,19.1,12.11,-1.97,3.21,2.51,17.84,17.63,11.26,16.84,18.18,21.68,13.26,8.06,-4.25,-3.62,8.58,18.42,25.16,27.19,15.91,7.84,4.86,21.03,71.87
Kapitał (fundusz) podstawowy,,,,,0.0,25.0,25.0,25.0,25.0,0.0,0.0,10.0,10.0,10.0,10.59,0.53,0.53,0.53,0.0,0.0,0.0,0.0,-0.28,-0.28,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.92,127.87
Udziały (akcje) własne,,,,,,-100.0,,,,,,,,,100.0,-173.3,,,,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,22.02,,22.03,22.03,0.0,0.0,9.87,9.87,9.87,9.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.02,533.41
Udziały niekontrolujące,,,,,124.24,-100.0,-100.0,-100.0,-100.0,,,,,,,11.35,2.04,0.74,1.66,1.53,10.72,10.93,9.24,7.81,0.52,-100.0,-100.0,-100.0,-100.0,,,,,,,
Zobowiązania długoterminowe,,,,,,12.78,,58.08,122.72,92.47,80.88,64.42,24.33,32.5,-1.5,2.43,-19.2,10.6,2.26,23.86,105.85,54.51,47.01,43.25,-37.78,-47.13,-60.24,-62.47,25.07,-16.97,18.82,22.16,-56.7,-14.62,-1.08,130.32
Z tytułu dostaw i usług,,,,,,93.43,,23.49,0.95,-21.65,33.06,66.98,71.78,99.26,43.35,9.44,16.59,-13.25,-19.04,34.74,-2.17,12.94,17.55,-21.11,-9.31,21.14,17.92,9.2,-27.2,-30.41,-43.1,-27.14,19.07,14.46,220.72,71.44
Kredyty i pożyczki,,,,,,-44.22,,-49.12,-79.88,1172.55,254.89,221.38,236.78,-54.88,341.03,672.62,1152.29,531.86,0.62,-27.51,-65.69,-63.07,-58.71,-42.12,79.52,134.79,583.0,244.93,-20.82,14.86,-45.69,-36.46,-71.29,-85.43,229.71,-34.7
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,-21.48,712.24,1040.87,1274.62,1626.5,19.68,118.6,63.85,45.25,47.31,-19.25,-6.32,2.11,62.61,61.05,40.47,32.58,29.8,38.2,121.02,185.8
Inne zobowiązania długoterminowe,,,,,,37.16,,3.2,-8.13,-1.77,357.33,78.12,90.16,103.64,-62.7,48.56,37.7,57.22,62.82,33.29,39.71,-1.37,-1.81,-3.18,-33.77,-9.83,-15.69,-19.63,161.75,-3.71,-0.61,4.46,-58.04,39.93,55.01,101.36
Zobowiązania krótkoterminowe,,,,,,85.39,,24.42,-4.84,-5.7,36.4,64.02,74.22,72.59,55.37,33.72,53.32,13.22,-16.83,22.84,-16.58,1.42,14.73,-18.9,27.99,23.61,36.35,24.85,-39.95,-21.73,-42.04,-27.36,44.12,8.85,239.22,83.79
Inne zobowiązania krótkoterminowe,,,,,,-3.95,,211.04,12.32,23.9,71.46,-40.04,60.47,109.64,170.63,112.64,150.59,62.27,-17.9,28.0,41.77,304.27,239.78,115.47,599.66,-54.82,-46.32,-32.87,-82.44,-19.9,-0.93,7.15,-16.27,-15.37,67.99,25.89
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,140.85,44.36,177.11,31.94,29.53,11.97,36.11,44.38,39.75,40.14,21.17,13.52,16.15,14.07,-1.24,17.93,13.69,18.16,23.73,5.69,2.92,-7.31,-4.81,-7.36,-8.21,-2.76,-8.62,-1.89,4.28,3.98,88.16,83.39
Przepływy pieniężne z działalności operacyjnej,,,,,864.96,135.05,-479.73,-475.44,6.23,-200.39,44.3,161.23,98.81,65.09,401.87,230.91,-97.04,1160.93,-168.36,-101.05,-1417.34,-149.51,236.3,-42.64,499.3,453.01,190.93,-4534.97,19.91,-152.38,-68.64,208.03,-53.6,347.83,-25.61,3232.11
Amortyzacja,,,,,10.79,-76.66,-4.49,-2.34,-29.55,585.14,40.94,50.68,125.35,5.72,-60.48,59.09,39.26,20.71,352.41,0.29,-4.41,-1.08,3.86,5.98,9.22,6.88,-15.77,-12.37,-3.09,8.04,21.92,22.55,18.43,-20.16,50.56,105.26
Przepływy pieniężne z działalności inwestycyjnej,,,,,-110.29,-99.02,-1910.66,-33.88,73.15,2936.86,11.44,-1078.01,-60.18,-178.22,27.96,-849.9,-156.08,32.16,470.01,50.49,26.16,2374.91,-96.68,122.3,82.13,-104.28,-262.32,-103.85,82.18,92.6,-1289.93,13490.31,-456.13,18540.88,130.65,-199.61
CAPEX (niematerialne i rzeczowe),,,,,-38.01,6406.01,203.72,-196.46,488.69,-100.16,214.49,1943.58,204.53,14260.0,173.64,81.18,122.46,-62.39,-11.56,104.39,-7.75,1099.25,-65.96,-114.99,-79.67,-104.16,105.14,132.6,-87.65,188.91,-61.04,3.51,39.13,174.9,-89.68,224.5
Przepływy pieniężne z działalności finansowej,,,,,114.76,-121.19,9921.69,-5189.52,573.33,128.98,-97.98,300.74,-81.36,-301.98,1519.43,-132.0,-98.85,273.66,-371.14,206.45,73489.57,-87.77,44.54,-1347.45,-142.74,-117.62,18.99,-25.29,176.63,-401.7,-9.77,42.89,94.83,-1110.83,-84.62,770.81
Emisja akcji,,,,,,-100.0,,,,,-100.0,,,,,,,,,-100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,-100.0,,,98.0,,-100.0,,-100.0,,,,,-100.0,295.31,,,,-50.99,,,-88.14,-12.1,,,1414.22,-100.0
Przepływy pieniężne razem,,,,,-67.01,-14.84,1887.17,-941.46,418.67,126.31,-140.74,165.62,-44.88,-514.68,310.28,-315.1,-126.47,335.22,-225.4,9.36,763.87,-14.35,73.66,-33.6,-83.52,-2.92,359.4,-113.04,701.44,-163.31,-208.27,138.81,-6.88,300.75,-1.7,3318.67
