,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Zysk netto akcjonariuszy jednostki dominującej,,,,,1629.36,9.39,1430.65,-88.58,5.25,67.57,6.55,-766.8,-55.51,29.52,-21.01,-506.55,33.29,-6.22,-0.99,-48.13,-489.38,13.36,-182.07,15.64,36.74,7.96,117.41,76.19,167.93,15.27,-19.2,137.74,61.67,-29.2,-54.73,-386.81,-87.98,-17.24,-1562.27,-199.65,-222.32,0.85,-17.09,92.73,-217.91,-37.39,51.8,651.77,127.91,320.2,207.48,51.75,-28.05,-69.72,184.33,-84.46,519.56,46.14,-96.56,77.87
Aktywa trwałe,,,,,36.17,73.29,92.43,26.63,34.58,17.53,59.37,72.51,42.4,47.72,11.97,-1.18,11.07,3.13,12.49,30.88,-5.28,-17.17,-20.18,-20.65,-25.58,-11.09,-10.87,-6.0,14.97,21.47,12.28,15.54,33.22,13.12,27.25,-10.24,23.59,41.02,24.38,46.41,11.13,1.85,25.73,23.53,6.31,4.71,-18.92,-27.22,-15.61,-16.49,1.89,8.51,0.88,8.67,-9.23,-4.44,-1.0,-10.86,8.99,-3.94
Wartości niematerialne i prawne,,,,,-32.96,-2.09,1.63,14.17,20.49,15.67,88.37,102.71,64.68,35.63,-13.23,-31.48,-19.57,-24.59,-5.99,-5.03,-29.54,-34.44,-43.52,-48.69,-32.92,-21.51,-19.45,-11.66,-22.25,13.07,34.23,21.73,30.68,-18.04,-29.58,16.41,32.81,43.04,-59.74,-69.29,-67.23,-68.76,31.46,24.37,-1.45,3.44,-18.29,-16.46,-56.8,-46.65,-31.71,-32.56,25.43,-11.45,-39.46,-49.23,-20.7,-62.58,-55.01,16.42
Rzeczowe składniki majątku trwałego,,,,,33.29,71.07,86.62,28.19,19.41,5.62,45.48,60.37,50.9,57.36,17.24,1.07,19.26,10.88,20.99,38.08,-4.94,-16.54,-19.61,-23.88,-28.09,-15.6,-14.09,-0.72,20.68,25.47,16.14,19.57,29.66,13.0,20.28,-18.73,-9.51,4.33,-3.14,26.61,26.75,47.41,81.12,60.78,38.68,3.42,-19.37,-28.16,-16.25,-17.73,1.76,8.81,0.81,9.42,-10.02,-5.5,-2.59,-12.77,4.8,-5.83
Należności długoterminowe,,,,,,,,,,,,53.1,42.82,,,-96.59,-94.25,-94.3,3248.06,4.56,-48.04,-55.71,-53.52,-40.18,-42.34,-16.35,-16.14,1922.7,2001.67,1999.37,4681.39,215.91,409.04,478.44,214.74,80.82,-66.49,-85.42,-88.6,-65.19,7.29,92.04,152.42,-49.94,14.04,-5.89,-59.31,-74.22,-58.77,-58.46,-4.02,293.87,32.34,44.22,18.34,-71.85,-68.31,-69.49,-64.63,9.07
Inwestycje długoterminowe,,,,,22.15,1110.75,138.13,53.07,21008.9,1430.08,1873.9,1484.62,-21.54,-26.45,-25.66,-28.29,-92.43,-91.09,-95.73,-95.12,-73.25,-77.68,-59.1,-100.0,-100.0,-100.0,-100.0,,,,,-79.24,-100.0,1523.56,,-100.0,,-100.0,,,,,,13.12,2.5,2.74,-8.18,-1.92,22.66,27.55,-100.0,-100.0,-100.0,-100.0,,,,,,
Pozostałe aktywa trwałe,,,,,122.94,134.16,226.43,7.51,-2.99,-10.75,20.97,55.79,55.34,59.64,20.0,20.48,35.17,11.99,24.59,46.91,-0.42,-15.75,-19.27,8.6,-6.35,35.28,17.38,-34.87,-14.12,-4.25,-18.64,-22.6,51.33,3.94,80.67,79.46,243.46,374.14,198.98,173.6,-14.97,-83.74,-78.07,-70.74,-75.51,27.44,-10.96,-15.51,-6.02,-0.12,16.07,15.3,12.3,12.1,0.46,10.41,19.26,12.62,56.7,13.98
Aktywa obrotowe,,,,,17.46,31.71,58.3,70.23,69.59,42.57,87.43,87.05,62.45,69.69,17.85,11.19,24.89,15.35,5.77,-3.86,-30.18,-34.3,-31.59,-32.3,-19.14,-14.13,-13.97,0.45,3.85,16.78,25.31,27.39,20.4,12.89,-2.28,-14.63,-9.74,2.55,5.61,31.69,37.87,5.5,5.77,-16.56,-18.49,-21.49,-31.42,-26.68,-23.27,24.21,50.64,77.19,75.23,43.37,52.37,13.41,5.75,-18.31,-15.87,-9.46
Zapasy,,,,,32.46,51.57,86.34,65.77,55.1,20.61,77.91,79.08,64.47,95.09,17.98,12.29,28.65,9.48,-8.37,14.24,-40.45,-49.44,-12.34,-38.34,-11.71,32.18,-1.6,-2.49,7.92,0.0,16.5,50.67,35.51,20.55,-7.88,-17.53,0.0,19.48,24.75,24.38,16.12,156.66,-5.74,-18.36,-25.97,-14.77,-9.03,-27.86,-21.86,29.82,78.14,107.53,141.0,28.97,38.45,5.25,2.93,-14.6,-9.03,-8.86
Należności krótkoterminowe,,,,,38.94,34.3,1.69,73.64,97.52,57.65,128.56,111.05,72.66,43.46,23.52,10.15,16.7,20.73,-4.73,-29.84,-58.14,-53.03,-43.91,-54.65,-50.29,-37.88,-3.86,87.23,105.84,120.64,46.01,26.46,1.12,42.66,-10.94,-20.06,-2.57,-38.87,-38.99,102.63,181.98,103.41,180.66,-19.06,-48.98,-32.68,-29.05,-33.67,0.37,5.52,11.9,70.23,44.39,62.66,54.57,26.58,6.96,-25.24,-27.08,2.66
Inwestycje krótkoterminowe,,,,,-49.32,-34.95,110.18,20.57,-7.21,211.97,318.02,712.98,276.28,117.27,3.07,-37.24,-37.06,-23.11,-44.24,-42.86,-3.58,-68.21,123.17,433.04,354.29,146.14,-45.27,-10.48,-3.66,134.41,283.08,-58.62,26.65,80.75,-7.55,16.77,-65.17,-24.39,-40.47,-9.71,-28.02,-23.66,-45.4,-4.33,280.27,-85.74,147.22,86.65,-55.67,63.01,-43.62,-47.77,34.79,767.31,365.1,127.53,26.17,-39.16,-46.03,-53.06
Środki pieniężne i inne aktywa pieniężne,,,,,59.25,-53.73,73.41,-44.01,-16.95,181.61,72.19,407.99,48.56,164.34,71.69,37.86,-0.27,-45.91,-62.38,-65.67,33.89,-70.85,433.65,412.48,301.87,149.82,-56.48,30.73,50.04,236.89,365.72,-31.25,32.49,125.44,-3.15,21.56,-64.71,-20.57,-38.91,-4.98,-25.81,-23.63,-46.07,-7.47,296.56,-86.16,160.52,95.87,-55.97,66.33,-44.09,-48.43,35.56,806.63,373.97,131.11,27.19,-39.35,-45.93,-52.99
Pozostałe aktywa obrotowe,,,,,-9.15,26.26,58.37,87.78,104.2,44.93,76.81,54.8,31.21,65.81,16.58,24.1,36.91,18.76,30.41,-32.1,26.19,-22.08,-48.08,-43.2,-48.37,-25.05,-30.18,-32.79,-34.17,5.34,5.01,-19.89,-25.15,-6.01,17.53,21.45,6.87,15.67,10.12,-6.31,36.29,-99.82,-12.98,0.86,10.92,474.34,-99.58,-98.17,-21.26,-94.99,-37.83,-60.85,-99.79,-14.36,-16.45,-55.51,3328.53,102.93,484.66,-13.08
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.36,-100.0,-100.0,-100.0,-100.0,,,,,,,,
Aktywa razem,,,,,26.63,49.66,72.02,46.9,51.13,30.06,74.81,80.34,53.03,59.77,15.44,5.73,18.85,10.24,8.44,10.47,-20.01,-27.61,-26.88,-26.6,-22.25,-12.77,-12.57,-2.96,8.99,18.92,19.33,21.32,26.66,13.0,10.47,-12.49,7.38,20.47,14.95,39.05,22.06,3.51,16.51,4.54,-5.14,-7.43,-24.16,-27.02,-18.65,-0.49,20.36,34.59,28.71,25.7,19.99,4.48,2.44,-15.03,-5.98,-6.94
Kapitał własny akcjonariuszy jednostki dominującej,,,,,102.6,113.86,149.38,70.07,49.61,27.7,66.06,63.58,48.49,60.99,19.18,3.86,18.97,9.41,9.4,14.69,-27.4,-31.72,-38.74,-41.78,-46.55,-25.85,-17.3,9.18,68.25,54.61,44.34,52.46,61.18,28.25,33.69,-7.16,-4.94,5.15,-8.52,7.59,5.48,-2.67,24.03,19.71,3.09,-0.73,-19.01,-16.68,2.31,13.64,41.08,46.29,30.04,22.83,8.26,0.75,5.36,-6.15,4.96,-5.48
Kapitał (fundusz) podstawowy,,,,,-17.85,-7.24,-5.58,-3.6,3.88,-3.84,10.64,11.53,3.73,6.89,-6.74,-7.44,0.38,1.59,2.49,1.44,-0.15,-3.89,-0.97,2.78,-1.97,0.81,1.51,-0.02,4.39,5.51,1.73,3.81,-1.14,-4.5,-0.07,-5.72,-0.27,3.2,-0.87,3.1,2.21,-2.51,2.39,-0.97,5.84,5.03,3.5,8.37,2.37,1.23,2.34,-0.33,-0.17,3.53,5.11,1.97,0.49,-4.92,-4.81,-7.29
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.12,-119.81,-25.95,-10.68,-5.02,1.14,4.5,0.07,5.72,0.27,-3.2,-4.68,-18.69,-17.66,-12.23,-11.62,0.97,-5.84,-5.03,-3.5,-8.37,-2.37,-3.99,-5.16,-10.05,-10.24,-11.28,-12.96,-1.97,-0.49,4.92,4.81,19.11
Kapitał (fundusz) zapasowy,,,,,-18.55,-10.64,-9.84,-3.69,3.87,-3.92,10.54,11.53,3.67,6.95,-6.68,-7.44,0.38,1.59,2.49,1.44,-0.15,-3.89,-0.97,2.78,-1.97,0.81,1.51,-0.02,4.39,5.51,1.73,3.81,-1.14,-4.5,-0.07,-5.72,-0.27,3.2,-0.87,3.1,2.21,-2.51,2.39,-0.97,5.84,5.03,3.5,8.37,2.37,1.23,2.34,-0.33,-0.17,3.53,5.11,1.97,0.49,-4.92,-4.81,-7.29
Udziały niekontrolujące,,,,,-88.28,39.65,37.8,43.96,-16.41,-28.96,7.57,250.51,197.09,228.23,133.59,-32.42,-18.34,-0.41,-20.89,-79.87,-84.61,-88.39,-85.85,-35.51,-41.71,-52.4,-40.49,-50.01,-47.81,-50.35,-58.11,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,1.44,32.73,58.13,2.23,35.31,15.29,41.94,109.7,77.16,81.56,22.49,24.14,27.89,17.73,6.18,-20.97,-28.67,-29.61,-14.9,-4.95,-2.09,-7.55,-25.63,-26.91,-32.44,-23.1,-19.03,-14.79,-16.04,-24.87,-7.28,-25.21,89.86,149.4,7.85,33.66,-32.86,-44.41,32.36,48.93,24.07,22.38,59.76,7.14,9.97,9.27,-16.47,3.26,12.29,21.78,0.43,-9.31,-8.01,-19.63,0.91,12.5
Z tytułu dostaw i usług,,,,,80.8,44.99,283.13,37.78,94.6,-23.08,58.96,81.06,-9.72,31.62,-10.85,56.97,19.49,-32.99,-26.78,-24.7,94.18,125.3,48.34,-55.52,50.36,59.01,125.67,836.56,-67.31,-88.04,-83.65,-85.69,19.28,88.56,10.29,3.36,-31.94,-42.63,-1.76,-0.01,108.89,218.1,59.81,-13.13,-57.37,-70.53,-57.12,-21.85,2.0,85.89,34.25,75.55,37.54,17.61,61.09,13.6,-32.93,-18.53,17.78,22.0
Kredyty i pożyczki,,,,,-38.43,-34.31,-23.85,69.25,78.03,113.34,203.9,100.69,51.39,27.13,1.63,-9.9,10.69,12.58,29.92,27.85,-0.42,-32.33,-20.6,18.75,-14.13,7.91,-14.09,-40.04,24.98,53.78,65.45,31.54,-31.57,-13.02,-29.41,-13.57,15.74,-18.68,114.65,135.5,158.05,146.48,-14.5,-36.09,-28.59,-33.93,-80.9,-86.89,-93.73,-51.85,-38.68,-2.43,130.58,19.77,389.7,205.15,50.51,-59.17,-67.75,-69.75
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,-20.06,114.42,101.36,80.7,50.07,1.79,-22.3,-12.35,-15.41,23.32,27.47,32.43,63.41,-3.83,-9.7,-20.28,-37.62,-2.38,-0.13
Inne zobowiązania długoterminowe,,,,,89.67,60.93,114.17,0.85,-12.95,14.69,26.55,85.16,72.96,43.29,1.19,-23.09,-24.33,-18.91,-14.84,16.02,-4.51,-10.89,-12.78,-8.54,-14.09,-21.59,-11.6,15.33,46.58,89.24,62.85,35.07,43.08,12.63,18.39,-48.78,-47.5,-49.78,-51.52,14.92,15.89,19.54,25.43,-31.53,-39.3,-40.58,-47.61,-41.16,-34.07,-34.9,-24.25,-21.61,-24.83,-24.54,-33.46,79.23,85.03,74.88,111.82,-30.35
Zobowiązania krótkoterminowe,,,,,-25.65,-13.78,-10.33,49.52,72.17,52.66,148.97,99.99,43.09,39.21,1.54,-7.38,9.28,4.81,8.1,39.84,9.77,-13.09,-6.38,-10.51,3.49,12.38,6.55,-1.15,-12.54,-2.46,8.03,-4.93,-7.53,-0.39,-23.54,-18.88,0.77,8.02,92.55,128.02,122.69,73.56,0.58,-27.26,-24.76,-29.02,-66.44,-68.16,-70.79,-39.71,-3.27,28.19,50.55,42.71,127.5,49.15,0.77,-44.91,-44.65,-31.14
Inne zobowiązania krótkoterminowe,,,,,1.06,4.94,-41.19,1.5,34.14,13.11,126.03,105.15,64.56,109.22,12.25,-21.15,-3.09,7.27,-33.32,147.5,-5.42,-11.31,35.1,-74.0,20.0,-28.48,-23.07,116.01,-42.06,-0.71,14.28,16.87,152.99,46.19,-2.74,-42.71,-61.53,22.51,-14.92,37.37,50.53,-45.12,52.81,-41.05,-32.49,-26.57,-50.9,-10.04,1.18,-37.49,8.98,58.09,40.0,171.31,116.78,21.69,9.01,-28.39,-43.97,-1.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,26.63,49.66,72.02,46.9,51.13,30.06,74.81,80.34,53.03,59.77,15.44,5.73,18.85,10.24,8.44,10.47,-20.01,-27.61,-26.88,-26.6,-22.25,-12.77,-12.57,-2.96,8.99,18.92,19.33,21.32,26.66,13.0,10.47,-12.49,7.38,20.47,14.95,39.05,22.06,3.51,16.51,4.54,-5.14,-7.43,-24.16,-27.02,-18.65,-0.49,20.36,34.59,28.71,25.7,19.99,4.48,2.44,-15.03,-5.98,-6.94
Przepływy pieniężne z działalności operacyjnej,,,,,180.17,308.5,-1282.97,-103.81,-50.49,-33.64,-31.11,-2026.79,3.81,99.22,57.86,-99.75,-13.75,85.22,241.22,-6.42,287.09,41.07,-55.92,243.93,-10.51,-65.67,399.32,186.5,74.51,-8.11,-90.8,-23.47,119.17,-208.15,449.01,-108.49,-70.57,145.55,-379.78,-337.55,66.13,546.77,332.95,549.82,28.23,-105.17,94.84,21.89,-45.79,-1246.2,-10.16,-74.08,-10.22,23.99,-89.12,163.86,94.21,190.31,65.83,-67.53
Amortyzacja,,,,,38.34,85.29,117.45,-56.5,6.29,-14.99,13.6,581.76,69.67,70.21,34.84,12.78,8.01,8.53,1.78,17.41,17.17,-17.2,-12.72,-13.44,-26.95,-1.17,-3.02,-15.07,30.09,31.98,32.01,49.19,27.77,29.81,28.6,8.82,1.91,11.24,5.76,21.67,37.83,28.41,49.12,107.58,34.18,19.17,-7.78,-42.46,-24.07,-17.94,6.45,18.55,6.86,4.25,-12.39,-29.32,-4.12,-5.1,8.35,20.42
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1389.41,-1623.91,-881.17,-114.24,-331.3,-84.68,-75.53,-149.96,78.29,94.25,32.54,25.46,68.85,-1271.11,-25.15,50.08,-4.81,82.58,53.41,-356.1,403.44,34.81,110.23,77.48,0.94,-702.84,-792.37,98.63,-327.68,24.57,-174.17,-18203.71,32.69,-17.56,5.27,46.3,-26.83,64.78,77.27,76.28,46.81,20.06,77.89,-67.65,112.1,18.27,452.43,-27.47,-786.77,21.16,-319.07,34.24,32.56,-181.22,-33.06,-586.01
CAPEX (niematerialne i rzeczowe),,,,,2698.9,251.4,1017.74,-22.29,6.84,131.0,12.0,275.38,46.06,-35.55,-10.99,-12.53,70.89,20.55,37.93,-57.49,-80.87,-72.12,-46.11,44.53,-45.21,-22.27,11.67,-60.17,97.48,246.42,-54.49,-25.23,267.36,6.91,284.82,223.36,-20.5,5.23,-20.82,37.93,30.59,-65.15,-70.07,-74.43,-42.92,-19.38,-78.02,31.36,-55.24,20.61,19.31,19.31,80.16,-38.79,511.19,-10.43,-24.92,140.42,34.84,395.09
Przepływy pieniężne z działalności finansowej,,,,,-73.79,-113.13,3469.86,1474.28,441.91,226.53,41.8,221.19,-110.05,-241.25,-44.44,-7.51,-260.37,-74.56,-21.14,-25.44,-123.15,-145.08,56.04,-8.83,39.49,35.46,-175.2,-221.16,-162.34,32.04,223.43,-100.46,-41.56,174.12,-50.54,123.29,60.17,-31.02,151.68,105.48,-97.41,-445.1,-274.65,-320.24,58.6,17.88,-6.83,-18.05,-178.49,176.4,-29.18,85.83,80.06,53.66,141.28,-747.29,-478.34,-165.15,-81.01,96.51
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,
Przepływy pieniężne razem,,,,,22.48,-230.92,162.71,-137.95,55.52,212.26,-380.95,538.53,-175.55,327.43,-23.7,-71.37,-239.95,-78.71,15.87,264.06,201.57,-384.37,560.43,-506.74,325.41,-370.33,-129.57,266.91,-10.71,-7.1,443.5,-225.19,87.28,50.05,-130.52,-9.84,-104.89,192.59,-125.93,84.26,-172.47,-22.75,-16.16,242.72,969.29,-670.88,317.0,38.16,-125.96,67.46,-68.9,-34.68,250.54,179.1,227.87,-1010.91,-79.77,-165.01,-72.93,43.26
