,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Koszty finansowe,,,,,11.7,7.96,-58.79,486.22,31.55,43.73,94.82,-86.75,0.0,-46.99,96.7,606.97,15.84,148.37,-42.36,-82.47,-49.89,-78.0,-52.06,-84.92,5.34,97.61,57.34,323.05,15.77,22.4,17.47,-31.09,4.0,-3.96,-8.67,5.47,-3.25,26.16,8.19,-47.63,-5.71,-13.8,-42.38,22.74,-25.3,-52.84,-35.26,25.39,-38.45,-59.44,-146.78,-58.28,-57.31,-109.9,117.99,-15.41,-55.7,730.0,285.29,-41.09,65.15,10.32,3.82,192.76,14.68,166.19,202.94,-116.85,183.2,11.08,-16.02,894.67
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,-100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,345.95,-106.46,318.6,-143.95,74.41,-186.21,-168.03,-123.58,-97.31,-1342.37,-270.64,-346.59,-1933.75,187.23,102.5,96.18,242.19,-89.67,479.74,-946.65,-128.67,109.74,-308.13,34.39,-12.54,-132.42,53.82,96.31,149.93,129.77,-53.12,234.41,-364.29,-1238.17,77.59,-232.67,15.65,-6.44,174.88,-1053.94,-213.89,16.07,-636.0,52.77,75.67,21.55,38.81,47.1,-139.51,-19.43,-13.41,14.87,35.99,55.13,33.58,45.61,26.23,-110.71,98.75,-44.17,5.87,93.14,-880.0,68.2,133.0,-796.3,173.47,-51.74
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,345.95,-106.46,318.6,-143.95,74.41,-186.21,-168.03,-123.58,-97.31,-1342.37,-270.64,-346.59,-1933.75,187.23,102.5,96.18,242.19,-89.67,479.74,-946.65,-128.67,109.74,-308.13,34.39,-12.54,-132.42,53.82,96.31,149.93,129.77,-53.12,234.41,-364.29,-1238.17,77.59,-232.67,15.65,-6.44,174.88,-1053.94,-213.89,16.07,-636.0,52.77,75.67,21.55,38.81,47.1,-139.51,-19.43,-13.41,14.87,35.99,55.13,33.58,45.61,26.23,-110.71,98.75,-44.17,5.87,93.14,-880.0,68.2,133.0,-796.3,173.47,-51.74
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,750.0,-98.89,89.53,-161.17,93.46,-1739.13,-174.23,-93.46,-95.71,-1520.42,-199.75,-472.18,-718.11,193.03,100.39,99.49,287.52,-92.24,5785.71,-9714.14,-164.88,193.2,-287.62,58.54,-1.68,-151.2,59.25,96.83,144.18,168.28,-39.52,219.79,-88.81,-449.12,64.96,-298.44,-2216.67,-21.42,144.81,-1338.47,-168.8,17.59,-725.36,59.71,78.32,27.61,37.78,75.85,-126.86,-14.79,198.7,45.9,27.03,34.38,-178.49,-191.98,25.41,-108.01,106.61,16.54,9.03,83.19,-318.18,16.28,140.3,-137.54,233.33,1.68
Zysk netto akcjonariuszy jednostki dominującej,,,,,674.44,-98.79,78.59,-238.85,112.34,-1608.0,-178.77,-106.31,-95.71,-1520.42,-199.75,-472.18,-718.11,193.03,100.39,99.49,287.52,-92.24,5785.71,-9714.14,-164.88,193.2,-287.62,58.54,-1.68,-151.2,59.25,96.83,144.18,168.28,-39.52,219.79,-88.81,-449.12,64.96,-298.44,-2216.67,-21.42,144.81,-1338.47,-168.8,17.59,-725.36,59.71,78.32,27.61,37.78,75.85,-126.86,-14.79,198.7,45.9,27.03,34.38,-178.49,-191.98,25.41,-108.01,106.61,16.54,9.03,83.19,-318.18,16.28,140.3,-137.54,233.33,1.68
Aktywa trwałe,,,,,-30.21,-22.02,-3.05,28.02,109.9,91.03,52.84,11.88,16.28,14.63,9.69,-25.89,-26.94,-40.87,-37.06,-16.53,-16.43,4.54,3.65,-39.55,-38.14,-3.77,-3.63,58.14,59.08,-3.02,-3.78,-3.45,-4.86,2.93,5.89,7.91,7.82,-0.44,-3.16,-19.9,-19.24,-8.33,-7.68,-6.68,-8.28,-14.98,-17.08,-3.65,-0.4,-2.46,-0.23,2.49,0.43,3.6,4.39,5.13,4.3,0.69,-0.45,-4.08,-3.84,-4.59,-4.35,-3.42,-3.39,0.36,1.56,-0.16,1.48,-1.08,-2.27,1.76
Wartości niematerialne i prawne,,,,,-3.62,10.51,33.37,24.08,182.26,153.51,102.91,-1.31,0.85,-1.96,-13.3,-13.32,-12.95,-16.74,-5.39,-4.82,-4.51,0.49,0.45,-34.78,-34.94,5.69,6.69,55.4,60.73,-4.61,-5.61,-0.34,-3.66,3.21,5.12,3.26,3.26,-0.21,-1.96,-20.04,-20.03,-9.75,-9.76,-1.54,-1.51,-12.7,-12.67,-0.31,-0.31,-0.23,-0.24,-2.85,-2.85,-2.93,-2.92,0.12,0.11,0.11,0.1,0.0,0.03,0.02,0.09,0.04,0.0,0.0,-0.07,-0.03,-0.03,-0.03,-0.03,-0.07
Rzeczowe składniki majątku trwałego,,,,,-50.65,-45.3,-29.73,38.5,42.82,22.19,-4.87,-10.85,-11.06,-10.56,-10.69,-37.94,-41.78,-91.91,-89.58,-82.67,-86.29,43.53,34.74,5.09,65.15,93.82,55.67,44.15,3.69,-40.86,-44.12,-40.35,-34.44,-10.58,9.64,-15.1,-15.66,-35.12,-45.27,-10.84,18.37,11.17,27.8,20.49,-9.5,-12.88,-16.66,-38.89,14.27,19.39,15.01,79.68,2.24,76.87,97.84,56.89,48.58,-13.45,-26.79,-21.09,-20.42,-20.55,-23.57,-29.32,-32.84,19.17,53.52,55.75,99.86,11.0,-11.28,31.21
Należności długoterminowe,,,,,,,,-100.0,,,,,,,,,,32.0,-34.36,-18.67,1963.64,177.78,20.56,0.74,-40.09,-46.55,13.95,8.82,59.56,46.94,46.94,29.05,-38.71,-38.43,-38.43,6.28,13.53,14.29,10.53,-27.59,57.62,66.45,80.27,39.46,-16.81,364.43,-27.92,1.46,6.57,-86.98,-21.99,-28.37,-29.38,-45.1,-43.62,-43.62,-44.97,-5.95,-5.95,-5.95,-3.66,7.59,7.59,7.59,7.59,0.0,8.24,8.24,8.24,-35.29,-40.22,90.22
Inwestycje długoterminowe,,,,,19.43,0.0,-26.32,-26.32,-26.44,-100.0,-100.0,2038.94,2038.94,,,-100.0,-99.95,-99.95,-99.95,,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,-99.96,-99.88,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,87.43,102.95,141.88,76.68,2.57,96.25,63.59,107.26,284.64,140.66,195.3,13.97,8.74,-8.96,-25.4,22.27,14.3,16.85,13.4,-71.75,-71.57,-70.41,-71.21,101.21,97.35,80.49,89.51,-6.82,1.75,9.24,13.16,1.23,19.76,11.82,5.41,22.61,-1.2,-4.44,-2.26,-43.53,-47.71,-48.86,-48.17,-19.25,-9.26,-5.21,-6.17,40.69,41.7,44.69,44.65,24.07,21.07,16.34,16.55,-21.38,-21.47,-29.81,-27.5,-17.58,-16.86,-7.77,-10.2,-31.51,-27.93,-21.9,-18.19,-9.86
Aktywa obrotowe,,,,,61.68,29.83,32.19,13.23,-8.31,-1.62,-12.4,-21.81,-33.14,-38.86,-43.55,-67.23,-67.32,-29.13,-43.53,16.38,23.03,-32.08,-21.06,-29.31,-16.13,-8.72,33.11,15.33,-32.27,-40.43,-50.55,-26.71,17.31,28.52,14.32,-19.66,-32.0,-52.27,-22.29,21.3,32.94,96.41,67.59,1.14,-12.91,-40.04,-44.02,-32.73,-25.72,-11.1,19.54,4.77,3.4,11.77,-27.84,10.71,7.47,0.07,15.16,10.77,19.97,19.91,45.24,38.16,26.6,33.52,11.53,-4.3,12.34,3.39,1.23,15.07
Zapasy,,,,,18.53,-8.43,4.71,-4.33,9.17,7.19,2.51,-7.98,-29.33,-34.43,-44.54,-64.69,-63.55,-72.16,-55.61,20.55,19.93,138.56,79.31,32.94,33.01,25.37,25.08,-1.95,-24.78,-50.53,-48.79,-26.92,21.83,42.4,23.25,-2.37,-25.52,-42.75,-32.84,6.6,20.29,60.82,51.46,17.52,20.94,-2.88,-18.19,-42.44,-45.11,-35.37,-32.22,12.27,16.7,24.55,37.0,19.11,10.87,13.28,22.06,11.15,27.3,30.41,54.22,75.03,49.27,46.86,25.61,12.7,17.5,8.7,-4.23,1.14
Należności krótkoterminowe,,,,,43.76,23.13,32.45,7.5,-3.43,-0.6,-19.46,-17.18,-21.06,-32.49,-33.76,-71.94,-69.33,-35.78,-65.07,-27.22,-27.62,-59.9,-5.57,-4.89,18.77,25.83,38.57,26.28,-37.95,-33.1,-51.53,-28.81,11.07,-4.33,-22.04,-40.3,-46.38,-47.71,14.44,36.32,76.2,133.0,88.04,4.97,-42.86,-64.44,-59.02,-39.74,-6.17,31.25,-6.68,-7.61,2.13,-11.71,-16.25,20.7,-1.24,-16.36,7.85,15.87,25.2,26.15,27.48,13.66,-5.48,12.63,-5.48,-32.49,3.86,-8.38,15.07,55.32
Inwestycje krótkoterminowe,,,,,447.81,5915.74,198.82,1508.17,-49.72,-14.7,3.83,-67.79,-98.57,-98.38,-98.81,-80.85,354.67,4.27,266.04,-60.46,12.61,95.32,-46.39,-68.33,-62.76,20.36,170.67,690.79,0.35,-22.64,-57.9,18.64,88.5,793.89,1058.23,71.95,107.95,-93.92,-80.04,34.26,-82.49,1.18,-60.58,-82.02,60.41,-10.53,11.57,400.0,192.09,-1.96,1978.01,18.65,-56.12,442.0,-94.83,-36.9,59.75,1.72,-13.13,-13.99,-82.69,-89.72,143.11,-76.71,105.36,-77.65,-78.06,-87.39,-44.78,-21.05,-45.0,357.14
Środki pieniężne i inne aktywa pieniężne,,,,,410.77,5915.74,198.82,1508.17,-45.84,-14.7,3.83,-67.79,-98.57,-98.38,-98.81,-95.99,186.67,4.27,266.04,88.98,78.6,95.32,-46.39,-68.33,-62.76,20.36,170.67,690.79,0.35,-22.64,-57.9,18.64,88.5,793.89,1058.23,71.95,107.95,-93.92,-80.04,34.26,-82.49,1.18,-60.58,-82.02,60.41,-10.53,11.57,400.0,192.09,-1.96,1978.01,18.65,-56.12,442.0,-94.83,-36.9,59.75,1.72,-13.13,-13.99,-82.69,-89.72,143.11,-76.71,105.36,-77.65,-78.06,-87.39,-44.78,-21.05,-45.0,332.14
Pozostałe aktywa obrotowe,,,,,31.82,15.95,251.98,-53.99,438.7,-80.62,-56.14,-83.7,-90.65,337.31,-19.54,-100.0,-100.0,-100.0,-100.0,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,-100.0,358.43,-100.0,3900.0,,253.03,,-17.7,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,20.91,8.88,18.11,19.7,21.97,25.19,8.99,-6.04,-11.36,-15.24,-19.07,-44.19,-43.98,-36.14,-39.5,-7.98,-6.72,-11.83,-5.04,-36.19,-31.0,-5.48,7.11,42.55,23.05,-15.46,-20.78,-10.3,-0.05,8.93,7.81,1.27,-2.33,-14.78,-7.76,-12.03,-9.98,7.9,7.57,-4.62,-9.5,-22.05,-25.59,-11.77,-6.79,-4.33,4.47,2.97,1.02,5.25,-4.37,6.34,4.95,0.56,2.75,-0.73,1.17,0.63,7.05,7.05,4.1,8.77,4.67,-1.5,4.77,0.31,-1.11,5.96
Kapitał własny akcjonariuszy jednostki dominującej,,,,,72.54,84.2,86.31,22.65,12.83,3.17,-3.19,-11.95,-12.04,-21.44,-27.66,-87.89,-82.37,-72.02,-68.72,152.94,93.0,105.64,125.39,-35.48,-45.8,-61.8,-49.93,-38.96,-33.73,-51.1,-18.19,114.21,116.29,167.15,1.05,-6.5,-8.53,-12.31,-4.32,-16.44,-22.31,11.99,14.35,-64.99,-81.97,-95.12,-15.63,173.52,481.71,1337.87,39.18,56.32,43.97,59.2,-1.59,-2.42,-0.86,-6.76,-6.47,-6.63,-2.6,7.54,2.43,5.08,2.18,-4.87,-5.67,2.63,13.0,11.18,12.62,-1.94
Kapitał (fundusz) podstawowy,,,,,50.76,50.76,50.76,53.08,1.54,1.54,1.54,0.0,0.0,0.0,0.0,0.0,9.9,20.9,20.9,20.9,20.55,9.58,36.54,36.51,24.57,-75.09,-68.22,-67.95,-67.95,49.74,-5.79,1.7,1.7,8.86,8.86,0.0,0.0,0.0,0.0,12.33,12.33,41.91,41.91,26.34,26.34,0.0,0.0,0.0,8.58,8.58,30.3,30.3,19.6,12.67,-2.79,-2.79,-2.46,3.54,-7.69,-3.71,-3.71,0.13,-0.57,-2.3,-0.76,-13.24,-5.35,-7.65,-9.09,9.21,9.21,9.21
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,,,23.68,23.68,0.7,0.0,0.0,0.0,-15.74,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,1091.92,1091.92,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-23.78,-100.0,-100.0,-100.0,-100.0,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,50.0,18.42,25.79,25.79,25.79,6.22
Udziały niekontrolujące,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-36.0,14.08,44.45,108.42,137.58,24.58,147.26,183.36,148.82,103.96,-17.32,-61.17,-70.27,-49.2,-97.94,-70.28,-43.59,-42.7,1153.07,90.09,34.0,35.09,229.86,174.32,166.64,95.96,-19.33,-20.88,-20.87,33.28,30.14,27.71,5.96,-36.33,50.55,25.97,68.32,68.79,-25.6,-19.12,-28.35,-29.55,-45.23,-26.04,-19.79,-11.53,19.12,2.07,1.3,-57.69,-4.92,42.95,36.93,218.5,46.4,-30.15,-30.07,-33.89,-31.66,31.95,36.76,45.19,55.4,-3.82,-8.81,-11.55,-18.94,-71.64
Z tytułu dostaw i usług,,,,,,,,,,,,,,,,,,,,-27.97,,-46.56,,-16.13,-20.06,93.25,71.96,51.45,11.35,-36.3,-37.96,-44.72,-25.01,-28.1,-29.17,-16.48,-9.39,9.27,22.46,55.32,52.69,82.04,84.23,22.09,14.6,-28.31,-66.75,-62.81,-61.65,-50.25,-9.95,-8.6,3.48,51.45,62.27,32.59,21.57,-31.7,-23.3,4.5,2.6,50.23,76.81,47.06,25.34,21.66,-2.66,-5.75,21.37,-0.48,-6.96,10.8
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,9.06,,-7.07,,-68.67,-42.95,-34.56,-42.22,-19.4,-30.25,-30.29,-10.77,-52.95,-43.95,-72.66,-55.66,-89.76,-94.96,-98.97,-98.8,-91.85,-89.42,3793.1,5424.14,5286.21,14589.66,925.6,297.57,491.17,107.21,-27.08,28.84,-39.44,-39.21,54.52,-63.45,-99.98,-99.59,-99.83,-70.12,19500.0,1318.18,1868.18,73.21,753.06,571.79,245.96,-2.38,-0.48,-20.61,43.06,154.65,1058.35
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,-30.21,,-76.64,,-95.24,-19.36,449.25,165.29,2950.95,72.34,-23.9,-15.29,17.2,32.05,-3.82,69.91,14.79,34.22,20.36,-84.87,-87.04,-90.76,-97.3,40.96,162.12,207.23,464.91,91.52,-51.5,-48.14,27.91,-97.02,-93.17,-93.7,-84.37,279.73,218.97,240.0,22.52,-26.81,1213.67,1180.65,723.45,730.15,-93.97,-96.05,-88.53,-88.97,13.39,93.88,-9.56,-22.12,-30.77
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,0.25,,16.47,,16.48,63.19,110.38,102.78,112.65,51.77,3.66,1.16,0.4,-0.86,2.84,3.01,-0.05,1.55,-2.15,-1.75,-14.41,-13.79,-14.28,-14.85,-3.47,-4.59,-2.97,-2.37,-0.29,0.09,-0.11,-0.12,-2.86,-3.14,-4.6,-22.54,-45.58,-45.28,-43.79,-30.57,2.53,2.63,2.15,2.63,2.64,2.68,2.66,2.73,2.6,2.58,2.59,2.55,2.69
Zobowiązania krótkoterminowe,,,,,-23.69,-42.73,-34.33,7.0,41.73,73.78,-2.79,-38.91,-47.95,-33.57,-8.24,61.57,47.54,36.0,38.0,-17.23,-8.38,-42.15,-52.0,-46.09,-31.01,48.89,45.43,48.81,12.8,-26.99,-23.07,-31.13,-17.2,-34.31,-1.38,-8.68,-2.77,6.23,-55.59,-39.27,-48.47,-33.59,86.73,74.61,93.38,69.77,-12.91,-34.95,-39.45,-41.55,-32.71,-37.49,-34.64,27.74,-8.28,-28.57,-31.18,-65.91,-34.44,98.28,101.76,91.28,124.22,-15.38,-26.36,-10.73,-25.71,-4.28,15.75,4.2,9.98,140.46
Inne zobowiązania krótkoterminowe,,,,,,,,,,,,,,,,,,,,-94.84,,-99.08,,225.24,152.86,1871.43,8600.0,404.1,417.51,157.13,124.71,-89.63,-94.25,-91.03,-96.61,19.33,-12.03,384.82,-30.19,-11.5,32.37,-89.42,-5.41,1061.54,2237.5,4369.39,2514.29,-93.99,-95.58,-97.88,-89.73,-48.29,-37.37,116.13,-12.77,-4.41,-15.97,439.3,-24.39,50.77,36.0,-89.48,83.87,-17.35,19.85,42.98,43.86,8.02,6.13,7.36,5.49,49.71
Rozliczenia międzyokresowe,,,,,230800.0,-38.58,-0.42,34.37,46.47,109.01,29.45,66.93,73.12,36.22,22.83,-100.0,54.77,-100.0,-5.79,,-100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,20.91,8.88,18.11,19.7,21.97,25.19,8.99,-6.04,-11.36,-15.24,-19.07,-44.19,-43.98,-36.14,-39.5,-7.98,-6.72,-11.83,-5.04,-36.19,-31.0,-5.48,7.11,42.55,23.05,-15.46,-20.78,-10.3,-0.05,8.93,7.81,1.27,-2.33,-14.78,-7.76,-12.03,-9.98,7.9,7.57,-4.62,-9.5,-22.05,-25.59,-11.77,-6.79,-4.33,4.47,2.97,1.02,5.25,-4.37,6.34,4.95,0.56,2.75,-0.73,1.17,0.63,7.05,7.05,4.1,8.77,4.67,-1.5,4.77,0.31,-1.11,5.96
Przepływy pieniężne z działalności operacyjnej,,,,,-223.58,12.19,-88.67,119.45,75.21,109.96,247.1,-107.65,228.91,-243.49,-13.46,-1139.35,-496.88,460.62,-95.43,11.26,68.0,-99.37,-1177.01,134.9,-124.97,4394.87,-150.94,-97.1,84.66,-167.88,112.17,-2352.08,-118.71,-82.1,-260.16,413.51,141.64,61.56,-62.54,66.42,-536.91,-23.29,100.06,-90.14,57.89,-221.91,-946900.0,-163.49,2.57,53.84,87.36,-39.38,-46.86,-25.49,41.1,-88.21,91.92,85.48,-214.18,68.25,-1031.62,-155.4,181.72,-1191.84,54.31,107.04,-127.68,112.16,131.07,-714.0,10.78,-30.09
Amortyzacja,,,,,-2.72,6.05,-39.72,140.05,20.05,49.42,30.59,-35.14,-20.49,-21.62,-26.53,-7.76,-64.35,-72.78,-69.21,-65.35,-42.12,-39.45,-27.88,-33.33,-5.92,103.03,44.79,40.0,39.62,-23.13,-17.8,-7.65,-22.97,-10.68,-0.52,37.57,-9.94,-15.76,-21.24,-74.3,-10.39,65.81,42.76,231.25,61.59,-29.57,-27.65,-31.13,-42.15,-13.81,-0.64,4.11,34.11,29.49,56.41,71.05,43.93,21.29,-0.82,29.23,1.2,1.63,2.89,-27.08,-9.52,0.8,4.02,9.39,20.18,15.94,15.06,9.33
