,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Zobowiązania długoterminowe,,,,,-9.51,-2.19,34.84,-76.57,-76.12,-11.23,-9.32,230.28,261.75,-58.39,-59.2,22.0,22.73,19.05,216.87,80.58,68.65,130.28,10.19,-37.95,-22.77,-27.82,-29.95,2.12,-43.6,2.96,-20.01,-32.75,-19.74,-18.54,-11.58,-15.43,-3.76,4.44
Z tytułu dostaw i usług,,,,,-63.2,-38.94,43.33,28.33,5.88,18.74,15.62,0.22,61.98,34.0,17.01,24.48,20.07,41.11,85.64,86.55,70.0,-3.73,24.86,44.05,2.77,27.3,8.65,-9.72,3.34,-19.65,-30.88,9.43,-4.17,45.54,60.14,229.41,25.78,13.62
Kredyty i pożyczki,,,,,,0.0,0.0,408.74,201.43,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,-100.0,,,,,,208.46,-27.49,2389.1,445.34,-82.02,-83.69,-100.0,-100.0,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,241.25,-84.88,5.25,1434.38,698.52,-22.16,35.26,-86.3,-89.36,1225.83,575.32,258.93,657.18,-98.72,159.37,175.65,192.61,20729.87,8.82,27.72,5.94,10.64,4.72,-9.84,5.02,6.16,4.58,-22.67,11.25,-0.78,7.59,34.37,223.76,47.24
Inne zobowiązania długoterminowe,,,,,2.0,3.7,1.0,3.01,-33.82,-0.84,4.43,-3.35,45.36,5.39,1.95,8.38,3.16,1.99,-9.81,-8.11,-11.01,-19.97,-17.31,-22.43,-15.22,-13.43,-7.37,-3.59,-7.53,-3.16,-3.17,-3.19,-2.98,-3.19,-2.47,-3.26,-3.5,-2.16
Zobowiązania krótkoterminowe,,,,,-17.87,-32.25,10.34,273.65,128.78,-21.78,-21.59,-81.06,-58.39,75.79,59.04,43.92,34.0,0.51,63.2,102.11,85.04,41.66,14.18,57.58,7.17,41.43,52.72,-18.72,23.4,20.37,-24.88,91.7,82.16,-5.63,22.45,29.41,-7.58,5.03
Inne zobowiązania krótkoterminowe,,,,,4.5,-13.13,-46.86,-42.22,8.0,175.1,585.21,251.28,220.02,118.76,48.1,-16.63,-30.26,-36.28,-44.86,-7.54,-36.13,-7.11,-18.53,443.59,96.58,16.49,105.89,-79.85,-21.98,-14.0,-68.11,35.03,115.22,172.9,423.12,40.79,-33.39,-43.13
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,8.28,23.07,51.73,34.72,11.86,-1.69,-2.23,-14.92,7.36,-4.69,-6.4,19.46,21.74,11.56,46.63,40.7,33.16,32.31,9.32,3.2,1.1,6.64,6.0,4.95,3.19,20.93,6.94,7.44,15.08,-1.34,6.92,11.18,0.23,2.4
Przepływy pieniężne z działalności operacyjnej,,,,,-216.2,65.17,59.04,-119.99,104.2,-25.97,71.37,-806.14,440.66,38.39,-137.08,15.14,-51.3,19.4,115.58,68.06,293.15,15.68,-785.51,250.21,235.73,-51.07,-36.98,73.78,2.14,3.5,119.04,-18.69,9.87,112.76,947.63,88.63,35.63,-8.95
Amortyzacja,,,,,0.55,35.81,38.19,9.46,2.01,15.24,-4.05,12.03,20.61,13.82,34.72,38.66,35.14,39.23,242.42,278.14,224.74,250.26,11.41,10.38,-0.61,-20.67,-0.01,-14.31,8.89,-1.62,-8.88,0.37,6.68,5.97,15.11,13.54,0.12,17.48
Przepływy pieniężne z działalności inwestycyjnej,,,,,-828.29,-339.27,-131.93,-361.96,-74.49,-410.71,21.07,-197.88,-43.31,-30.0,9.44,15.87,65.2,49.98,-157.41,7.08,-114.3,13.24,96.22,29.65,-133.25,29.0,27.17,137.87,97.09,46.09,-669.4,-195.95,-648.51,-207.63,-55.58,-22.2,-20.15,-58.24
CAPEX (niematerialne i rzeczowe),,,,,1024.75,371.12,142.16,385.36,81.82,264.37,-24.47,180.32,44.98,34.34,-9.39,-15.49,-65.2,-50.0,157.43,-7.48,114.4,-12.62,-96.22,86.96,135.32,-33.46,89.13,-98.4,-98.99,-43.35,229.89,1379.43,2800.0,180.23,64.72,-43.05,-12.59,93.83
Przepływy pieniężne z działalności finansowej,,,,,146.97,258.06,96.83,-464.96,-911.67,-65.14,168.95,-34.53,126.24,-389.36,-214.4,183.31,33.42,-74.13,214.87,-52.92,-91.93,-12.69,1923.71,-170.39,1331.2,35.97,-68.95,46.96,-246.46,155.35,-858.28,-615.98,142.83,-453.13,59.77,68.43,-485.61,35.4
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,20.0,,,,50.0,,,,-100.0,,,-100.0,,,-100.0,,
Dywidenda,,,,,,,,,,,,25.92,,,,1.36,,,,19.24,,,,-100.0,,,,,,,,,,,,,10.32,
Przepływy pieniężne razem,,,,,-1549.8,109.61,73.03,-268.56,-251.55,-49.02,62.14,-110.97,104.7,-80.75,-84.09,103.41,419.16,-137.94,36.28,-86.56,-111.8,83.33,260.52,-1981.12,1310.75,-2094.43,-137.65,319.72,-122.0,617.03,-942.92,-303.58,883.95,-121.74,97.39,140.23,-147.65,161.6
