,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Zysk przed opodatkowaniem,,,,,45.63,-27.51,-4.05,-25.05,9.99,31.61,-14.21,34.06,-5.97,-37.97,-0.45,-26.48,-3.45,-47.12,-60.34,-20.54,13.84,76.68,-279.76,197.07,-21.25,-1451.31,56.36,-169.25,-44.7,110.01,-108.32,78.95,-20.34,-18.81,24.33,307.82,234.21,-151.8,-162.67,-331.1,-85.06,-707.65
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,38.66,-26.68,-4.66,-25.25,15.1,24.75,-14.05,33.84,-6.01,-38.14,-0.32,-26.17,-3.72,-46.48,-59.94,-21.16,14.35,74.13,-280.99,200.32,-22.51,-1617.14,56.3,-175.62,-43.94,108.45,-107.86,80.32,-20.43,-13.6,23.92,303.7,227.74,-154.51,-160.37,-394.37,-78.34,-1020.74
Zysk netto akcjonariuszy jednostki dominującej,,,,,38.66,-26.68,-4.66,-25.25,15.1,24.75,-14.05,33.84,-6.01,-38.14,-0.32,-26.17,-3.72,-46.48,-59.94,-21.16,14.35,74.13,-280.99,200.32,-22.51,-1617.14,56.3,-175.62,-43.94,108.45,-107.86,80.32,-20.43,-13.6,23.92,303.7,227.74,-154.51,-160.37,-394.37,-78.34,-1020.74
Aktywa trwałe,,,,,2.95,-1.2,10.37,20.97,26.89,30.5,14.69,7.25,4.72,4.35,6.26,25.33,45.34,50.83,51.81,39.0,39.9,68.06,72.14,56.2,32.65,-62.32,-61.73,-65.37,-65.79,-10.2,-13.98,-7.81,-8.34,-7.52,-7.69,-6.47,-4.55,-3.43,-1.08,-1.02,-0.89,-11.85
Wartości niematerialne i prawne,,,,,-15.34,-15.94,-16.72,-17.82,-20.76,-21.74,-22.84,-24.22,-25.78,-26.89,-28.16,-29.64,-29.69,-28.57,-27.24,-23.81,-21.12,137.87,142.01,141.35,139.39,168.16,167.55,166.33,165.19,-21.55,-22.78,-20.87,-22.43,-24.15,-18.81,-21.83,-20.1,-22.31,-31.61,-36.76,-43.77,-49.06
Rzeczowe składniki majątku trwałego,,,,,4.0,-0.21,11.86,21.0,27.23,31.36,14.42,7.95,5.04,4.98,7.24,26.92,48.18,52.58,53.8,40.02,40.79,70.42,73.81,57.34,32.96,-70.46,-69.95,-74.14,-73.78,-13.37,-17.76,-8.92,-10.07,-9.24,-9.83,-7.0,-6.26,-5.19,-4.41,-4.11,-5.09,-1.54
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-13.81,-16.64,-11.56,43.97,44.25,32.11,38.35,-1.25,5.73,-4.03,-9.11,-7.92,-17.28,16.08,10.21,9.75,7.17,-32.96,-2.95,-17.21,-2.98,635.33,450.29,9651.13,578.79,4.36,2.01,-91.74,-0.3,0.32,0.25,-3.19,2.55,3.68,11.1,10.96,14.87,-37.3
Aktywa obrotowe,,,,,5.92,-16.53,5.34,1.16,-4.23,1.14,18.87,4.13,26.82,2.72,-7.13,28.19,4.59,7.15,13.85,-3.86,7.0,-20.25,1.96,9.14,-1.86,0.78,7.84,3.03,10.32,20.61,12.68,8.92,8.1,8.4,36.41,45.97,35.52,2.95,-4.78,1.97,-24.54,-25.7
Zapasy,,,,,-3.83,60.67,-14.82,-1.82,5.11,-18.37,36.28,2.28,3.46,8.07,-14.74,23.37,-2.6,20.63,23.0,-1.64,5.37,19.25,2.71,6.89,-10.23,-42.62,-38.65,-20.14,-1.42,-5.95,22.18,18.8,58.68,49.45,112.75,60.99,1.37,34.63,-6.0,16.42,8.84,-32.55
Należności krótkoterminowe,,,,,24.18,-37.41,13.92,1.73,-11.91,13.21,-0.04,21.73,53.65,-1.49,27.01,28.09,10.31,0.25,8.47,-1.76,8.11,-53.72,-37.47,-14.18,-0.96,34.5,109.79,48.42,13.37,27.75,20.86,5.11,-25.79,-10.35,-5.57,29.13,97.11,0.9,-6.81,-17.78,-49.33,-28.7
Inwestycje krótkoterminowe,,,,,-42.14,-90.08,700.0,82.03,-61.7,596.67,-9.96,-84.49,222.61,40.49,-54.65,601.26,9.79,-22.39,-56.78,-65.76,20.03,119.8,792.69,835.26,116.63,54.58,-32.15,-60.14,-77.39,134.34,-44.9,-64.54,254.68,-4.63,-94.18,189.81,-95.45,-77.24,601.9,-92.24,360.14,20.06
Środki pieniężne i inne aktywa pieniężne,,,,,-42.41,-90.08,700.0,82.03,-61.53,596.67,-9.96,-84.56,218.54,45.87,-56.25,604.22,11.19,-25.26,-55.2,-65.76,20.03,119.8,792.69,835.26,116.63,54.58,-32.15,-60.14,-77.39,134.34,-44.9,-64.54,254.68,-4.63,-94.18,189.81,-95.45,-77.24,601.9,-92.24,360.14,20.06
Pozostałe aktywa obrotowe,,,,,16.02,-0.47,-5.61,17.87,5.71,13.74,27.58,-2.9,4.65,38.33,-10.81,26.96,31.33,-0.6,12.12,-15.93,-18.28,-3.33,-7.33,-3.92,-10.96,3240.13,700.47,884.86,1330.78,1.12,3.04,0.68,0.01,3.09,2.55,3.97,3.85,-2.53,-3.07,-2.24,-1.46,5.98
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,5.16,-12.76,7.2,7.17,3.6,9.32,17.28,5.2,20.01,3.26,-2.14,27.19,15.55,21.82,29.21,10.89,18.13,16.47,35.32,29.44,11.96,-37.08,-34.23,-32.59,-25.81,9.54,3.3,4.45,4.5,3.71,23.49,33.59,27.83,1.27,-3.97,1.48,-21.15,-22.23
Kapitał własny akcjonariuszy jednostki dominującej,,,,,32.92,23.44,47.1,17.24,16.96,17.67,15.85,22.57,18.89,13.15,12.58,26.71,23.61,19.75,16.75,15.48,15.39,16.83,12.98,17.26,14.13,-45.59,-45.37,-53.01,-52.52,33.87,32.65,43.31,39.28,5.39,6.15,7.27,15.23,6.26,3.39,-10.35,-17.33,-45.47
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.8,1.6,1.6,1.6,0.79,1.38,1.38,1.38,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,36.32,36.36,0.03,27.08,27.08,27.04,27.04,27.54,27.54,27.54,27.54,34.42,34.42,34.42,34.42,21.12,21.11,21.12,21.11,17.79,17.79,17.79,17.79,-47.8,-47.8,-31.97,-31.97,35.31,35.31,3.84,3.84,2.82,2.82,9.03,9.03,8.58,8.58,-43.05
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-56.69,-53.87,-62.28,-73.81,-90.54,-89.44,-86.25,-78.1,-32.6,-30.45,-12.15,1533.56,1759.95,3820.62,3265.05,-93.31,-94.46,-97.56,-98.03,-54.91,-58.92,-55.46,-50.55,-45.37,36.9,56.95,39.26,17.8,-50.0,-62.03,-64.89,-88.49,-91.3,-94.44,-96.97,-100.0,-100.0,15120.0
Z tytułu dostaw i usług,,,,,,-3.49,,-100.0,,16.41,,,,-12.81,,,,68.6,,,,-31.22,,,,-75.5,,,,63.22,,,,4.5,,,,119.05,,,,-63.72
Kredyty i pożyczki,,,,,,-39.76,,-100.0,,-7.5,,,,-14.07,,,,-32.21,,,,99.25,,,,-1.53,,,,-44.32,,,,-24.95,,,,-26.67,,,,-39.94
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,-45.33,,-100.0,,400.0,,,,28.29,,,,63.12,,,,-28.9,,,,-32.79,,,,-9.27,,,,-26.34,,,,-73.72,,,,800.0
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,0.96,-34.5,-30.48,-0.36,-7.02,0.15,22.22,-10.06,25.63,-9.71,-42.2,20.63,1.5,1.94,41.07,18.18,34.49,57.8,237.66,55.49,11.46,-25.26,-20.73,-9.4,2.57,-20.72,-26.2,-19.83,-12.78,3.5,61.0,67.49,40.49,-11.72,-14.7,10.65,-24.11,-26.44
Inne zobowiązania krótkoterminowe,,,,,,-57.6,,-100.0,,26.43,,,,69.75,,,,23.88,,,,305.11,,,,-32.9,,,,23.37,,,,40.43,,,,-37.24,,,,18.44
Rozliczenia międzyokresowe,,,,,-10.47,11.77,9.17,135.91,131.66,79.06,77.75,-5.7,-6.28,-8.81,-5.83,-10.89,-14.15,-11.93,-13.71,-1.06,-7.56,-22.44,-25.95,-18.56,-13.2,-1.58,11.81,3.41,6.1,4.58,-9.29,-5.93,-9.57,-16.64,-10.58,-9.88,-10.62,21.44,18.83,-9.26,-10.74,363.3
Pasywa razem,,,,,5.16,-12.76,7.2,7.17,3.6,9.32,17.28,5.2,20.01,3.26,-2.14,27.19,15.55,21.82,29.21,10.89,18.13,16.47,35.32,29.44,11.96,-37.08,-34.23,-32.59,-25.81,9.54,3.3,4.45,4.5,3.71,23.49,33.59,27.83,1.27,-3.97,1.48,-21.15,-22.23
Przepływy pieniężne z działalności operacyjnej,,,,,-33.39,238.7,-18.96,43.05,-19.32,-16.45,-19.61,-131.31,-80.5,152.12,-9.0,-19.37,11.03,22.05,-31.02,-6.76,20.61,55.71,-90.17,-13.03,-28.91,9.02,124.98,-80.45,14.48,4.81,-278.4,21.52,9.99,-1.73,-323.44,-26.39,-13.68,52.65,36.72,-94.05,222.31,-15.18
Amortyzacja,,,,,20.83,42.69,38.91,46.2,32.46,35.64,34.72,2.02,1.08,2.2,1.29,3.54,6.84,5.67,3.73,2.75,2.41,-1.55,-0.57,-12.81,-18.75,-22.81,-21.71,-14.05,-8.09,-5.78,-5.57,-6.71,-5.33,-5.91,-7.45,-2.55,-8.27,-5.8,-6.85,-8.57,-3.38,4.49
Przepływy pieniężne z działalności inwestycyjnej,,,,,102.86,46.91,-37.76,681.7,-6472.39,-135.13,248.99,-217.43,85.48,41.36,-145.29,-23.7,-232.29,-1067.74,-15.88,30.04,-63.6,-77.5,-117.29,83.59,94.16,69.96,80.07,44.08,-86.43,93.12,70.97,29.78,47.26,15.42,5.23,-69.36,-10.19,1.92,-47.24,49.64,-24.86,50.37
CAPEX (niematerialne i rzeczowe),,,,,-95.13,-44.21,-50.75,355.72,-112.34,107.86,-66.55,-70.87,2614.58,-21.06,367.92,6.29,-239.35,614.57,56.45,3.57,595.72,142.7,118.92,-50.83,-94.26,-71.64,-80.07,-43.57,73.9,-92.15,-50.21,26.36,-46.34,-23.97,-47.8,9.42,13.2,-7.26,125.97,-31.49,30.04,-50.37
Przepływy pieniężne z działalności finansowej,,,,,-14.98,-247.1,39.01,-54.33,-0.42,40.85,9.12,62.95,138.56,-221.42,1.88,182.65,-6.87,16.58,31.48,-8.13,2.77,-34.8,164.2,-17.53,-24.15,-72.29,-112.04,66.48,-12.17,8.09,3.26,-21.4,22.35,-7.69,1653.01,57.98,-24.27,-68.78,-2.31,68.39,-237.37,15.05
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,
Dywidenda,,,,,-100.0,,,23.0,,,,-12.4,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,83.39,-37.47,596.44,717.43,-2643.06,145.02,45.75,-304.86,117.32,-136.35,-93.36,102.4,-118.09,-249.21,-168.49,-173.26,709.09,140.92,1751.53,-554.98,-224.38,-431.13,-75.3,-184.88,16.2,950.2,-600.35,23.67,284.84,-39.72,-36.09,237.27,-189.18,-62.12,89.55,-133.79,122.9,-14.42
