,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Koszty finansowe,8.0,12.0,7.0,8.0,7.0,9.0,13.0,12.0,16.0,22.0,18.0,165.0,12.0,12.0,16.0,29.0,25.0,115.0,0.0,69.0,19.0,13.0,13.0,34.0,38.0,69.0,66.0,2430.0,28.0,122.0,74.0,57.0,69.0,1022.0,101.0,-671.0,321.0,89.0,51.0,43.0,20.0,18.0,27.0,39.0,40.0,42.0,35.0,14.0,5.0,0.0,1.0,2.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,-28.0,117.0,17.0,117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,576.0,360.0,381.0,1289.0,280.0,93.0,839.0,-8908.0,322.0,-112.0,-320.0,-128.0,-174.0,-475.0,20.0,-857.0,-199.0,-7013.0,-464.0,-1606.0,-827.0,-1149.0,-356.0,2833.0,-806.0,-1519.0,-1544.0,-8208.0,-1304.0,-4498.0,-1331.0,-2691.0,-1413.0,-1999.0,-1546.0,-1270.0,-1228.0,207.0,-231.0,-271.0,-324.0,-274.0,-51.0,-265.0,-202.0,-247.0,764.0,488.0,778.0,-854.0,241.0,448.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,576.0,360.0,381.0,1289.0,280.0,93.0,839.0,-8908.0,322.0,-112.0,-320.0,-128.0,-174.0,-475.0,20.0,-857.0,-199.0,-7013.0,-464.0,-1606.0,-827.0,-1149.0,-356.0,2833.0,-806.0,-1519.0,-1544.0,-8208.0,-1304.0,-4498.0,-1331.0,-2691.0,-1413.0,-1999.0,-1546.0,-1270.0,-1228.0,207.0,-231.0,-271.0,-324.0,-274.0,-51.0,-265.0,-202.0,-247.0,764.0,488.0,778.0,-854.0,241.0,448.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,30.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,-1514.0,-2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,472.0,270.0,310.0,1043.0,220.0,66.0,685.0,-8699.0,356.0,-123.0,-297.0,-141.0,-169.0,-494.0,7.0,-737.0,-213.0,-7005.0,-448.0,-1467.0,-848.0,-1149.0,-370.0,2811.0,-848.0,-1487.0,-1534.0,-8458.0,-1318.0,-4489.0,-594.0,-3450.0,-1413.0,-1999.0,-1546.0,-1270.0,-1228.0,-1307.0,-2583.0,-271.0,-304.0,-294.0,-51.0,-265.0,-202.0,-247.0,764.0,488.0,778.0,-854.0,244.0,445.0
Zysk netto akcjonariuszy jednostki dominującej,468.0,272.0,308.0,1036.0,215.0,55.0,673.0,-8679.0,357.0,-124.0,-297.0,-141.0,-169.0,-494.0,7.0,-737.0,-213.0,-7005.0,-440.0,-1498.0,-828.0,-1093.0,-434.0,2766.0,-845.0,-1465.0,-1559.0,-8442.0,-1315.0,-4435.0,-618.0,-3376.0,-1386.0,-1977.0,-1515.0,-1247.0,-1180.0,-1271.0,-2667.0,-271.0,-304.0,-294.0,-51.0,-265.0,-202.0,-247.0,764.0,488.0,778.0,-854.0,244.0,445.0
Aktywa trwałe,4520.0,4971.0,5492.0,6064.0,6654.0,7439.0,9374.0,2713.0,4318.0,5686.0,6599.0,6951.0,13001.0,12721.0,12826.0,12524.0,12562.0,9189.0,10496.0,11408.0,11531.0,12205.0,12428.0,14521.0,14080.0,13682.0,13393.0,8660.0,7056.0,4235.0,4100.0,2668.0,2590.0,2259.0,2115.0,2036.0,1875.0,101.0,90.0,15681.0,15670.0,15660.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0
Wartości niematerialne i prawne,3615.0,4016.0,4526.0,5139.0,5735.0,6381.0,7805.0,1117.0,2209.0,3301.0,4390.0,5272.0,9640.0,5673.0,5784.0,5514.0,5590.0,8520.0,8537.0,8493.0,8622.0,9200.0,9374.0,13384.0,13045.0,12713.0,12432.0,7952.0,6645.0,3732.0,3580.0,2225.0,2162.0,1238.0,1169.0,1101.0,1035.0,0.0,0.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0,15602.0
Rzeczowe składniki majątku trwałego,486.0,538.0,515.0,479.0,460.0,590.0,1083.0,1085.0,1151.0,1399.0,1263.0,1108.0,967.0,776.0,653.0,532.0,391.0,285.0,210.0,241.0,185.0,186.0,228.0,514.0,460.0,452.0,431.0,414.0,392.0,377.0,361.0,346.0,331.0,927.0,849.0,935.0,840.0,101.0,90.0,79.0,68.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,15.0,15.0,49.0,49.0,356.0,349.0,261.0,263.0,261.0,0.0,96.0,34.0,97.0,97.0,94.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,400.0,400.0,400.0,422.0,428.0,436.0,443.0,450.0,899.0,926.0,874.0,507.0,2338.0,6215.0,6339.0,6346.0,6468.0,248.0,1585.0,2596.0,2632.0,2667.0,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,19.0,17.0,51.0,24.0,31.0,32.0,43.0,61.0,59.0,60.0,72.0,64.0,56.0,57.0,50.0,132.0,113.0,121.0,134.0,63.0,77.0,103.0,87.0,267.0,226.0,256.0,267.0,33.0,19.0,30.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa obrotowe,1295.0,1298.0,1182.0,1841.0,19586.0,19126.0,18333.0,17307.0,15170.0,13706.0,12472.0,12207.0,5069.0,5023.0,5055.0,4882.0,4140.0,9468.0,7933.0,6598.0,5704.0,4070.0,3907.0,7216.0,7111.0,5402.0,5192.0,3182.0,4982.0,2475.0,2358.0,2057.0,2403.0,2800.0,3125.0,7023.0,7422.0,7201.0,1980.0,1172.0,837.0,942.0,1354.0,1594.0,1482.0,2002.0,1356.0,1283.0,1357.0,1772.0,2240.0,2748.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,722.0,1270.0,1789.0,1862.0,1868.0,1753.0,2035.0,1695.0,1691.0,1872.0,2073.0,1897.0,1631.0,1511.0,1659.0,1933.0,2009.0,3452.0,6367.0,0.0,0.0,106.0,414.0,640.0,875.0,1169.0,1432.0,1685.0,0.0,0.0,344.0,768.0,1209.0,1421.0
Należności krótkoterminowe,359.0,401.0,398.0,626.0,428.0,377.0,514.0,851.0,964.0,700.0,834.0,1082.0,971.0,854.0,737.0,945.0,851.0,3293.0,2004.0,1526.0,2000.0,1030.0,918.0,1410.0,2031.0,908.0,815.0,986.0,737.0,361.0,253.0,316.0,476.0,591.0,867.0,2507.0,821.0,19.0,373.0,129.0,110.0,96.0,109.0,73.0,41.0,44.0,427.0,489.0,369.0,211.0,301.0,381.0
Inwestycje krótkoterminowe,858.0,640.0,292.0,170.0,18946.0,18583.0,17654.0,16395.0,14137.0,12928.0,11574.0,11076.0,4051.0,4144.0,4293.0,3905.0,3247.0,5631.0,5163.0,3682.0,1840.0,1102.0,1046.0,3946.0,2929.0,2683.0,2547.0,209.0,87.0,11.0,268.0,21.0,39.0,80.0,19.0,817.0,48.0,708.0,1461.0,785.0,102.0,1.0,151.0,3.0,9.0,273.0,929.0,794.0,637.0,789.0,729.0,946.0
Środki pieniężne i inne aktywa pieniężne,858.0,640.0,292.0,170.0,18946.0,18583.0,17654.0,16395.0,14137.0,12928.0,11574.0,11076.0,4051.0,4120.0,4282.0,3881.0,3235.0,5619.0,5150.0,3658.0,1816.0,1078.0,1022.0,1229.0,626.0,377.0,202.0,209.0,5.0,11.0,268.0,21.0,39.0,80.0,19.0,817.0,48.0,708.0,6.0,785.0,102.0,1.0,151.0,3.0,9.0,273.0,929.0,794.0,637.0,789.0,729.0,946.0
Pozostałe aktywa obrotowe,78.0,257.0,492.0,1045.0,212.0,166.0,165.0,61.0,69.0,78.0,64.0,49.0,47.0,25.0,25.0,32.0,42.0,36.0,44.0,120.0,75.0,76.0,75.0,107.0,116.0,116.0,139.0,115.0,112.0,206.0,206.0,209.0,229.0,196.0,230.0,247.0,186.0,146.0,146.0,152.0,211.0,205.0,219.0,349.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,5815.0,6269.0,6674.0,7905.0,26240.0,26565.0,27707.0,20020.0,19488.0,19392.0,19071.0,19158.0,18070.0,17744.0,17881.0,17406.0,16702.0,18657.0,18429.0,18006.0,17235.0,16275.0,16335.0,21737.0,21191.0,19084.0,18585.0,11842.0,12038.0,6710.0,6458.0,4725.0,4993.0,5059.0,5240.0,9059.0,9297.0,7302.0,2070.0,16853.0,16507.0,16602.0,16956.0,17196.0,17084.0,17604.0,16958.0,16885.0,16959.0,17374.0,17842.0,18350.0
Kapitał własny akcjonariuszy jednostki dominującej,4931.0,5202.0,5510.0,6568.0,25074.0,25200.0,25874.0,17212.0,17568.0,17351.0,17054.0,16581.0,16317.0,15859.0,15866.0,15129.0,14916.0,16682.0,16281.0,14966.0,14138.0,13602.0,13168.0,16066.0,15221.0,13756.0,12238.0,5456.0,6250.0,2484.0,1211.0,1490.0,103.0,-1874.0,-3389.0,-4636.0,-2016.0,-3287.0,1560.0,14844.0,14540.0,14246.0,14195.0,13930.0,13383.0,14536.0,15300.0,15788.0,16566.0,17075.0,17533.0,17960.0
Kapitał (fundusz) podstawowy,576.0,586.0,586.0,586.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,748.0,748.0,748.0,748.0,748.0,1603.0,1603.0,1845.0,1845.0,1845.0,1845.0,1845.0,1845.0,1845.0,1845.0,1845.0,2045.0,2045.0,2045.0,2600.0,3200.0,3200.0,3200.0,3200.0,3200.0,4150.0,4150.0,7364.0,7364.0,7364.0,7364.0,7364.0,7364.0,7364.0,7564.0,7564.0,7564.0,7564.0,7564.0,7564.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,2056.0,3506.0,3506.0,3506.0,21621.0,23762.0,23762.0,23762.0,23762.0,23762.0,23762.0,23264.0,23264.0,23264.0,23264.0,23264.0,23264.0,31214.0,31214.0,31719.0,31719.0,32475.0,32475.0,32475.0,32475.0,32475.0,32475.0,32475.0,34075.0,34075.0,35628.0,35629.0,38028.0,38028.0,38028.0,38028.0,38028.0,40878.0,45162.0,55502.0,55502.0,55504.0,3184.0,3184.0,2839.0,2839.0,3125.0,3125.0,3125.0,3927.0,3927.0,3927.0
Udziały niekontrolujące,11.0,9.0,10.0,18.0,23.0,34.0,46.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,206.0,49.0,30.0,125.0,128.0,175.0,172.0,104.0,89.0,114.0,81.0,57.0,33.0,7.0,-19.0,-42.0,-73.0,-96.0,-144.0,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,208.0,191.0,191.0,130.0,118.0,115.0,373.0,341.0,335.0,507.0,421.0,352.0,260.0,168.0,137.0,96.0,58.0,54.0,25.0,0.0,33.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,560.0,359.0,360.0,77.0,74.0,721.0,633.0,269.0,2371.0,2797.0,3336.0,2562.0,934.0,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,208.0,367.0,503.0,654.0,536.0,593.0,654.0,785.0,833.0,812.0,859.0,1532.0,822.0,890.0,1471.0,1228.0,980.0,1006.0,1155.0,1740.0,1715.0,1768.0,2158.0,2942.0,2999.0,2475.0,2395.0,3133.0,2241.0,2066.0,1932.0,2500.0,2276.0,2820.0,2799.0,2315.0,4431.0,119.0,164.0,59.0,103.0,121.0,129.0,170.0,135.0,161.0,77.0,112.0,148.0,106.0,118.0,101.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.0,1100.0,1914.0,3131.0,2035.0,1655.0,1666.0,2772.0,16.0,2083.0,2757.0,4583.0,10154.0,5774.0,7948.0,0.0,904.0,998.0,1733.0,32.0,102.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,117.0,131.0,100.0,129.0,108.0,87.0,654.0,182.0,202.0,299.0,300.0,300.0,305.0,283.0,251.0,217.0,185.0,127.0,108.0,82.0,48.0,20.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,229.0,35.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,387.0,785.0,32.0,32.0,32.0,0.0
Inne zobowiązania długoterminowe,11.0,9.0,9.0,11.0,12.0,22.0,31.0,63.0,31.0,45.0,33.0,38.0,26.0,28.0,30.0,23.0,19.0,21.0,18.0,0.0,33.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,665.0,867.0,963.0,1189.0,1025.0,1216.0,1414.0,2441.0,1560.0,1534.0,1596.0,2225.0,1493.0,1717.0,1878.0,2181.0,1728.0,1672.0,1917.0,2991.0,3034.0,2548.0,2985.0,5496.0,5798.0,5224.0,6258.0,6272.0,5707.0,4169.0,5214.0,3228.0,4909.0,6356.0,8142.0,13432.0,11097.0,10692.0,436.0,1288.0,1334.0,2087.0,390.0,469.0,365.0,506.0,724.0,1097.0,393.0,299.0,309.0,390.0
Inne zobowiązania krótkoterminowe,340.0,369.0,360.0,406.0,381.0,536.0,106.0,1474.0,525.0,423.0,437.0,393.0,366.0,544.0,156.0,736.0,563.0,539.0,654.0,1169.0,1271.0,760.0,813.0,1431.0,1699.0,835.0,732.0,1104.0,1811.0,437.0,510.0,712.0,550.0,779.0,760.0,659.0,663.0,2590.0,244.0,325.0,233.0,233.0,229.0,197.0,137.0,181.0,260.0,200.0,213.0,161.0,159.0,289.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,5815.0,6269.0,6674.0,7905.0,26240.0,26565.0,27707.0,20020.0,19488.0,19392.0,19071.0,19158.0,18070.0,17744.0,17881.0,17406.0,16702.0,18657.0,18429.0,18006.0,17235.0,16275.0,16335.0,21737.0,21191.0,19084.0,18585.0,11842.0,12038.0,6710.0,6458.0,4725.0,4993.0,5059.0,5240.0,9059.0,9297.0,7302.0,2070.0,16853.0,16507.0,16602.0,16956.0,17196.0,17084.0,17604.0,16958.0,16885.0,16959.0,17374.0,17842.0,18350.0
Przepływy pieniężne z działalności operacyjnej,794.0,417.0,292.0,809.0,1300.0,902.0,870.0,1064.0,-625.0,124.0,-207.0,631.0,-958.0,347.0,272.0,-329.0,-269.0,-1533.0,1963.0,-2605.0,-1683.0,-438.0,212.0,-249.0,-905.0,-901.0,-435.0,-1236.0,-1614.0,-1277.0,-113.0,-1376.0,-2032.0,-454.0,-1741.0,-4581.0,4.0,-1023.0,-2285.0,-505.0,-675.0,-486.0,-450.0,-613.0,-484.0,-392.0,2095.0,415.0,598.0,153.0,-60.0,217.0
Amortyzacja,211.0,219.0,222.0,223.0,342.0,351.0,388.0,400.0,160.0,161.0,188.0,188.0,175.0,157.0,154.0,387.0,377.0,382.0,328.0,-132.0,64.0,229.0,118.0,123.0,467.0,473.0,451.0,486.0,187.0,156.0,233.0,-210.0,78.0,217.0,146.0,157.0,160.0,159.0,-157.0,10.0,11.0,11.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne z działalności inwestycyjnej,-489.0,-593.0,-603.0,-892.0,-798.0,-1199.0,-1692.0,-2332.0,-1555.0,-1230.0,-1061.0,-761.0,-6265.0,115.0,-77.0,6.0,-305.0,-3365.0,4778.0,1326.0,-124.0,-272.0,-262.0,-728.0,320.0,-94.0,-104.0,-224.0,-255.0,1247.0,-648.0,1456.0,0.0,14.0,0.0,0.0,0.0,-12.0,201.0,200.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPEX (niematerialne i rzeczowe),489.0,628.0,568.0,889.0,798.0,1199.0,1693.0,2331.0,1117.0,1112.0,1175.0,1419.0,260.0,256.0,144.0,9.0,342.0,-304.0,1250.0,43.0,138.0,316.0,287.0,653.0,168.0,131.0,104.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne z działalności finansowej,-35.0,-41.0,-38.0,-39.0,18274.0,-66.0,-108.0,10.0,-2258.0,2077.0,-86.0,-368.0,199.0,-394.0,-33.0,-78.0,-72.0,-58.0,130.0,-213.0,-35.0,-28.0,-6.0,1184.0,-16.0,744.0,364.0,1467.0,1755.0,-54.0,1018.0,-327.0,2050.0,481.0,1680.0,5379.0,-773.0,2208.0,1010.0,1084.0,-8.0,383.0,594.0,465.0,490.0,655.0,-1438.0,-550.0,-756.0,0.0,0.0,0.0
Emisja akcji,0.0,0.0,0.0,0.0,18361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,2108.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,270.0,-217.0,-349.0,-122.0,18776.0,-363.0,-930.0,-1258.0,-4438.0,971.0,-1354.0,-498.0,-7024.0,68.0,162.0,-401.0,-646.0,-4956.0,6871.0,-1492.0,-1842.0,-738.0,-56.0,207.0,-601.0,-251.0,-175.0,7.0,-114.0,-84.0,257.0,-247.0,18.0,41.0,-61.0,798.0,-769.0,1173.0,-1074.0,779.0,0.0,-784.0,150.0,-148.0,6.0,263.0,657.0,-135.0,-158.0,153.0,-60.0,217.0
