,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Kapitał (fundusz) zapasowy,,,,,370.93,8.77,7.37,31.39,368.27,225.3,207.12,207.12,-6.8,49.91,60.85,60.85,60.85,109.25,109.04,-48.03,-48.03,-75.16,-75.14,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,2653.85,166.07,32.55,32.84,5.18,1.76,-19.72,-28.8,-29.39,-25.5,-12.05
Zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,1033.13,1375.6,3.97,4.94,-1.05,2.34,-4.64,-4.56,-1.59,-5.18,-86.41
Z tytułu dostaw i usług,,,,,,,,234.69,,,,289.02,174.07,112.12,71.03,49.06,527.03,82.86,-42.83,162.78,-42.03,140.43,648.43,-26.41,41.45,-15.15,-31.98,1.03
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,1033.13,1375.6,3.97,4.94,-1.05,2.34,-4.64,-4.56,-1.59,-5.18,-86.41
Zobowiązania krótkoterminowe,,,,,536.0,345.71,1477.78,56.87,15.72,188.46,101.41,196.37,136.96,541.56,499.3,56.57,454.82,-56.15,-85.73,64.19,-37.91,96.29,285.42,-25.97,2.13,-15.94,-36.16,-0.48
Inne zobowiązania krótkoterminowe,,,,,,,,3.09,,,,105.39,84.21,1151.08,807.41,70.55,302.14,-89.6,-91.54,-96.07,-24.33,-90.5,-47.26,21.74,-97.18,-100.0,-90.59,-100.0
Rozliczenia międzyokresowe,,,,,,,180.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,719.53,251.88,110.12,97.76,241.8,254.2,118.63,133.01,39.21,64.71,203.62,500.24,502.3,274.78,124.36,1.91,-4.7,-3.0,-0.34,-30.9,-29.82,-24.83,-26.98,-26.55
Przepływy pieniężne z działalności operacyjnej,,,,,1037.93,88.52,338.46,-408.22,-109.93,3641.94,30.65,254.22,1000.0,-75.77,188.36,-812.97,305.35,-93.61,-76.51,90.86,9.75,4611.76,-355.21,-63.72,-114.99,-57.55,178.27,54.05
Amortyzacja,,,,,,,,,,,400.0,200.0,50.0,160.0,280.0,216.67,283.33,200.0,78.95,0.0,34.78,-35.9,-44.12,36.84,-25.81,-32.0,-15.79,-38.46
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,,293.92,631.58,66.1,-1764.24,392.28,147.52,6065.0,276.63,-1.05,1150.4,-54.15,-97.08,-90.0,-103.81,-170.38,284.83,-84.51,423.53,96.88,-102.51,43.18
CAPEX (niematerialne i rzeczowe),,,,,,,,,,,,-75.0,,-100.0,-94.01,315.0,,,-10.0,1332.53,,967.86,-6300.0,-95.37,,-100.0,102.15,-100.0
Przepływy pieniężne z działalności finansowej,,,,,-186.57,-100.51,-100.0,65.82,5081.03,-11100.0,,100.0,-100.0,153.57,210.1,,,-7828.33,-94.79,-89.58,,16.26,-110.77,-121.79,,66.46,100.0,940.34
Emisja akcji,,,,,,,,-100.0,,,,,-100.0,,,,,,-100.0,-64.47,,,,-100.0,,,,
Dywidenda,,,,,,,,,,,,,,,14.25,,,,-100.0,,,-25.0,,,,-66.67,,
Przepływy pieniężne razem,,,,,413.16,-176.67,-61.13,1064.0,1419.49,1028.26,-1695.41,1005.5,-83.36,84.89,301.62,74.29,733.87,-651.61,-92.76,-89.23,-76.6,15.61,-166.16,-173.68,-76.82,69.02,272.71,300.67
